,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url
10,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-02-01 18:02:17.000000,2024-02-01 17:16:16,15038.0,637.0,22759.0,1074.0,14559.0,745.0,13159.0,119578.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2388.0,50,True,2024-01-29 16:11:49,4.37.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",134391.0,134391.0,https://pypi.org/project/transformers,20239940.0,20274794.0,https://anaconda.org/conda-forge/transformers,2024-01-25 00:26:17.305,1498729.0,,,,,1.0,,,,,,,,,,,,
11,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-02-01 17:54:53.000000,2024-02-01 16:35:21,7234.0,1529.0,10942.0,628.0,9600.0,1826.0,3990.0,75623.0,Building applications with LLMs through composability.,1944.0,48,True,2024-02-01 16:21:09,0.1.5,100.0,langchain,,,,,53655.0,53655.0,https://pypi.org/project/langchain,5208805.0,5208805.0,,,,,,,,1.0,,,,,,,,,,,,
12,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-02-01 15:03:23.000000,2024-02-01 13:01:57,49486.0,414.0,7148.0,592.0,17666.0,1167.0,8871.0,18811.0,matplotlib: plotting with Python.,1642.0,48,True,2023-11-18 01:36:36,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1076061.0,1076061.0,https://pypi.org/project/matplotlib,52311115.0,52802549.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21623099.0,,,,,1.0,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-01-31 22:07:52.000000,2024-01-31 22:07:48,17080.0,567.0,1960.0,224.0,4623.0,69.0,2925.0,11446.0,Python Imaging Library (Fork).,458.0,47,True,2024-01-02 09:38:41,10.2.0,54.0,Pillow,conda-forge/pillow,,,,1517952.0,1517952.0,https://pypi.org/project/Pillow,81464591.0,82296793.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,35784716.0,,,,,1.0,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-02-01 13:53:49.000000,2024-01-30 12:58:28,16110.0,43.0,4165.0,556.0,3954.0,81.0,5463.0,28139.0,Industrial-strength Natural Language Processing (NLP) in Python.,748.0,45,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,79330.0,79330.0,https://pypi.org/project/spacy,5952422.0,6027935.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3322607.0,,,,,1.0,,,,,,,,,,,,
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-02-01 17:58:16.000000,2024-02-01 17:58:12,19191.0,1091.0,2370.0,322.0,12302.0,1233.0,3657.0,26481.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",629.0,45,True,2023-12-14 07:26:26,jax-v0.4.23,93.0,jax,conda-forge/jaxlib,,,,21482.0,21482.0,https://pypi.org/project/jax,5313313.0,5336878.0,https://anaconda.org/conda-forge/jaxlib,2023-12-23 22:02:22.397,1036896.0,,,,,1.0,,,,,,,,,,,,
16,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-02-01 17:21:20.000000,2024-02-01 15:35:39,10105.0,234.0,3058.0,247.0,9885.0,641.0,6066.0,25801.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",927.0,45,True,2024-02-01 15:10:35,2.1.4,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],28564.0,28564.0,https://pypi.org/project/pytorch-lightning,4657766.0,4681880.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1043436.0,,,,,1.0,14011.0,,Lightning-AI/pytorch-lightning,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-01-31 21:25:45.000000,2024-01-31 21:20:51,6745.0,119.0,8140.0,909.0,4953.0,349.0,4712.0,25269.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",636.0,45,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,79407.0,79407.0,https://pypi.org/project/xgboost,12264863.0,12370104.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4522506.0,,,,,1.0,8028.0,,,,,,,,,,,
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-02-01 17:17:17.000000,2024-02-01 17:17:16,46426.0,1908.0,5212.0,725.0,43542.0,1026.0,16669.0,21297.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1159.0,45,True,2024-01-08 06:43:49,2.6.0,61.0,paddlepaddle,,,,['paddle'],4579.0,4579.0,https://pypi.org/project/paddlepaddle,218838.0,219008.0,,,,,,,,1.0,15368.0,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-01-26 10:22:39.000000,2024-01-18 10:54:02,15247.0,120.0,2619.0,279.0,3843.0,2558.0,2731.0,9269.0,Statsmodels: statistical modeling and econometrics in Python.,422.0,45,True,2023-12-14 14:31:51,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,113687.0,113687.0,https://pypi.org/project/statsmodels,12628351.0,12904051.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12130803.0,,,,,1.0,30.0,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-02-01 17:55:53.000000,2024-02-01 17:55:53,5297.0,324.0,3671.0,293.0,7361.0,1089.0,2311.0,16529.0,Open source platform for the machine learning lifecycle.,694.0,44,True,2024-01-26 07:18:31,2.10.0,81.0,mlflow,conda-forge/mlflow,,,,29653.0,29653.0,https://pypi.org/project/mlflow,15119034.0,15158015.0,https://anaconda.org/conda-forge/mlflow,2024-01-26 07:14:31.701,1715197.0,,,,,1.0,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-01-29 18:56:02.000000,2024-01-25 20:40:03,6293.0,60.0,2419.0,281.0,1594.0,1407.0,1379.0,14801.0,The interactive graphing library for Python This project now includes Plotly Express!.,253.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,235558.0,235558.0,https://pypi.org/project/plotly,11712853.0,11845470.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5196023.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,17150.0,,,,,,
22,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-02-01 15:09:44.000000,2024-02-01 10:50:09,56985.0,396.0,4078.0,292.0,12909.0,4260.0,8638.0,11808.0,A computer algebra system written in pure Python.,1272.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,108716.0,108716.0,https://pypi.org/project/sympy,10901571.0,10958677.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4922361.0,,,,,1.0,530683.0,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-01-29 13:05:56.000000,2024-01-25 13:04:48,3229.0,35.0,1759.0,259.0,1086.0,116.0,2345.0,11636.0,Statistical data visualization in Python.,210.0,44,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,355928.0,355928.0,https://pypi.org/project/seaborn,13858615.0,14039933.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,7977899.0,,,,,1.0,375.0,,,,,,,,,,,
24,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-02-01 18:09:27.000000,2024-02-01 17:33:53,20556.0,826.0,4926.0,466.0,26097.0,3112.0,13416.0,29699.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,968.0,43,True,2024-01-19 00:28:32,ray-2.9.1,77.0,ray,conda-forge/ray-tune,,,,13468.0,13468.0,https://pypi.org/project/ray,2920328.0,2925189.0,https://anaconda.org/conda-forge/ray-tune,2024-01-26 10:38:36.209,184656.0,,,,,1.0,204.0,,,,,,,,,,,
25,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-02-01 16:04:18.000000,2024-01-30 22:18:34,20376.0,86.0,4072.0,443.0,5960.0,724.0,6812.0,18534.0,"Interactive Data Visualization in the browser, from Python.",681.0,43,True,,,58.0,bokeh,conda-forge/bokeh,,,,82600.0,82600.0,https://pypi.org/project/bokeh,3693240.0,3996041.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13323251.0,,,,,1.0,,,,,,,,,,,,
26,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-02-01 18:09:07.000000,2024-01-29 22:45:35,2642.0,55.0,3515.0,438.0,3083.0,265.0,2340.0,16302.0,Open standard for machine learning interoperability.,305.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,23387.0,23387.0,https://pypi.org/project/onnx,4249365.0,4270371.0,https://anaconda.org/conda-forge/onnx,2024-01-25 12:19:38.120,912806.0,,,,,1.0,19886.0,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-02-01 17:45:31.000000,2024-01-25 05:19:42,3414.0,48.0,3665.0,437.0,3063.0,318.0,2896.0,15828.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",295.0,43,True,2024-01-26 02:11:11,4.3.0,31.0,lightgbm,conda-forge/lightgbm,,,,29275.0,29275.0,https://pypi.org/project/lightgbm,6937109.0,6992664.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2171768.0,,,,,2.0,212120.0,,,,,,,,,,,
28,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-02-01 17:57:19.000000,2024-02-01 16:04:14,2810.0,833.0,3389.0,209.0,3168.0,381.0,2094.0,27522.0,LlamaIndex (formerly GPT Index) is a data framework for your LLM applications.,625.0,42,True,2024-01-30 22:50:29,0.9.40,100.0,llama-index,,,,,4686.0,4686.0,https://pypi.org/project/llama-index,2535762.0,2535849.0,,,,,,,,1.0,439.0,,,,,,,,,,,
29,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-02-01 18:14:42.000000,2024-02-01 18:14:41,6210.0,351.0,1794.0,146.0,3264.0,436.0,3184.0,25997.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",251.0,42,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,22059.0,22059.0,https://pypi.org/project/gradio,5258512.0,5258512.0,,,,,,,,1.0,,-1.0,,,,,,,,,,
30,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-02-01 18:02:40.000000,2024-02-01 18:02:40,7580.0,93.0,3011.0,274.0,3636.0,174.0,2946.0,13847.0,Network Analysis in Python.,705.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,220111.0,220111.0,https://pypi.org/project/networkx,41743385.0,42091137.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14605621.0,,,,,1.0,65.0,,,,,,,,,,,
31,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-01-31 08:05:49.000000,2024-01-29 09:04:39,14509.0,40.0,2700.0,468.0,1450.0,246.0,1506.0,12764.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,453.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,247973.0,247973.0,https://pypi.org/project/nltk,13127681.0,13154343.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2399618.0,,,,,1.0,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-02-01 15:44:14.000000,2024-02-01 15:41:23,4634.0,83.0,1983.0,1693.0,4486.0,265.0,2586.0,11493.0,WebGL2 powered visualization framework.,244.0,42,True,2024-01-19 15:06:18,8.9.34,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],7083.0,7083.0,https://pypi.org/project/pydeck,1863459.0,2285501.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,472974.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,412189.0,,,,,,
33,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-02-01 13:12:55.000000,2024-02-01 02:30:34,5751.0,39.0,1579.0,193.0,4904.0,597.0,1221.0,6462.0,TensorFlows Visualization Toolkit.,312.0,42,True,2023-11-02 18:45:45,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],212760.0,212760.0,https://pypi.org/project/tensorboard,21958176.0,22060189.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4488611.0,,,,,1.0,,,,,,,,,,,,
34,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-01-27 21:48:33.000000,2024-01-27 21:48:33,2133.0,66.0,4382.0,308.0,439.0,69.0,768.0,28594.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",128.0,41,True,2023-11-24 19:09:08,0.9.12,54.0,timm,conda-forge/timm,,,['pytorch'],22385.0,22385.0,https://pypi.org/project/timm,4241806.0,4352196.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,120610.0,,,,,1.0,6132454.0,,huggingface/pytorch-image-models,,,,,,,,,
35,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2024-02-01 14:20:26.395000,2024-02-01 13:15:35,9173.0,123.0,1115.0,138.0,5356.0,513.0,4060.0,12830.0,ML Experiments Management with Git.,290.0,41,True,2024-02-01 13:15:55,3.43.1,297.0,dvc,conda-forge/dvc,,,,12419.0,12419.0,https://pypi.org/project/dvc,691720.0,735367.0,https://anaconda.org/conda-forge/dvc,2024-02-01 14:20:26.395,1758082.0,,,,,1.0,44294.0,,,,,,dvc,dvc,dvc,,,
36,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-02-01 18:11:19.000000,2024-02-01 13:34:54,8061.0,158.0,1623.0,213.0,5682.0,847.0,4093.0,11733.0,Parallel computing with task scheduling.,592.0,41,True,,,164.0,dask,conda-forge/dask,,,,56752.0,56752.0,https://pypi.org/project/dask,6371711.0,6608842.0,https://anaconda.org/conda-forge/dask,2024-01-27 01:41:17.329,10670939.0,,,,,1.0,,,,,,,,,,stable/dask,,
37,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-01-31 18:55:38.000000,2024-01-31 18:55:37,3621.0,34.0,713.0,141.0,1320.0,155.0,1745.0,8691.0,Declarative statistical visualization library for Python.,161.0,41,True,2023-11-28 06:23:39,5.2.0,27.0,altair,conda-forge/altair,,,,103848.0,103848.0,https://pypi.org/project/altair,15927986.0,16009929.0,https://anaconda.org/conda-forge/altair,2023-12-05 00:22:25.208,2130505.0,,,,,1.0,101.0,,,,,,,,,,,
38,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-02-01 13:51:14.000000,2024-01-30 16:38:21,13802.0,33.0,2120.0,186.0,4347.0,533.0,2042.0,5758.0,Image processing in Python.,647.0,41,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,168519.0,168519.0,https://pypi.org/project/scikit-image,14695943.0,14830539.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5922244.0,,,,,1.0,,,,,,,,,,,,
39,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-02-01 18:09:59.000000,2024-02-01 17:02:57,2102.0,189.0,3559.0,311.0,2337.0,813.0,1513.0,31150.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",284.0,40,True,2024-01-23 23:01:37,0.13.1,67.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],5608.0,5608.0,https://pypi.org/project/deepspeed,411258.0,411618.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17677.0,1.0,,,,,,,,,,,,
40,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-02-01 15:33:09.000000,2024-01-24 15:17:51,2590.0,31.0,3024.0,248.0,790.0,1423.0,967.0,21070.0,A game theoretic approach to explain the output of any machine learning model.,229.0,40,True,2024-01-25 13:08:31,0.44.1,52.0,shap,conda-forge/shap,,,,15516.0,15516.0,https://pypi.org/project/shap,7203794.0,7263333.0,https://anaconda.org/conda-forge/shap,2024-01-08 16:40:58.890,2262488.0,,,,,1.0,,,shap/shap,,,,,,,,,
41,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-02-01 06:48:09.240000,2024-01-31 16:05:50,7124.0,55.0,1913.0,418.0,1015.0,773.0,855.0,20016.0,Data Apps & Dashboards for Python. No JavaScript Required.,143.0,40,True,2024-01-31 18:19:00,2.15.0,104.0,dash,conda-forge/dash,,,,57712.0,57712.0,https://pypi.org/project/dash,2426540.0,2453532.0,https://anaconda.org/conda-forge/dash,2024-02-01 06:48:09.240,1187634.0,,,,,2.0,66.0,,,,,,,,,,,
