,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url,new_addition
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-02-08 17:58:45.000000,2024-02-08 03:52:42,7369.0,1552.0,11077.0,629.0,9793.0,1689.0,4210.0,76168.0,Build context-aware reasoning applications.,1971.0,48,True,2024-02-01 16:21:09,0.1.5,100.0,langchain,,,,,55279.0,55279.0,https://pypi.org/project/langchain,5410007.0,5410007.0,,,,,,,,1.0,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-02-08 10:56:11.000000,2024-02-08 10:56:10,49522.0,417.0,7160.0,593.0,17682.0,1167.0,8886.0,18849.0,matplotlib: plotting with Python.,1643.0,48,True,2023-11-18 01:36:36,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1082578.0,1082578.0,https://pypi.org/project/matplotlib,54759377.0,55251748.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21664325.0,,,,,1.0,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-02-08 01:29:07.000000,2024-02-07 20:43:34,17123.0,587.0,1963.0,224.0,4635.0,71.0,2926.0,11459.0,Python Imaging Library (Fork).,459.0,47,True,2024-01-02 09:38:41,10.2.0,54.0,Pillow,conda-forge/pillow,,,,1526963.0,1526963.0,https://pypi.org/project/Pillow,88611909.0,89446491.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,35887050.0,,,,,1.0,,,,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-02-08 16:29:26.000000,2024-02-08 12:05:38,19277.0,1080.0,2379.0,321.0,12364.0,1241.0,3667.0,26551.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",631.0,45,True,2024-02-06 16:40:52,jax-v0.4.24,95.0,jax,conda-forge/jaxlib,,,,21698.0,21698.0,https://pypi.org/project/jax,5501562.0,5525260.0,https://anaconda.org/conda-forge/jaxlib,2023-12-23 22:02:22.397,1042713.0,,,,,1.0,,,,,,,,,,,,,
14,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-02-08 18:01:31.000000,2024-02-08 11:34:51,10127.0,226.0,3111.0,248.0,9911.0,650.0,6074.0,26153.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",927.0,45,True,2024-02-07 22:06:52,2.2.0,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],28762.0,28762.0,https://pypi.org/project/pytorch-lightning,4837662.0,4861755.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1047251.0,,,,,1.0,9949.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-02-07 23:26:55.000000,2024-02-04 21:03:38,6749.0,116.0,8142.0,909.0,4961.0,349.0,4713.0,25306.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",636.0,45,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,80122.0,80122.0,https://pypi.org/project/xgboost,12339605.0,12445077.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4532415.0,,,,,1.0,8060.0,,,,,,,,,,,,
16,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-02-08 16:33:01.000000,2024-02-08 12:21:09,46622.0,1939.0,5220.0,723.0,43764.0,1005.0,16712.0,21336.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1158.0,45,True,2024-01-08 06:43:49,2.6.0,61.0,paddlepaddle,,,,['paddle'],4612.0,4612.0,https://pypi.org/project/paddlepaddle,227860.0,228030.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,
17,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-02-07 14:11:13.000000,2024-02-07 14:11:12,15254.0,126.0,2621.0,279.0,3847.0,2563.0,2731.0,9289.0,Statsmodels: statistical modeling and econometrics in Python.,423.0,45,True,2023-12-14 14:31:51,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,114312.0,114312.0,https://pypi.org/project/statsmodels,12714772.0,12991104.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12158609.0,,,,,1.0,30.0,,,,,,,,,,,,
18,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-02-08 14:51:38.000000,2024-02-05 09:07:03,16113.0,39.0,4177.0,555.0,3959.0,79.0,5468.0,28199.0,Industrial-strength Natural Language Processing (NLP) in Python.,748.0,44,True,2024-02-06 10:13:33,3.7.3,100.0,spacy,conda-forge/spacy,,,,79806.0,79806.0,https://pypi.org/project/spacy,6146056.0,6221677.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3327340.0,,,,,1.0,,,-1.0,,,,,,,,,,
19,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-02-08 17:48:07.000000,2024-02-08 17:16:14,5356.0,357.0,3698.0,292.0,7426.0,1096.0,2320.0,16715.0,Open source platform for the machine learning lifecycle.,697.0,44,True,2024-02-06 12:13:09,2.10.1,82.0,mlflow,conda-forge/mlflow,,,,30063.0,30063.0,https://pypi.org/project/mlflow,15627337.0,15666507.0,https://anaconda.org/conda-forge/mlflow,2024-02-06 13:58:29.748,1723518.0,,,,,1.0,,,,,,,,,,,,,
20,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-02-08 17:12:59.000000,2024-02-05 20:48:12,6299.0,60.0,2419.0,282.0,1599.0,1415.0,1379.0,14837.0,The interactive graphing library for Python This project now includes Plotly Express!.,254.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,237381.0,237381.0,https://pypi.org/project/plotly,12085246.0,12214747.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5209350.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,13738.0,,,,,,,
21,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-02-08 10:47:50.000000,2024-02-07 20:02:47,57094.0,449.0,4086.0,293.0,12929.0,4264.0,8647.0,11831.0,A computer algebra system written in pure Python.,1276.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,110175.0,110175.0,https://pypi.org/project/sympy,11212124.0,11269504.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4947359.0,,,,,1.0,531346.0,,,,,,,,,,,,
22,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-02-05 05:29:37.000000,2024-01-25 13:04:48,3229.0,30.0,1760.0,259.0,1087.0,117.0,2347.0,11657.0,Statistical data visualization in Python.,210.0,44,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,358802.0,358802.0,https://pypi.org/project/seaborn,14242530.0,14424299.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,7997707.0,,,,,1.0,375.0,,,,,,,,,,,,
23,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-02-08 17:41:34.000000,2024-02-08 17:33:45,10295.0,314.0,18586.0,1911.0,6914.0,178.0,11396.0,60280.0,Deep Learning for humans.,1273.0,43,True,2024-01-20 20:12:15,3.0.4,58.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,14272592.0,14349218.0,https://anaconda.org/conda-forge/keras,2024-01-21 22:53:49.247,3371549.0,,,,,2.0,,,-8.0,,,,,,,,,,
24,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-02-08 17:48:55.000000,2024-02-08 17:41:31,20616.0,827.0,4960.0,466.0,26178.0,3124.0,13463.0,29819.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,970.0,43,True,2024-02-06 01:23:15,ray-2.9.2,78.0,ray,conda-forge/ray-tune,,,,13593.0,13593.0,https://pypi.org/project/ray,3040000.0,3044896.0,https://anaconda.org/conda-forge/ray-tune,2024-02-07 20:13:08.038,186003.0,,,,,1.0,208.0,,,,,,,,,,,,
25,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-02-07 22:56:53.000000,2024-02-07 22:39:17,20378.0,79.0,4075.0,444.0,5962.0,724.0,6814.0,18564.0,"Interactive Data Visualization in the browser, from Python.",681.0,43,True,,,58.0,bokeh,conda-forge/bokeh,,,,83006.0,83006.0,https://pypi.org/project/bokeh,3911848.0,4215272.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13350690.0,,,,,1.0,,,,,,,,,,,,,
26,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-02-08 18:12:50.000000,2024-02-06 23:57:31,2650.0,58.0,3520.0,437.0,3091.0,265.0,2354.0,16345.0,Open standard for machine learning interoperability.,306.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,23614.0,23614.0,https://pypi.org/project/onnx,4493806.0,4514904.0,https://anaconda.org/conda-forge/onnx,2024-01-25 12:19:38.120,916808.0,,,,,1.0,19922.0,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-02-08 16:32:13.000000,2024-02-03 07:14:30,3417.0,45.0,3669.0,435.0,3067.0,325.0,2899.0,15847.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",295.0,43,True,2024-01-26 02:11:11,4.3.0,31.0,lightgbm,conda-forge/lightgbm,,,,29537.0,29537.0,https://pypi.org/project/lightgbm,7094842.0,7150562.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2178186.0,,,,,2.0,212761.0,,,,,,,,,,,,
28,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-02-08 06:52:46.000000,2024-02-06 12:42:56,5758.0,43.0,1581.0,193.0,4909.0,597.0,1221.0,6472.0,TensorFlows Visualization Toolkit.,312.0,43,True,2023-11-02 18:45:45,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],213875.0,213875.0,https://pypi.org/project/tensorboard,22562540.0,22664712.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4495611.0,,,,,1.0,,,,,,,,,,,,,
29,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-02-08 18:05:38.000000,2024-02-08 17:31:16,6249.0,360.0,1817.0,145.0,3307.0,429.0,3236.0,26183.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",254.0,42,True,2024-02-06 23:26:32,@gradio/wasm@0.6.0,100.0,gradio,,,,,22506.0,22506.0,https://pypi.org/project/gradio,5669358.0,5669358.0,,,,,,,,1.0,,,,,,,,,,,,,
30,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-02-08 17:16:16.000000,2024-02-07 19:43:29,7588.0,88.0,3017.0,275.0,3646.0,173.0,2949.0,13882.0,Network Analysis in Python.,706.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,222020.0,222020.0,https://pypi.org/project/networkx,43499307.0,43848244.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14655361.0,,,,,1.0,65.0,,,,,,,,,,,,
31,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-02-04 15:36:20.000000,2024-01-29 09:04:39,14509.0,35.0,2702.0,468.0,1450.0,246.0,1506.0,12780.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,454.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,249521.0,249521.0,https://pypi.org/project/nltk,13380077.0,13406797.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2404876.0,,,,,1.0,,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-02-08 15:50:29.000000,2024-02-08 15:37:50,4646.0,86.0,1982.0,1693.0,4496.0,265.0,2590.0,11521.0,WebGL2 powered visualization framework.,244.0,42,True,2024-01-19 15:06:18,8.9.34,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],7111.0,7111.0,https://pypi.org/project/pydeck,1946134.0,2386876.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,474588.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,430855.0,,,,,,,
33,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-02-04 18:15:19.000000,2024-01-27 21:48:33,2133.0,62.0,4390.0,308.0,440.0,69.0,769.0,28652.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",128.0,41,True,2023-11-24 19:09:08,0.9.12,54.0,timm,conda-forge/timm,,,['pytorch'],22722.0,22722.0,https://pypi.org/project/timm,4490586.0,4601520.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,121581.0,,,,,1.0,6162111.0,huggingface/pytorch-image-models,,,,,,,,,,,
34,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-02-08 17:44:04.000000,2024-02-08 17:44:02,2865.0,793.0,3443.0,210.0,3230.0,357.0,2184.0,27826.0,LlamaIndex (formerly GPT Index) is a data framework for your LLM applications.,634.0,41,True,2024-02-07 21:31:27,0.9.45.post1,100.0,llama-index,,,,,4903.0,4903.0,https://pypi.org/project/llama-index,2817521.0,2817630.0,,,,,,,,1.0,436.0,,,,,,,,,,,,
35,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2024-02-08 12:15:38.000000,2024-02-08 12:15:37,9183.0,123.0,1115.0,137.0,5370.0,514.0,4064.0,12862.0,ML Experiments Management with Git.,290.0,41,True,2024-02-01 13:15:55,3.43.1,297.0,dvc,conda-forge/dvc,,,,12621.0,12621.0,https://pypi.org/project/dvc,801381.0,845145.0,https://anaconda.org/conda-forge/dvc,2024-02-01 14:20:26.395,1763068.0,,,,,1.0,44348.0,,,,,,dvc,dvc,dvc,,,,
36,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-02-08 18:00:40.000000,2024-02-08 18:00:40,8079.0,170.0,1624.0,213.0,5705.0,847.0,4096.0,11762.0,Parallel computing with task scheduling.,592.0,41,True,,,164.0,dask,conda-forge/dask,,,,56988.0,56988.0,https://pypi.org/project/dask,6839979.0,7077611.0,https://anaconda.org/conda-forge/dask,2024-01-27 01:41:17.329,10693444.0,,,,,1.0,,,,,,,,,,stable/dask,,,
37,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-02-04 17:03:58.000000,2024-02-04 17:03:57,3622.0,29.0,715.0,141.0,1321.0,156.0,1745.0,8704.0,Declarative statistical visualization library for Python.,161.0,41,True,2023-11-28 06:23:39,5.2.0,27.0,altair,conda-forge/altair,,,,105289.0,105289.0,https://pypi.org/project/altair,17552091.0,17634202.0,https://anaconda.org/conda-forge/altair,2023-12-05 00:22:25.208,2134861.0,,,,,1.0,101.0,,,,,,,,,,,,
38,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-02-07 23:22:01.000000,2024-01-30 16:38:21,13802.0,28.0,2121.0,186.0,4348.0,533.0,2043.0,5768.0,Image processing in Python.,647.0,41,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,169292.0,169292.0,https://pypi.org/project/scikit-image,15294111.0,15429052.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5937428.0,,,,,1.0,,,,,,,,,,,,,
39,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-02-08 17:36:58.000000,2024-02-08 16:03:56,2130.0,188.0,3575.0,313.0,2498.0,831.0,1520.0,31274.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",287.0,40,True,2024-01-23 23:01:37,0.13.1,67.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],5700.0,5700.0,https://pypi.org/project/deepspeed,412661.0,413022.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17695.0,1.0,,,,,,,,,,,,,
40,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-02-08 12:19:57.000000,2024-02-07 11:04:42,2597.0,37.0,3028.0,248.0,797.0,1423.0,971.0,21113.0,A game theoretic approach to explain the output of any machine learning model.,229.0,40,True,2024-01-25 13:08:31,0.44.1,52.0,shap,conda-forge/shap,,,,15623.0,15623.0,https://pypi.org/project/shap,7399269.0,7458988.0,https://anaconda.org/conda-forge/shap,2024-01-08 16:40:58.890,2269356.0,,,,,1.0,,shap/shap,,,,,,,,,,,
41,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-02-08 09:54:53.000000,2024-02-06 17:02:18,7138.0,69.0,1917.0,418.0,1022.0,776.0,858.0,20069.0,Data Apps & Dashboards for Python. No JavaScript Required.,144.0,40,True,2024-01-31 18:19:00,2.15.0,104.0,dash,conda-forge/dash,,,,58032.0,58032.0,https://pypi.org/project/dash,2532912.0,2559990.0,https://anaconda.org/conda-forge/dash,2024-02-01 06:48:09.240,1191388.0,,,,,2.0,66.0,,,,,,,,,,,,
