,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-04-18 18:01:40.000,2024-04-18 14:25:20,8809.0,1803.0,12388.0,645.0,11607.0,970.0,5573.0,82549.0,Build context-aware reasoning applications.,2326.0,49,True,2024-04-11 16:33:19,0.1.16,100.0,langchain,,,,,75076.0,75076.0,https://pypi.org/project/langchain,7460703.0,7460703.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-04-18 17:26:01.000,2024-04-18 17:26:01,50150.0,576.0,7220.0,594.0,17900.0,1152.0,9021.0,19214.0,matplotlib: plotting with Python.,1664.0,48,True,2024-04-04 00:27:55,3.8.4,84.0,matplotlib,conda-forge/matplotlib,,,,1158534.0,1158534.0,https://pypi.org/project/matplotlib,62973015.0,63472196.0,https://anaconda.org/conda-forge/matplotlib,2024-04-09 16:56:24.718,22962352.0,,,,,1.0,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-04-18 07:57:56.000,2024-04-17 13:43:57,17673.0,628.0,1984.0,221.0,4776.0,70.0,2981.0,11664.0,Python Imaging Library (Fork).,466.0,48,True,2024-04-01 12:34:53,10.3.0,55.0,Pillow,conda-forge/pillow,,,,1619828.0,1619828.0,https://pypi.org/project/Pillow,93959169.0,94806019.0,https://anaconda.org/conda-forge/pillow,2024-04-03 15:56:48.771,38108283.0,,,,,1.0,,,,,,,,,,,,
13,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-04-18 18:17:15.000,2024-04-18 14:49:20,6256.0,221.0,2738.0,310.0,4351.0,771.0,3305.0,31465.0,Streamlit A faster way to build and share data apps.,225.0,46,True,2024-04-04 17:36:56,1.33.0,77.0,streamlit,,,,,357353.0,357353.0,https://pypi.org/project/streamlit,3946149.0,3946149.0,,,,,,,,1.0,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-04-18 14:41:52.000,2024-04-17 16:48:17,57466.0,478.0,4218.0,294.0,13102.0,4322.0,8718.0,12367.0,A computer algebra system written in pure Python.,1292.0,46,True,2024-03-31 22:49:13,1.12.1rc1,46.0,sympy,conda-forge/sympy,,,,127469.0,127469.0,https://pypi.org/project/sympy,26565220.0,26624860.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5269102.0,,,,,1.0,,538815.0,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-04-18 18:09:56.000,2024-04-18 17:53:28,21350.0,926.0,5134.0,471.0,27226.0,3180.0,14150.0,30970.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,999.0,45,True,2024-04-17 23:31:04,ray-2.11.0,81.0,ray,conda-forge/ray-tune,,,,14871.0,14871.0,https://pypi.org/project/ray,3946676.0,3951618.0,https://anaconda.org/conda-forge/ray-tune,2024-03-24 13:08:51.334,197610.0,,,,,1.0,,210.0,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-04-18 18:02:31.000,2024-04-18 16:51:46,20306.0,1269.0,2506.0,321.0,13161.0,1282.0,3812.0,27858.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",675.0,45,True,2024-04-03 22:09:19,jax-v0.4.26,99.0,jax,conda-forge/jaxlib,,,,24147.0,24147.0,https://pypi.org/project/jax,5669212.0,5693362.0,https://anaconda.org/conda-forge/jaxlib,2024-04-07 22:22:00.984,1110901.0,,,,,1.0,,,,,,,,,,,,
17,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-04-18 10:31:03.000,2024-04-16 23:28:44,10268.0,200.0,3187.0,247.0,10075.0,695.0,6176.0,26801.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",945.0,45,True,2024-04-11 13:27:17,2.2.2,111.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],31173.0,31173.0,https://pypi.org/project/pytorch-lightning,4909943.0,4933986.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-04-12 18:53:30.868,1095504.0,,,,,1.0,,8210.0,Lightning-AI/pytorch-lightning,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-04-18 17:26:01.000,2024-04-18 14:18:18,6810.0,84.0,8165.0,912.0,5075.0,366.0,4751.0,25543.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",640.0,45,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,87770.0,87770.0,https://pypi.org/project/xgboost,18708082.0,18811679.0,https://anaconda.org/conda-forge/xgboost,2024-04-18 01:21:37.436,4658784.0,,,,,1.0,,8373.0,,,,,,,,,,
19,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-04-18 17:35:44.000,2024-04-18 13:58:15,47927.0,1813.0,5289.0,720.0,45545.0,946.0,16953.0,21587.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1189.0,45,True,2024-04-09 11:19:43,2.6.1,62.0,paddlepaddle,,,,['paddle'],4943.0,4943.0,https://pypi.org/project/paddlepaddle,221012.0,221179.0,,,,,,,,1.0,,15369.0,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-04-17 11:43:27.000,2024-04-16 10:00:22,16124.0,25.0,4207.0,555.0,3988.0,84.0,5492.0,28687.0,Industrial-strength Natural Language Processing (NLP) in Python.,750.0,44,True,2024-02-15 19:16:59,3.7.4,100.0,spacy,conda-forge/spacy,,,,85591.0,85591.0,https://pypi.org/project/spacy,8299192.0,8372590.0,https://anaconda.org/conda-forge/spacy,2024-04-04 16:04:13.461,3376343.0,,,,,1.0,,,,,,,,,,,,
21,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-04-18 16:47:56.000,2024-04-18 15:05:37,5714.0,477.0,3800.0,289.0,7950.0,1151.0,2408.0,17219.0,Open source platform for the machine learning lifecycle.,721.0,44,True,2024-04-17 13:49:52,2.12.1,88.0,mlflow,conda-forge/mlflow,,,,33700.0,33700.0,https://pypi.org/project/mlflow,12504514.0,12544820.0,https://anaconda.org/conda-forge/mlflow,2024-04-18 12:52:55.901,1854118.0,,,,,1.0,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-04-18 13:55:04.000,2024-04-17 15:46:48,6434.0,149.0,2445.0,278.0,1624.0,1429.0,1400.0,15223.0,The interactive graphing library for Python This project now includes Plotly Express!.,261.0,44,True,2024-04-17 15:27:19,5.21.0,99.0,plotly,conda-forge/plotly,,,,257314.0,257314.0,https://pypi.org/project/plotly,15091531.0,15216266.0,https://anaconda.org/conda-forge/plotly,2024-04-17 19:12:51.910,5557189.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,6497.0,,,,,,
23,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-04-18 09:38:53.000,2024-04-18 01:10:53,4841.0,215.0,2006.0,1687.0,4688.0,259.0,2672.0,11678.0,WebGL2 powered visualization framework.,257.0,44,True,2024-04-18 01:25:44,9.0.9,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],7457.0,7457.0,https://pypi.org/project/pydeck,3202703.0,3630160.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,500671.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,417444.0,,,,,,
24,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-04-18 18:00:18.000,2024-04-18 11:05:09,15308.0,39.0,2642.0,280.0,3870.0,2596.0,2749.0,9525.0,Statsmodels: statistical modeling and econometrics in Python.,426.0,44,True,2024-04-17 08:07:37,0.14.2,27.0,statsmodels,conda-forge/statsmodels,,,,120812.0,120812.0,https://pypi.org/project/statsmodels,17274917.0,17551128.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12705722.0,,,,,2.0,,31.0,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-04-18 14:19:16.000,2024-04-16 16:08:48,5816.0,74.0,1598.0,193.0,4979.0,606.0,1227.0,6538.0,TensorFlows Visualization Toolkit.,319.0,44,True,2024-02-16 19:55:52,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],227762.0,227762.0,https://pypi.org/project/tensorboard,28069006.0,28168950.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4597430.0,,,,,1.0,,,,,,,,,,,,
26,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-04-18 17:52:30.000,2024-04-18 04:02:28,10563.0,334.0,18663.0,1907.0,7096.0,189.0,11585.0,60900.0,Deep Learning for humans.,1290.0,43,True,2024-04-10 20:33:49,3.2.1,63.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,17427580.0,17502291.0,https://anaconda.org/conda-forge/keras,2024-04-15 18:24:44.026,3436706.0,,,,,2.0,,,,,,,,,,,,
27,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-04-18 16:22:19.000,2024-04-18 06:28:37,3945.0,1228.0,4060.0,224.0,4427.0,629.0,3005.0,30725.0,LlamaIndex is a data framework for your LLM applications.,860.0,43,True,2024-04-17 22:53:13,0.10.30,100.0,llama-index,,,,,7075.0,7075.0,https://pypi.org/project/llama-index,1070885.0,1071020.0,,,,,,,,1.0,,678.0,,,,,,,,,,
28,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-04-18 18:12:30.000,2024-04-18 18:09:10,6505.0,372.0,2083.0,155.0,3608.0,487.0,3584.0,28590.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",283.0,43,True,2024-04-18 18:17:40,@gradio/video@0.6.12,100.0,gradio,,,,,27691.0,27691.0,https://pypi.org/project/gradio,5707425.0,5707425.0,,,,,,,,1.0,,,,,,,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-04-18 15:19:05.000,2024-04-15 15:54:58,20462.0,101.0,4107.0,442.0,6038.0,729.0,6872.0,18810.0,"Interactive Data Visualization in the browser, from Python.",691.0,43,True,,,60.0,bokeh,conda-forge/bokeh,,,,86341.0,86341.0,https://pypi.org/project/bokeh,5147814.0,5445221.0,https://anaconda.org/conda-forge/bokeh,2024-04-12 05:55:15.282,13680751.0,,,,,1.0,,,,,,,,,,,,
30,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-04-18 16:38:39.000,2024-04-16 04:45:17,2716.0,79.0,3534.0,437.0,3187.0,278.0,2406.0,16786.0,Open standard for machine learning interoperability.,313.0,43,True,2024-03-25 15:40:18,1.16.0,28.0,onnx,conda-forge/onnx,,,,26441.0,26441.0,https://pypi.org/project/onnx,5300399.0,5321465.0,https://anaconda.org/conda-forge/onnx,2024-03-26 22:34:37.040,957091.0,,,,,1.0,,20301.0,,,,,,,,,,
31,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-04-18 10:21:56.000,2024-03-30 18:50:26,3231.0,5.0,1787.0,259.0,1099.0,128.0,2362.0,11939.0,Statistical data visualization in Python.,211.0,43,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,392449.0,392449.0,https://pypi.org/project/seaborn,17777064.0,17960525.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8439081.0,,,,,1.0,,384.0,,,,,,,,,,
32,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-04-18 17:53:11.000,2024-04-05 12:26:56,2648.0,63.0,3086.0,241.0,854.0,1125.0,1309.0,21567.0,A game theoretic approach to explain the output of any machine learning model.,237.0,42,True,2024-03-08 11:43:15,0.45.0,53.0,shap,conda-forge/shap,,,,16837.0,16837.0,https://pypi.org/project/shap,7928213.0,7992673.0,https://anaconda.org/conda-forge/shap,2024-04-03 17:47:00.611,2578401.0,,,,,1.0,,,shap/shap,,,,,,,,,
33,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-04-18 13:42:01.000,2024-04-16 13:34:44,7388.0,288.0,1942.0,416.0,1055.0,782.0,900.0,20459.0,Data Apps & Dashboards for Python. No JavaScript Required.,152.0,42,True,2024-03-06 20:00:34,2.16.1,106.0,dash,conda-forge/dash,,,,61516.0,61516.0,https://pypi.org/project/dash,2836960.0,2864030.0,https://anaconda.org/conda-forge/dash,2024-03-10 12:59:07.948,1245215.0,,,,,1.0,,70.0,,,,,,,,,,
34,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-04-18 05:15:30.000,2024-04-10 19:31:40,3447.0,35.0,3689.0,436.0,3116.0,347.0,2944.0,16038.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",297.0,42,True,2024-01-26 02:11:11,4.3.0,31.0,lightgbm,conda-forge/lightgbm,,,,31806.0,31806.0,https://pypi.org/project/lightgbm,7561663.0,7616624.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2251038.0,,,,,2.0,,219411.0,,,,,,,,,,
35,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-04-18 18:11:24.000,2024-04-17 20:26:48,7672.0,101.0,3059.0,280.0,3747.0,169.0,2984.0,14154.0,Network Analysis in Python.,716.0,42,True,2024-04-06 13:09:07,networkx-3.3,56.0,networkx,conda-forge/networkx,,,,243196.0,243196.0,https://pypi.org/project/networkx,50314187.0,50661900.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,15299381.0,,,,,1.0,,67.0,,,,,,,,,,
36,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-04-18 14:11:00.000,2024-04-18 14:11:00,8159.0,132.0,1636.0,211.0,5785.0,858.0,4146.0,11979.0,Parallel computing with task scheduling.,600.0,42,True,,,170.0,dask,conda-forge/dask,,,,59217.0,59217.0,https://pypi.org/project/dask,7371659.0,7604750.0,https://anaconda.org/conda-forge/dask,2024-04-05 15:23:34.728,10955305.0,,,,,1.0,,,,,,,stable/dask,,,,,
37,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2024-04-18 18:16:51.000,2024-04-18 07:29:14,6349.0,286.0,589.0,54.0,4323.0,814.0,2269.0,8179.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,175.0,42,True,2024-04-03 20:37:46,0.16.6,100.0,wandb,conda-forge/wandb,,,,43069.0,43069.0,https://pypi.org/project/wandb,12541542.0,12552244.0,https://anaconda.org/conda-forge/wandb,2024-03-25 23:14:36.046,481625.0,,,,,1.0,,,wandb/wandb,,,,,,,,,
38,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-04-18 16:24:59.000,2024-04-14 01:28:07,13923.0,103.0,2122.0,186.0,4400.0,542.0,2068.0,5864.0,Image processing in Python.,658.0,42,True,2024-04-10 19:19:26,0.23.1,28.0,scikit-image,conda-forge/scikit-image,,,,177354.0,177354.0,https://pypi.org/project/scikit-image,14263632.0,14396654.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,6119017.0,,,,,1.0,,,,,,,,,,,,
39,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-04-18 17:41:15.000,2024-04-18 16:27:07,2261.0,189.0,3706.0,325.0,2683.0,908.0,1583.0,32523.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",303.0,41,True,2024-04-15 19:51:26,0.14.1,73.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],6618.0,6618.0,https://pypi.org/project/deepspeed,467286.0,467636.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17873.0,1.0,-1.0,,,,,,,,,,,
40,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-04-11 17:16:39.000,2024-04-11 17:16:39,2209.0,76.0,4461.0,304.0,459.0,65.0,797.0,29671.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",134.0,41,True,2024-02-19 19:35:21,0.9.16,55.0,timm,conda-forge/timm,,,['pytorch'],26770.0,26770.0,https://pypi.org/project/timm,4825142.0,4937293.0,https://anaconda.org/conda-forge/timm,2024-02-21 16:25:26.726,135710.0,,,,,1.0,,6439071.0,huggingface/pytorch-image-models,,,,,,,,,
41,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2024-04-18 13:28:08.000,2024-04-17 11:42:03,1375.0,70.0,2259.0,131.0,389.0,1009.0,920.0,13708.0,Multilingual Sentence & Image Embeddings with BERT.,153.0,41,True,2024-04-17 13:16:06,2.7.0,40.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],30082.0,30082.0,https://pypi.org/project/sentence-transformers,4202293.0,4207490.0,https://anaconda.org/conda-forge/sentence-transformers,2024-04-17 14:59:51.983,223512.0,,,,,1.0,,,,,,,,,,,,
