,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url,new_addition
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-03-29 15:57:10.000,2024-03-29 15:33:48,8458.0,1834.0,12019.0,641.0,11118.0,1121.0,5284.0,80652.0,Build context-aware reasoning applications.,2252.0,49,True,2024-03-20 18:34:02,0.1.13,100.0,langchain,,,,,69079.0,69079.0,https://pypi.org/project/langchain,6827961.0,6827961.0,,,,,,,,1.0,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-03-29 16:04:35.000,2024-03-29 05:45:40,50006.0,573.0,7209.0,595.0,17824.0,1166.0,8972.0,19092.0,matplotlib: plotting with Python.,1660.0,48,True,2024-02-16 09:23:20,3.7.5,82.0,matplotlib,conda-forge/matplotlib,,,,1135072.0,1135072.0,https://pypi.org/project/matplotlib,61187741.0,61187741.0,https://anaconda.org/conda-forge/matplotlib,,,,,,,1.0,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-03-28 20:13:27.000,2024-03-28 19:41:44,17479.0,635.0,1975.0,222.0,4722.0,69.0,2961.0,11612.0,Python Imaging Library (Fork).,463.0,48,True,2024-01-02 09:38:41,10.2.0,54.0,Pillow,conda-forge/pillow,,,,1591671.0,1591671.0,https://pypi.org/project/Pillow,92076212.0,92922022.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,37215665.0,,,,,1.0,,,,,,,,,,,,,
13,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-03-29 15:38:16.000,2024-03-28 21:41:57,6201.0,211.0,2720.0,310.0,4270.0,757.0,3261.0,31064.0,Streamlit A faster way to build and share data apps.,224.0,45,True,2024-03-14 15:16:16,1.32.2,76.0,streamlit,,,,,341124.0,341124.0,https://pypi.org/project/streamlit,4892011.0,4892011.0,,,,,,,,1.0,,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-03-29 14:17:21.000,2024-03-29 14:17:20,21145.0,893.0,5067.0,471.0,26923.0,3112.0,14021.0,30616.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,993.0,45,True,2024-03-21 19:02:34,ray-2.10.0,80.0,ray,conda-forge/ray-tune,,,,14461.0,14461.0,https://pypi.org/project/ray,3559174.0,3564097.0,https://anaconda.org/conda-forge/ray-tune,2024-03-24 13:08:51.334,191927.0,,,,,1.0,208.0,,,,,,,,,,,,
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-03-29 14:27:27.000,2024-03-29 14:27:21,19973.0,1212.0,2477.0,323.0,12934.0,1276.0,3771.0,27543.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",663.0,45,True,2024-02-26 16:01:19,jax-v0.4.25,97.0,jax,conda-forge/jaxlib,,,,23370.0,23370.0,https://pypi.org/project/jax,5744813.0,5768803.0,https://anaconda.org/conda-forge/jaxlib,2024-03-17 07:48:22.558,1079582.0,,,,,1.0,,,,,,,,,,,,,
16,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-03-29 15:14:19.000,2024-03-27 22:45:50,10256.0,224.0,3170.0,248.0,10058.0,664.0,6167.0,26619.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",942.0,45,True,2024-03-04 17:21:52,2.2.1,100.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],30335.0,30335.0,https://pypi.org/project/pytorch-lightning,4885636.0,4885888.0,https://anaconda.org/conda-forge/pytorch-lightning,,,,,,,1.0,8827.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-03-27 16:53:52.000,2024-03-26 15:26:24,6791.0,99.0,8159.0,910.0,5033.0,366.0,4744.0,25472.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",637.0,45,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,85470.0,85470.0,https://pypi.org/project/xgboost,19089144.0,19193875.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4605185.0,,,,,1.0,8222.0,,,,,,,,,,,,
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-03-29 15:43:19.000,2024-03-29 11:18:06,47599.0,1825.0,5269.0,720.0,45044.0,959.0,16892.0,21519.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1181.0,45,True,2024-01-08 06:43:49,2.6.0,61.0,paddlepaddle,,,,['paddle'],4841.0,4841.0,https://pypi.org/project/paddlepaddle,254110.0,254278.0,,,,,,,,1.0,15369.0,,,,,,,,,,,,
19,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-03-28 23:49:48.000,2024-03-26 11:15:25,16121.0,29.0,4189.0,554.0,3971.0,83.0,5485.0,28555.0,Industrial-strength Natural Language Processing (NLP) in Python.,749.0,44,True,2024-02-15 19:16:59,3.7.4,100.0,spacy,conda-forge/spacy,,,,83687.0,83687.0,https://pypi.org/project/spacy,7261505.0,7335959.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3350450.0,,,,,1.0,,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-03-29 12:15:20.000,2024-03-29 00:35:59,5630.0,449.0,3768.0,290.0,7800.0,1138.0,2382.0,17062.0,Open source platform for the machine learning lifecycle.,713.0,44,True,2024-03-22 01:05:35,2.11.3,87.0,mlflow,conda-forge/mlflow,,,,32634.0,32634.0,https://pypi.org/project/mlflow,13598395.0,13638449.0,https://anaconda.org/conda-forge/mlflow,2024-03-22 09:15:59.167,1802471.0,,,,,1.0,,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-03-29 15:24:32.000,2024-03-22 15:38:47,6390.0,121.0,2437.0,282.0,1618.0,1422.0,1399.0,15091.0,The interactive graphing library for Python This project now includes Plotly Express!.,259.0,44,True,2024-03-13 16:27:36,5.20.0,98.0,plotly,conda-forge/plotly,,,,251144.0,251144.0,https://pypi.org/project/plotly,14701943.0,14826731.0,https://anaconda.org/conda-forge/plotly,2024-02-15 18:15:23.292,5419225.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,6979.0,,,,,,,,
22,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-03-29 16:26:53.000,2024-03-29 11:21:35,57369.0,536.0,4152.0,294.0,13055.0,4299.0,8702.0,12012.0,A computer algebra system written in pure Python.,1285.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,121886.0,121886.0,https://pypi.org/project/sympy,20794499.0,20853357.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5138171.0,,,,,1.0,537284.0,,,,,,,,,,,,
23,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-03-29 15:48:35.000,2024-03-29 15:48:35,4795.0,200.0,2003.0,1690.0,4639.0,263.0,2649.0,11641.0,WebGL2 powered visualization framework.,254.0,44,True,2024-03-21 19:59:00,9.0.1,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],7346.0,7346.0,https://pypi.org/project/pydeck,3256493.0,3685797.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,490180.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,419301.0,,,,,,,,
24,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-03-26 21:09:05.000,2024-03-18 09:13:32,15267.0,38.0,2638.0,280.0,3854.0,2584.0,2742.0,9453.0,Statsmodels: statistical modeling and econometrics in Python.,424.0,44,True,2023-12-14 14:31:51,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,118825.0,118825.0,https://pypi.org/project/statsmodels,16979366.0,17256897.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12488924.0,,,,,2.0,30.0,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-03-29 09:45:06.000,2024-03-29 02:18:03,5803.0,66.0,1594.0,192.0,4968.0,602.0,1227.0,6516.0,TensorFlows Visualization Toolkit.,318.0,44,True,2024-02-16 19:55:52,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],223273.0,223273.0,https://pypi.org/project/tensorboard,28665627.0,28766859.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4555443.0,,,,,1.0,,,,,,,,,,,,,
26,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-03-29 03:41:49.000,2024-03-29 01:23:24,10433.0,226.0,18635.0,1908.0,7021.0,220.0,11487.0,60769.0,Deep Learning for humans.,1283.0,43,True,2024-03-19 18:22:02,3.1.1,61.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,18016706.0,18092465.0,https://anaconda.org/conda-forge/keras,2024-03-22 14:49:27.132,3409182.0,,,,,2.0,,,,,,,,,,,,,
27,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-03-29 15:58:36.000,2024-03-29 05:29:56,3719.0,1208.0,3919.0,224.0,4173.0,562.0,2829.0,29988.0,LlamaIndex is a data framework for your LLM applications.,806.0,43,True,2024-03-27 21:26:15,0.10.25,100.0,llama-index,,,,,6440.0,6440.0,https://pypi.org/project/llama-index,1199507.0,1199651.0,,,,,,,,1.0,576.0,,,,,,,,,,,,
28,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-03-29 16:03:55.000,2024-03-28 21:54:46,6445.0,371.0,2029.0,153.0,3535.0,478.0,3489.0,28017.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",268.0,43,True,2024-03-27 21:33:03,@gradio/video@0.6.9,100.0,gradio,,,,,26052.0,26052.0,https://pypi.org/project/gradio,5263086.0,5263086.0,,,,,,,,1.0,,,,,,,,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-03-28 15:07:05.000,2024-03-26 11:51:39,20443.0,96.0,4095.0,444.0,6015.0,723.0,6857.0,18725.0,"Interactive Data Visualization in the browser, from Python.",689.0,43,True,,,59.0,bokeh,conda-forge/bokeh,,,,85438.0,85438.0,https://pypi.org/project/bokeh,4917486.0,5218435.0,https://anaconda.org/conda-forge/bokeh,2024-03-15 07:03:52.633,13542746.0,,,,,1.0,,,,,,,,,,,,,
30,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-03-29 10:25:40.000,2024-03-28 12:39:23,2699.0,85.0,3524.0,438.0,3163.0,276.0,2394.0,16671.0,Open standard for machine learning interoperability.,312.0,43,True,2024-03-25 15:40:18,1.16.0,28.0,onnx,conda-forge/onnx,,,,25513.0,25513.0,https://pypi.org/project/onnx,5269234.0,5290410.0,https://anaconda.org/conda-forge/onnx,2024-03-26 22:34:37.040,941147.0,,,,,1.0,20215.0,,,,,,,,,,,,
31,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-03-29 14:38:33.000,2024-03-25 13:46:12,3445.0,44.0,3682.0,437.0,3103.0,340.0,2933.0,15977.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",297.0,43,True,2024-01-26 02:11:11,4.3.0,31.0,lightgbm,conda-forge/lightgbm,,,,31058.0,31058.0,https://pypi.org/project/lightgbm,8092007.0,8147526.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2221519.0,,,,,2.0,217970.0,,,,,,,,,,,,
32,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-03-18 05:49:19.000,2024-02-25 16:31:25,3230.0,7.0,1778.0,260.0,1092.0,127.0,2359.0,11859.0,Statistical data visualization in Python.,211.0,43,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,382461.0,382461.0,https://pypi.org/project/seaborn,18366642.0,18550304.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8264693.0,,,,,1.0,378.0,,,,,,,,,,,,
33,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-03-29 14:00:27.000,2024-03-28 19:40:49,2218.0,205.0,3661.0,321.0,2630.0,875.0,1572.0,32184.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",295.0,42,True,2024-03-08 01:10:38,0.14.0,72.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],6293.0,6293.0,https://pypi.org/project/deepspeed,494544.0,494900.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17833.0,1.0,,,,,,,,,,,,,
34,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-03-29 12:29:55.000,2024-03-28 16:59:03,2640.0,58.0,3066.0,241.0,850.0,1257.0,1169.0,21434.0,A game theoretic approach to explain the output of any machine learning model.,236.0,42,True,2024-03-08 11:43:15,0.45.0,53.0,shap,conda-forge/shap,,,,16447.0,16447.0,https://pypi.org/project/shap,8061924.0,8124832.0,https://anaconda.org/conda-forge/shap,2024-03-12 17:37:09.107,2453413.0,,,,,1.0,,shap/shap,,,,,,,,,,,
35,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-03-28 20:02:08.000,2024-03-28 15:16:49,7652.0,107.0,3043.0,278.0,3713.0,168.0,2977.0,14072.0,Network Analysis in Python.,713.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,55.0,networkx,conda-forge/networkx,,,,236364.0,236364.0,https://pypi.org/project/networkx,49133369.0,49482985.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,15033500.0,,,,,1.0,67.0,,,,,,,,,,,,
36,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-03-29 08:14:18.000,2024-03-27 14:23:57,8143.0,183.0,1637.0,212.0,5774.0,861.0,4130.0,11926.0,Parallel computing with task scheduling.,597.0,42,True,,,168.0,dask,conda-forge/dask,,,,58542.0,58542.0,https://pypi.org/project/dask,7348738.0,7584629.0,https://anaconda.org/conda-forge/dask,2024-03-18 14:52:08.497,10851008.0,,,,,1.0,,,,,,stable/dask,,,,,,,
37,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-03-24 00:14:42.000,2024-03-21 20:13:53,2188.0,64.0,4442.0,306.0,453.0,73.0,779.0,29404.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",133.0,41,True,2024-02-19 19:35:21,0.9.16,55.0,timm,conda-forge/timm,,,['pytorch'],25392.0,25392.0,https://pypi.org/project/timm,4660199.0,4772445.0,https://anaconda.org/conda-forge/timm,2024-02-21 16:25:26.726,128564.0,,,,,1.0,6340850.0,huggingface/pytorch-image-models,,,,,,,,,,,
38,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-03-29 15:23:51.000,2024-03-21 13:07:45,7353.0,262.0,1939.0,418.0,1048.0,784.0,891.0,20361.0,Data Apps & Dashboards for Python. No JavaScript Required.,148.0,41,True,2024-03-06 20:00:34,2.16.1,68.0,dash,conda-forge/dash,,,,60350.0,60350.0,https://pypi.org/project/dash,2905411.0,2905412.0,https://anaconda.org/conda-forge/dash,,,,,,,1.0,70.0,,,,,,,,,,,,
39,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2024-03-28 01:45:13.000,2024-03-28 01:45:12,9246.0,111.0,1121.0,137.0,5423.0,232.0,4370.0,13036.0,ML Experiments and Data Management with Git.,292.0,41,True,2024-03-26 08:38:48,3.49.0,307.0,dvc,conda-forge/dvc,,,,13899.0,13899.0,https://pypi.org/project/dvc,514102.0,557158.0,https://anaconda.org/conda-forge/dvc,2024-03-26 09:56:58.374,1776338.0,,,,,1.0,42994.0,,,,,,dvc,dvc,dvc,,,,
40,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2024-03-06 18:45:12.000,2024-02-25 13:25:28,1189.0,53.0,2122.0,236.0,540.0,111.0,1128.0,11622.0,Download market data from Yahoo! Finances API.,108.0,41,True,2024-02-25 13:35:00,0.2.37,74.0,yfinance,ranaroussi/yfinance,,,,35354.0,35354.0,https://pypi.org/project/yfinance,1823414.0,1826166.0,https://anaconda.org/ranaroussi/yfinance,2023-06-16 19:26:44.442,88083.0,,,,,1.0,,,,,,,,,,,,,
41,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-03-29 15:36:21.000,2024-03-29 06:28:52,3648.0,33.0,723.0,140.0,1348.0,162.0,1764.0,8855.0,Declarative statistical visualization library for Python.,163.0,41,True,2024-03-23 15:30:00,4.0.1,27.0,altair,conda-forge/altair,,,,117609.0,117609.0,https://pypi.org/project/altair,22868239.0,22948730.0,https://anaconda.org/conda-forge/altair,2024-03-18 18:06:28.424,2173243.0,,,,,1.0,118.0,,,,,,,,,,,,
42,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2024-03-29 16:11:57.000,2024-03-29 16:11:56,6263.0,234.0,585.0,57.0,4209.0,866.0,2177.0,8071.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,175.0,41,True,2024-03-25 19:03:45,0.16.5,100.0,wandb,conda-forge/wandb,,,,41426.0,41426.0,https://pypi.org/project/wandb,13134658.0,13145321.0,https://anaconda.org/conda-forge/wandb,2024-03-25 23:14:36.046,469194.0,,,,,1.0,,wandb/wandb,,,,,,,,,,,
