,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
24,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-12-11 18:00:36.000000,2025-12-11 16:04:41,32352.0,3244.0,324.0,23838.0,1625.0,5090.0,34292.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",997.0,45,True,1887.0,2025-11-18 18:45:35,jax-v0.8.1,100.0,jax-ml/jax,jax,conda-forge/jaxlib,,,,47443.0,47443.0,https://pypi.org/project/jax,14100312.0,14151462.0,https://anaconda.org/conda-forge/jaxlib,2025-11-06 03:25:52.032,3375961.0,,,,,2.0,,,,,,,,,,,
25,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,,2023-07-27 00:09:52.000,2025-12-11 18:05:09.000000,2025-12-11 17:20:28,28612.0,4932.0,149.0,9300.0,1002.0,7047.0,32288.0,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking,..",1101.0,45,True,3627.0,2025-12-10 16:52:35,1.80.9.de5,100.0,,litellm,,,,,18068.0,18068.0,https://pypi.org/project/litellm,43615932.0,43616050.0,,,,,,,,1.0,355.0,,,,,1.0,,,,,
26,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-12-03 18:37:51.000000,2025-12-03 18:37:51,14853.0,2890.0,443.0,1577.0,259.0,1615.0,14430.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,481.0,45,True,63.0,,,20.0,,nltk,conda-forge/nltk,,,,411583.0,411583.0,https://pypi.org/project/nltk,46594227.0,46655958.0,https://anaconda.org/conda-forge/nltk,2025-10-01 15:16:27.009,3518689.0,,,,,1.0,,,,,,,,,,,
27,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2025-12-08 18:18:12.000000,2025-12-04 11:19:52,6783.0,9381.0,501.0,3801.0,212.0,10132.0,66133.0,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the..",274.0,44,True,69.0,2025-11-13 14:46:03,3.3.2,27.0,,paddleocr,,,,['paddle'],6253.0,6253.0,https://pypi.org/project/paddleocr,1213668.0,1245807.0,,,,,,,,1.0,2024793.0,,,,,,,,,,
28,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-12-10 23:53:01.000000,2025-12-10 23:06:42,8174.0,3149.0,188.0,5880.0,428.0,5842.0,40890.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",458.0,44,True,149.0,2025-12-09 19:26:33,gradio@6.1.0,100.0,,gradio,,,,,84332.0,84332.0,https://pypi.org/project/gradio,12555030.0,12555030.0,,,,,,,,1.0,,,,,,,,,,,
29,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-12-11 11:38:52.000000,2025-12-10 17:33:34,10955.0,3553.0,251.0,10913.0,817.0,6639.0,30562.0,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.",1048.0,44,True,107.0,2025-11-28 09:33:06,2.6.0,127.0,Lightning-AI/pytorch-lightning,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],48734.0,48734.0,https://pypi.org/project/pytorch-lightning,10478903.0,10506020.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-12-10 14:48:57.021,1769505.0,,,,,2.0,15658.0,,,,,,,,,,
30,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2025-12-08 17:32:15.937000,2025-12-08 17:15:32,8171.0,3355.0,278.0,4384.0,164.0,3171.0,16409.0,Network Analysis in Python.,797.0,44,True,83.0,2025-12-08 17:03:31,networkx-3.6.1,65.0,,networkx,conda-forge/networkx,,,,433200.0,433200.0,https://pypi.org/project/networkx,148315102.0,148731779.0,https://anaconda.org/conda-forge/networkx,2025-12-08 17:32:15.937,26667363.0,,,,,1.0,113.0,,,,,,,,,,
31,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-12-11 07:01:53.000000,2025-12-11 07:01:53,20331.0,1199.0,124.0,4158.0,33.0,1739.0,13207.0,A hyperparameter optimization framework.,335.0,44,True,416.0,2025-11-10 05:13:52,4.6.0,76.0,,optuna,conda-forge/optuna,,,,30139.0,30139.0,https://pypi.org/project/optuna,8574936.0,8627833.0,https://anaconda.org/conda-forge/optuna,2025-11-10 08:13:37.200,3491260.0,,,,,1.0,,,,,,,,,,,
32,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2025-12-11 18:33:42.000000,2025-12-11 18:33:41,8792.0,784.0,58.0,7292.0,696.0,3058.0,10622.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",225.0,44,True,412.0,2025-12-03 02:27:21,0.23.1,102.0,wandb/wandb,wandb,conda-forge/wandb,,,,84869.0,84869.0,https://pypi.org/project/wandb,21999688.0,22019518.0,https://anaconda.org/conda-forge/wandb,2025-12-08 20:39:23.852,1287292.0,,,,,1.0,1304.0,,,,,,,,,,
33,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-11-27 18:55:46.000000,2025-11-27 18:55:45,16276.0,4547.0,564.0,4075.0,152.0,5582.0,32941.0,Industrial-strength Natural Language Processing (NLP) in Python.,778.0,43,True,30.0,2025-11-17 20:37:38,release-v3.8.11,100.0,,spacy,conda-forge/spacy,,,,141215.0,141215.0,https://pypi.org/project/spacy,21625124.0,21728794.0,https://anaconda.org/conda-forge/spacy,2025-11-18 02:09:15.189,6837808.0,,,,,1.0,5926.0,,,,,,,,,,
34,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-12-10 18:30:18.000000,2025-12-10 09:59:27,20886.0,4197.0,427.0,6467.0,800.0,7253.0,20246.0,"Interactive Data Visualization in the browser, from Python.",719.0,43,True,46.0,,,73.0,,bokeh,conda-forge/bokeh,,,,104595.0,104595.0,https://pypi.org/project/bokeh,5642817.0,5916910.0,https://anaconda.org/conda-forge/bokeh,2025-11-07 23:14:50.026,18090141.0,,,,,1.0,,,,,,1.0,,,,,
35,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-12-11 17:53:35.000000,2025-12-11 17:53:34,3494.0,3785.0,428.0,4193.0,236.0,2828.0,20003.0,Open standard for machine learning interoperability.,369.0,43,True,138.0,2025-12-01 17:14:38,1.20.0,35.0,,onnx,conda-forge/onnx,,,,49804.0,49804.0,https://pypi.org/project/onnx,16637402.0,16671301.0,https://anaconda.org/conda-forge/onnx,2025-10-11 07:08:08.267,2220441.0,,,,,2.0,25176.0,,,,,,,,,,
36,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-12-11 16:22:55.000000,2025-12-09 15:01:27,5265.0,2161.0,1661.0,5245.0,416.0,2822.0,13656.0,WebGL2 powered visualization framework.,308.0,43,True,55.0,2025-12-09 15:17:57,9.2.5,100.0,,pydeck,conda-forge/pydeck,,,['jupyter'],9294.0,9294.0,https://pypi.org/project/pydeck,17696111.0,18200050.0,https://anaconda.org/conda-forge/pydeck,2025-04-22 14:57:20.802,872313.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,490519.0,,,,,,,
37,ollama,jmorganca/ollama,agents,,https://github.com/ollama/ollama,https://github.com/ollama/ollama,MIT,2023-06-26 19:39:32.000,2025-12-11 07:52:18.000000,2025-12-11 01:28:41,4870.0,13598.0,887.0,4280.0,1936.0,6935.0,157460.0,"Get up and running with OpenAI gpt-oss, DeepSeek-R1, Gemma 3 and other models.",569.0,42,True,331.0,2025-12-04 04:39:32,0.13.2,100.0,ollama/ollama,,,,,,71.0,71.0,,,4879137.0,,,,,,,,2.0,87824467.0,,,,,,,,,,
38,Faiss,facebookresearch/faiss,nn-search,,https://github.com/facebookresearch/faiss,https://github.com/facebookresearch/faiss,MIT,2017-02-07 16:07:05.000,2025-12-09 13:19:32.000000,2025-12-09 13:16:38,1651.0,4054.0,492.0,1712.0,225.0,2480.0,38392.0,A library for efficient similarity search and clustering of dense vectors.,261.0,42,True,67.0,2025-12-03 00:02:15,1.13.1,22.0,,pymilvus,conda-forge/faiss,,,,4969.0,4969.0,https://pypi.org/project/pymilvus,4339408.0,4387746.0,https://anaconda.org/conda-forge/faiss,2025-04-22 14:57:26.087,3190348.0,,,,,1.0,,,,,,,,,,,
39,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2025-12-10 04:56:31.000000,2025-12-10 04:56:31,3013.0,4966.0,316.0,680.0,55.0,964.0,35989.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",183.0,42,True,95.0,2025-11-05 04:08:03,1.0.22,72.0,huggingface/pytorch-image-models,timm,conda-forge/timm,,,['pytorch'],62156.0,62156.0,https://pypi.org/project/timm,11118521.0,11233689.0,https://anaconda.org/conda-forge/timm,2025-11-08 17:45:50.966,494264.0,,,,,1.0,8497559.0,,,,,,,,,,
40,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2025-12-11 18:09:38.000000,2025-12-11 08:53:58,2891.0,3383.0,240.0,1144.0,559.0,2115.0,24828.0,A game theoretic approach to explain the output of any machine learning model.,283.0,42,True,30.0,2025-11-11 18:24:12,0.50.0,62.0,shap/shap,shap,conda-forge/shap,,,,35797.0,35797.0,https://pypi.org/project/shap,10726328.0,10856243.0,https://anaconda.org/conda-forge/shap,2025-12-11 11:45:58.768,7794907.0,,,,,1.0,,,,,,,,,,,
41,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/huggingface/sentence-transformers,https://github.com/huggingface/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-12-11 14:33:20.000000,2025-12-11 14:33:19,2406.0,2648.0,144.0,816.0,1290.0,1203.0,17985.0,State-of-the-Art Text Embeddings.,249.0,42,True,40.0,2025-12-11 14:12:37,5.2.0,58.0,huggingface/sentence-transformers,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],125655.0,125655.0,https://pypi.org/project/sentence-transformers,18085071.0,18103415.0,https://anaconda.org/conda-forge/sentence-transformers,2025-10-22 15:01:48.727,1155734.0,,,,,1.0,,,,,,,,,,,
