,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url,new_addition
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-02-15 17:27:28.000,2024-02-15 16:12:13,7531.0,1594.0,11180.0,633.0,9940.0,1386.0,4618.0,76516.0,Build context-aware reasoning applications.,2025.0,48,True,2024-02-13 21:18:18,0.1.7,100.0,langchain,,,,,56837.0,56837.0,https://pypi.org/project/langchain,5535753.0,5535753.0,,,,,,,,1.0,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-02-15 10:15:51.000,2024-02-14 22:45:24,49561.0,439.0,7164.0,594.0,17705.0,1165.0,8899.0,18863.0,matplotlib: plotting with Python.,1644.0,48,True,2024-02-15 00:38:17,3.8.3,81.0,matplotlib,conda-forge/matplotlib,,,,1088879.0,1088879.0,https://pypi.org/project/matplotlib,55172063.0,55665584.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21714939.0,,,,,1.0,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-02-15 09:31:00.000,2024-02-15 09:23:43,17158.0,567.0,1967.0,224.0,4646.0,73.0,2929.0,11474.0,Python Imaging Library (Fork).,459.0,47,True,2024-01-02 09:38:41,10.2.0,54.0,Pillow,conda-forge/pillow,,,,1535657.0,1535657.0,https://pypi.org/project/Pillow,89037891.0,89874904.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,35991585.0,,,,,1.0,,,,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-02-15 17:51:03.000,2024-02-15 16:41:17,19400.0,1121.0,2385.0,321.0,12445.0,1256.0,3676.0,26616.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",635.0,45,True,2024-02-06 16:40:52,jax-v0.4.24,95.0,jax,conda-forge/jaxlib,,,,21891.0,21891.0,https://pypi.org/project/jax,5648440.0,5672276.0,https://anaconda.org/conda-forge/jaxlib,2024-02-14 13:36:46.247,1048827.0,,,,,1.0,,,,,,,,,,,,,
14,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-02-15 02:53:54.000,2024-02-14 18:01:38,6751.0,113.0,8145.0,909.0,4966.0,358.0,4713.0,25310.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",636.0,45,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,80731.0,80731.0,https://pypi.org/project/xgboost,12608982.0,12714679.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4542109.0,,,,,1.0,8076.0,,,,,,,,,,,,
15,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-02-15 17:00:00.000,2024-02-12 04:09:58,46629.0,1802.0,5227.0,723.0,43823.0,996.0,16725.0,21356.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1158.0,45,True,2024-01-08 06:43:49,2.6.0,61.0,paddlepaddle,,,,['paddle'],4631.0,4631.0,https://pypi.org/project/paddlepaddle,225864.0,226034.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,
16,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-02-13 23:43:19.000,2024-02-13 23:43:19,15258.0,130.0,2622.0,280.0,3849.0,2567.0,2735.0,9302.0,Statsmodels: statistical modeling and econometrics in Python.,423.0,45,True,2023-12-14 14:31:51,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,114900.0,114900.0,https://pypi.org/project/statsmodels,12859683.0,13136821.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12194107.0,,,,,1.0,30.0,,,,,,,,,,,,
17,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-02-15 17:32:34.000,2024-02-14 23:32:26,6121.0,180.0,2659.0,307.0,4144.0,716.0,3196.0,30161.0,Streamlit A faster way to build and share data apps.,220.0,44,True,2024-02-12 17:53:30,1.31.1,73.0,streamlit,,,,,308325.0,308325.0,https://pypi.org/project/streamlit,3466218.0,3466218.0,,,,,,,,1.0,,8.0,,,,,,,,,,,
18,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-02-14 13:47:24.000,2024-02-14 13:46:28,16116.0,41.0,4178.0,556.0,3963.0,80.0,5471.0,28251.0,Industrial-strength Natural Language Processing (NLP) in Python.,748.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,80301.0,80301.0,https://pypi.org/project/spacy,6238454.0,6314165.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3331322.0,,,,,1.0,,,,,,,,,,,,,
19,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-02-15 17:57:02.000,2024-02-15 17:35:26,10152.0,228.0,3118.0,247.0,9944.0,646.0,6089.0,26221.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",929.0,44,True,2024-02-12 19:43:45,2.2.0.post0,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],28957.0,28957.0,https://pypi.org/project/pytorch-lightning,4675465.0,4699658.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1051590.0,,,,,2.0,10001.0,-1.0,Lightning-AI/pytorch-lightning,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-02-15 16:36:38.000,2024-02-15 09:50:02,5402.0,362.0,3718.0,293.0,7494.0,1101.0,2336.0,16759.0,Open source platform for the machine learning lifecycle.,701.0,44,True,2024-02-09 12:58:56,2.10.2,83.0,mlflow,conda-forge/mlflow,,,,30384.0,30384.0,https://pypi.org/project/mlflow,15819930.0,15859287.0,https://anaconda.org/conda-forge/mlflow,2024-02-15 16:08:44.259,1731741.0,,,,,1.0,,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-02-15 17:53:03.000,2024-02-15 16:34:58,6368.0,118.0,2420.0,282.0,1606.0,1416.0,1381.0,14860.0,The interactive graphing library for Python This project now includes Plotly Express!.,257.0,44,True,2024-02-15 15:49:11,5.19.0,97.0,plotly,conda-forge/plotly,,,,239163.0,239163.0,https://pypi.org/project/plotly,12244187.0,12369078.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5230159.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,8666.0,,,,,,,
22,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-02-15 16:49:18.000,2024-02-15 11:13:44,57119.0,450.0,4092.0,294.0,12946.0,4271.0,8659.0,11840.0,A computer algebra system written in pure Python.,1276.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,111588.0,111588.0,https://pypi.org/project/sympy,11479270.0,11536921.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4971898.0,,,,,1.0,532179.0,,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-02-05 05:29:37.000,2024-01-25 13:04:48,3229.0,30.0,1763.0,260.0,1087.0,117.0,2349.0,11677.0,Statistical data visualization in Python.,210.0,44,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,361562.0,361562.0,https://pypi.org/project/seaborn,14699227.0,14881615.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8024970.0,,,,,1.0,375.0,,,,,,,,,,,,
24,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-02-15 07:10:55.798,2024-02-14 23:50:20,10313.0,278.0,18591.0,1912.0,6927.0,179.0,11404.0,60307.0,Deep Learning for humans.,1274.0,43,True,2024-02-14 22:35:12,3.0.5,59.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,14679228.0,14755961.0,https://anaconda.org/conda-forge/keras,2024-02-15 07:10:55.798,3376281.0,,,,,2.0,,,,,,,,,,,,,
25,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-02-15 17:36:18.000,2024-02-15 03:40:45,20660.0,791.0,4969.0,467.0,26261.0,3143.0,13504.0,29909.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,970.0,43,True,2024-02-06 01:23:15,ray-2.9.2,78.0,ray,conda-forge/ray-tune,,,,13703.0,13703.0,https://pypi.org/project/ray,3075001.0,3079934.0,https://anaconda.org/conda-forge/ray-tune,2024-02-13 16:37:02.206,187387.0,,,,,1.0,208.0,,,,,,,,,,,,
26,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-02-15 13:01:33.000,2024-02-15 13:01:32,20386.0,84.0,4091.0,444.0,5969.0,720.0,6821.0,18581.0,"Interactive Data Visualization in the browser, from Python.",682.0,43,True,,,58.0,bokeh,conda-forge/bokeh,,,,83467.0,83467.0,https://pypi.org/project/bokeh,4071328.0,4375290.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13374361.0,,,,,1.0,,,,,,,,,,,,,
27,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-02-15 18:04:48.000,2024-02-13 22:43:02,2656.0,59.0,3523.0,438.0,3102.0,267.0,2357.0,16377.0,Open standard for machine learning interoperability.,306.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,23826.0,23826.0,https://pypi.org/project/onnx,4586803.0,4607979.0,https://anaconda.org/conda-forge/onnx,2024-01-25 12:19:38.120,920216.0,,,,,1.0,19944.0,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-02-15 12:06:37.000,2024-02-15 04:17:35,3420.0,44.0,3673.0,435.0,3072.0,330.0,2901.0,15858.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",295.0,43,True,2024-01-26 02:11:11,4.3.0,31.0,lightgbm,conda-forge/lightgbm,,,,29742.0,29742.0,https://pypi.org/project/lightgbm,7492906.0,7548772.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2183877.0,,,,,2.0,213347.0,,,,,,,,,,,,
29,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-02-14 23:49:16.000,2024-02-14 23:49:16,5766.0,46.0,1584.0,193.0,4919.0,597.0,1222.0,6475.0,TensorFlows Visualization Toolkit.,314.0,43,True,2024-02-14 15:52:50,2.16.1,59.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],214965.0,214965.0,https://pypi.org/project/tensorboard,22929771.0,23032110.0,https://anaconda.org/conda-forge/tensorboard,2024-02-09 13:56:55.080,4502934.0,,,,,1.0,,,,,,,,,,,,,
30,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-02-15 17:55:32.000,2024-02-15 17:44:16,2948.0,812.0,3491.0,212.0,3340.0,378.0,2263.0,28060.0,LlamaIndex (formerly GPT Index) is a data framework for your LLM applications.,654.0,42,True,2024-02-13 16:25:46,0.10.3,100.0,llama-index,,,,,5119.0,5119.0,https://pypi.org/project/llama-index,2765008.0,2765151.0,,,,,,,,1.0,575.0,1.0,,,,,,,,,,,
31,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-02-15 17:27:04.000,2024-02-15 17:24:02,6285.0,354.0,1833.0,145.0,3347.0,425.0,3283.0,26289.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",258.0,42,True,2024-02-14 22:24:37,@gradio/video@0.6.1,100.0,gradio,,,,,22857.0,22857.0,https://pypi.org/project/gradio,6612572.0,6612572.0,,,,,,,,2.0,,,,,,,,,,,,,
32,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-02-15 15:26:07.000,2024-02-15 13:34:57,7599.0,89.0,3018.0,275.0,3659.0,179.0,2952.0,13907.0,Network Analysis in Python.,708.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,223769.0,223769.0,https://pypi.org/project/networkx,43801744.0,44151830.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14703622.0,,,,,1.0,65.0,,,,,,,,,,,,
33,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-02-04 15:36:20.000,2024-01-29 09:04:39,14509.0,27.0,2707.0,468.0,1450.0,246.0,1506.0,12797.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,454.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,250991.0,250991.0,https://pypi.org/project/nltk,13384123.0,13410898.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2409839.0,,,,,1.0,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-02-15 17:54:51.000,2024-02-15 12:28:26,4656.0,79.0,1982.0,1692.0,4503.0,265.0,2594.0,11531.0,WebGL2 powered visualization framework.,246.0,42,True,2024-01-19 15:06:18,8.9.34,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],7136.0,7136.0,https://pypi.org/project/pydeck,1981480.0,2413191.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,475976.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,421795.0,,,,,,,
35,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-02-15 16:51:25.000,2024-02-15 15:28:04,2150.0,191.0,3584.0,315.0,2524.0,831.0,1526.0,31373.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",289.0,41,True,2024-02-12 17:19:27,0.13.2,68.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],5772.0,5772.0,https://pypi.org/project/deepspeed,382821.0,383182.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17717.0,1.0,,1.0,,,,,,,,,,,
36,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-02-12 23:01:56.000,2024-02-12 23:01:45,2164.0,83.0,4388.0,309.0,440.0,70.0,770.0,28694.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",129.0,41,True,2023-11-24 19:09:08,0.9.12,54.0,timm,conda-forge/timm,,,['pytorch'],22981.0,22981.0,https://pypi.org/project/timm,4575742.0,4687043.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,122289.0,,,,,1.0,6182156.0,,huggingface/pytorch-image-models,,,,,,,,,,
37,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-02-15 09:38:13.000,2024-02-15 09:38:12,2603.0,43.0,3033.0,245.0,802.0,1424.0,976.0,21162.0,A game theoretic approach to explain the output of any machine learning model.,230.0,41,True,2024-01-25 13:08:31,0.44.1,52.0,shap,conda-forge/shap,,,,15730.0,15730.0,https://pypi.org/project/shap,7603675.0,7663857.0,https://anaconda.org/conda-forge/shap,2024-01-08 16:40:58.890,2286929.0,,,,,1.0,,,shap/shap,,,,,,,,,,
38,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2024-02-15 15:20:48.000,2024-02-15 03:18:30,9186.0,120.0,1114.0,137.0,5376.0,514.0,4065.0,12881.0,ML Experiments Management with Git.,290.0,41,True,2024-02-09 00:17:42,3.44.0,298.0,dvc,conda-forge/dvc,,,,12799.0,12799.0,https://pypi.org/project/dvc,779418.0,823218.0,https://anaconda.org/conda-forge/dvc,2024-02-09 02:01:19.112,1766460.0,,,,,1.0,43848.0,,,,,,dvc,dvc,dvc,,,,
39,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-02-15 18:03:14.000,2024-02-15 17:50:56,8095.0,186.0,1624.0,213.0,5720.0,844.0,4100.0,11782.0,Parallel computing with task scheduling.,592.0,41,True,,,165.0,dask,conda-forge/dask,,,,57208.0,57208.0,https://pypi.org/project/dask,7065853.0,7303925.0,https://anaconda.org/conda-forge/dask,2024-02-10 02:02:14.402,10713259.0,,,,,1.0,,,,,,,,,,stable/dask,,,
40,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-02-04 17:03:58.000,2024-02-04 17:03:57,3622.0,25.0,715.0,141.0,1321.0,160.0,1745.0,8712.0,Declarative statistical visualization library for Python.,161.0,41,True,2023-11-28 06:23:39,5.2.0,27.0,altair,conda-forge/altair,,,,106747.0,106747.0,https://pypi.org/project/altair,18947992.0,19030256.0,https://anaconda.org/conda-forge/altair,2023-12-05 00:22:25.208,2138863.0,,,,,1.0,102.0,,,,,,,,,,,,
41,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-02-15 16:08:47.000,2024-02-15 14:41:25,13804.0,29.0,2120.0,186.0,4351.0,534.0,2045.0,5772.0,Image processing in Python.,649.0,41,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,169917.0,169917.0,https://pypi.org/project/scikit-image,15272547.0,15407803.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5951300.0,,,,,1.0,,,,,,,,,,,,,
