,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
15,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-11-27 18:11:48.000000,2025-11-27 18:11:46,8618.0,3879.0,321.0,7399.0,1135.0,4495.0,42402.0,Streamlit A faster way to build and share data apps.,304.0,47,True,422.0,2025-10-29 17:07:44,1.51.0,100.0,,streamlit,,,,,1000410.0,1000410.0,https://pypi.org/project/streamlit,23729358.0,23729358.0,,,,,,,,1.0,,,,,,,,,,,
16,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-11-27 16:13:59.000000,2025-11-27 16:11:19,9535.0,4893.0,314.0,13854.0,1569.0,3238.0,23090.0,The open source developer platform to build AI agents and models with confidence. Enhance your AI applications with..,926.0,47,True,973.0,2025-11-08 06:15:57,3.6.0,111.0,,mlflow,conda-forge/mlflow,,,,66078.0,66078.0,https://pypi.org/project/mlflow,26543332.0,26601152.0,https://anaconda.org/conda-forge/mlflow,2025-11-25 16:59:04.663,3758355.0,,,,,1.0,6.0,,,,,,,,,,
17,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-11-19 19:31:04.000000,2025-11-19 19:31:04,8321.0,2710.0,278.0,1985.0,704.0,2597.0,18023.0,The interactive graphing library for Python.,302.0,47,True,109.0,2025-11-17 18:37:45,6.5.0,113.0,,plotly,conda-forge/plotly,,,,461152.0,461152.0,https://pypi.org/project/plotly,40235370.0,40417720.0,https://anaconda.org/conda-forge/plotly,2025-11-18 01:48:53.684,11887347.0,,,,,1.0,619.0,9.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,2235.0,,,,,,
18,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2025-11-27 15:27:01.000000,2025-11-27 15:27:00,61315.0,4808.0,284.0,14331.0,4605.0,9246.0,14138.0,A computer algebra system written in pure Python.,1420.0,47,True,295.0,2025-04-27 18:05:25,1.14.0,58.0,,sympy,conda-forge/sympy,,,,287179.0,287179.0,https://pypi.org/project/sympy,83267169.0,83437780.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,11007469.0,,,,,1.0,567237.0,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-11-26 12:48:28.687000,2025-11-25 00:46:24,7604.0,8328.0,892.0,6229.0,419.0,5162.0,27671.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",672.0,46,True,81.0,2025-11-20 13:33:54,3.1.2,73.0,,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,168115.0,168115.0,https://pypi.org/project/xgboost,37779327.0,37884730.0,https://anaconda.org/conda-forge/xgboost,2025-11-26 12:48:28.687,6736582.0,,,,,1.0,20242.0,,,,,,,,,,
20,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-11-27 11:26:16.000000,2025-11-27 11:26:15,56450.0,5736.0,708.0,57295.0,1003.0,18076.0,23446.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1459.0,46,True,1080.0,2025-09-08 13:41:01,3.2.0,67.0,,paddlepaddle,,,,['paddle'],8872.0,8872.0,https://pypi.org/project/paddlepaddle,969732.0,969871.0,,,,,,,,1.0,15465.0,,,,,,,,,,
21,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-11-25 14:34:16.000000,2025-11-25 14:34:08,9666.0,1792.0,205.0,6408.0,1004.0,4465.0,13627.0,Parallel computing with task scheduling.,633.0,46,True,68.0,2025-11-06 16:55:27,2025.11.0,201.0,,dask,conda-forge/dask,,,,77665.0,77665.0,https://pypi.org/project/dask,24854503.0,25075297.0,https://anaconda.org/conda-forge/dask,2025-11-06 20:31:06.029,14572424.0,,,,,1.0,,,,,,stable/dask,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-11-26 16:55:50.000000,2025-11-26 16:55:43,15890.0,3124.0,283.0,4075.0,2765.0,2854.0,11110.0,Statsmodels: statistical modeling and econometrics in Python.,467.0,46,True,137.0,2025-07-07 10:26:06,0.14.5,30.0,,statsmodels,conda-forge/statsmodels,,,,179476.0,179476.0,https://pypi.org/project/statsmodels,27286737.0,27633677.0,https://anaconda.org/conda-forge/statsmodels,2025-10-01 05:55:58.268,22551128.0,,,,,1.0,36.0,,,,,,,,,,
23,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2025-11-27 17:24:04.000000,2025-11-27 13:05:47,3317.0,9097.0,232.0,5190.0,173.0,11917.0,49237.0,Ultralytics YOLO.,310.0,45,True,340.0,2025-11-27 13:06:33,8.3.233,100.0,,ultralytics,,,,,57077.0,57077.0,https://pypi.org/project/ultralytics,9153537.0,9153717.0,,,,,,,,1.0,1080.0,,,,,,,,,,
24,llama_index,run-llama/llama_index,agents,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2025-11-25 02:53:33.000000,2025-11-25 02:53:33,7300.0,6444.0,260.0,8144.0,235.0,6573.0,45491.0,LlamaIndex is the leading framework for building LLM-powered agents over your data.,1776.0,45,True,301.0,2025-11-10 22:18:42,0.14.8,100.0,,llama_index,,,,,23613.0,23613.0,https://pypi.org/project/llama_index,8383324.0,8383399.0,,,,,,,,2.0,1050.0,,,,,,,,,,
25,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-11-27 17:14:24.000000,2025-11-27 16:30:37,32059.0,3220.0,324.0,23561.0,1629.0,5064.0,34127.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",989.0,45,True,1890.0,2025-11-18 18:45:35,jax-v0.8.1,100.0,jax-ml/jax,jax,conda-forge/jaxlib,,,,47141.0,47141.0,https://pypi.org/project/jax,13825707.0,13876816.0,https://anaconda.org/conda-forge/jaxlib,2025-11-06 03:25:52.032,3322143.0,,,,,2.0,,7.0,,,,,,,,,
26,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-11-27 17:51:43.000000,2025-11-27 16:08:24,8792.0,2194.0,423.0,1381.0,515.0,1515.0,24280.0,Data Apps & Dashboards for Python. No JavaScript Required.,193.0,45,True,115.0,2025-11-12 15:53:39,3.3.0,119.0,,dash,conda-forge/dash,,,,89356.0,89356.0,https://pypi.org/project/dash,5763090.0,5795533.0,https://anaconda.org/conda-forge/dash,2025-11-15 07:01:25.643,2108746.0,,,,,1.0,124.0,,,,,,,,,,
27,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-11-18 09:34:18.000000,2025-11-18 09:34:18,14840.0,2890.0,443.0,1569.0,258.0,1614.0,14404.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,480.0,45,True,51.0,,,20.0,,nltk,conda-forge/nltk,,,,410942.0,410942.0,https://pypi.org/project/nltk,45147966.0,45210282.0,https://anaconda.org/conda-forge/nltk,2025-10-01 15:16:27.009,3489715.0,,,,,1.0,,,,,,,,,,,
28,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2025-11-27 08:05:10.000000,2025-11-27 07:23:46,8723.0,785.0,59.0,7232.0,694.0,3052.0,10583.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",225.0,45,True,385.0,2025-11-11 21:27:15,0.23.0,101.0,wandb/wandb,wandb,conda-forge/wandb,,,,84608.0,84608.0,https://pypi.org/project/wandb,24237327.0,24257222.0,https://anaconda.org/conda-forge/wandb,2025-11-25 21:46:44.566,1271653.0,,,,,1.0,1287.0,,,,,,,,,,
29,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2025-11-27 11:58:07.000000,2025-11-27 11:56:51,6769.0,9304.0,501.0,3778.0,237.0,10061.0,65140.0,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the..",272.0,44,True,58.0,2025-11-13 14:46:03,3.3.2,27.0,,paddleocr,,,,['paddle'],6221.0,6221.0,https://pypi.org/project/paddleocr,1097533.0,1130152.0,,,,,,,,1.0,2022389.0,,,,,,,,,,
30,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-11-27 17:05:07.000000,2025-11-27 05:26:02,8149.0,3120.0,186.0,5853.0,409.0,5816.0,40676.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",455.0,44,True,158.0,2025-11-25 18:38:36,gradio@6.0.1,100.0,,gradio,,,,,84069.0,84069.0,https://pypi.org/project/gradio,13891161.0,13891161.0,,,,,,,,1.0,,,,,,,,,,,
31,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,,2023-07-27 00:09:52.000,2025-11-27 17:55:21.000000,2025-11-27 17:47:26,27912.0,4778.0,149.0,8869.0,1049.0,6821.0,31718.0,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking,..",1041.0,44,True,3375.0,2025-11-27 06:42:55,1.80.5.de32,100.0,,litellm,,,,,17816.0,17816.0,https://pypi.org/project/litellm,44310179.0,44310437.0,,,,,,,,1.0,516.0,,,,,,,,,,
32,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-11-27 11:32:44.000000,2025-11-27 11:32:42,10947.0,3551.0,251.0,10898.0,813.0,6635.0,30531.0,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.",1048.0,44,True,168.0,2025-11-05 20:51:48,2.5.6,126.0,Lightning-AI/pytorch-lightning,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],48630.0,48630.0,https://pypi.org/project/pytorch-lightning,11302542.0,11329837.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-09-05 19:54:11.216,1754028.0,,,,,2.0,15524.0,,,,,,,,,,
33,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2025-11-24 21:45:55.000000,2025-11-24 21:45:55,8155.0,3349.0,278.0,4369.0,162.0,3167.0,16379.0,Network Analysis in Python.,796.0,44,True,98.0,2025-11-24 03:05:12,networkx-3.6,64.0,,networkx,conda-forge/networkx,,,,432131.0,432131.0,https://pypi.org/project/networkx,141654911.0,142072235.0,https://anaconda.org/conda-forge/networkx,2025-11-24 05:27:44.255,26291460.0,,,,,1.0,113.0,,,,,,,,,,
34,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-11-26 08:34:56.000000,2025-11-26 08:34:56,20260.0,1190.0,123.0,4136.0,36.0,1734.0,13121.0,A hyperparameter optimization framework.,331.0,44,True,447.0,2025-11-10 05:13:52,4.6.0,76.0,,optuna,conda-forge/optuna,,,,29999.0,29999.0,https://pypi.org/project/optuna,8461014.0,8514321.0,https://anaconda.org/conda-forge/optuna,2025-11-10 08:13:37.200,3464997.0,,,,,1.0,,,,,,,,,,,
35,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-11-18 02:09:15.189000,2025-11-17 17:21:33,16274.0,4546.0,564.0,4074.0,151.0,5581.0,32875.0,Industrial-strength Natural Language Processing (NLP) in Python.,776.0,43,True,28.0,2025-11-17 20:37:38,release-v3.8.11,100.0,,spacy,conda-forge/spacy,,,,140934.0,140934.0,https://pypi.org/project/spacy,19946333.0,20049811.0,https://anaconda.org/conda-forge/spacy,2025-11-18 02:09:15.189,6721832.0,,,,,1.0,5750.0,,,,,,,,,,
36,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-11-27 09:30:29.000000,2025-11-27 09:30:22,20881.0,4192.0,427.0,6457.0,796.0,7248.0,20224.0,"Interactive Data Visualization in the browser, from Python.",719.0,43,True,46.0,,,73.0,,bokeh,conda-forge/bokeh,,,,104489.0,104489.0,https://pypi.org/project/bokeh,5905074.0,6181839.0,https://anaconda.org/conda-forge/bokeh,2025-11-07 23:14:50.026,17989769.0,,,,,1.0,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-11-25 17:24:57.000000,2025-11-25 17:22:46,3474.0,3777.0,427.0,4168.0,233.0,2824.0,19935.0,Open standard for machine learning interoperability.,366.0,43,True,146.0,2025-10-10 02:06:42,1.19.1,34.0,,onnx,conda-forge/onnx,,,,49610.0,49610.0,https://pypi.org/project/onnx,15148013.0,15181925.0,https://anaconda.org/conda-forge/onnx,2025-10-11 07:08:08.267,2187447.0,,,,,2.0,25170.0,,,,,,,,,,
38,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-11-26 22:10:34.000000,2025-11-17 18:01:22,5251.0,2161.0,1660.0,5224.0,420.0,2813.0,13626.0,WebGL2 powered visualization framework.,307.0,43,True,48.0,2025-10-16 22:26:55,9.2.2,100.0,,pydeck,conda-forge/pydeck,,,['jupyter'],9265.0,9265.0,https://pypi.org/project/pydeck,17500430.0,18073857.0,https://anaconda.org/conda-forge/pydeck,2025-04-22 14:57:20.802,863817.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,559930.0,,,,,,
39,ollama,jmorganca/ollama,agents,,https://github.com/ollama/ollama,https://github.com/ollama/ollama,MIT,2023-06-26 19:39:32.000,2025-11-27 04:05:28.000000,2025-11-26 02:03:09,4830.0,13472.0,889.0,4215.0,1904.0,6873.0,156672.0,"Get up and running with OpenAI gpt-oss, DeepSeek-R1, Gemma 3 and other models.",560.0,42,True,323.0,2025-11-19 14:16:07,0.13.0,100.0,ollama/ollama,,,,,,71.0,71.0,,,5145959.0,,,,,,,,2.0,87481309.0,,,,,,,,,,
40,crewAI,crewAIInc/crewAI,agents,,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,MIT,2023-10-27 03:26:59.000,2025-11-27 07:19:43.000000,2025-11-27 06:32:43,1834.0,5417.0,331.0,2097.0,41.0,1571.0,40831.0,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI..",268.0,42,True,186.0,2025-11-25 01:57:52,1.6.0,100.0,,crewai,,,,,17574.0,17574.0,https://pypi.org/project/crewai,2453993.0,2453993.0,,,,,,,,2.0,,,,,,,,,,,
41,Faiss,facebookresearch/faiss,nn-search,,https://github.com/facebookresearch/faiss,https://github.com/facebookresearch/faiss,MIT,2017-02-07 16:07:05.000,2025-11-24 21:59:25.000000,2025-11-24 21:56:00,1641.0,4043.0,490.0,1700.0,228.0,2476.0,38173.0,A library for efficient similarity search and clustering of dense vectors.,259.0,42,True,63.0,2025-11-12 17:18:44,1.13.0,21.0,,pymilvus,conda-forge/faiss,,,,4964.0,4964.0,https://pypi.org/project/pymilvus,3694195.0,3742489.0,https://anaconda.org/conda-forge/faiss,2025-04-22 14:57:26.087,3139134.0,,,,,1.0,,,,,,,,,,,
42,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2025-11-27 16:56:21.000000,2025-11-26 20:29:44,2993.0,4956.0,316.0,674.0,53.0,962.0,35877.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",183.0,42,True,84.0,2025-11-05 04:08:03,1.0.22,72.0,huggingface/pytorch-image-models,timm,conda-forge/timm,,,['pytorch'],61990.0,61990.0,https://pypi.org/project/timm,12275199.0,12391160.0,https://anaconda.org/conda-forge/timm,2025-11-08 17:45:50.966,482985.0,,,,,1.0,8456415.0,,,,,,,,,,
