,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-11-02 17:59:50.000000,2023-11-02 16:42:18,48882.0,810.0,7023.0,594.0,17341.0,1198.0,8694.0,18355.0,matplotlib: plotting with Python.,1605.0,48,True,2023-10-31 22:06:43,3.8.1,78.0,matplotlib,conda-forge/matplotlib,,,,986716.0,986716.0,https://pypi.org/project/matplotlib,42928923.0,43444656.0,https://anaconda.org/conda-forge/matplotlib,2023-11-01 20:55:47.459,21145063.0,,,,,1.0,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-11-02 17:12:19.000000,2023-11-02 07:22:07,16430.0,339.0,1928.0,225.0,4447.0,79.0,2856.0,11210.0,Python Imaging Library (Fork).,448.0,47,True,2023-10-15 13:05:17,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1399547.0,1399547.0,https://pypi.org/project/Pillow,72438017.0,73299233.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,34448675.0,,,,,1.0,,,,,,,,,,,,,
12,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-11-02 17:59:50.000000,2023-11-02 17:53:16,18078.0,1159.0,2270.0,315.0,11456.0,1280.0,3355.0,25162.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",591.0,45,True,2023-10-19 20:04:45,jaxlib-v0.4.19,87.0,jax,conda-forge/jaxlib,,,,18748.0,18748.0,https://pypi.org/project/jax,4077008.0,4100804.0,https://anaconda.org/conda-forge/jaxlib,2023-10-25 14:41:56.031,975671.0,,,,,1.0,,,,,,,,,,,,,
13,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-11-02 17:24:27.000000,2023-11-02 17:10:25,9864.0,347.0,2970.0,241.0,9618.0,656.0,5909.0,25017.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",908.0,45,True,2023-10-12 13:10:13,2.1.0,103.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],25454.0,25454.0,https://pypi.org/project/pytorch-lightning,4173092.0,4197783.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-10-12 22:54:18.350,995665.0,,,,,1.0,13434.0,,,,,,,,,,,,
14,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-11-02 16:57:07.000000,2023-11-02 14:10:09,44490.0,1635.0,5153.0,726.0,40961.0,1080.0,16377.0,20974.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1116.0,45,True,2023-07-25 11:09:59,2.5.0,60.0,paddlepaddle,,,,['paddle'],4183.0,4183.0,https://pypi.org/project/paddlepaddle,181250.0,181426.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,
15,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-11-02 17:27:59.000000,2023-11-01 19:15:27,56564.0,1473.0,3981.0,290.0,12747.0,4239.0,8543.0,11492.0,A computer algebra system written in pure Python.,1257.0,45,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,90109.0,90109.0,https://pypi.org/project/sympy,9887494.0,9943048.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4622836.0,,,,,1.0,519611.0,,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-11-02 16:43:01.000000,2023-11-02 16:43:00,9910.0,509.0,18521.0,1922.0,6689.0,109.0,11252.0,59653.0,Deep Learning for humans.,1246.0,44,True,2023-09-12 16:19:40,2.14.0,52.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,13182930.0,13263569.0,https://anaconda.org/conda-forge/keras,2023-10-27 17:22:04.536,3306217.0,,,,,2.0,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-11-02 18:09:17.000000,2023-11-02 17:55:18,19704.0,1246.0,4724.0,470.0,24850.0,3065.0,12704.0,28456.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,937.0,44,True,2023-10-09 17:47:23,ray-2.7.1,73.0,ray,conda-forge/ray-tune,,,,12042.0,12042.0,https://pypi.org/project/ray,2490262.0,2495156.0,https://anaconda.org/conda-forge/ray-tune,2023-10-17 08:48:26.741,171285.0,,,,,1.0,100.0,,,,,,,,,,,,
18,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-11-02 11:02:18.000000,2023-11-02 11:02:18,16064.0,74.0,4131.0,566.0,3905.0,74.0,5421.0,27504.0,Industrial-strength Natural Language Processing (NLP) in Python.,742.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,72855.0,72855.0,https://pypi.org/project/spacy,7317700.0,7397482.0,https://anaconda.org/conda-forge/spacy,2023-10-10 09:44:18.186,3271064.0,,,,,1.0,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-11-02 10:10:43.000000,2023-11-01 23:20:44,6625.0,154.0,8116.0,914.0,4773.0,328.0,4642.0,24933.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",629.0,44,True,2023-10-24 08:56:42,2.0.1,54.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,70548.0,70548.0,https://pypi.org/project/xgboost,11464419.0,11573651.0,https://anaconda.org/conda-forge/xgboost,2023-10-24 05:08:56.957,4366723.0,,,,,2.0,7477.0,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-11-02 16:39:42.000000,2023-11-02 14:11:04,4967.0,531.0,3539.0,291.0,6832.0,1008.0,2246.0,15716.0,Open source platform for the machine learning lifecycle.,668.0,44,True,2023-10-29 21:36:49,2.8.0,76.0,mlflow,conda-forge/mlflow,,,,25529.0,25529.0,https://pypi.org/project/mlflow,13608176.0,13647964.0,https://anaconda.org/conda-forge/mlflow,2023-10-29 23:48:54.745,1631312.0,,,,,1.0,,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-11-02 17:48:26.000000,2023-10-31 18:43:54,6231.0,94.0,2382.0,279.0,1566.0,1377.0,1356.0,14347.0,The interactive graphing library for Python This project now includes Plotly Express!.,246.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,212303.0,212303.0,https://pypi.org/project/plotly,11134049.0,11300465.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5009516.0,,,,,1.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,47142.0,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-02 05:35:29.000000,2023-10-31 16:42:00,20290.0,112.0,4038.0,447.0,5868.0,739.0,6721.0,18256.0,"Interactive Data Visualization in the browser, from Python.",673.0,43,True,,,54.0,bokeh,conda-forge/bokeh,,,,78515.0,78515.0,https://pypi.org/project/bokeh,3512753.0,3829714.0,https://anaconda.org/conda-forge/bokeh,2023-10-11 08:08:05.962,12995429.0,,,,,1.0,,,,,,,,,,,,,
23,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-11-02 15:14:30.196000,2023-11-01 20:43:02,2586.0,129.0,3498.0,438.0,3014.0,265.0,2267.0,15813.0,Open standard for machine learning interoperability.,298.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,20063.0,20063.0,https://pypi.org/project/onnx,4142186.0,4163628.0,https://anaconda.org/conda-forge/onnx,2023-11-02 15:14:30.196,868241.0,,,,,1.0,19434.0,,,,,,,,,,,,
24,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-11-02 12:36:03.000000,2023-11-02 12:36:03,3366.0,53.0,3643.0,441.0,3015.0,296.0,2849.0,15589.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 01:51:05,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,26481.0,26481.0,https://pypi.org/project/lightgbm,6859775.0,6917437.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2092514.0,,,,,2.0,205147.0,,,,,,,,,,,,
25,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-11-01 17:20:14.000000,2023-10-22 21:29:01,3194.0,38.0,1723.0,255.0,1057.0,112.0,2299.0,11293.0,Statistical data visualization in Python.,200.0,43,True,2023-09-29 19:01:44,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,318543.0,318543.0,https://pypi.org/project/seaborn,12553809.0,12742488.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7735764.0,,,,,1.0,282.0,,,,,,,,,,,,
26,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-10-29 19:50:07.000000,2023-10-29 06:30:59,15118.0,24.0,2590.0,278.0,3813.0,2526.0,2709.0,8973.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,43,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,105896.0,105896.0,https://pypi.org/project/statsmodels,11433681.0,11720529.0,https://anaconda.org/conda-forge/statsmodels,2023-10-05 23:45:15.777,11760786.0,,,,,2.0,29.0,,,,,,,,,,,,
27,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-11-02 12:42:36.000000,2023-11-01 16:55:40,5710.0,97.0,1556.0,193.0,4849.0,591.0,1214.0,6387.0,TensorFlows Visualization Toolkit.,307.0,43,True,2023-10-19 19:31:58,2.15.0,55.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],195476.0,195476.0,https://pypi.org/project/tensorboard,21463616.0,21570657.0,https://anaconda.org/conda-forge/tensorboard,2023-10-20 00:55:28.414,4388708.0,,,,,1.0,,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-11-02 17:44:52.000000,2023-11-01 20:48:33,7485.0,132.0,2959.0,277.0,3524.0,184.0,2893.0,13370.0,Network Analysis in Python.,687.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,195944.0,195944.0,https://pypi.org/project/networkx,31374924.0,31732821.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,13957985.0,,,,,1.0,65.0,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-11-02 10:30:05.000000,2023-10-31 16:06:15,4550.0,60.0,1960.0,1699.0,4391.0,226.0,2549.0,11270.0,WebGL2 powered visualization framework.,239.0,42,True,2023-10-24 16:55:44,8.9.32,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6689.0,6689.0,https://pypi.org/project/pydeck,1615715.0,2132472.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,457478.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,506591.0,,,,,,,,,
30,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-11-02 06:29:49.000000,2023-10-29 18:51:32,3585.0,53.0,704.0,145.0,1285.0,159.0,1711.0,8527.0,Declarative statistical visualization library for Python.,158.0,42,True,2023-10-03 18:18:45,5.1.2,26.0,altair,conda-forge/altair,,,,83174.0,83174.0,https://pypi.org/project/altair,13645577.0,13735830.0,https://anaconda.org/conda-forge/altair,2023-10-03 20:26:07.376,2075806.0,,,,,1.0,89.0,,,,,,,,,,,,
31,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-11-02 17:16:25.000000,2023-10-31 20:08:48,13768.0,111.0,2108.0,184.0,4303.0,519.0,2018.0,5651.0,Image processing in Python.,632.0,42,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,158408.0,158408.0,https://pypi.org/project/scikit-image,10032142.0,10172345.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5748341.0,,,,,1.0,,,,,,,,,,,,,
32,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-11-02 10:52:55.000000,2023-10-31 18:15:43,1905.0,192.0,3361.0,307.0,2240.0,711.0,1416.0,29138.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",255.0,41,True,2023-10-09 16:54:24,0.11.1,57.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4656.0,4656.0,https://pypi.org/project/deepspeed,384000.0,384375.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17253.0,1.0,,,,,,,,,,,,,
33,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-11-02 18:15:59.000000,2023-11-02 18:15:59,5915.0,260.0,2445.0,309.0,3875.0,661.0,3026.0,28238.0,Streamlit A faster way to build and share data apps.,203.0,41,True,2023-10-26 17:18:34,1.28.0,67.0,streamlit,,,,,1038.0,1038.0,https://pypi.org/project/streamlit,2534045.0,2534045.0,,,,,,,,1.0,,,,,,,,,,,,,
34,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-10-31 19:16:21.000000,2023-10-31 19:16:21,2060.0,118.0,4248.0,309.0,409.0,68.0,742.0,27418.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",121.0,41,True,2023-10-21 20:52:29,0.9.8,50.0,timm,conda-forge/timm,,,['pytorch'],17919.0,17919.0,https://pypi.org/project/timm,3368317.0,3476225.0,https://anaconda.org/conda-forge/timm,2023-10-21 20:00:32.835,108041.0,,,,,1.0,5681186.0,,,,huggingface/pytorch-image-models,,,,,,,,
35,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-11-02 18:24:16.000000,2023-11-02 14:50:52,5835.0,350.0,1598.0,139.0,2819.0,451.0,2604.0,23134.0,"Wrap UIs around any model, share with anyone.",219.0,41,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,15989.0,15989.0,https://pypi.org/project/gradio,2756261.0,2756261.0,,,,,,,,1.0,,,,,,,,,,,,,
36,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-11-02 07:24:54.000000,2023-10-27 12:56:05,2559.0,93.0,2953.0,259.0,753.0,1409.0,931.0,20367.0,A game theoretic approach to explain the output of any machine learning model.,226.0,41,True,2023-10-09 09:41:17,0.43.0,50.0,shap,conda-forge/shap,,,,14017.0,14017.0,https://pypi.org/project/shap,7339538.0,7402112.0,https://anaconda.org/conda-forge/shap,2023-10-09 21:10:21.871,2190107.0,,,,,1.0,,,,,shap/shap,,,,,,,,
37,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-11-02 01:24:24.000000,2023-10-23 12:18:50,32584.0,199.0,4310.0,350.0,6271.0,1.0,6642.0,17169.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",591.0,41,True,2023-10-23 10:55:37,3.6.13,100.0,rasa,,,,['tensorflow'],3739.0,3739.0,https://pypi.org/project/rasa,129041.0,129041.0,,,,,,,,1.0,,,,,,,,,,,,,
38,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/piskvorky/gensim,https://github.com/piskvorky/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-11-01 12:33:08.000000,2023-10-01 14:51:00,4509.0,40.0,4145.0,435.0,1681.0,376.0,1443.0,14739.0,Topic Modelling for Humans.,447.0,41,True,2023-08-24 08:44:46,4.3.2,43.0,gensim,conda-forge/gensim,,,,51708.0,51708.0,https://pypi.org/project/gensim,3828926.0,3865442.0,https://anaconda.org/conda-forge/gensim,2023-08-24 12:30:21.806,1167014.0,,,,,1.0,4532.0,,,,piskvorky/gensim,,,,,,,,
39,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-11-02 10:54:11.000000,2023-11-01 18:03:03,7903.0,69.0,1610.0,212.0,5498.0,817.0,4041.0,11497.0,Parallel computing with task scheduling.,589.0,41,True,,,159.0,dask,conda-forge/dask,,,,53918.0,53918.0,https://pypi.org/project/dask,7289662.0,7537285.0,https://anaconda.org/conda-forge/dask,2023-10-28 00:11:07.362,10400184.0,,,,,1.0,,,,,,stable/dask,,,,,,,
40,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2023-11-02 18:06:42.000000,2023-11-02 17:57:23,5917.0,367.0,546.0,54.0,3724.0,762.0,2050.0,7410.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,165.0,41,True,2023-10-04 17:31:06,0.15.12,100.0,wandb,conda-forge/wandb,,,,31737.0,31737.0,https://pypi.org/project/wandb,7544178.0,7554461.0,https://anaconda.org/conda-forge/wandb,2023-10-04 19:30:33.577,411327.0,,,,,1.0,,,,,wandb/wandb,,,,,,,,
41,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2023-11-01 22:40:56.000000,2023-11-01 22:40:55,2729.0,54.0,7248.0,614.0,2205.0,174.0,1580.0,24735.0,The fastai deep learning library.,244.0,40,True,2023-10-15 04:03:45,2.7.13,50.0,fastai,,,,['pytorch'],15103.0,15103.0,https://pypi.org/project/fastai,378931.0,378931.0,,,,,,,,2.0,,,,,,,,,,,,,
