,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,helm_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,maven_id,maven_url
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-12-05 17:31:17.000000,2024-12-05 17:29:00,12062.0,816.0,15247.0,693.0,16127.0,462.0,7470.0,95790.0,Build context-aware reasoning applications.,2988.0,49,True,2024-12-05 15:40:03,langchain-cli==0.0.34,100.0,langchain,,,,,155338.0,155338.0,https://pypi.org/project/langchain,25558134.0,25558134.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-12-05 17:59:24.000000,2024-12-05 17:59:24,51413.0,409.0,7513.0,592.0,18608.0,1217.0,9370.0,20406.0,matplotlib: plotting with Python.,1753.0,48,True,2024-11-30 10:15:10,3.9.3,89.0,matplotlib,conda-forge/matplotlib,,,,1445104.0,1445104.0,https://pypi.org/project/matplotlib,72772786.0,73275521.0,https://anaconda.org/conda-forge/matplotlib,2024-12-02 22:25:03.866,27147727.0,,,,,1.0,,,,,,,,,,,,
12,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-12-05 18:40:00.000000,2024-12-05 14:22:53,6871.0,259.0,3077.0,319.0,5173.0,929.0,3753.0,36035.0,Streamlit A faster way to build and share data apps.,248.0,46,True,2024-11-25 21:30:36,1.40.2,87.0,streamlit,,,,,612618.0,612618.0,https://pypi.org/project/streamlit,8274612.0,8274612.0,,,,,,,,1.0,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-12-03 11:11:43.000000,2024-12-03 11:11:43,18876.0,445.0,2106.0,219.0,5188.0,82.0,3116.0,12364.0,Python Imaging Library (Fork).,482.0,46,True,2024-10-15 14:29:17,11.0.0,57.0,Pillow,conda-forge/pillow,,,,1944728.0,1944728.0,https://pypi.org/project/Pillow,,887994.0,https://anaconda.org/conda-forge/pillow,2024-10-18 22:08:55.292,47063702.0,,,,,1.0,,,,,,,,,,,,
14,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-12-05 17:47:18.000000,2024-12-05 16:42:41,24477.0,1631.0,2788.0,336.0,16583.0,1452.0,4318.0,30679.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",797.0,45,True,2024-10-22 21:01:49,jax-v0.4.35,100.0,jax,conda-forge/jaxlib,,,,33675.0,33675.0,https://pypi.org/project/jax,4539196.0,4574967.0,https://anaconda.org/conda-forge/jaxlib,2024-10-24 10:52:07.546,1931666.0,,,,,1.0,,jax-ml/jax,,,,,,,,,,
15,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-12-05 18:05:16.000000,2024-12-05 18:05:14,5675.0,520.0,5231.0,245.0,6349.0,569.0,5023.0,37150.0,LlamaIndex is a data framework for your LLM applications.,1339.0,44,True,2024-11-26 19:24:09,0.12.2,100.0,llama-index,,,,,14633.0,14633.0,https://pypi.org/project/llama-index,3460015.0,3460094.0,,,,,,,,1.0,798.0,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-11-24 12:28:01.906000,2024-11-19 09:43:40,16213.0,77.0,4338.0,561.0,4027.0,147.0,5521.0,30398.0,Industrial-strength Natural Language Processing (NLP) in Python.,762.0,44,True,2024-10-01 18:19:33,release-v3.8.2,100.0,spacy,conda-forge/spacy,,,,107098.0,107098.0,https://pypi.org/project/spacy,14917309.0,15003448.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,4651024.0,,,,,1.0,778.0,,,,,,,,,,,
17,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-12-05 04:21:34.000000,2024-12-05 04:21:34,59248.0,401.0,4406.0,293.0,13541.0,4436.0,8936.0,13068.0,A computer algebra system written in pure Python.,1343.0,44,True,2024-09-18 21:54:45,1.13.3,55.0,sympy,conda-forge/sympy,,,,195882.0,195882.0,https://pypi.org/project/sympy,,136154.0,https://anaconda.org/conda-forge/sympy,2024-10-09 14:38:28.134,7266953.0,,,,,1.0,551839.0,,,,,,,,,,,
18,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-12-05 10:24:55.000000,2024-12-05 10:24:55,8423.0,110.0,1687.0,213.0,6073.0,918.0,4313.0,12659.0,Parallel computing with task scheduling.,613.0,44,True,2024-12-03 22:42:36,2024.12.0,188.0,dask,conda-forge/dask,,,,67474.0,67474.0,https://pypi.org/project/dask,16280225.0,16504272.0,https://anaconda.org/conda-forge/dask,2024-12-04 03:07:03.414,12322595.0,,,,,1.0,,,stable/dask,,,,,,,,,
19,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-12-05 13:32:40.000000,2024-12-05 13:32:40,11199.0,270.0,18809.0,1913.0,7620.0,248.0,11999.0,62164.0,Deep Learning for humans.,1353.0,43,True,2024-11-26 17:02:51,3.7.0,72.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,14707371.0,14778264.0,https://anaconda.org/conda-forge/keras,2024-11-27 10:22:41.816,3828246.0,,,,,1.0,,,,,,,,,,,,
20,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-12-05 18:01:57.000000,2024-12-05 17:20:20,7269.0,266.0,2575.0,177.0,4668.0,438.0,4641.0,34388.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",352.0,43,True,2024-12-04 23:14:04,gradio@5.8.0,100.0,gradio,,,,,48512.0,48512.0,https://pypi.org/project/gradio,6730324.0,6730324.0,,,,,,,,1.0,,,,,,,,,,,,
21,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-12-05 15:38:35.000000,2024-12-05 15:38:35,23223.0,651.0,5730.0,478.0,29791.0,3642.0,15363.0,34303.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1108.0,43,True,2024-12-04 00:01:15,ray-2.40.0,99.0,ray,conda-forge/ray-tune,,,,19371.0,19371.0,https://pypi.org/project/ray,,10038.0,https://anaconda.org/conda-forge/ray-tune,2024-11-24 02:24:06.889,481745.0,,,,,1.0,247.0,,,,,,,,,,,
22,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-12-05 16:52:17.000000,2024-12-05 16:52:17,7223.0,146.0,8242.0,908.0,5720.0,400.0,4931.0,26373.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",654.0,43,True,2024-11-26 10:21:16,2.1.3,61.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,119525.0,119525.0,https://pypi.org/project/xgboost,,104142.0,https://anaconda.org/conda-forge/xgboost,2024-12-03 00:14:17.609,5514452.0,,,,,1.0,12459.0,,,,,,,,,,,
23,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-12-04 21:49:25.000000,2024-12-03 20:47:13,7359.0,578.0,2522.0,276.0,1759.0,548.0,2482.0,16398.0,The interactive graphing library for Python This project now includes Plotly Express!.,281.0,43,True,2024-09-12 15:42:27,5.24.1,103.0,plotly,conda-forge/plotly,,,,333986.0,333986.0,https://pypi.org/project/plotly,,148991.0,https://anaconda.org/conda-forge/plotly,2024-09-12 22:24:43.567,7660454.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,9711.0,,,,,,
24,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-11-29 16:39:20.000000,2024-11-14 16:42:05,15567.0,78.0,2865.0,284.0,3961.0,2672.0,2806.0,10215.0,Statsmodels: statistical modeling and econometrics in Python.,447.0,43,True,2024-10-03 15:37:29,0.14.4,29.0,statsmodels,conda-forge/statsmodels,,,,144874.0,144874.0,https://pypi.org/project/statsmodels,,297571.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,16068849.0,,,,,1.0,35.0,,,,,,,,,,,
25,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-12-05 18:14:07.000000,2024-12-05 18:13:52,5021.0,43.0,2068.0,1667.0,4887.0,331.0,2736.0,12307.0,WebGL2 powered visualization framework.,276.0,42,True,2024-11-24 22:03:40,9.0.36,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],8382.0,8382.0,https://pypi.org/project/pydeck,,626833.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,654540.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,615548.0,,,,,,
26,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-12-05 18:27:29.000000,2024-12-05 16:44:00,2591.0,117.0,4008.0,345.0,3073.0,978.0,1877.0,35768.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",356.0,41,True,2024-11-25 20:10:44,0.16.0,83.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],9894.0,9894.0,https://pypi.org/project/deepspeed,579883.0,580233.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,20704.0,1.0,,,,,,,,,,,,
27,Faiss,facebookresearch/faiss,nn-search,,https://github.com/facebookresearch/faiss,https://github.com/facebookresearch/faiss,MIT,2017-02-07 16:07:05.000,2024-12-05 18:21:07.000000,2024-12-05 17:37:19,1323.0,98.0,3585.0,480.0,1288.0,218.0,2309.0,31797.0,A library for efficient similarity search and clustering of dense vectors.,198.0,41,True,2024-10-04 21:33:29,1.9.0,17.0,pymilvus,conda-forge/faiss,,,,4212.0,4212.0,https://pypi.org/project/pymilvus,1419968.0,1455555.0,https://anaconda.org/conda-forge/faiss,2024-08-09 18:17:48.122,1921700.0,,,,,1.0,,,,,,,,,,,,
28,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-11-26 16:19:25.000000,2024-11-26 16:19:22,10465.0,50.0,3333.0,251.0,10328.0,828.0,6332.0,28567.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",985.0,41,True,2024-08-07 09:44:30,2.4.0,118.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],39333.0,39333.0,https://pypi.org/project/pytorch-lightning,,25420.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-08-07 15:45:27.965,1359230.0,,,,,2.0,10514.0,Lightning-AI/pytorch-lightning,,,,,,,,,,
29,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2024-11-17 08:15:57.000000,2024-11-17 08:15:54,2800.0,12.0,7401.0,603.0,2236.0,206.0,1594.0,26363.0,The fastai deep learning library.,254.0,41,True,2024-10-19 03:20:13,2.7.18,55.0,fastai,,,,['pytorch'],19739.0,19739.0,https://pypi.org/project/fastai,642037.0,642037.0,,,,,,,,2.0,,,,,,,,,,,,
30,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-12-03 17:48:37.000000,2024-11-20 10:49:35,2775.0,19.0,3218.0,245.0,988.0,721.0,1830.0,23019.0,A game theoretic approach to explain the output of any machine learning model.,253.0,41,True,2024-06-27 10:06:50,0.46.0,55.0,shap,conda-forge/shap,,,,22636.0,22636.0,https://pypi.org/project/shap,7032825.0,7125841.0,https://anaconda.org/conda-forge/shap,2024-11-20 09:50:28.114,4464805.0,,,,,1.0,,shap/shap,,,,,,,,,,
31,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-12-05 15:56:34.000000,2024-12-05 15:56:34,52030.0,1189.0,5479.0,716.0,51292.0,970.0,17496.0,22319.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1333.0,41,True,2024-06-27 10:00:34,3.0.0-beta0,63.0,paddlepaddle,,,,['paddle'],6468.0,6468.0,https://pypi.org/project/paddlepaddle,,154.0,,,,,,,,2.0,15416.0,,,,,,,,,,,
32,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-12-05 11:17:55.000000,2024-12-03 23:34:20,20647.0,64.0,4135.0,438.0,6214.0,751.0,7002.0,19421.0,"Interactive Data Visualization in the browser, from Python.",703.0,41,True,,,67.0,bokeh,conda-forge/bokeh,,,,95192.0,95192.0,https://pypi.org/project/bokeh,,286422.0,https://anaconda.org/conda-forge/bokeh,2024-12-03 20:01:08.384,15466805.0,,,,,1.0,,,,,,,,,,,,
33,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-12-05 10:20:06.000000,2024-12-05 10:18:31,6878.0,444.0,4143.0,303.0,9706.0,1332.0,2636.0,18950.0,Open source platform for the machine learning lifecycle.,798.0,41,True,2024-11-18 15:11:13,2.18.0,100.0,mlflow,conda-forge/mlflow,,,,47240.0,47240.0,https://pypi.org/project/mlflow,,46833.0,https://anaconda.org/conda-forge/mlflow,2024-11-19 20:43:56.930,2529014.0,,,,,1.0,,,,,,,,,,,,
34,ollama,jmorganca/ollama,nlp,,https://github.com/ollama/ollama,https://github.com/ollama/ollama,MIT,2023-06-26 19:39:32.000,2024-12-05 05:22:39.000000,2024-12-05 05:22:36,3706.0,249.0,7940.0,593.0,2649.0,1103.0,3995.0,100924.0,"Get up and running with Llama 3.2, Mistral, Gemma 2, and other large language models.",380.0,40,True,2024-12-01 02:52:17,0.4.7,100.0,,,,,,64.0,64.0,,,1950723.0,,,,,,,,1.0,33162298.0,ollama/ollama,,,,,,,,,,
35,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-12-05 06:03:16.000000,2024-12-03 18:34:52,2591.0,135.0,4673.0,313.0,549.0,46.0,888.0,32492.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",159.0,40,True,2024-12-03 19:05:39,1.0.12,62.0,timm,conda-forge/timm,,,['pytorch'],41884.0,41884.0,https://pypi.org/project/timm,,113872.0,https://anaconda.org/conda-forge/timm,2024-12-04 15:48:02.472,275894.0,,,,,1.0,7280735.0,huggingface/pytorch-image-models,,,,,,,,,,
36,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-12-05 15:18:32.000000,2024-12-04 15:13:25,7759.0,104.0,2039.0,427.0,1163.0,456.0,1373.0,21607.0,Data Apps & Dashboards for Python. No JavaScript Required.,167.0,40,True,2024-11-04 21:17:37,2.18.2,111.0,dash,conda-forge/dash,,,,73262.0,73262.0,https://pypi.org/project/dash,,29301.0,https://anaconda.org/conda-forge/dash,2024-12-04 07:17:49.795,1582226.0,,,,,1.0,86.0,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-12-01 15:49:11.000000,2024-11-29 13:53:50,2926.0,119.0,3619.0,437.0,3479.0,295.0,2558.0,18045.0,Open standard for machine learning interoperability.,327.0,40,True,2024-10-01 17:57:22,1.17.0,31.0,onnx,conda-forge/onnx,,,,36827.0,36827.0,https://pypi.org/project/onnx,,25451.0,https://anaconda.org/conda-forge/onnx,2024-10-21 21:30:32.889,1360353.0,,,,,2.0,22419.0,,,,,,,,,,,
38,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2024-12-05 02:11:12.000000,2024-12-05 02:11:12,18573.0,341.0,1034.0,118.0,3757.0,66.0,1624.0,11031.0,A hyperparameter optimization framework.,281.0,40,True,2024-11-11 05:20:54,4.1.0,67.0,optuna,conda-forge/optuna,,,,19672.0,19672.0,https://pypi.org/project/optuna,,36187.0,https://anaconda.org/conda-forge/optuna,2024-11-13 05:15:17.167,1954135.0,,,,,1.0,,,,,,,,,,,,
39,Altair,altair-viz/altair,data-viz,,https://github.com/vega/altair,https://github.com/vega/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-12-02 18:58:23.000000,2024-12-02 16:01:53,3831.0,65.0,763.0,140.0,1532.0,194.0,1843.0,9421.0,Declarative visualization library for Python.,173.0,40,True,2024-11-24 00:12:10,5.5.0,31.0,altair,conda-forge/altair,,,,180968.0,180968.0,https://pypi.org/project/altair,,70028.0,https://anaconda.org/conda-forge/altair,2024-11-24 00:36:17.006,2520956.0,,,,,1.0,209.0,vega/altair,,,,,,,,,,
40,Tokenizers,huggingface/tokenizers,nlp,,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20.000,2024-11-27 19:20:00.476000,2024-11-27 15:01:48,1846.0,33.0,792.0,122.0,671.0,53.0,959.0,9103.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,101.0,40,True,2024-11-15 11:12:00,0.21.0,92.0,tokenizers,conda-forge/tokenizers,,,,119907.0,119907.0,https://pypi.org/project/tokenizers,34627822.0,34671290.0,https://anaconda.org/conda-forge/tokenizers,2024-11-27 19:20:00.476,2303794.0,,,,,1.0,69.0,,,,,,,,,,,
41,speechbrain,speechbrain/speechbrain,audio,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45.000,2024-12-05 13:35:19.000000,2024-12-05 13:35:18,10282.0,277.0,1378.0,134.0,1301.0,96.0,1010.0,9015.0,A PyTorch-based Speech Toolkit.,248.0,40,True,2024-10-31 10:06:07,1.0.2,13.0,speechbrain,,,,['pytorch'],2565.0,2565.0,https://pypi.org/project/speechbrain,3253754.0,3253754.0,,,,,,,,1.0,,,,,,,,,,,,
42,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-12-05 18:20:59.000000,2024-12-05 18:19:32,5877.0,22.0,1629.0,189.0,5055.0,626.0,1241.0,6735.0,TensorFlows Visualization Toolkit.,322.0,40,True,2024-09-25 21:21:08,2.18.0,63.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],277139.0,277139.0,https://pypi.org/project/tensorboard,,96292.0,https://anaconda.org/conda-forge/tensorboard,2024-09-27 11:17:28.293,5199813.0,,,,,1.0,,,,,,,,,,,,
