,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,maven_id,maven_url
10,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-01-18 12:47:28.000000,2024-01-18 12:47:28,17027.0,589.0,1954.0,223.0,4593.0,68.0,2917.0,11411.0,Python Imaging Library (Fork).,458.0,47,True,2024-01-02 09:38:41,10.2.0,54.0,Pillow,conda-forge/pillow,,,,70404142.0,1500975.0,1500975.0,https://pypi.org/project/Pillow,69556549.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,35598921.0,1.0,,,,,,,,,,,,,,,,
11,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-01-18 07:34:21.000000,2024-01-15 19:02:55,10224.0,360.0,18586.0,1912.0,6863.0,162.0,11370.0,60192.0,Deep Learning for humans.,1269.0,45,True,2023-12-21 19:22:48,3.0.2,56.0,keras,conda-forge/keras,https://keras.io,['tensorflow'],,12626024.0,21.0,21.0,https://pypi.org/project/keras,12547949.0,https://anaconda.org/conda-forge/keras,2023-12-23 16:24:50.607,3357234.0,1.0,,,,,,,,,,,,,,,,
12,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-01-18 17:33:58.000000,2024-01-18 03:43:49,19004.0,1021.0,2357.0,322.0,12146.0,1228.0,3628.0,26337.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",620.0,45,True,2023-12-14 07:26:26,jax-v0.4.23,93.0,jax,conda-forge/jaxlib,,,,4586993.0,21115.0,21115.0,https://pypi.org/project/jax,4563116.0,https://anaconda.org/conda-forge/jaxlib,2023-12-23 22:02:22.397,1026717.0,1.0,,,,,,,,,,,,,,,,
13,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-01-18 16:30:17.000000,2024-01-17 11:20:12,10064.0,242.0,3046.0,245.0,9841.0,653.0,6032.0,25686.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",922.0,45,True,2023-12-21 15:14:18,2.1.3,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,['pytorch'],14007.0,4227679.0,28133.0,28133.0,https://pypi.org/project/pytorch-lightning,4203167.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1036372.0,1.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,
14,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-01-18 16:09:53.000000,2024-01-18 16:09:53,6726.0,124.0,8136.0,910.0,4936.0,345.0,4705.0,25222.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",634.0,45,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,,7991.0,11647158.0,78153.0,78153.0,https://pypi.org/project/xgboost,11539898.0,https://anaconda.org/conda-forge/xgboost,2023-12-20 14:38:41.532,4502127.0,1.0,,,,,,,,,,,,,,,,
15,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-01-18 17:49:46.000000,2024-01-18 13:10:46,46078.0,1791.0,5196.0,726.0,43086.0,1009.0,16641.0,21242.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1155.0,45,True,2024-01-08 06:43:49,2.6.0,61.0,paddlepaddle,,,['paddle'],15368.0,172996.0,4528.0,4528.0,https://pypi.org/project/paddlepaddle,172824.0,,,,1.0,,,,,,,,,,,,,,,,
16,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-01-18 15:13:11.000000,2024-01-18 10:54:02,15247.0,132.0,2614.0,279.0,3841.0,2550.0,2731.0,9222.0,Statsmodels: statistical modeling and econometrics in Python.,422.0,45,True,2023-12-14 14:31:51,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,30.0,11932808.0,112550.0,112550.0,https://pypi.org/project/statsmodels,11651886.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12079651.0,1.0,,,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-01-18 16:06:50.000000,2024-01-02 09:03:06,16084.0,26.0,4153.0,556.0,3932.0,80.0,5451.0,28005.0,Industrial-strength Natural Language Processing (NLP) in Python.,746.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,5465043.0,78432.0,78432.0,https://pypi.org/project/spacy,5387968.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3314238.0,1.0,,,,,,,,,,,,,,,,
18,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-01-18 17:18:41.000000,2024-01-18 15:32:37,5232.0,405.0,3641.0,291.0,7272.0,1069.0,2296.0,16268.0,Open source platform for the machine learning lifecycle.,687.0,44,True,2023-12-14 15:34:34,2.9.2,80.0,mlflow,conda-forge/mlflow,,,,13684573.0,28894.0,28894.0,https://pypi.org/project/mlflow,13644982.0,https://anaconda.org/conda-forge/mlflow,2023-12-14 16:11:35.887,1702418.0,1.0,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-01-18 13:37:14.000000,2024-01-17 12:11:15,56929.0,421.0,4060.0,291.0,12875.0,4252.0,8621.0,11764.0,A computer algebra system written in pure Python.,1269.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,529139.0,9306450.0,105966.0,105966.0,https://pypi.org/project/sympy,9249242.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4876879.0,1.0,,,,,,,,,,,,,,,,
20,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-01-13 15:46:08.000000,2024-01-13 15:46:08,3226.0,35.0,1752.0,259.0,1083.0,117.0,2340.0,11588.0,Statistical data visualization in Python.,210.0,44,True,2023-12-31 22:09:55,0.13.1,36.0,seaborn,conda-forge/seaborn,,,375.0,12301570.0,350431.0,350431.0,https://pypi.org/project/seaborn,12116870.0,https://anaconda.org/conda-forge/seaborn,2024-01-03 20:19:50.194,7941994.0,1.0,,,,,,,,,,,,,,,,
21,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-01-18 18:13:47.000000,2024-01-18 05:23:13,20405.0,841.0,4883.0,463.0,25857.0,3043.0,13299.0,29502.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,965.0,43,True,2023-12-21 00:32:08,ray-2.9.0,76.0,ray,conda-forge/ray-tune,,,187.0,2615000.0,13259.0,13259.0,https://pypi.org/project/ray,2610093.0,https://anaconda.org/conda-forge/ray-tune,2024-01-15 14:57:28.754,181493.0,1.0,,-1.0,,,,,,,,,,,,,,
22,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-01-18 18:27:41.000000,2024-01-18 16:25:13,6121.0,318.0,1761.0,145.0,3163.0,434.0,3083.0,25657.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",242.0,43,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,4439467.0,21134.0,21134.0,https://pypi.org/project/gradio,4439467.0,,,,1.0,,,,,,,,,,,,,,,,
23,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-01-18 11:07:00.000000,2024-01-18 11:06:54,20360.0,84.0,4066.0,443.0,5948.0,721.0,6800.0,18496.0,"Interactive Data Visualization in the browser, from Python.",680.0,43,True,,,57.0,bokeh,conda-forge/bokeh,,,,3633811.0,81953.0,81953.0,https://pypi.org/project/bokeh,3325025.0,https://anaconda.org/conda-forge/bokeh,2024-01-08 21:10:28.843,13277834.0,1.0,,,,,,,,,,,,,,,,
24,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-01-18 18:15:21.000000,2024-01-18 17:28:58,2636.0,73.0,3509.0,438.0,3073.0,263.0,2324.0,16235.0,Open standard for machine learning interoperability.,305.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,19804.0,3759704.0,22886.0,22886.0,https://pypi.org/project/onnx,3738390.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,905169.0,1.0,,,,,,,,,,,,,,,,
25,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-01-17 10:25:56.000000,2024-01-17 05:27:59,3412.0,50.0,3663.0,437.0,3061.0,313.0,2890.0,15802.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",295.0,43,True,2023-12-21 18:58:56,4.2.0,30.0,lightgbm,conda-forge/lightgbm,,,211204.0,6349950.0,28846.0,28846.0,https://pypi.org/project/lightgbm,6293357.0,https://anaconda.org/conda-forge/lightgbm,2023-12-22 13:12:54.633,2159448.0,2.0,,,,,,,,,,,,,,,,
26,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-01-17 22:35:00.000000,2023-12-21 22:10:00,6257.0,35.0,2409.0,280.0,1587.0,1405.0,1373.0,14708.0,The interactive graphing library for Python This project now includes Plotly Express!.,252.0,43,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,10285578.0,232092.0,232092.0,https://pypi.org/project/plotly,10146540.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5169053.0,1.0,,-1.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,21560.0,,,,,,,,,,,
27,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-01-17 23:59:19.000000,2024-01-17 17:09:20,5742.0,52.0,1574.0,193.0,4887.0,596.0,1221.0,6453.0,TensorFlows Visualization Toolkit.,312.0,43,True,2023-11-02 18:45:45,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,['tensorflow'],,20058063.0,210455.0,210455.0,https://pypi.org/project/tensorboard,19954022.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4473788.0,1.0,,,,,,,,,,,,,,,,
28,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-01-18 17:53:41.000000,2024-01-18 17:53:39,2700.0,853.0,3266.0,203.0,3039.0,339.0,2015.0,26899.0,LlamaIndex (formerly GPT Index) is a data framework for your LLM applications.,596.0,42,True,2024-01-17 17:58:12,0.9.33,100.0,llama-index,,,,434.0,1503664.0,4316.0,4316.0,https://pypi.org/project/llama-index,1503556.0,,,,1.0,,,,,,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-01-18 18:05:18.000000,2024-01-18 08:38:08,7569.0,111.0,3005.0,274.0,3618.0,173.0,2940.0,13778.0,Network Analysis in Python.,705.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,65.0,35412125.0,216515.0,216515.0,https://pypi.org/project/networkx,35058120.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14514220.0,1.0,,,,,,,,,,,,,,,,
30,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-01-14 08:16:58.000000,2023-12-24 12:24:15,14508.0,42.0,2694.0,468.0,1447.0,248.0,1503.0,12709.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,452.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,11792783.0,245088.0,245088.0,https://pypi.org/project/nltk,11765930.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2389977.0,1.0,,,,,,,,,,,,,,,,
31,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-01-18 17:46:13.000000,2024-01-18 14:32:10,4625.0,88.0,1981.0,1693.0,4469.0,261.0,2577.0,11461.0,WebGL2 powered visualization framework.,243.0,42,True,2023-12-05 13:36:42,8.9.33,100.0,pydeck,conda-forge/pydeck,,['jupyter'],,2015830.0,7023.0,7023.0,https://pypi.org/project/pydeck,1698301.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,470095.0,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,307527.0,,,,,,,,,,,
32,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-01-16 18:30:09.000000,2024-01-16 18:30:08,2124.0,77.0,4361.0,308.0,434.0,67.0,764.0,28433.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",128.0,41,True,2023-11-24 19:09:08,0.9.12,54.0,timm,conda-forge/timm,,['pytorch'],6072880.0,3825393.0,21706.0,21706.0,https://pypi.org/project/timm,3714121.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,118811.0,1.0,huggingface/pytorch-image-models,,,,,,,,,,,,,,,
33,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2024-01-18 11:52:04.002000,2024-01-18 03:11:03,9152.0,116.0,1110.0,137.0,5338.0,512.0,4050.0,12782.0,ML Experiments Management with Git.,290.0,41,True,2024-01-18 03:12:44,3.40.0,293.0,dvc,conda-forge/dvc,,,45139.0,630027.0,12076.0,12076.0,https://pypi.org/project/dvc,585539.0,https://anaconda.org/conda-forge/dvc,2024-01-18 11:52:04.002,1751275.0,1.0,,,,,,dvc,dvc,dvc,,,,,,,,
34,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-01-18 17:54:23.000000,2024-01-18 17:26:57,8019.0,126.0,1616.0,213.0,5641.0,844.0,4085.0,11703.0,Parallel computing with task scheduling.,592.0,41,True,,,163.0,dask,conda-forge/dask,,,,5891698.0,56367.0,56367.0,https://pypi.org/project/dask,5649972.0,https://anaconda.org/conda-forge/dask,2024-01-13 01:04:10.654,10635982.0,1.0,,,,,,,,,stable/dask,,,,,,,
35,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-01-16 18:13:51.000000,2024-01-09 19:28:45,3619.0,36.0,710.0,141.0,1318.0,151.0,1742.0,8664.0,Declarative statistical visualization library for Python.,160.0,41,True,2023-11-28 06:23:39,5.2.0,27.0,altair,conda-forge/altair,,,96.0,14736881.0,100907.0,100907.0,https://pypi.org/project/altair,14651965.0,https://anaconda.org/conda-forge/altair,2023-12-05 00:22:25.208,2122899.0,1.0,,,,,,,,,,,,,,,,
36,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-01-18 18:05:27.000000,2024-01-16 16:57:18,13798.0,35.0,2115.0,186.0,4340.0,533.0,2038.0,5742.0,Image processing in Python.,645.0,41,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,12587529.0,167139.0,167139.0,https://pypi.org/project/scikit-image,12450452.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5894337.0,1.0,,,,,,,,,,,,,,,,
37,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-01-18 17:42:34.000000,2024-01-18 00:43:59,2060.0,170.0,3533.0,310.0,2431.0,801.0,1495.0,30854.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",281.0,40,True,2023-12-21 00:46:35,0.12.6,65.0,deepspeed,,,['pytorch'],,353903.0,5452.0,5452.0,https://pypi.org/project/deepspeed,353536.0,,,,1.0,,,,,,,,,,deepspeed/deepspeed,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17646.0,,
38,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-01-16 00:03:21.000000,2024-01-09 16:34:26,2585.0,35.0,3013.0,251.0,787.0,1421.0,957.0,20981.0,A game theoretic approach to explain the output of any machine learning model.,229.0,40,True,2023-12-07 12:14:26,0.44.0,51.0,shap,conda-forge/shap,,,,6697336.0,15326.0,15326.0,https://pypi.org/project/shap,6636486.0,https://anaconda.org/conda-forge/shap,2024-01-08 16:40:58.890,2251457.0,1.0,shap/shap,,,,,,,,,,,,,,,
39,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2024-01-18 16:54:13.000000,2023-11-29 14:40:08,32592.0,13.0,4334.0,351.0,6322.0,2.0,6641.0,17475.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",592.0,40,True,2023-12-05 16:10:28,3.5.17,100.0,rasa,,,['tensorflow'],,156914.0,3886.0,3886.0,https://pypi.org/project/rasa,156914.0,,,,1.0,,,,,,,,,,,,,,,,
40,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/piskvorky/gensim,https://github.com/piskvorky/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2024-01-01 12:37:49.000000,2023-10-01 14:51:00,4509.0,,4153.0,433.0,1685.0,376.0,1444.0,14926.0,Topic Modelling for Humans.,449.0,40,True,2023-08-24 08:44:46,4.3.2,43.0,gensim,conda-forge/gensim,,,4553.0,3554051.0,54779.0,54779.0,https://pypi.org/project/gensim,3518913.0,https://anaconda.org/conda-forge/gensim,2023-08-24 12:30:21.806,1193145.0,1.0,piskvorky/gensim,,,,,,,,,,,,,,,
41,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2024-01-16 10:09:28.000000,2024-01-15 19:27:37,1145.0,66.0,2042.0,234.0,523.0,158.0,1050.0,11062.0,Download market data from Yahoo! Finances API.,102.0,40,True,2024-01-07 00:35:55,0.2.35,72.0,yfinance,ranaroussi/yfinance,,,,1199850.0,32079.0,32079.0,https://pypi.org/project/yfinance,1197022.0,https://anaconda.org/ranaroussi/yfinance,2023-06-16 19:26:44.442,84840.0,1.0,,,,,,,,,,,,,,,,
42,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2024-01-18 18:14:39.000000,2024-01-17 18:54:19,6055.0,172.0,568.0,55.0,3924.0,812.0,2110.0,7721.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,171.0,40,True,2024-01-09 21:46:16,0.16.2,100.0,wandb,conda-forge/wandb,,,,10548985.0,36700.0,36700.0,https://pypi.org/project/wandb,10538427.0,https://anaconda.org/conda-forge/wandb,2024-01-10 00:10:20.527,443468.0,2.0,wandb/wandb,,,,,,,,,,,,,,,
