,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-11-23 17:04:19.000000,2023-11-23 00:40:41,19926.0,1054.0,4750.0,468.0,25124.0,3081.0,12866.0,28731.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,943.0,44,True,2023-11-03 00:55:09,ray-2.8.0,74.0,ray,conda-forge/ray-tune,,,,12401.0,12401.0,https://pypi.org/project/ray,2511898.0,2516883.0,https://anaconda.org/conda-forge/ray-tune,2023-11-21 15:48:30.221,174453.0,,,,,1.0,120.0,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-11-23 13:38:23.000000,2023-11-22 11:55:00,16075.0,72.0,4141.0,565.0,3916.0,76.0,5429.0,27614.0,Industrial-strength Natural Language Processing (NLP) in Python.,745.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,74534.0,74534.0,https://pypi.org/project/spacy,6428920.0,6509124.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3288401.0,,,,,1.0,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-11-23 08:02:19.000000,2023-11-22 16:12:39,6641.0,117.0,8121.0,914.0,4803.0,335.0,4656.0,25015.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",630.0,44,True,2023-11-09 20:24:31,2.0.2,55.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,72718.0,72718.0,https://pypi.org/project/xgboost,10975526.0,11085633.0,https://anaconda.org/conda-forge/xgboost,2023-11-17 02:03:43.585,4401665.0,,,,,2.0,7668.0,,,,,,,,,,,,
19,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-11-23 17:35:59.000000,2023-11-22 21:03:48,5048.0,486.0,3572.0,290.0,6988.0,1044.0,2260.0,15880.0,Open source platform for the machine learning lifecycle.,670.0,44,True,2023-11-16 02:55:35,2.8.1,77.0,mlflow,conda-forge/mlflow,,,,26339.0,26339.0,https://pypi.org/project/mlflow,14670022.0,14710426.0,https://anaconda.org/conda-forge/mlflow,2023-11-18 15:22:57.599,1656596.0,,,,,1.0,,,,,,,,,,,,,
20,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-11-23 14:46:46.000000,2023-11-23 12:59:57,6249.0,72.0,2389.0,279.0,1573.0,1389.0,1364.0,14444.0,The interactive graphing library for Python This project now includes Plotly Express!.,251.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,218085.0,218085.0,https://pypi.org/project/plotly,11355116.0,11526250.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5076790.0,,,,,1.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,50259.0,,,,,,,,,
21,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-11-22 16:31:57.000000,2023-11-20 23:41:49,56618.0,849.0,3993.0,289.0,12780.0,4241.0,8564.0,11565.0,A computer algebra system written in pure Python.,1259.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,94561.0,94561.0,https://pypi.org/project/sympy,10144454.0,10201172.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4725278.0,,,,,1.0,522674.0,,,,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-23 13:31:31.000000,2023-11-22 18:52:36,20308.0,113.0,4051.0,444.0,5886.0,730.0,6751.0,18333.0,"Interactive Data Visualization in the browser, from Python.",675.0,43,True,,,55.0,bokeh,conda-forge/bokeh,,,,79524.0,79524.0,https://pypi.org/project/bokeh,3680901.0,4000567.0,https://anaconda.org/conda-forge/bokeh,2023-11-09 21:55:31.595,13106340.0,,,,,1.0,,,,,,,,,,,,,
23,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-11-23 15:55:19.000000,2023-11-16 11:26:49,2597.0,112.0,3502.0,439.0,3027.0,264.0,2286.0,15926.0,Open standard for machine learning interoperability.,300.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,20855.0,20855.0,https://pypi.org/project/onnx,4320793.0,4342575.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,882122.0,,,,,1.0,19504.0,,,,,,,,,,,,
24,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-11-23 04:45:42.000000,2023-11-22 21:50:31,3379.0,55.0,3642.0,441.0,3029.0,303.0,2863.0,15663.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 01:51:05,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,27149.0,27149.0,https://pypi.org/project/lightgbm,6582955.0,6641317.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2118324.0,,,,,2.0,206787.0,,,,,,,,,,,,
25,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-11-22 16:37:32.000000,2023-11-18 16:05:22,3204.0,41.0,1737.0,258.0,1064.0,114.0,2315.0,11367.0,Statistical data visualization in Python.,205.0,43,True,2023-09-29 19:01:44,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,327642.0,327642.0,https://pypi.org/project/seaborn,12282922.0,12473740.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7823466.0,,,,,1.0,303.0,,,,,,,,,,,,
26,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-11-20 09:37:13.000000,2023-10-29 06:30:59,15118.0,20.0,2600.0,278.0,3815.0,2535.0,2715.0,9043.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,43,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,107884.0,107884.0,https://pypi.org/project/statsmodels,11436141.0,11725910.0,https://anaconda.org/conda-forge/statsmodels,2023-10-05 23:45:15.777,11880539.0,,,,,2.0,29.0,,,,,,,,,,,,
27,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-11-22 19:57:49.000000,2023-11-16 20:08:31,5720.0,82.0,1561.0,196.0,4858.0,593.0,1215.0,6403.0,TensorFlows Visualization Toolkit.,309.0,43,True,2023-11-02 18:45:45,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],199885.0,199885.0,https://pypi.org/project/tensorboard,21813629.0,21921556.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4425020.0,,,,,1.0,,,,,,,,,,,,,
28,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-11-23 08:41:59.000000,2023-11-23 08:41:57,5962.0,381.0,1640.0,145.0,2963.0,413.0,2805.0,23673.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",225.0,42,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,17489.0,17489.0,https://pypi.org/project/gradio,3147935.0,3147935.0,,,,,,,,1.0,,,,,1.0,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-11-23 16:33:30.000000,2023-11-22 15:37:13,7511.0,144.0,2968.0,276.0,3550.0,185.0,2903.0,13469.0,Network Analysis in Python.,693.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,201794.0,201794.0,https://pypi.org/project/networkx,34504602.0,34868552.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14194065.0,,,,,1.0,65.0,,,,,,,,,,,,
30,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-11-22 15:59:49.000000,2023-11-22 15:59:49,4585.0,88.0,1966.0,1697.0,4419.0,229.0,2562.0,11342.0,WebGL2 powered visualization framework.,240.0,42,True,2023-10-24 16:55:44,8.9.32,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6774.0,6774.0,https://pypi.org/project/pydeck,1815963.0,2286863.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,462786.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,460616.0,,,,,,,,,
31,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-11-23 14:31:59.000000,2023-11-23 12:23:23,3599.0,48.0,703.0,144.0,1301.0,156.0,1721.0,8568.0,Declarative statistical visualization library for Python.,158.0,42,True,2023-10-03 18:18:45,5.1.2,26.0,altair,conda-forge/altair,,,,88273.0,88273.0,https://pypi.org/project/altair,14452662.0,14543803.0,https://anaconda.org/conda-forge/altair,2023-10-03 20:26:07.376,2096229.0,,,,,1.0,89.0,,,,,,,,,,,,
32,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-11-22 14:34:37.000000,2023-11-21 18:23:39,13779.0,110.0,2112.0,185.0,4314.0,520.0,2026.0,5680.0,Image processing in Python.,640.0,42,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,160975.0,160975.0,https://pypi.org/project/scikit-image,9250443.0,9392107.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5808238.0,,,,,1.0,,,,,,,,,,,,,
33,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-11-23 15:12:27.000000,2023-11-21 22:30:43,1961.0,198.0,3415.0,309.0,2309.0,738.0,1437.0,29710.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",265.0,41,True,2023-11-13 17:51:54,0.12.3,62.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4854.0,4854.0,https://pypi.org/project/deepspeed,420685.0,421061.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17301.0,1.0,,,,,,,,,,,,,
34,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-11-23 00:32:41.000000,2023-11-23 00:32:41,2094.0,101.0,4283.0,307.0,422.0,68.0,750.0,27710.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",124.0,41,True,2023-11-20 23:16:35,0.9.11,53.0,timm,conda-forge/timm,,,['pytorch'],18933.0,18933.0,https://pypi.org/project/timm,3424039.0,3534409.0,https://anaconda.org/conda-forge/timm,2023-11-21 15:19:20.412,112838.0,,,,,1.0,5807710.0,,,,,huggingface/pytorch-image-models,,,,,,,
35,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-11-20 21:16:42.000000,2023-11-04 16:10:10,2560.0,74.0,2967.0,258.0,761.0,1417.0,932.0,20553.0,A game theoretic approach to explain the output of any machine learning model.,226.0,41,True,2023-10-09 09:41:17,0.43.0,50.0,shap,conda-forge/shap,,,,14416.0,14416.0,https://pypi.org/project/shap,7194646.0,7257870.0,https://anaconda.org/conda-forge/shap,2023-10-09 21:10:21.871,2212862.0,,,,,1.0,,,,,,shap/shap,,,,,,,
36,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-11-17 07:58:04.000000,2023-11-09 20:19:22,14452.0,7.0,2682.0,466.0,1434.0,250.0,1493.0,12541.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,444.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,232994.0,232994.0,https://pypi.org/project/nltk,12863916.0,12890966.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2353373.0,,,,,1.0,,,,,,,,,,,,,
37,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-11-23 14:11:45.000000,2023-11-22 10:51:46,7914.0,72.0,1608.0,210.0,5515.0,831.0,4045.0,11538.0,Parallel computing with task scheduling.,590.0,41,True,,,160.0,dask,conda-forge/dask,,,,54660.0,54660.0,https://pypi.org/project/dask,7058076.0,7307939.0,https://anaconda.org/conda-forge/dask,2023-11-10 23:54:07.170,10494263.0,,,,,1.0,,,,,,,stable/dask,,,,,,
38,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2023-11-23 17:48:09.000000,2023-11-23 01:32:22,5959.0,221.0,550.0,54.0,3785.0,771.0,2068.0,7482.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,167.0,41,True,2023-11-07 21:04:35,0.16.0,100.0,wandb,conda-forge/wandb,,,,33161.0,33161.0,https://pypi.org/project/wandb,7784905.0,7795529.0,https://anaconda.org/conda-forge/wandb,2023-10-04 19:30:33.577,424964.0,,,,,1.0,,,,,,wandb/wandb,,,,,,,
39,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2023-11-22 05:23:46.000000,2023-11-01 22:40:55,2729.0,37.0,7259.0,616.0,2206.0,175.0,1580.0,24817.0,The fastai deep learning library.,244.0,40,True,2023-10-15 04:03:45,2.7.13,50.0,fastai,,,,['pytorch'],15346.0,15346.0,https://pypi.org/project/fastai,475278.0,475278.0,,,,,,,,2.0,,,,,,,,,,,,,
40,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-11-22 13:52:54.000000,2023-10-26 19:38:28,7069.0,67.0,1886.0,412.0,1004.0,759.0,839.0,19674.0,Data Apps & Dashboards for Python. No JavaScript Required.,142.0,40,True,2023-10-26 20:29:58,2.14.1,102.0,dash,conda-forge/dash,,,,54600.0,54600.0,https://pypi.org/project/dash,2210619.0,2238749.0,https://anaconda.org/conda-forge/dash,2023-10-27 05:04:11.728,1153342.0,,,,,2.0,,,,,,,,,,,,,
41,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2023-11-23 07:37:26.000000,2023-11-21 16:08:20,8497.0,70.0,2141.0,206.0,4140.0,13.0,1904.0,19365.0,Build multimodal AI applications with cloud-native stack.,177.0,40,True,2023-11-20 10:05:49,3.23.0,100.0,jina,conda-forge/jina-core,jinaai/jina,,,1309.0,1309.0,https://pypi.org/project/jina,82133.0,112355.0,https://anaconda.org/conda-forge/jina-core,2023-06-16 19:27:18.682,57988.0,https://hub.docker.com/r/jinaai/jina,2023-11-21 16:28:09.474671,8.0,1259678.0,2.0,,,,,,,,,,,,,
