,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2025-07-10 15:06:39.000000,2025-07-10 15:06:37,13741.0,594.0,17750.0,773.0,18110.0,221.0,8338.0,111156.0,Build context-aware reasoning applications.,3401.0,50,True,2025-07-08 20:56:59,langchain-ollama==0.3.4,100.0,langchain,,,,,270770.0,270770.0,https://pypi.org/project/langchain,75645079.0,75645079.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-07-10 15:45:37.000000,2025-07-10 15:45:37,52736.0,383.0,7753.0,588.0,19350.0,1235.0,9657.0,21418.0,matplotlib: plotting with Python.,1825.0,49,True,2025-05-09 17:22:05,3.10.3,93.0,matplotlib,conda-forge/matplotlib,,,,1839944.0,1839944.0,https://pypi.org/project/matplotlib,91241973.0,91753212.0,https://anaconda.org/conda-forge/matplotlib,2025-05-15 21:25:31.306,31185579.0,,,,,1.0,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2025-07-10 12:15:02.000000,2025-07-10 12:15:02,60518.0,494.0,4648.0,289.0,14054.0,4557.0,9152.0,13733.0,A computer algebra system written in pure Python.,1385.0,48,True,2025-04-27 18:05:25,1.14.0,58.0,sympy,conda-forge/sympy,,,,281804.0,281804.0,https://pypi.org/project/sympy,52698315.0,52853557.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,9383521.0,,,,,1.0,560883.0,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-07-10 08:06:33.000000,2025-07-10 08:06:32,19748.0,312.0,2161.0,219.0,5556.0,65.0,3255.0,12902.0,Python Imaging Library (Fork).,489.0,48,True,2025-07-01 09:23:32,11.3.0,60.0,Pillow,conda-forge/pillow,,,,2374076.0,2374076.0,https://pypi.org/project/Pillow,158623527.0,159568561.0,https://anaconda.org/conda-forge/pillow,2025-07-02 19:37:26.196,56702099.0,,,,,1.0,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-07-10 18:27:16.000000,2025-07-10 18:19:17,25950.0,1147.0,6358.0,487.0,33620.0,2664.0,17906.0,37932.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1269.0,47,True,2025-06-18 17:53:53,ray-2.47.1,100.0,ray,conda-forge/ray-tune,,,,25508.0,25508.0,https://pypi.org/project/ray,13552120.0,13567048.0,https://anaconda.org/conda-forge/ray-tune,2025-06-22 12:48:48.809,820880.0,,,,,1.0,262.0,,,,,,,,,,,
15,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-07-10 13:56:45.000000,2025-07-08 14:35:47,8095.0,249.0,2636.0,279.0,1918.0,652.0,2563.0,17422.0,The interactive graphing library for Python.,290.0,47,True,2025-06-26 16:24:04,6.2.0,109.0,plotly,conda-forge/plotly,,,,453811.0,453811.0,https://pypi.org/project/plotly,26770850.0,26939067.0,https://anaconda.org/conda-forge/plotly,2025-06-27 11:54:45.015,10182740.0,,,,,1.0,380.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,3977.0,,,,,,,,
16,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-07-10 18:24:52.000000,2025-07-10 12:16:10,7943.0,493.0,3533.0,323.0,6521.0,1080.0,4185.0,40346.0,Streamlit A faster way to build and share data apps.,286.0,46,True,2025-06-26 16:03:09,1.46.1,100.0,streamlit,,,,,994108.0,994108.0,https://pypi.org/project/streamlit,13246800.0,13246800.0,,,,,,,,1.0,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-07-10 10:18:53.000000,2025-07-10 10:18:53,7462.0,62.0,8287.0,904.0,6020.0,412.0,5091.0,27090.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",664.0,46,True,2025-05-25 08:57:01,3.0.2,66.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,165784.0,165784.0,https://pypi.org/project/xgboost,26122355.0,26227012.0,https://anaconda.org/conda-forge/xgboost,2025-05-26 23:05:23.787,6271747.0,,,,,1.0,17485.0,,,,,,,,,,,
18,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-07-10 06:30:22.725000,2025-07-08 20:07:20,8604.0,269.0,2127.0,422.0,1295.0,493.0,1463.0,23278.0,Data Apps & Dashboards for Python. No JavaScript Required.,185.0,46,True,2025-06-30 15:33:17,3.1.1,117.0,dash,conda-forge/dash,,,,88505.0,88505.0,https://pypi.org/project/dash,5785972.0,5817145.0,https://anaconda.org/conda-forge/dash,2025-07-10 06:30:22.725,1901526.0,,,,,1.0,90.0,,,,,,,,,,,
19,llama_index,run-llama/llama_index,agents,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2025-07-10 17:47:26.000000,2025-07-10 17:47:25,6796.0,516.0,6068.0,263.0,7547.0,221.0,6279.0,42992.0,LlamaIndex is the leading framework for building LLM-powered agents over your data.,1641.0,45,True,2025-07-09 18:35:49,0.12.48,100.0,llama_index,,,,,22863.0,22863.0,https://pypi.org/project/llama_index,4018066.0,4018146.0,,,,,,,,2.0,1052.0,,,,1.0,,,,,,,
20,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-07-10 18:04:51.000000,2025-07-10 17:09:45,28917.0,1899.0,3040.0,327.0,20546.0,1557.0,4811.0,32743.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",919.0,45,True,2025-06-17 23:06:20,jax-v0.6.2,100.0,jax,conda-forge/jaxlib,,,,45843.0,45843.0,https://pypi.org/project/jax,8864296.0,8911016.0,https://anaconda.org/conda-forge/jaxlib,2025-05-31 06:42:56.357,2849970.0,,,,,1.0,,,,,,jax-ml/jax,,,,,,
21,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-07-10 17:04:12.000000,2025-07-10 17:04:12,54651.0,1142.0,5616.0,714.0,54873.0,1012.0,17844.0,23021.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1406.0,45,True,2025-06-29 10:16:00,3.1.0,65.0,paddlepaddle,,,,['paddle'],8586.0,8586.0,https://pypi.org/project/paddlepaddle,435666.0,435810.0,,,,,,,,1.0,15437.0,,,,,,,,,,,
22,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-07-10 17:06:41.000000,2025-07-10 17:03:47,8169.0,687.0,4539.0,309.0,11871.0,1465.0,2963.0,21192.0,Open source platform for the machine learning lifecycle.,873.0,45,True,2025-06-25 10:15:17,3.1.1,100.0,mlflow,conda-forge/mlflow,,,,64552.0,64552.0,https://pypi.org/project/mlflow,20394131.0,20448859.0,https://anaconda.org/conda-forge/mlflow,2025-06-30 12:49:28.573,3338459.0,,,,,1.0,,,,,,,,,,,,
23,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2025-07-09 13:43:23.000000,2025-07-09 13:28:02,6666.0,219.0,8310.0,462.0,3616.0,139.0,9656.0,51430.0,"Awesome multilingual OCR and Document Parsing toolkits based on PaddlePaddle (practical ultra lightweight OCR system,..",253.0,44,True,2025-06-29 06:57:35,3.1.0,22.0,paddleocr,,,,['paddle'],6015.0,6015.0,https://pypi.org/project/paddleocr,506148.0,540575.0,,,,,,,,1.0,1996783.0,,,,,,,,,,,
24,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2025-07-10 16:46:33.000000,2025-07-10 16:46:26,2823.0,377.0,8014.0,203.0,4518.0,279.0,11170.0,42923.0,Ultralytics YOLO11.,286.0,44,True,2025-07-08 11:22:30,8.3.163,100.0,ultralytics,,,,,56076.0,56076.0,https://pypi.org/project/ultralytics,5577908.0,5577908.0,,,,,,,,1.0,,,,,,,,,,,,
25,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-07-10 16:27:53.000000,2025-07-10 06:44:35,7869.0,238.0,2931.0,188.0,5301.0,422.0,5412.0,38957.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",427.0,44,True,2025-07-10 06:50:27,gradio@5.36.2,100.0,gradio,,,,,81887.0,81887.0,https://pypi.org/project/gradio,7554427.0,7554427.0,,,,,,,,1.0,,,,,,,,,,,,
26,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-07-09 21:06:52.000000,2025-07-09 21:06:51,10681.0,134.0,3466.0,255.0,10583.0,955.0,6407.0,29765.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1026.0,44,True,2025-06-20 15:56:59,2.5.2,123.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],47731.0,47731.0,https://pypi.org/project/pytorch-lightning,10147962.0,10174532.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-06-21 11:25:06.850,1602751.0,,,,,2.0,13947.0,,,,,Lightning-AI/pytorch-lightning,,,,,,
27,chroma,chroma-core/chroma,nn-search,,https://github.com/chroma-core/chroma,https://github.com/chroma-core/chroma,Apache-2.0,2022-10-05 17:58:44.000,2025-07-10 16:48:54.000000,2025-07-10 00:18:44,3132.0,503.0,1664.0,111.0,3606.0,203.0,1238.0,20978.0,the AI-native open-source embedding database.,164.0,44,True,2025-07-02 17:07:55,1.0.15,93.0,chromadb,,,,,86699.0,86699.0,https://pypi.org/project/chromadb,5098064.0,5098104.0,,,,,,,,1.0,1338.0,,,,,,,,,,,
28,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-07-10 11:40:22.000000,2025-07-10 11:40:22,2334.0,496.0,2569.0,143.0,736.0,1254.0,1165.0,17117.0,State-of-the-Art Text Embeddings.,230.0,44,True,2025-07-01 13:56:10,5.0.0,54.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],120169.0,120169.0,https://pypi.org/project/sentence-transformers,10450487.0,10463878.0,https://anaconda.org/conda-forge/sentence-transformers,2025-07-01 20:49:11.289,776694.0,,,,,1.0,,,,,,,,,,,,
29,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-07-07 06:01:37.000000,2025-07-06 02:34:15,14769.0,27.0,2838.0,455.0,1522.0,249.0,1604.0,14167.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,472.0,44,True,,,19.0,nltk,conda-forge/nltk,,,,406140.0,406140.0,https://pypi.org/project/nltk,30665836.0,30728263.0,https://anaconda.org/conda-forge/nltk,2025-04-22 14:56:27.119,3246224.0,,,,,1.0,,,,,,,,,,,,
30,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-07-10 14:19:56.000000,2025-07-10 14:19:56,9584.0,54.0,1750.0,212.0,6316.0,983.0,4422.0,13329.0,Parallel computing with task scheduling.,624.0,44,True,2025-05-20 19:54:12,2025.5.1,196.0,dask,conda-forge/dask,,,,76322.0,76322.0,https://pypi.org/project/dask,14383857.0,14601626.0,https://anaconda.org/conda-forge/dask,2025-07-08 16:46:43.852,13501733.0,,,,,1.0,,,,,,,stable/dask,,,,,
31,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-07-10 04:07:04.000000,2025-07-10 04:07:04,19524.0,453.0,1119.0,116.0,4003.0,61.0,1692.0,12274.0,A hyperparameter optimization framework.,310.0,44,True,2025-06-16 05:12:20,4.4.0,74.0,optuna,conda-forge/optuna,,,,28753.0,28753.0,https://pypi.org/project/optuna,4777597.0,4826753.0,https://anaconda.org/conda-forge/optuna,2025-06-17 02:59:31.546,2998537.0,,,,,1.0,,,,,,,,,,,,
32,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-07-10 15:48:35.000000,2025-07-10 15:48:35,15723.0,27.0,3102.0,288.0,4023.0,2734.0,2835.0,10798.0,Statsmodels: statistical modeling and econometrics in Python.,459.0,44,True,2025-07-07 10:26:06,0.14.5,30.0,statsmodels,conda-forge/statsmodels,,,,176810.0,176810.0,https://pypi.org/project/statsmodels,18043694.0,18374914.0,https://anaconda.org/conda-forge/statsmodels,2025-07-07 20:02:33.033,20204427.0,,,,,2.0,35.0,,,,1.0,,,,,,,
33,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2025-07-10 17:28:20.000000,2025-07-10 00:24:27,8148.0,290.0,745.0,62.0,6512.0,648.0,2972.0,10065.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",214.0,44,True,2025-07-02 00:25:13,0.21.0,100.0,wandb,conda-forge/wandb,,,,82533.0,82533.0,https://pypi.org/project/wandb,17981157.0,17999843.0,https://anaconda.org/conda-forge/wandb,2025-07-02 20:19:39.189,1120037.0,,,,,1.0,956.0,,,,,wandb/wandb,,,,,,
34,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-07-06 12:34:02.785000,2025-05-28 15:23:38,16246.0,18.0,4451.0,565.0,4060.0,161.0,5550.0,31938.0,Industrial-strength Natural Language Processing (NLP) in Python.,770.0,43,True,2025-05-23 08:53:14,release-v3.8.7,100.0,spacy,conda-forge/spacy,,,,138687.0,138687.0,https://pypi.org/project/spacy,11539477.0,11636834.0,https://anaconda.org/conda-forge/spacy,2025-07-06 12:34:02.785,5936618.0,,,,,1.0,3203.0,,,,,,,,,,,
35,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-07-10 15:25:00.000000,2025-07-10 15:25:00,3245.0,124.0,3706.0,437.0,3876.0,255.0,2730.0,19222.0,Open standard for machine learning interoperability.,352.0,43,True,2025-05-12 23:07:37,1.18.0,32.0,onnx,conda-forge/onnx,,,,48125.0,48125.0,https://pypi.org/project/onnx,7360458.0,7391379.0,https://anaconda.org/conda-forge/onnx,2025-07-07 08:49:19.352,1870685.0,,,,,2.0,23807.0,,,,,,,,,,,
36,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2025-07-06 16:25:30.000000,2025-07-06 16:18:39,1603.0,103.0,2658.0,254.0,768.0,109.0,1496.0,18193.0,Download market data from Yahoo! Finances API.,135.0,43,True,2025-07-06 16:19:57,0.2.65,100.0,yfinance,ranaroussi/yfinance,,,,84557.0,84557.0,https://pypi.org/project/yfinance,4138223.0,4140269.0,https://anaconda.org/ranaroussi/yfinance,2025-03-25 16:27:42.706,98249.0,,,,,1.0,,,,,,,,,,,,
37,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2025-07-09 16:53:27.000000,2025-07-09 16:53:27,8020.0,71.0,3301.0,281.0,4202.0,187.0,3108.0,15939.0,Network Analysis in Python.,780.0,43,True,2025-05-29 11:58:31,networkx-3.5,62.0,networkx,conda-forge/networkx,,,,424402.0,424402.0,https://pypi.org/project/networkx,100683796.0,101077231.0,https://anaconda.org/conda-forge/networkx,2025-06-04 23:05:28.954,23212703.0,,,,,1.0,113.0,,,,,,,,,,,
38,langgraph,langchain-ai/langgraph,agents,,https://github.com/langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,MIT,2023-08-09 18:33:12.000,2025-07-10 16:29:44.000000,2025-07-10 02:07:48,5901.0,931.0,2642.0,97.0,3285.0,104.0,687.0,15496.0,Build resilient language agents as graphs.,220.0,43,True,2025-07-09 19:15:35,0.5.2,100.0,langgraph,,,,,32144.0,32144.0,https://pypi.org/project/langgraph,6602288.0,6602288.0,,,,,,,,2.0,,,,,,,,,,,,
39,MoviePy,Zulko/moviepy,image,,https://github.com/Zulko/moviepy,https://github.com/Zulko/moviepy,MIT,2013-08-12 09:39:28.000,2025-07-08 13:39:34.000000,2025-07-08 13:39:33,1513.0,74.0,1787.0,254.0,761.0,39.0,1593.0,13669.0,Video editing with Python.,188.0,43,True,2025-05-21 19:31:17,2.2.1,20.0,moviepy,conda-forge/moviepy,,,,65800.0,65800.0,https://pypi.org/project/moviepy,3564945.0,3568174.0,https://anaconda.org/conda-forge/moviepy,2025-04-22 14:56:38.733,310001.0,,,,,1.0,,,,,,,,,,,,
40,accelerate,huggingface/accelerate,pytorch-utils,,https://github.com/huggingface/accelerate,https://github.com/huggingface/accelerate,Apache-2.0,2020-10-30 13:27:12.000,2025-07-10 11:56:39.000000,2025-07-09 14:05:22,1801.0,84.0,1133.0,98.0,1823.0,88.0,1749.0,8923.0,"A simple way to launch, train, and use PyTorch models on almost any device and distributed configuration, automatic..",358.0,43,True,2025-06-20 15:43:33,1.8.1,65.0,accelerate,conda-forge/accelerate,,,['pytorch'],101935.0,101935.0,https://pypi.org/project/accelerate,11661564.0,11671490.0,https://anaconda.org/conda-forge/accelerate,2025-06-30 22:50:34.074,446676.0,,,,,1.0,,,,,,,,,,,,
41,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2025-07-08 23:43:38.000000,2025-07-08 23:43:38,5905.0,11.0,1641.0,188.0,5088.0,645.0,1243.0,6922.0,TensorFlows Visualization Toolkit.,327.0,43,True,2025-02-12 08:16:26,2.19.0,64.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],330598.0,330598.0,https://pypi.org/project/tensorboard,26665195.0,26757982.0,https://anaconda.org/conda-forge/tensorboard,2025-04-22 14:56:43.843,5660053.0,,,,,1.0,,,,,,,,,,,,
42,ollama,jmorganca/ollama,agents,,https://github.com/ollama/ollama,https://github.com/ollama/ollama,MIT,2023-06-26 19:39:32.000,2025-07-10 17:26:30.000000,2025-07-09 17:35:31,4396.0,243.0,12107.0,838.0,3595.0,1574.0,5939.0,146132.0,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models.",497.0,42,True,2025-07-08 01:26:29,0.9.6,100.0,,,,,,70.0,70.0,,,3832581.0,,,,,,,,2.0,72819054.0,,,,,ollama/ollama,,,,,,
