,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,new_addition,maven_id,maven_url
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-07-04 17:40:54.000000,2024-07-04 02:52:17,10213.0,1616.0,13629.0,672.0,13423.0,678.0,6411.0,88548.0,Build context-aware reasoning applications.,2621.0,49,True,2024-07-02 22:23:31,langchain-openai==0.1.14,100.0,langchain,,,,,100413.0,100413.0,https://pypi.org/project/langchain,9426344.0,9426344.0,,,,,,,,1.0,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-07-04 15:37:10.000000,2024-07-04 00:15:51,50524.0,400.0,7315.0,595.0,18140.0,1190.0,9152.0,19637.0,matplotlib: plotting with Python.,1690.0,48,True,2024-07-04 07:18:52,3.9.1,86.0,matplotlib,conda-forge/matplotlib,,,,1249579.0,1249579.0,https://pypi.org/project/matplotlib,56458132.0,56958567.0,https://anaconda.org/conda-forge/matplotlib,2024-07-01 22:23:22.477,24521361.0,,,,,1.0,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-07-04 13:08:34.000000,2024-07-04 01:20:00,18119.0,501.0,2065.0,220.0,4924.0,78.0,3030.0,11881.0,Python Imaging Library (Fork).,473.0,48,True,2024-07-01 09:51:39,10.4.0,56.0,Pillow,conda-forge/pillow,,,,1727750.0,1727750.0,https://pypi.org/project/Pillow,89593385.0,90450593.0,https://anaconda.org/conda-forge/pillow,2024-07-02 08:21:06.154,41146009.0,,,,,1.0,,,,,,,,,,,,,
13,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-07-04 17:38:08.000000,2024-07-04 17:38:05,6461.0,235.0,2866.0,314.0,4636.0,845.0,3453.0,33174.0,Streamlit A faster way to build and share data apps.,233.0,46,True,2024-06-20 18:02:27,1.36.0,80.0,streamlit,,,,,427033.0,427033.0,https://pypi.org/project/streamlit,4698827.0,4698827.0,,,,,,,,1.0,,,,,,,,,,,,,
14,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-07-04 16:28:35.000000,2024-07-04 14:52:44,21711.0,1618.0,2619.0,326.0,14284.0,1363.0,3941.0,29051.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",715.0,45,True,2024-06-18 15:07:18,jaxlib-v0.4.30,100.0,jax,conda-forge/jaxlib,,,,27244.0,27244.0,https://pypi.org/project/jax,4365603.0,4393269.0,https://anaconda.org/conda-forge/jaxlib,2024-07-04 15:38:59.489,1355675.0,,,,,1.0,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-07-04 17:50:19.000000,2024-07-04 07:38:59,6947.0,152.0,8190.0,912.0,5325.0,392.0,4815.0,25771.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",646.0,45,True,2024-06-20 07:46:36,2.1.0,58.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,97836.0,97836.0,https://pypi.org/project/xgboost,17465029.0,17568822.0,https://anaconda.org/conda-forge/xgboost,2024-04-18 01:21:37.436,4978676.0,,,,,1.0,8812.0,,,,,,,,,,,,
16,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-07-04 17:42:05.000000,2024-07-04 14:09:35,49297.0,1642.0,5326.0,718.0,47383.0,975.0,17143.0,21792.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1215.0,45,True,2024-06-27 10:00:34,3.0.0-beta0,63.0,paddlepaddle,,,,['paddle'],5416.0,5416.0,https://pypi.org/project/paddlepaddle,189647.0,189808.0,,,,,,,,1.0,15379.0,,,,,,,,,,,,
17,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-07-04 13:47:33.000000,2024-07-03 17:41:05,58122.0,545.0,4258.0,294.0,13228.0,4365.0,8782.0,12573.0,A computer algebra system written in pure Python.,1306.0,45,True,2024-07-02 14:24:13,1.13.0rc4,51.0,sympy,conda-forge/sympy,,,,149507.0,149507.0,https://pypi.org/project/sympy,21748687.0,21871292.0,https://anaconda.org/conda-forge/sympy,2024-06-17 12:03:17.702,5924128.0,,,,,1.0,544303.0,,,,,,,,,,,,
18,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-07-03 14:41:18.000000,2024-06-26 15:26:25,15356.0,59.0,2663.0,282.0,3899.0,2630.0,2766.0,9718.0,Statsmodels: statistical modeling and econometrics in Python.,431.0,45,True,2024-04-17 08:07:37,0.14.2,27.0,statsmodels,conda-forge/statsmodels,,,,128571.0,128571.0,https://pypi.org/project/statsmodels,15090763.0,15371399.0,https://anaconda.org/conda-forge/statsmodels,2024-05-17 10:41:00.825,13751199.0,,,,,1.0,33.0,,,,,,,,,,,,
19,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-07-04 18:12:58.000000,2024-07-04 09:00:36,22053.0,832.0,5342.0,472.0,28208.0,3334.0,14597.0,31954.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1036.0,44,True,2024-06-26 22:06:37,ray-2.31.0,89.0,ray,conda-forge/ray-tune,,,,16442.0,16442.0,https://pypi.org/project/ray,3380752.0,3386904.0,https://anaconda.org/conda-forge/ray-tune,2024-07-03 08:07:39.651,264451.0,,,,,1.0,221.0,,,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-07-04 07:17:24.916000,2024-06-26 07:41:23,16134.0,12.0,4249.0,558.0,4005.0,103.0,5509.0,29200.0,Industrial-strength Natural Language Processing (NLP) in Python.,751.0,44,True,2024-06-05 07:57:36,3.7.5,100.0,spacy,conda-forge/spacy,,,,92562.0,92562.0,https://pypi.org/project/spacy,8980690.0,9054078.0,https://anaconda.org/conda-forge/spacy,2024-07-04 07:17:24.916,3596018.0,,,,,1.0,,,,,,,,,,,,,
21,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-07-04 14:05:38.000000,2024-07-04 14:05:36,10357.0,97.0,3237.0,246.0,10181.0,773.0,6220.0,27456.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",960.0,44,True,2024-07-04 09:06:51,2.3.2,114.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],34125.0,34125.0,https://pypi.org/project/pytorch-lightning,4985249.0,5009708.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-06-14 11:23:05.081,1187907.0,,,,,2.0,7994.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,
22,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-07-04 16:37:07.000000,2024-07-04 07:11:12,6188.0,529.0,3903.0,292.0,8601.0,1225.0,2481.0,17859.0,Open source platform for the machine learning lifecycle.,743.0,44,True,2024-07-04 01:46:55,2.14.2,95.0,mlflow,conda-forge/mlflow,,,,38263.0,38263.0,https://pypi.org/project/mlflow,12968212.0,13010325.0,https://anaconda.org/conda-forge/mlflow,2024-07-04 08:35:31.242,2063567.0,,,,,1.0,,,,,,,,,,,,,
23,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-07-03 19:02:22.000000,2024-07-03 18:44:48,6505.0,90.0,2472.0,272.0,1653.0,658.0,2218.0,15643.0,The interactive graphing library for Python This project now includes Plotly Express!.,263.0,44,True,2024-05-01 14:04:11,5.22.0,100.0,plotly,conda-forge/plotly,,,,280458.0,280458.0,https://pypi.org/project/plotly,13889649.0,14021379.0,https://anaconda.org/conda-forge/plotly,2024-05-04 13:44:40.868,6235185.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,7027.0,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-07-04 08:15:22.000000,2024-07-03 15:09:00,8233.0,83.0,1660.0,209.0,5869.0,882.0,4194.0,12216.0,Parallel computing with task scheduling.,602.0,44,True,2024-06-20 19:57:47,2024.6.2,176.0,dask,conda-forge/dask,,,,61938.0,61938.0,https://pypi.org/project/dask,8921143.0,9149536.0,https://anaconda.org/conda-forge/dask,2024-06-21 00:00:21.384,11419677.0,,,,,1.0,,,,,,stable/dask,,,,,,,
25,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-07-04 13:35:13.000000,2024-07-03 21:31:20,10798.0,324.0,18695.0,1910.0,7293.0,208.0,11763.0,61263.0,Deep Learning for humans.,1311.0,43,True,2024-06-26 15:42:10,3.4.1,69.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,14381464.0,14454350.0,https://anaconda.org/conda-forge/keras,2024-06-27 02:35:59.999,3571437.0,,,,,2.0,,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-07-04 14:14:51.000000,2024-07-04 13:51:21,6778.0,309.0,2251.0,164.0,3906.0,495.0,3916.0,30699.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",310.0,43,True,2024-06-28 16:44:46,@gradio/uploadbutton@0.6.13,100.0,gradio,,,,,34356.0,34356.0,https://pypi.org/project/gradio,6538056.0,6538056.0,,,,,,,,1.0,,,,,,,,,,,,,
27,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-07-04 15:27:33.000000,2024-07-03 10:12:22,2704.0,56.0,3137.0,239.0,899.0,790.0,1692.0,22080.0,A game theoretic approach to explain the output of any machine learning model.,241.0,43,True,2024-06-27 10:06:50,0.46.0,55.0,shap,conda-forge/shap,,,,18602.0,18602.0,https://pypi.org/project/shap,6584062.0,6657234.0,https://anaconda.org/conda-forge/shap,2024-05-08 21:55:59.406,3146414.0,,,,,1.0,,shap/shap,,,,,,,,,,,
28,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-07-04 17:50:20.000000,2024-07-04 11:09:08,20541.0,91.0,4115.0,442.0,6101.0,746.0,6916.0,19018.0,"Interactive Data Visualization in the browser, from Python.",695.0,43,True,,,61.0,bokeh,conda-forge/bokeh,,,,89530.0,89530.0,https://pypi.org/project/bokeh,3799723.0,4090998.0,https://anaconda.org/conda-forge/bokeh,2024-06-25 14:13:53.619,14272492.0,,,,,1.0,,,,,,,,,,,,,
29,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-07-03 20:52:34.000000,2024-07-03 16:50:45,2760.0,53.0,3560.0,435.0,3250.0,289.0,2447.0,17215.0,Open standard for machine learning interoperability.,318.0,43,True,2024-05-23 17:50:05,1.16.1,29.0,onnx,conda-forge/onnx,,,,29875.0,29875.0,https://pypi.org/project/onnx,4668335.0,4690482.0,https://anaconda.org/conda-forge/onnx,2024-05-24 08:39:44.809,1072535.0,,,,,1.0,21058.0,,,,,,,,,,,,
30,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-07-04 06:04:30.000000,2024-07-04 03:41:25,3505.0,60.0,3725.0,436.0,3171.0,336.0,2997.0,16337.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",306.0,43,True,2024-06-15 04:08:32,4.4.0,32.0,lightgbm,conda-forge/lightgbm,,,,34660.0,34660.0,https://pypi.org/project/lightgbm,7297642.0,7352590.0,https://anaconda.org/conda-forge/lightgbm,2024-07-03 07:58:04.702,2407709.0,,,,,2.0,226884.0,,,,,,,,,,,,
31,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-07-04 15:05:22.000000,2024-07-04 15:05:12,4932.0,116.0,2034.0,1684.0,4787.0,279.0,2698.0,11890.0,WebGL2 powered visualization framework.,267.0,43,True,2024-07-03 11:02:06,9.0.21,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],7776.0,7776.0,https://pypi.org/project/pydeck,3435271.0,3956748.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,553713.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,511030.0,,,,,,,,
32,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-07-04 17:24:59.000000,2024-07-04 17:14:54,4634.0,822.0,4556.0,234.0,5176.0,628.0,3758.0,33284.0,LlamaIndex is a data framework for your LLM applications.,1060.0,42,True,2024-07-03 21:54:35,0.10.52,100.0,llama-index,,,,,9760.0,9760.0,https://pypi.org/project/llama-index,862529.0,862649.0,,,,,,,,1.0,844.0,,,,,,,,,,,,
33,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2024-07-04 17:51:04.000000,2024-07-04 16:58:04,1332.0,275.0,4976.0,151.0,2481.0,691.0,7049.0,25739.0,NEW - YOLOv8 in PyTorch ONNX OpenVINO CoreML TFLite.,153.0,42,True,2024-07-04 16:59:46,8.2.49,22.0,ultralytics,,,,,19974.0,19974.0,https://pypi.org/project/ultralytics,2459108.0,2459108.0,,,,,,,,1.0,,,,,,,,,,,,,
34,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-07-04 15:44:04.000000,2024-07-04 15:44:04,7728.0,68.0,3102.0,282.0,3817.0,173.0,3006.0,14440.0,Network Analysis in Python.,727.0,42,True,2024-04-06 13:09:07,networkx-3.3,56.0,networkx,conda-forge/networkx,,,,269360.0,269360.0,https://pypi.org/project/networkx,48745957.0,49097378.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,16516787.0,,,,,1.0,71.0,,,,,,,,,,,,
35,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-06-28 11:55:27.000000,2024-06-16 15:43:29,3235.0,4.0,1816.0,261.0,1111.0,140.0,2383.0,12166.0,Statistical data visualization in Python.,213.0,42,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,431197.0,431197.0,https://pypi.org/project/seaborn,15906597.0,16095571.0,https://anaconda.org/conda-forge/seaborn,2024-04-30 16:33:12.611,9259607.0,,,,,1.0,409.0,,,,,,,,,,,,
36,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2024-07-04 01:09:55.000000,2024-07-04 00:58:56,6673.0,367.0,617.0,56.0,4717.0,835.0,2351.0,8582.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,183.0,42,True,2024-07-03 18:24:55,0.17.4,100.0,wandb,conda-forge/wandb,,,,49034.0,49034.0,https://pypi.org/project/wandb,11903843.0,11915144.0,https://anaconda.org/conda-forge/wandb,2024-06-27 19:54:28.094,542436.0,,,,,1.0,48.0,wandb/wandb,,,,,,,,,,,
37,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-07-03 14:49:14.000000,2024-07-03 14:49:14,5841.0,30.0,1610.0,193.0,5009.0,612.0,1234.0,6600.0,TensorFlows Visualization Toolkit.,320.0,42,True,2024-06-07 20:40:47,2.17.0,61.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],244736.0,244736.0,https://pypi.org/project/tensorboard,22563901.0,22661801.0,https://anaconda.org/conda-forge/tensorboard,2024-06-11 13:46:35.015,4797124.0,,,,,1.0,,,,,,,,,,,,,
38,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-07-03 21:36:03.000000,2024-07-03 21:36:03,14029.0,93.0,2141.0,186.0,4428.0,557.0,2079.0,5941.0,Image processing in Python.,665.0,42,True,2024-06-18 19:05:37,0.24.0,32.0,scikit-image,conda-forge/scikit-image,,,,187310.0,187310.0,https://pypi.org/project/scikit-image,11000259.0,11132188.0,https://anaconda.org/conda-forge/scikit-image,2024-06-27 18:46:03.341,6464555.0,,,,,1.0,,,,,,,,,,,,,
39,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-07-04 13:06:11.000000,2024-07-01 22:58:21,2360.0,125.0,3826.0,340.0,2810.0,987.0,1648.0,33685.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",320.0,41,True,2024-06-21 17:33:01,0.14.4,76.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],7767.0,7767.0,https://pypi.org/project/deepspeed,452744.0,453080.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,18184.0,1.0,,,,,,,,,,,,,
40,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-07-02 07:13:29.000000,2024-06-28 23:13:02,2350.0,158.0,4527.0,313.0,492.0,56.0,830.0,30632.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",142.0,41,True,2024-06-19 06:52:36,1.0.7,57.0,timm,conda-forge/timm,,,['pytorch'],31662.0,31662.0,https://pypi.org/project/timm,4463002.0,4575690.0,https://anaconda.org/conda-forge/timm,2024-06-20 21:36:56.536,179962.0,,,,,1.0,6754230.0,huggingface/pytorch-image-models,,,,,,,,,,,
41,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-07-04 14:15:52.000000,2024-07-04 14:15:44,7546.0,159.0,1969.0,417.0,1085.0,761.0,966.0,20852.0,Data Apps & Dashboards for Python. No JavaScript Required.,159.0,41,True,2024-06-12 15:55:56,2.17.1,108.0,dash,conda-forge/dash,,,,65407.0,65407.0,https://pypi.org/project/dash,2361304.0,2389105.0,https://anaconda.org/conda-forge/dash,2024-06-13 04:02:02.712,1362225.0,,,,,1.0,75.0,,,,,,,,,,,,
