,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,trending,new_addition
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-10-28 19:59:36.000000,2023-10-28 12:35:48,48823.0,828.0,7010.0,593.0,17316.0,1200.0,8682.0,18326.0,matplotlib: plotting with Python.,1597.0,48,True,2023-09-15 02:33:40,3.8.0,77.0,matplotlib,conda-forge/matplotlib,,,,982441.0,982441.0,https://pypi.org/project/matplotlib,41568372.0,42095382.0,https://anaconda.org/conda-forge/matplotlib,2023-10-12 18:45:12.490,21080428.0,,,,,1.0,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-10-28 08:11:33.000000,2023-10-28 08:11:33,16419.0,350.0,1924.0,225.0,4435.0,75.0,2854.0,11200.0,Python Imaging Library (Fork).,448.0,47,True,2023-10-15 13:05:17,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1393244.0,1393244.0,https://pypi.org/project/Pillow,69953034.0,70831811.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,34272328.0,,,,,1.0,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-10-29 01:51:42.000000,2023-10-28 21:45:35,56539.0,1541.0,3973.0,290.0,12730.0,4238.0,8538.0,11477.0,A computer algebra system written in pure Python.,1258.0,46,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,89265.0,89265.0,https://pypi.org/project/sympy,9559284.0,9615040.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4586862.0,,,,,1.0,519023.0,,,,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-10-28 14:49:48.000000,2023-10-28 09:36:59,18042.0,1184.0,2275.0,316.0,11432.0,1280.0,3351.0,25124.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",590.0,45,True,2023-10-19 20:04:45,jaxlib-v0.4.19,87.0,jax,conda-forge/jaxlib,,,,18637.0,18637.0,https://pypi.org/project/jax,3880273.0,3904500.0,https://anaconda.org/conda-forge/jaxlib,2023-10-25 14:41:56.031,969119.0,,,,,1.0,,,,,,,,,,,,,,
14,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-10-29 03:32:41.000000,2023-10-27 18:41:29,9843.0,354.0,2969.0,242.0,9588.0,659.0,5898.0,24976.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",908.0,45,True,2023-10-12 13:10:13,2.1.0,103.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],25311.0,25311.0,https://pypi.org/project/pytorch-lightning,4040101.0,4065277.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-10-12 22:54:18.350,990290.0,,,,,1.0,13418.0,,,,,,,,,,,,,
15,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-10-29 03:32:40.000000,2023-10-29 03:32:39,44387.0,1616.0,5148.0,726.0,40812.0,1075.0,16362.0,20963.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1112.0,45,True,2023-07-25 11:09:59,2.5.0,60.0,paddlepaddle,,,,['paddle'],4163.0,4163.0,https://pypi.org/project/paddlepaddle,175347.0,175525.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-10-28 14:39:25.000000,2023-10-28 14:39:24,9898.0,529.0,18521.0,1919.0,6677.0,111.0,11245.0,59615.0,Deep Learning for humans.,1246.0,44,True,2023-09-12 16:19:40,2.14.0,52.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,12857451.0,12939931.0,https://anaconda.org/conda-forge/keras,2023-10-27 17:22:04.536,3299235.0,,,,,2.0,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-10-29 03:52:28.000000,2023-10-28 04:42:19,19652.0,1274.0,4715.0,465.0,24772.0,3068.0,12647.0,28375.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,934.0,44,True,2023-10-09 17:47:23,ray-2.7.1,73.0,ray,conda-forge/ray-tune,,,,11981.0,11981.0,https://pypi.org/project/ray,2438005.0,2443024.0,https://anaconda.org/conda-forge/ray-tune,2023-10-17 08:48:26.741,170627.0,,,,,1.0,95.0,,,,,,,,,,,,,
18,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-10-25 13:11:24.000000,2023-10-23 09:59:18,16059.0,77.0,4129.0,562.0,3903.0,73.0,5419.0,27449.0,Industrial-strength Natural Language Processing (NLP) in Python.,742.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,72521.0,72521.0,https://pypi.org/project/spacy,7091408.0,7173045.0,https://anaconda.org/conda-forge/spacy,2023-10-10 09:44:18.186,3265494.0,,,,,1.0,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-10-28 08:33:58.000000,2023-10-28 08:33:58,6615.0,154.0,8113.0,914.0,4758.0,322.0,4639.0,24909.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",628.0,44,True,2023-10-24 08:56:42,2.0.1,54.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,70118.0,70118.0,https://pypi.org/project/xgboost,11354560.0,11466233.0,https://anaconda.org/conda-forge/xgboost,2023-10-24 05:08:56.957,4352768.0,,,,,2.0,7421.0,,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-10-28 23:53:49.000000,2023-10-28 23:53:48,4933.0,517.0,3524.0,293.0,6774.0,1000.0,2240.0,15660.0,Open source platform for the machine learning lifecycle.,666.0,44,True,2023-09-17 21:48:08,2.7.1,75.0,mlflow,conda-forge/mlflow,,,,25358.0,25358.0,https://pypi.org/project/mlflow,13368205.0,13408772.0,https://anaconda.org/conda-forge/mlflow,2023-09-21 15:54:18.751,1622689.0,,,,,1.0,,,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-10-27 19:28:06.000000,2023-10-27 14:42:39,6229.0,99.0,2376.0,280.0,1565.0,1374.0,1356.0,14334.0,The interactive graphing library for Python This project now includes Plotly Express!.,246.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,211125.0,211125.0,https://pypi.org/project/plotly,10747399.0,10912503.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,4984418.0,,,,,1.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,43533.0,,,,,,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-10-28 20:40:33.000000,2023-10-17 10:16:00,15106.0,12.0,2590.0,278.0,3813.0,2522.0,2708.0,8960.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,44,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,105506.0,105506.0,https://pypi.org/project/statsmodels,11247430.0,11540354.0,https://anaconda.org/conda-forge/statsmodels,2023-10-05 23:45:15.777,11716992.0,,,,,2.0,29.0,,,,,,,,,,,,,
23,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-10-29 01:32:50.000000,2023-10-27 19:36:27,20284.0,109.0,4037.0,447.0,5863.0,739.0,6715.0,18237.0,"Interactive Data Visualization in the browser, from Python.",673.0,43,True,,,54.0,bokeh,conda-forge/bokeh,,,,78268.0,78268.0,https://pypi.org/project/bokeh,3321147.0,3644998.0,https://anaconda.org/conda-forge/bokeh,2023-10-11 08:08:05.962,12954054.0,,,,,1.0,,,,,,,,,,,,,,
24,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-10-27 15:41:34.000000,2023-10-26 22:28:35,2569.0,120.0,3501.0,440.0,2995.0,262.0,2265.0,15785.0,Open standard for machine learning interoperability.,298.0,43,True,2023-08-25 21:00:03,1.14.1,26.0,onnx,conda-forge/onnx,,,,19920.0,19920.0,https://pypi.org/project/onnx,4014134.0,4036015.0,https://anaconda.org/conda-forge/onnx,2023-10-11 15:26:47.399,864485.0,,,,,1.0,19410.0,,,,,,,,,,,,,
25,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-10-27 04:45:59.000000,2023-10-26 17:58:21,3364.0,54.0,3642.0,440.0,3005.0,295.0,2845.0,15569.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 01:51:05,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,26352.0,26352.0,https://pypi.org/project/lightgbm,6806902.0,6865824.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2083084.0,,,,,2.0,204667.0,,,,,,,,,,,,,
26,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-10-25 17:54:41.000000,2023-10-22 21:29:01,3194.0,39.0,1722.0,255.0,1057.0,111.0,2298.0,11276.0,Statistical data visualization in Python.,200.0,43,True,2023-09-29 19:01:44,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,316748.0,316748.0,https://pypi.org/project/seaborn,12281799.0,12474376.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7703031.0,,,,,1.0,280.0,,,,,,,,,,,,,
27,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-10-27 17:34:13.000000,2023-10-27 17:34:13,5706.0,100.0,1555.0,193.0,4844.0,590.0,1213.0,6380.0,TensorFlows Visualization Toolkit.,307.0,43,True,2023-10-19 19:31:58,2.15.0,55.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],194713.0,194713.0,https://pypi.org/project/tensorboard,20904480.0,21013882.0,https://anaconda.org/conda-forge/tensorboard,2023-10-20 00:55:28.414,4376113.0,,,,,1.0,,,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-10-28 14:55:59.129000,2023-10-28 09:47:40,7474.0,127.0,2952.0,277.0,3512.0,186.0,2891.0,13346.0,Network Analysis in Python.,686.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,194821.0,194821.0,https://pypi.org/project/networkx,29589063.0,29954071.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,13870331.0,,,,,1.0,65.0,,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-10-26 11:10:51.000000,2023-10-25 16:17:13,4548.0,64.0,1960.0,1700.0,4384.0,220.0,2547.0,11259.0,WebGL2 powered visualization framework.,239.0,42,True,2023-10-24 16:55:44,8.9.32,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6674.0,6674.0,https://pypi.org/project/pydeck,1540145.0,2040026.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,455502.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,489529.0,,,,,,,,,,
30,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-10-28 11:54:18.000000,2023-10-28 11:36:34,3584.0,57.0,704.0,145.0,1283.0,160.0,1708.0,8515.0,Declarative statistical visualization library for Python.,158.0,42,True,2023-10-03 18:18:45,5.1.2,26.0,altair,conda-forge/altair,,,,82170.0,82170.0,https://pypi.org/project/altair,13552459.0,13646462.0,https://anaconda.org/conda-forge/altair,2023-10-03 20:26:07.376,2068061.0,,,,,1.0,89.0,,,,,,,,,,,,,
31,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-10-27 23:04:42.000000,2023-10-27 17:14:41,13765.0,108.0,2107.0,185.0,4302.0,520.0,2017.0,5641.0,Image processing in Python.,632.0,42,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,157952.0,157952.0,https://pypi.org/project/scikit-image,9762288.0,9905465.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5727086.0,,,,,1.0,,,,,,,,,,,,,,
32,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-10-27 23:16:07.000000,2023-10-27 21:50:19,1901.0,196.0,3352.0,303.0,2229.0,708.0,1412.0,29038.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",255.0,41,True,2023-10-09 16:54:24,0.11.1,57.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4609.0,4609.0,https://pypi.org/project/deepspeed,370942.0,371325.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17242.0,1.0,,,,,,,,,,,,,,
33,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-10-28 06:52:24.000000,2023-10-27 22:44:20,5907.0,265.0,2437.0,307.0,3856.0,654.0,3013.0,28166.0,Streamlit A faster way to build and share data apps.,203.0,41,True,2023-10-26 17:18:34,1.28.0,67.0,streamlit,,,,,1034.0,1034.0,https://pypi.org/project/streamlit,2421822.0,2421822.0,,,,,,,,1.0,,,,,,,,,,,,,,
34,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-10-27 23:49:54.000000,2023-10-27 16:12:51,2050.0,122.0,4239.0,307.0,404.0,68.0,742.0,27350.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",119.0,41,True,2023-10-21 20:52:29,0.9.8,50.0,timm,conda-forge/timm,,,['pytorch'],17743.0,17743.0,https://pypi.org/project/timm,3289048.0,3398436.0,https://anaconda.org/conda-forge/timm,2023-10-21 20:00:32.835,106254.0,,,,,1.0,5653193.0,,,,huggingface/pytorch-image-models,,,,,,,,,
35,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-10-29 01:49:47.000000,2023-10-27 19:58:13,5808.0,342.0,1588.0,140.0,2745.0,441.0,2561.0,23009.0,"Wrap UIs around any model, share with anyone.",217.0,41,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,15758.0,15758.0,https://pypi.org/project/gradio,2701005.0,2701005.0,,,,,,,,1.0,,,,,,,,,,,,,,
36,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-10-28 15:07:34.000000,2023-10-27 12:56:05,2559.0,97.0,2949.0,259.0,750.0,1404.0,931.0,20333.0,A game theoretic approach to explain the output of any machine learning model.,226.0,41,True,2023-10-09 09:41:17,0.43.0,50.0,shap,conda-forge/shap,,,,13954.0,13954.0,https://pypi.org/project/shap,7289875.0,7354067.0,https://anaconda.org/conda-forge/shap,2023-10-09 21:10:21.871,2182559.0,,,,,1.0,,,,,shap/shap,,,,,,,,,
37,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-10-27 21:59:33.000000,2023-10-23 12:18:50,32584.0,207.0,4308.0,349.0,6270.0,1.0,6642.0,17148.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",591.0,41,True,2023-10-23 10:55:37,3.6.13,100.0,rasa,,,,['tensorflow'],3730.0,3730.0,https://pypi.org/project/rasa,122033.0,122033.0,,,,,,,,1.0,,,,,,,,,,,,,,
38,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/piskvorky/gensim,https://github.com/piskvorky/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-10-01 14:51:01.000000,2023-10-01 14:51:00,4509.0,40.0,4145.0,435.0,1679.0,374.0,1443.0,14729.0,Topic Modelling for Humans.,447.0,41,True,2023-08-24 08:44:46,4.3.2,43.0,gensim,conda-forge/gensim,,,,51529.0,51529.0,https://pypi.org/project/gensim,3725258.0,3762835.0,https://anaconda.org/conda-forge/gensim,2023-08-24 12:30:21.806,1163436.0,,,,,1.0,4532.0,,,,piskvorky/gensim,,,,,,,,,
39,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-10-28 18:05:54.000000,2023-10-27 22:12:49,7899.0,69.0,1609.0,212.0,5494.0,816.0,4040.0,11488.0,Parallel computing with task scheduling.,588.0,41,True,,,159.0,dask,conda-forge/dask,,,,53794.0,53794.0,https://pypi.org/project/dask,7196560.0,7449354.0,https://anaconda.org/conda-forge/dask,2023-10-28 00:11:07.362,10364584.0,,,,,1.0,,,,,,stable/dask,,,,,,,,
40,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2023-10-28 17:05:52.000000,2023-10-27 22:34:38,5898.0,370.0,544.0,54.0,3708.0,760.0,2047.0,7396.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,163.0,41,True,2023-10-04 17:31:06,0.15.12,100.0,wandb,conda-forge/wandb,,,,31483.0,31483.0,https://pypi.org/project/wandb,7334936.0,7345339.0,https://anaconda.org/conda-forge/wandb,2023-10-04 19:30:33.577,405734.0,,,,,1.0,,,,,wandb/wandb,,,,,,,,,
41,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2023-10-28 23:46:54.000000,2023-10-26 02:31:38,2724.0,49.0,7252.0,614.0,2205.0,174.0,1580.0,24722.0,The fastai deep learning library.,243.0,40,True,2023-10-15 04:03:45,2.7.13,50.0,fastai,,,,['pytorch'],15063.0,15063.0,https://pypi.org/project/fastai,365972.0,365972.0,,,,,,,,2.0,,,,,,,,,,,,,,
