,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,new_addition,maven_id,maven_url
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-12-09 21:01:34.000000,2024-12-09 20:34:59,12127.0,857.0,15277.0,691.0,16184.0,464.0,7488.0,95950.0,Build context-aware reasoning applications.,2998.0,50,True,2024-12-09 20:16:51,langchain-tests==0.3.7,100.0,langchain,,,,,156922.0,156922.0,https://pypi.org/project/langchain,25248608.0,25248608.0,,,,,,,,1.0,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-12-09 19:17:36.000000,2024-12-09 19:17:36,51431.0,413.0,7514.0,593.0,18634.0,1216.0,9380.0,20431.0,matplotlib: plotting with Python.,1756.0,48,True,2024-11-30 10:15:10,3.9.3,89.0,matplotlib,conda-forge/matplotlib,,,,1451402.0,1451402.0,https://pypi.org/project/matplotlib,71120443.0,71624222.0,https://anaconda.org/conda-forge/matplotlib,2024-12-06 23:19:57.917,27204077.0,,,,,1.0,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-12-07 14:02:50.000000,2024-12-07 14:02:47,18878.0,384.0,2107.0,219.0,5191.0,81.0,3121.0,12375.0,Python Imaging Library (Fork).,482.0,48,True,2024-10-15 14:29:17,11.0.0,57.0,Pillow,conda-forge/pillow,,,,1951467.0,1951467.0,https://pypi.org/project/Pillow,122412543.0,123303219.0,https://anaconda.org/conda-forge/pillow,2024-10-18 22:08:55.292,47205855.0,,,,,1.0,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-12-08 09:42:24.000000,2024-12-08 09:42:24,59264.0,396.0,4407.0,293.0,13545.0,4435.0,8939.0,13076.0,A computer algebra system written in pure Python.,1343.0,47,True,2024-09-18 21:54:45,1.13.3,55.0,sympy,conda-forge/sympy,,,,197387.0,197387.0,https://pypi.org/project/sympy,30818419.0,30955098.0,https://anaconda.org/conda-forge/sympy,2024-10-09 14:38:28.134,7295781.0,,,,,1.0,552000.0,,,,,,,,,,,,
14,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-12-09 21:00:25.000000,2024-12-09 13:56:54,6874.0,253.0,3080.0,319.0,5183.0,933.0,3754.0,36094.0,Streamlit A faster way to build and share data apps.,249.0,46,True,2024-11-25 21:30:36,1.40.2,87.0,streamlit,,,,,618141.0,618141.0,https://pypi.org/project/streamlit,7905060.0,7905060.0,,,,,,,,1.0,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-12-09 20:51:34.000000,2024-12-09 20:19:24,23252.0,653.0,5734.0,478.0,29836.0,3651.0,15377.0,34348.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1110.0,46,True,2024-12-04 00:01:15,ray-2.40.0,99.0,ray,conda-forge/ray-tune,,,,19458.0,19458.0,https://pypi.org/project/ray,6100805.0,6110943.0,https://anaconda.org/conda-forge/ray-tune,2024-12-06 00:00:37.515,486534.0,,,,,1.0,247.0,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-12-09 20:57:18.000000,2024-12-09 20:57:18,7242.0,159.0,8242.0,908.0,5737.0,395.0,4940.0,26385.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",654.0,46,True,2024-11-26 10:21:16,2.1.3,61.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,120227.0,120227.0,https://pypi.org/project/xgboost,25468752.0,25573144.0,https://anaconda.org/conda-forge/xgboost,2024-12-03 00:14:17.609,5527719.0,,,,,1.0,12504.0,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-12-09 20:41:28.000000,2024-12-09 20:41:23,24542.0,1637.0,2790.0,336.0,16635.0,1450.0,4332.0,30710.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",799.0,45,True,2024-12-05 23:33:31,jax-v0.4.36,100.0,jax,conda-forge/jaxlib,,,,33908.0,33908.0,https://pypi.org/project/jax,4462634.0,4498618.0,https://anaconda.org/conda-forge/jaxlib,2024-10-24 10:52:07.546,1943138.0,,,,,1.0,,jax-ml/jax,,,,,,,,,,,
18,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-12-09 19:24:13.000000,2024-12-09 19:07:39,7378.0,581.0,2522.0,276.0,1760.0,548.0,2489.0,16418.0,The interactive graphing library for Python This project now includes Plotly Express!.,281.0,45,True,2024-09-12 15:42:27,5.24.1,103.0,plotly,conda-forge/plotly,,,,335719.0,335719.0,https://pypi.org/project/plotly,20581469.0,20728434.0,https://anaconda.org/conda-forge/plotly,2024-12-09 08:37:37.782,7694027.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,7074.0,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-11-29 16:39:20.000000,2024-11-14 16:42:05,15567.0,76.0,2894.0,285.0,3962.0,2672.0,2806.0,10227.0,Statsmodels: statistical modeling and econometrics in Python.,447.0,45,True,2024-10-03 15:37:29,0.14.4,29.0,statsmodels,conda-forge/statsmodels,,,,145437.0,145437.0,https://pypi.org/project/statsmodels,15757064.0,16055696.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,16126177.0,,,,,1.0,35.0,,,,,,,,,,,,
20,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-12-09 19:15:36.000000,2024-12-09 17:46:07,5697.0,519.0,5240.0,245.0,6378.0,573.0,5037.0,37228.0,LlamaIndex is a data framework for your LLM applications.,1345.0,44,True,2024-12-08 18:00:34,0.12.4,100.0,llama-index,,,,,14749.0,14749.0,https://pypi.org/project/llama-index,3360864.0,3360942.0,,,,,,,,1.0,787.0,,,,,,,,,,,,
21,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2024-12-09 17:52:29.000000,2024-12-09 10:53:27,1984.0,420.0,6261.0,186.0,3393.0,1093.0,8634.0,33733.0,Ultralytics YOLO11.,209.0,44,True,2024-12-08 17:49:56,8.3.48,100.0,ultralytics,,,,,31536.0,31536.0,https://pypi.org/project/ultralytics,6417261.0,6417261.0,,,,,,,,1.0,,,,,,7.0,,,,,,,
22,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-11-24 12:28:01.906000,2024-11-19 09:43:40,16213.0,59.0,4340.0,562.0,4027.0,150.0,5521.0,30415.0,Industrial-strength Natural Language Processing (NLP) in Python.,762.0,44,True,2024-10-01 18:19:33,release-v3.8.2,100.0,spacy,conda-forge/spacy,,,,107609.0,107609.0,https://pypi.org/project/spacy,14796721.0,14883490.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,4685091.0,,,,,1.0,804.0,,,,,,,,,,,,
23,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-12-09 16:01:00.000000,2024-12-09 16:00:57,10471.0,55.0,3338.0,252.0,10339.0,829.0,6334.0,28591.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",986.0,44,True,2024-08-07 09:44:30,2.4.0,118.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],39482.0,39482.0,https://pypi.org/project/pytorch-lightning,7077260.0,7102754.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-08-07 15:45:27.965,1363188.0,,,,,2.0,10531.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,
24,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-12-09 18:33:00.000000,2024-12-09 18:33:00,52084.0,1218.0,5481.0,716.0,51374.0,970.0,17501.0,22322.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1334.0,44,True,2024-06-27 10:00:34,3.0.0-beta0,63.0,paddlepaddle,,,,['paddle'],6513.0,6513.0,https://pypi.org/project/paddlepaddle,304053.0,304207.0,,,,,,,,2.0,15416.0,,,,,,,,,,,,
25,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-12-09 15:06:09.000000,2024-12-09 15:06:09,6900.0,451.0,4148.0,303.0,9737.0,1334.0,2637.0,18973.0,Open source platform for the machine learning lifecycle.,801.0,44,True,2024-11-18 15:11:13,2.18.0,100.0,mlflow,conda-forge/mlflow,,,,47480.0,47480.0,https://pypi.org/project/mlflow,15708160.0,15755144.0,https://anaconda.org/conda-forge/mlflow,2024-11-19 20:43:56.930,2537187.0,,,,,1.0,,,,,,,,,,,,,
26,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-12-09 20:15:12.000000,2024-12-05 18:55:34,8424.0,110.0,1687.0,213.0,6074.0,917.0,4314.0,12668.0,Parallel computing with task scheduling.,613.0,44,True,2024-12-03 22:42:36,2024.12.0,188.0,dask,conda-forge/dask,,,,67645.0,67645.0,https://pypi.org/project/dask,15900188.0,16124571.0,https://anaconda.org/conda-forge/dask,2024-12-04 03:07:03.414,12341098.0,,,,,1.0,,,,,,,stable/dask,,,,,,
27,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-12-09 20:03:28.000000,2024-12-09 20:03:27,11205.0,266.0,18810.0,1914.0,7627.0,250.0,12004.0,62184.0,Deep Learning for humans.,1353.0,43,True,2024-11-26 17:02:51,3.7.0,72.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,14335406.0,14406405.0,https://anaconda.org/conda-forge/keras,2024-11-27 10:22:41.816,3833983.0,,,,,2.0,,,,,,,,,,,,,
28,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-12-09 20:13:10.000000,2024-12-09 20:05:01,7280.0,269.0,2580.0,177.0,4677.0,443.0,4652.0,34463.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",356.0,43,True,2024-12-04 23:14:04,gradio@5.8.0,100.0,gradio,,,,,48951.0,48951.0,https://pypi.org/project/gradio,6616804.0,6616804.0,,,,,,,,1.0,,,,,,,,,,,,,
29,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-12-05 15:18:32.000000,2024-12-04 15:13:25,7759.0,96.0,2040.0,427.0,1163.0,456.0,1374.0,21627.0,Data Apps & Dashboards for Python. No JavaScript Required.,167.0,43,True,2024-11-04 21:17:37,2.18.2,111.0,dash,conda-forge/dash,,,,73551.0,73551.0,https://pypi.org/project/dash,4304225.0,4333616.0,https://anaconda.org/conda-forge/dash,2024-12-04 07:17:49.795,1587065.0,,,,,1.0,87.0,,,,,,,,,,,,
30,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-12-09 14:35:07.548000,2024-12-03 23:34:20,20647.0,63.0,4137.0,438.0,6214.0,753.0,7002.0,19430.0,"Interactive Data Visualization in the browser, from Python.",703.0,43,True,,,67.0,bokeh,conda-forge/bokeh,,,,95350.0,95350.0,https://pypi.org/project/bokeh,4128737.0,4415573.0,https://anaconda.org/conda-forge/bokeh,2024-12-09 14:35:07.548,15489169.0,,,,,1.0,,,,,,,,,,,,,
31,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-12-01 15:49:11.000000,2024-11-29 13:53:50,2926.0,112.0,3620.0,437.0,3479.0,298.0,2560.0,18057.0,Open standard for machine learning interoperability.,327.0,43,True,2024-10-01 17:57:22,1.17.0,31.0,onnx,conda-forge/onnx,,,,37029.0,37029.0,https://pypi.org/project/onnx,6349647.0,6375208.0,https://anaconda.org/conda-forge/onnx,2024-10-21 21:30:32.889,1366237.0,,,,,1.0,22449.0,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-12-09 17:02:16.000000,2024-12-09 07:56:11,5027.0,48.0,2068.0,1667.0,4895.0,331.0,2738.0,12316.0,WebGL2 powered visualization framework.,276.0,43,True,2024-12-06 23:19:15,9.0.37,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],8395.0,8395.0,https://pypi.org/project/pydeck,6955341.0,7538130.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,656684.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,571467.0,,,,,,,,
33,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2024-12-09 07:32:13.000000,2024-12-09 07:32:13,18617.0,385.0,1035.0,118.0,3775.0,64.0,1626.0,11050.0,A hyperparameter optimization framework.,283.0,43,True,2024-11-11 05:20:54,4.1.0,67.0,optuna,conda-forge/optuna,,,,19817.0,19817.0,https://pypi.org/project/optuna,3988205.0,4024671.0,https://anaconda.org/conda-forge/optuna,2024-11-13 05:15:17.167,1969168.0,,,,,1.0,,,,,,,,,,,,,
34,Altair,altair-viz/altair,data-viz,,https://github.com/vega/altair,https://github.com/vega/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-12-02 18:58:23.000000,2024-12-02 16:01:53,3831.0,61.0,762.0,140.0,1532.0,194.0,1843.0,9428.0,Declarative visualization library for Python.,173.0,43,True,2024-11-24 00:12:10,5.5.0,31.0,altair,conda-forge/altair,,,,182125.0,182125.0,https://pypi.org/project/altair,24886788.0,24956942.0,https://anaconda.org/conda-forge/altair,2024-11-24 00:36:17.006,2525500.0,,,,,1.0,211.0,vega/altair,,,,,,,,,,,
35,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-12-05 18:20:59.000000,2024-12-05 18:19:32,5877.0,22.0,1629.0,189.0,5055.0,626.0,1241.0,6738.0,TensorFlows Visualization Toolkit.,322.0,43,True,2024-09-25 21:21:08,2.18.0,63.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],278174.0,278174.0,https://pypi.org/project/tensorboard,26780103.0,26876578.0,https://anaconda.org/conda-forge/tensorboard,2024-09-27 11:17:28.293,5209703.0,,,,,1.0,,,,,,,,,,,,,
36,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-12-06 20:06:56.000000,2024-12-06 20:06:56,2601.0,145.0,4677.0,313.0,554.0,42.0,892.0,32541.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",161.0,42,True,2024-12-03 19:05:39,1.0.12,62.0,timm,conda-forge/timm,,,['pytorch'],42256.0,42256.0,https://pypi.org/project/timm,5997192.0,6111284.0,https://anaconda.org/conda-forge/timm,2024-12-04 15:48:02.472,278137.0,,,,,1.0,7292642.0,huggingface/pytorch-image-models,,,,,,,,,,,
37,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-12-09 19:45:42.000000,2024-12-05 16:24:35,3606.0,40.0,3760.0,435.0,3298.0,348.0,3079.0,16763.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",320.0,42,True,2024-07-25 22:10:25,4.5.0,33.0,lightgbm,conda-forge/lightgbm,,,,41133.0,41133.0,https://pypi.org/project/lightgbm,10812321.0,10871993.0,https://anaconda.org/conda-forge/lightgbm,2024-10-10 08:17:38.424,2909695.0,,,,,2.0,241076.0,,,,,,,,,,,,
38,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-12-07 19:51:15.000000,2024-12-05 19:04:24,7839.0,57.0,3188.0,279.0,3942.0,181.0,3043.0,15053.0,Network Analysis in Python.,755.0,42,True,2024-10-21 12:40:41,networkx-3.4.2,60.0,networkx,conda-forge/networkx,,,,324972.0,324972.0,https://pypi.org/project/networkx,66962212.0,67328342.0,https://anaconda.org/conda-forge/networkx,2024-11-13 18:04:48.334,19038782.0,,,,,1.0,76.0,,,,,,,,,,,,
39,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2024-12-08 18:23:22.000000,2024-12-08 18:23:22,1373.0,76.0,2404.0,241.0,639.0,165.0,1215.0,15053.0,Download market data from Yahoo! Finances API.,128.0,42,True,2024-11-19 21:43:53,0.2.50,87.0,yfinance,ranaroussi/yfinance,,,,53508.0,53508.0,https://pypi.org/project/yfinance,3686629.0,3689003.0,https://anaconda.org/ranaroussi/yfinance,2023-06-16 19:26:44.442,97355.0,,,,,1.0,,,,,,,,,,,,,
40,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,,2023-07-27 00:09:52.000,2024-12-09 20:52:12.000000,2024-12-09 16:54:40,18573.0,962.0,1737.0,80.0,3215.0,710.0,3006.0,14940.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",365.0,42,True,2024-12-09 17:31:48,1.54.1,100.0,litellm,,,,,5057.0,5057.0,https://pypi.org/project/litellm,3380867.0,3381100.0,,,,,,,,1.0,467.0,,,,,6.0,,,,,,,
41,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-12-09 07:42:09.249000,2024-07-22 11:32:48,3237.0,,1868.0,263.0,1127.0,149.0,2429.0,12659.0,Statistical data visualization in Python.,213.0,42,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,520273.0,520273.0,https://pypi.org/project/seaborn,19554964.0,19758387.0,https://anaconda.org/conda-forge/seaborn,2024-12-09 07:42:09.249,10984719.0,,,,,2.0,457.0,,,,,,,,,,,,
