,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-08-08 16:32:12.000,2024-08-08 16:31:47,50825.0,491.0,7363.0,596.0,18246.0,1198.0,9214.0,19783.0,matplotlib: plotting with Python.,1710.0,48,True,2024-07-04 07:18:52,3.9.1,86.0,matplotlib,conda-forge/matplotlib,,,,69061968.0,1289174.0,1289174.0,https://pypi.org/project/matplotlib,68558981.0,https://anaconda.org/conda-forge/matplotlib,2024-08-04 01:16:35.235,25149380.0,1.0,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-08-08 12:12:44.000,2024-08-08 12:12:43,18268.0,454.0,2074.0,220.0,4989.0,82.0,3050.0,11989.0,Python Imaging Library (Fork).,474.0,48,True,2024-07-01 09:51:39,10.4.0,56.0,Pillow,conda-forge/pillow,,,,110799472.0,1774613.0,1774613.0,https://pypi.org/project/Pillow,109931257.0,https://anaconda.org/conda-forge/pillow,2024-07-02 08:21:06.154,42542558.0,1.0,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-08-08 14:31:34.000,2024-08-07 18:55:58,58527.0,748.0,4295.0,292.0,13319.0,4401.0,8812.0,12673.0,A computer algebra system written in pure Python.,1319.0,47,True,2024-07-19 09:27:14,1.13.1,53.0,sympy,conda-forge/sympy,,,545872.0,26996144.0,158988.0,158988.0,https://pypi.org/project/sympy,26869858.0,https://anaconda.org/conda-forge/sympy,2024-07-15 00:57:43.286,6231325.0,1.0,,,,,,,,,,,,,,,,
14,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-08-08 18:04:02.000,2024-08-08 13:19:54,6524.0,213.0,2917.0,311.0,4724.0,880.0,3525.0,33877.0,Streamlit A faster way to build and share data apps.,236.0,46,True,2024-08-05 18:59:25,1.37.1,82.0,streamlit,,,,,5291864.0,465536.0,465536.0,https://pypi.org/project/streamlit,5291864.0,,,,1.0,,,,,,,,,,,,,,,,
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-08-08 17:45:13.000,2024-08-08 17:45:09,22355.0,1694.0,2648.0,327.0,14803.0,1296.0,4111.0,29420.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",728.0,45,True,2024-07-30 00:10:18,jax-v0.4.31,100.0,jax,conda-forge/jaxlib,,,,3578802.0,28553.0,28553.0,https://pypi.org/project/jax,3548950.0,https://anaconda.org/conda-forge/jaxlib,2024-08-02 04:00:13.984,1492639.0,1.0,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-08-08 10:16:28.000,2024-08-06 03:50:44,7019.0,186.0,8197.0,911.0,5434.0,395.0,4843.0,25943.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",648.0,45,True,2024-07-30 22:22:27,2.1.1,59.0,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,,10094.0,20098756.0,102308.0,102308.0,https://pypi.org/project/xgboost,19994679.0,https://anaconda.org/conda-forge/xgboost,2024-07-31 20:50:37.242,5095888.0,1.0,,,,,,,,,,,,,,,,
17,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-08-08 17:41:09.000,2024-08-08 17:41:09,50236.0,2011.0,5382.0,718.0,48791.0,965.0,17250.0,21960.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1250.0,45,True,2024-06-27 10:00:34,3.0.0-beta0,63.0,paddlepaddle,,,['paddle'],15383.0,252536.0,5614.0,5614.0,https://pypi.org/project/paddlepaddle,252376.0,,,,1.0,,,,,,,,,,,,,,,,
18,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-08-03 01:35:20.000,2024-07-16 07:26:46,15373.0,54.0,2683.0,282.0,3907.0,2644.0,2771.0,9858.0,Statsmodels: statistical modeling and econometrics in Python.,433.0,45,True,2024-04-17 08:07:37,0.14.2,27.0,statsmodels,conda-forge/statsmodels,,,33.0,16722392.0,131850.0,131850.0,https://pypi.org/project/statsmodels,16437104.0,https://anaconda.org/conda-forge/statsmodels,2024-05-17 10:41:00.825,14264402.0,1.0,,,,,,,,,,,,,,,,
19,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-08-08 18:10:18.000,2024-08-08 17:35:28,22341.0,773.0,5408.0,475.0,28575.0,3399.0,14749.0,32570.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1054.0,44,True,2024-07-31 18:02:13,ray-2.34.0,92.0,ray,conda-forge/ray-tune,,,233.0,4023306.0,17088.0,17088.0,https://pypi.org/project/ray,4016424.0,https://anaconda.org/conda-forge/ray-tune,2024-07-26 09:56:38.166,302729.0,1.0,,,,,,,,,,,,,,,,
20,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-08-07 17:27:05.000,2024-08-07 15:07:02,10410.0,128.0,3263.0,246.0,10239.0,710.0,6290.0,27689.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",968.0,44,True,2024-08-07 09:44:30,2.4.0,118.0,pytorch-lightning,conda-forge/pytorch-lightning,,['pytorch'],8159.0,5962510.0,35220.0,35220.0,https://pypi.org/project/pytorch-lightning,5937747.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-08-07 15:45:27.965,1227478.0,2.0,,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,
21,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-08-08 18:10:58.000,2024-08-08 07:11:49,6349.0,530.0,3968.0,294.0,8847.0,1251.0,2529.0,18103.0,Open source platform for the machine learning lifecycle.,755.0,44,True,2024-08-06 13:31:00,2.15.1,99.0,mlflow,conda-forge/mlflow,,,,16763324.0,40193.0,40193.0,https://pypi.org/project/mlflow,16720428.0,https://anaconda.org/conda-forge/mlflow,2024-07-12 13:10:32.141,2144822.0,1.0,,,,,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-08-07 22:29:58.000,2024-08-07 21:34:06,6575.0,84.0,2487.0,272.0,1678.0,477.0,2422.0,15838.0,The interactive graphing library for Python This project now includes Plotly Express!.,264.0,44,True,2024-07-23 13:47:17,5.23.0,101.0,plotly,conda-forge/plotly,,,,17181305.0,290851.0,290851.0,https://pypi.org/project/plotly,17042342.0,https://anaconda.org/conda-forge/plotly,2024-07-23 18:15:11.823,6570189.0,1.0,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,10136.0,,,,,,
23,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-08-08 17:17:23.000,2024-08-08 14:03:06,8261.0,68.0,1661.0,211.0,5906.0,900.0,4209.0,12308.0,Parallel computing with task scheduling.,604.0,44,True,2024-08-06 20:23:21,2024.8.0,179.0,dask,conda-forge/dask,,,,11442144.0,63123.0,63123.0,https://pypi.org/project/dask,11214169.0,https://anaconda.org/conda-forge/dask,2024-08-06 23:03:24.191,11626742.0,1.0,,,,,,,,,,,stable/dask,,,,,
24,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-08-08 07:00:54.000,2024-08-06 18:56:53,10866.0,191.0,18724.0,1915.0,7361.0,209.0,11826.0,61444.0,Deep Learning for humans.,1318.0,43,True,2024-06-26 15:42:10,3.4.1,69.0,keras,conda-forge/keras,https://keras.io,['tensorflow'],,14615419.0,,,https://pypi.org/project/keras,14542668.0,https://anaconda.org/conda-forge/keras,2024-07-17 08:55:59.571,3637581.0,2.0,,,,,,,,,,,,,,,,
25,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-08-08 17:59:18.000,2024-08-08 17:59:17,4883.0,716.0,4742.0,243.0,5466.0,619.0,4080.0,34292.0,LlamaIndex is a data framework for your LLM applications.,1133.0,43,True,2024-08-07 04:33:16,0.10.62,100.0,llama-index,,,,820.0,1340077.0,10923.0,10923.0,https://pypi.org/project/llama-index,1339975.0,,,,1.0,,,,,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-08-08 17:47:19.000,2024-08-08 10:20:08,6950.0,351.0,2306.0,166.0,4103.0,496.0,4083.0,31457.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",320.0,43,True,2024-08-08 10:28:25,@gradio/video@0.10.2,100.0,gradio,,,,,7107265.0,37438.0,37438.0,https://pypi.org/project/gradio,7107265.0,,,,1.0,,,,,,,,,,,,,,,,
27,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-08-01 20:10:25.000,2024-06-26 07:41:23,16134.0,4.0,4260.0,559.0,4008.0,106.0,5510.0,29446.0,Industrial-strength Natural Language Processing (NLP) in Python.,751.0,43,True,2024-06-05 07:57:36,3.7.5,100.0,spacy,conda-forge/spacy,,,,9507564.0,95517.0,95517.0,https://pypi.org/project/spacy,9431725.0,https://anaconda.org/conda-forge/spacy,2024-07-29 11:52:18.238,3791985.0,1.0,,,,,,,,,,,,,,,,
28,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-08-08 16:49:16.000,2024-08-06 18:37:36,2726.0,71.0,3155.0,239.0,925.0,769.0,1727.0,22270.0,A game theoretic approach to explain the output of any machine learning model.,244.0,43,True,2024-06-27 10:06:50,0.46.0,55.0,shap,conda-forge/shap,,,,7193568.0,19309.0,19309.0,https://pypi.org/project/shap,7115413.0,https://anaconda.org/conda-forge/shap,2024-05-08 21:55:59.406,3438848.0,1.0,,,,,,,shap/shap,,,,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-08-08 07:16:27.000,2024-08-06 07:22:33,20564.0,77.0,4123.0,443.0,6126.0,737.0,6949.0,19128.0,"Interactive Data Visualization in the browser, from Python.",698.0,43,True,,,63.0,bokeh,conda-forge/bokeh,,,,4657839.0,90775.0,90775.0,https://pypi.org/project/bokeh,4366862.0,https://anaconda.org/conda-forge/bokeh,2024-07-26 10:16:13.491,14548883.0,1.0,,,,,,,,,,,,,,,,
30,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-08-07 22:47:58.000,2024-08-01 17:43:24,2781.0,48.0,3582.0,436.0,3291.0,286.0,2477.0,17415.0,Open standard for machine learning interoperability.,320.0,43,True,2024-08-01 13:15:32,1.16.2,30.0,onnx,conda-forge/onnx,,,21366.0,5412944.0,31446.0,31446.0,https://pypi.org/project/onnx,5390117.0,https://anaconda.org/conda-forge/onnx,2024-08-02 08:47:29.691,1128354.0,1.0,,,,,,,,,,,,,,,,
31,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-08-08 15:10:02.000,2024-08-06 21:13:09,3549.0,81.0,3741.0,434.0,3223.0,321.0,3037.0,16444.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",312.0,43,True,2024-07-25 22:10:25,4.5.0,33.0,lightgbm,conda-forge/lightgbm,,,230810.0,8772961.0,35878.0,35878.0,https://pypi.org/project/lightgbm,8717318.0,https://anaconda.org/conda-forge/lightgbm,2024-08-02 18:29:39.160,2491991.0,2.0,,,,,,,,,,,,,,,,
32,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-08-05 09:58:59.000,2024-08-05 09:58:58,14603.0,84.0,2760.0,465.0,1472.0,264.0,1525.0,13323.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,457.0,43,True,,,17.0,nltk,conda-forge/nltk,,,,19349224.0,295443.0,295443.0,https://pypi.org/project/nltk,19321201.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2690230.0,1.0,,,,,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-08-08 15:26:01.000,2024-08-08 15:25:57,4958.0,74.0,2048.0,1681.0,4819.0,290.0,2705.0,11980.0,WebGL2 powered visualization framework.,268.0,43,True,2024-08-06 16:15:26,9.0.26,100.0,pydeck,conda-forge/pydeck,,['jupyter'],,5064389.0,7908.0,7908.0,https://pypi.org/project/pydeck,4296242.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,581734.0,1.0,,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,757375.0,,,,,,
34,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2024-08-08 17:25:25.000,2024-08-08 16:50:24,1449.0,293.0,5239.0,153.0,2651.0,615.0,7634.0,27105.0,NEW - YOLOv8 in PyTorch ONNX OpenVINO CoreML TFLite.,172.0,42,True,2024-08-06 09:31:17,8.2.74,48.0,ultralytics,,,,128.0,2959127.0,22228.0,22228.0,https://pypi.org/project/ultralytics,2959109.0,,,,1.0,,,,,,,,,,,,,,,,
35,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-08-08 16:28:43.000,2024-07-24 19:27:39,7561.0,100.0,1985.0,418.0,1096.0,422.0,1318.0,21023.0,Data Apps & Dashboards for Python. No JavaScript Required.,158.0,42,True,2024-06-12 15:55:56,2.17.1,108.0,dash,conda-forge/dash,,,76.0,3124430.0,67083.0,67083.0,https://pypi.org/project/dash,3096125.0,https://anaconda.org/conda-forge/dash,2024-06-13 04:02:02.712,1415205.0,1.0,,,,,,,,,,,,,,,,
36,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-08-08 15:47:14.000,2024-08-07 22:49:41,7754.0,70.0,3118.0,281.0,3845.0,176.0,3013.0,14568.0,Network Analysis in Python.,735.0,42,True,2024-04-06 13:09:07,networkx-3.3,56.0,networkx,conda-forge/networkx,,,71.0,57977777.0,280436.0,280436.0,https://pypi.org/project/networkx,57622713.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,17043099.0,1.0,,,,,,,,,,,,,,,,
37,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-08-06 22:17:23.000,2024-07-22 11:32:48,3237.0,3.0,1824.0,261.0,1118.0,144.0,2396.0,12283.0,Statistical data visualization in Python.,213.0,42,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,415.0,18234315.0,448670.0,448670.0,https://pypi.org/project/seaborn,18041083.0,https://anaconda.org/conda-forge/seaborn,2024-04-30 16:33:12.611,9661482.0,1.0,,,,,,,,,,,,,,,,
38,Altair,altair-viz/altair,data-viz,,https://github.com/vega/altair,https://github.com/vega/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-08-08 17:36:38.000,2024-08-08 17:36:38,3726.0,64.0,744.0,143.0,1431.0,182.0,1792.0,9127.0,Declarative statistical visualization library for Python.,170.0,42,True,2024-03-30 15:36:52,5.3.0,28.0,altair,conda-forge/altair,,,164.0,21964697.0,152084.0,152084.0,https://pypi.org/project/altair,21890938.0,https://anaconda.org/conda-forge/altair,2024-03-30 18:57:22.082,2360256.0,1.0,,,,,,,vega/altair,,,,,,,,,
39,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2024-08-08 17:56:02.000,2024-08-08 17:03:56,6781.0,273.0,633.0,56.0,4859.0,854.0,2381.0,8732.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,187.0,42,True,2024-08-08 01:27:31,0.17.6,100.0,wandb,conda-forge/wandb,,,260.0,13368901.0,51388.0,51388.0,https://pypi.org/project/wandb,13357201.0,https://anaconda.org/conda-forge/wandb,2024-06-27 19:54:28.094,573065.0,1.0,,,,,,,wandb/wandb,,,,,,,,,
40,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-08-07 14:37:50.000,2024-07-26 15:41:42,5844.0,17.0,1616.0,193.0,5014.0,618.0,1235.0,6640.0,TensorFlows Visualization Toolkit.,320.0,42,True,2024-06-07 20:40:47,2.17.0,61.0,tensorboard,conda-forge/tensorboard,,['tensorflow'],,22514294.0,251683.0,251683.0,https://pypi.org/project/tensorboard,22416380.0,https://anaconda.org/conda-forge/tensorboard,2024-06-11 13:46:35.015,4895704.0,1.0,,,,,,,,,,,,,,,,
41,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-08-07 16:01:28.000,2024-08-03 14:32:56,14044.0,60.0,2149.0,186.0,4447.0,564.0,2088.0,5994.0,Image processing in Python.,667.0,42,True,2024-06-18 19:05:37,0.24.0,32.0,scikit-image,conda-forge/scikit-image,,,,10705639.0,191275.0,191275.0,https://pypi.org/project/scikit-image,10572949.0,https://anaconda.org/conda-forge/scikit-image,2024-06-27 18:46:03.341,6634521.0,1.0,,,,,,,,,,,,,,,,
42,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-08-08 17:55:56.000,2024-08-08 16:28:32,2410.0,125.0,3866.0,342.0,2866.0,997.0,1682.0,34217.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",331.0,41,True,2024-06-21 17:33:01,0.14.4,76.0,deepspeed,,,['pytorch'],,502568.0,8234.0,8234.0,https://pypi.org/project/deepspeed,502236.0,,,,1.0,deepspeed/deepspeed,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,18297.0,,,,,,,,,,,
