,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,trending,maven_id,maven_url,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-12-21 17:27:06.000000,2023-12-20 21:59:28,49301.0,721.0,7112.0,591.0,17551.0,1169.0,8808.0,18597.0,matplotlib: plotting with Python.,1635.0,48,True,2023-11-18 01:36:36,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1038924.0,1038924.0,https://pypi.org/project/matplotlib,48005446.0,48515915.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21439724.0,,,,,1.0,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-12-21 11:39:19.000000,2023-12-21 11:08:38,16730.0,451.0,1946.0,223.0,4515.0,77.0,2892.0,11350.0,Python Imaging Library (Fork).,455.0,47,True,2023-10-15 13:05:17,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1469415.0,1469415.0,https://pypi.org/project/Pillow,74803824.0,75664911.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,35304605.0,,,,,1.0,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-12-21 16:02:25.000000,2023-12-21 06:10:45,10195.0,491.0,18578.0,1910.0,6836.0,133.0,11340.0,60057.0,Deep Learning for humans.,1265.0,45,True,2023-12-12 17:31:31,2.15.0,55.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,13634284.0,13713889.0,https://anaconda.org/conda-forge/keras,2023-11-15 08:53:46.597,3343440.0,,,,,1.0,,,,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-12-21 17:55:05.000000,2023-12-21 16:53:10,18719.0,1183.0,2330.0,321.0,11938.0,1202.0,3586.0,26071.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",612.0,45,True,2023-12-14 07:26:26,jax-v0.4.23,93.0,jax,conda-forge/jaxlib,,,,20368.0,20368.0,https://pypi.org/project/jax,4545576.0,4569631.0,https://anaconda.org/conda-forge/jaxlib,2023-12-21 14:26:01.347,1010332.0,,,,,1.0,,,,,,,,,,,,,
14,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-12-21 17:24:20.000000,2023-12-21 17:01:23,10024.0,304.0,3020.0,243.0,9790.0,645.0,5993.0,25462.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",918.0,45,True,2023-12-21 15:14:18,2.1.3,105.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],27285.0,27285.0,https://pypi.org/project/pytorch-lightning,4655326.0,4680181.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-12 11:23:27.572,1026339.0,,,,,1.0,13842.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,
15,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-12-21 18:02:12.000000,2023-12-21 18:02:11,45599.0,1717.0,5187.0,724.0,42443.0,1041.0,16542.0,21165.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1148.0,45,True,2023-07-25 11:09:59,2.5.0,60.0,paddlepaddle,,,,['paddle'],4424.0,4424.0,https://pypi.org/project/paddlepaddle,195362.0,195536.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,
16,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-12-20 10:52:24.000000,2023-12-15 19:44:51,15177.0,68.0,2605.0,278.0,3827.0,2549.0,2725.0,9145.0,Statsmodels: statistical modeling and econometrics in Python.,419.0,45,True,2023-12-14 14:31:51,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,110532.0,110532.0,https://pypi.org/project/statsmodels,11915036.0,12200742.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,11999657.0,,,,,1.0,30.0,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-12-21 18:01:15.000000,2023-12-21 18:01:15,20233.0,1030.0,4826.0,465.0,25611.0,2987.0,13180.0,29138.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,952.0,44,True,2023-12-21 00:32:08,ray-2.9.0,76.0,ray,conda-forge/ray-tune,,,,12883.0,12883.0,https://pypi.org/project/ray,2721236.0,2726190.0,https://anaconda.org/conda-forge/ray-tune,2023-12-05 13:59:54.326,178279.0,,,,,1.0,158.0,,,,,,,,,,,,
18,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-12-21 14:08:27.000000,2023-12-21 10:00:06,16083.0,65.0,4146.0,556.0,3929.0,75.0,5444.0,27838.0,Industrial-strength Natural Language Processing (NLP) in Python.,746.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,76654.0,76654.0,https://pypi.org/project/spacy,7004606.0,7083220.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3301809.0,,,,,1.0,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-12-21 17:10:21.000000,2023-12-21 02:01:30,6686.0,127.0,8130.0,912.0,4881.0,347.0,4677.0,25119.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",631.0,44,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,75499.0,75499.0,https://pypi.org/project/xgboost,11436237.0,11545111.0,https://anaconda.org/conda-forge/xgboost,2023-12-20 14:38:41.532,4461117.0,,,,,2.0,7883.0,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-12-21 17:05:51.000000,2023-12-21 10:42:15,5170.0,504.0,3607.0,291.0,7187.0,1053.0,2286.0,16103.0,Open source platform for the machine learning lifecycle.,683.0,44,True,2023-12-14 15:34:34,2.9.2,80.0,mlflow,conda-forge/mlflow,,,,27669.0,27669.0,https://pypi.org/project/mlflow,14515271.0,14555350.0,https://anaconda.org/conda-forge/mlflow,2023-12-14 16:11:35.887,1683336.0,,,,,1.0,,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-12-19 15:13:25.000000,2023-11-30 20:53:28,6255.0,50.0,2397.0,280.0,1580.0,1401.0,1369.0,14599.0,The interactive graphing library for Python This project now includes Plotly Express!.,252.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,225870.0,225870.0,https://pypi.org/project/plotly,11921814.0,12086794.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5126877.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,45751.0,,,,,,,,
22,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-12-21 17:55:29.000000,2023-12-20 19:50:07,56781.0,612.0,4026.0,291.0,12827.0,4250.0,8589.0,11654.0,A computer algebra system written in pure Python.,1265.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,100781.0,100781.0,https://pypi.org/project/sympy,10410677.0,10467712.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4806968.0,,,,,1.0,526594.0,,,,,,,,,,,,
23,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-12-21 17:33:42.000000,2023-12-21 02:16:21,6059.0,379.0,1708.0,143.0,3079.0,422.0,2982.0,24981.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",237.0,43,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,19379.0,19379.0,https://pypi.org/project/gradio,3969530.0,3969530.0,,,,,,,,1.0,,,,,,,,,,,,,
24,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-12-21 15:58:22.000000,2023-12-19 18:41:07,20343.0,127.0,4065.0,444.0,5929.0,719.0,6785.0,18422.0,"Interactive Data Visualization in the browser, from Python.",679.0,43,True,,,56.0,bokeh,conda-forge/bokeh,,,,80770.0,80770.0,https://pypi.org/project/bokeh,4180370.0,4494966.0,https://anaconda.org/conda-forge/bokeh,2023-12-01 23:42:13.932,13213057.0,,,,,1.0,,,,,,,,,,,,,
25,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-12-21 11:17:01.000000,2023-12-20 23:01:00,2612.0,86.0,3509.0,439.0,3045.0,264.0,2309.0,16083.0,Open standard for machine learning interoperability.,302.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,21973.0,21973.0,https://pypi.org/project/onnx,4190840.0,4212383.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,893711.0,,,,,1.0,19663.0,,,,,,,,,,,,
26,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-12-21 14:17:42.000000,2023-12-21 04:28:43,3395.0,46.0,3655.0,438.0,3042.0,308.0,2880.0,15746.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",291.0,43,True,2023-09-12 01:51:05,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,28111.0,28111.0,https://pypi.org/project/lightgbm,6868132.0,6925629.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2140461.0,,,,,2.0,209175.0,,,,,,,,,,,,
27,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-12-21 01:12:13.000000,2023-12-21 01:12:12,3216.0,40.0,1743.0,259.0,1075.0,114.0,2330.0,11493.0,Statistical data visualization in Python.,208.0,43,True,2023-09-29 19:01:44,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,340263.0,340263.0,https://pypi.org/project/seaborn,12928711.0,13116514.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7887612.0,,,,,1.0,365.0,,,,,,,,,,,,
28,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-12-21 12:22:07.000000,2023-12-15 23:34:19,5735.0,71.0,1568.0,194.0,4879.0,591.0,1218.0,6433.0,TensorFlows Visualization Toolkit.,311.0,43,True,2023-11-02 18:45:45,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],205857.0,205857.0,https://pypi.org/project/tensorboard,22124264.0,22230275.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4452489.0,,,,,1.0,,,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-12-21 14:34:53.000000,2023-12-21 10:01:10,7541.0,144.0,2988.0,275.0,3581.0,177.0,2926.0,13674.0,Network Analysis in Python.,699.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,209922.0,209922.0,https://pypi.org/project/networkx,36944955.0,37304126.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14366864.0,,,,,1.0,65.0,,,,,,,,,,,,
30,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-12-18 21:00:41.000000,2023-12-18 21:00:41,14506.0,42.0,2687.0,468.0,1442.0,253.0,1495.0,12614.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,451.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,239596.0,239596.0,https://pypi.org/project/nltk,13482039.0,13509026.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2374877.0,,,,,1.0,,,,,,,,,,,,,
31,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-12-21 16:47:23.000000,2023-12-21 16:47:22,4595.0,80.0,1974.0,1694.0,4433.0,248.0,2569.0,11418.0,WebGL2 powered visualization framework.,242.0,42,True,2023-12-05 13:36:42,8.9.33,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6913.0,6913.0,https://pypi.org/project/pydeck,2012138.0,2437299.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,466816.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,415013.0,,,,,,,,
32,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-12-21 03:42:39.000000,2023-12-16 16:49:23,3609.0,43.0,706.0,142.0,1309.0,160.0,1726.0,8611.0,Declarative statistical visualization library for Python.,159.0,42,True,2023-11-28 06:23:39,5.2.0,27.0,altair,conda-forge/altair,,,,95429.0,95429.0,https://pypi.org/project/altair,15970384.0,16058359.0,https://anaconda.org/conda-forge/altair,2023-12-05 00:22:25.208,2111393.0,,,,,1.0,92.0,,,,,,,,,,,,
33,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-12-21 15:57:39.000000,2023-12-19 21:47:58,13789.0,93.0,2113.0,186.0,4325.0,524.0,2034.0,5713.0,Image processing in Python.,644.0,42,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,164480.0,164480.0,https://pypi.org/project/scikit-image,11624152.0,11763579.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5855974.0,,,,,1.0,,,,,,,,,,,,,
34,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-12-19 02:20:04.000000,2023-12-16 23:10:45,2114.0,94.0,4329.0,305.0,430.0,69.0,757.0,28121.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",127.0,41,True,2023-11-24 19:09:08,0.9.12,54.0,timm,conda-forge/timm,,,['pytorch'],20446.0,20446.0,https://pypi.org/project/timm,3617113.0,3728386.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,116085.0,,,,,1.0,5964349.0,huggingface/pytorch-image-models,,,,,,,,,,,
35,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-12-21 17:42:30.914000,2023-12-08 12:55:11,2582.0,77.0,2989.0,251.0,781.0,1412.0,954.0,20767.0,A game theoretic approach to explain the output of any machine learning model.,229.0,41,True,2023-12-07 12:14:26,0.44.0,51.0,shap,conda-forge/shap,,,,14936.0,14936.0,https://pypi.org/project/shap,7310521.0,7372531.0,https://anaconda.org/conda-forge/shap,2023-12-21 17:42:30.914,2232363.0,,,,,1.0,,shap/shap,,,,,,,,,,,
36,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-12-20 12:56:59.000000,2023-11-29 14:40:08,32592.0,75.0,4330.0,349.0,6303.0,2.0,6641.0,17356.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",591.0,41,True,2023-12-05 16:10:28,3.5.17,100.0,rasa,,,,['tensorflow'],3834.0,3834.0,https://pypi.org/project/rasa,159114.0,159114.0,,,,,,,,1.0,,,,,,,,,,,,,
37,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-12-21 05:23:06.000000,2023-12-20 23:05:08,9120.0,128.0,1102.0,137.0,5304.0,514.0,4026.0,12674.0,ML Experiments Management with Git.,289.0,41,True,2023-12-20 23:17:12,3.35.0,288.0,dvc,conda-forge/dvc,,,,11311.0,11311.0,https://pypi.org/project/dvc,851767.0,897223.0,https://anaconda.org/conda-forge/dvc,2023-12-13 14:29:10.363,1741481.0,,,,,1.0,47921.0,,,,,dvc,dvc,dvc,,,,,
38,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-12-21 08:23:28.000000,2023-12-20 22:02:14,7960.0,92.0,1613.0,212.0,5572.0,843.0,4062.0,11632.0,Parallel computing with task scheduling.,592.0,41,True,,,162.0,dask,conda-forge/dask,,,,55632.0,55632.0,https://pypi.org/project/dask,6732433.0,6978665.0,https://anaconda.org/conda-forge/dask,2023-12-15 22:47:54.178,10587982.0,,,,,1.0,,,,,,,,,stable/dask,,,,
39,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2023-12-21 17:47:03.000000,2023-12-20 22:26:50,6025.0,195.0,564.0,55.0,3864.0,797.0,2093.0,7607.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,168.0,41,True,2023-12-05 18:58:08,0.16.1,100.0,wandb,conda-forge/wandb,,,,35130.0,35130.0,https://pypi.org/project/wandb,9475170.0,9485795.0,https://anaconda.org/conda-forge/wandb,2023-12-05 22:51:30.208,435644.0,,,,,1.0,,wandb/wandb,,,,,,,,,,,
40,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-12-21 17:02:46.000000,2023-12-21 00:48:47,2009.0,180.0,3475.0,305.0,2379.0,769.0,1467.0,30292.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",273.0,40,True,2023-12-21 00:46:35,0.12.6,65.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],5168.0,5168.0,https://pypi.org/project/deepspeed,359617.0,359986.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17354.0,1.0,,,,,,,,,,,,,
41,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2023-12-15 06:59:56.000000,2023-12-02 00:09:58,2731.0,27.0,7275.0,618.0,2214.0,181.0,1582.0,24975.0,The fastai deep learning library.,245.0,40,True,2023-10-15 04:03:45,2.7.13,50.0,fastai,,,,['pytorch'],15679.0,15679.0,https://pypi.org/project/fastai,479142.0,479142.0,,,,,,,,2.0,,,,,,,,,,,,,
