,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,trending
22,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-07-24 18:13:25.000000,2025-07-24 17:59:27,29240.0,1885.0,3062.0,329.0,20846.0,1568.0,4839.0,32909.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",927.0,45,True,2025-07-22 20:33:48,jax-v0.7.0,100.0,jax-ml/jax,jax,conda-forge/jaxlib,,,,9214671.0,45982.0,45982.0,https://pypi.org/project/jax,9167131.0,https://anaconda.org/conda-forge/jaxlib,2025-07-21 07:34:08.317,2899992.0,2.0,,,,,,,,,,,,,,,
23,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-07-24 14:04:41.000000,2025-07-24 14:04:41,8259.0,708.0,4575.0,311.0,12031.0,1469.0,2984.0,21323.0,Open source platform for the machine learning lifecycle.,877.0,45,True,2025-07-23 06:33:34,3.1.4,103.0,,mlflow,conda-forge/mlflow,,,,20578383.0,64704.0,64704.0,https://pypi.org/project/mlflow,20522955.0,https://anaconda.org/conda-forge/mlflow,2025-07-23 20:28:58.775,3381160.0,1.0,,,,,,,,,,,,,,,
24,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2025-07-24 14:52:28.000000,2025-07-24 14:51:29,6674.0,223.0,8347.0,463.0,3630.0,141.0,9684.0,51914.0,"Awesome multilingual OCR and Document Parsing toolkits based on PaddlePaddle (practical ultra lightweight OCR system,..",253.0,44,True,2025-06-29 06:57:35,3.1.0,22.0,,paddleocr,,,['paddle'],1999424.0,571871.0,6032.0,6032.0,https://pypi.org/project/paddleocr,537399.0,,,,1.0,,,,,,,,,,,,,,,
25,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-07-24 18:26:33.000000,2025-07-24 15:30:17,7900.0,232.0,2952.0,188.0,5333.0,440.0,5441.0,39175.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",432.0,44,True,2025-07-23 20:36:00,gradio@5.38.1,100.0,,gradio,,,,,8159784.0,82096.0,82096.0,https://pypi.org/project/gradio,8159784.0,,,,1.0,,,,,,,,,,,,,,,
26,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-07-23 15:22:37.000000,2025-07-23 15:22:34,10691.0,122.0,3483.0,257.0,10595.0,963.0,6411.0,29855.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1027.0,44,True,2025-06-20 15:56:59,2.5.2,123.0,Lightning-AI/pytorch-lightning,pytorch-lightning,conda-forge/pytorch-lightning,,['pytorch'],14092.0,11503614.0,47817.0,47817.0,https://pypi.org/project/pytorch-lightning,11476799.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-06-21 11:25:06.850,1617483.0,2.0,,,,,,,,,,,,,,,
27,chroma,chroma-core/chroma,nn-search,,https://github.com/chroma-core/chroma,https://github.com/chroma-core/chroma,Apache-2.0,2022-10-05 17:58:44.000,2025-07-24 18:18:28.000000,2025-07-24 18:18:28,3175.0,466.0,1671.0,112.0,3669.0,214.0,1239.0,21288.0,the AI-native open-source embedding database.,166.0,44,True,2025-07-02 17:07:55,1.0.15,93.0,,chromadb,,,,1569.0,5004166.0,86973.0,86973.0,https://pypi.org/project/chromadb,5004119.0,,,,1.0,,,,,,,,,,,,,,,
28,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-07-24 14:07:42.000000,2025-07-24 14:07:42,2343.0,462.0,2577.0,143.0,747.0,1257.0,1173.0,17199.0,State-of-the-Art Text Embeddings.,231.0,44,True,2025-07-01 13:56:10,5.0.0,54.0,,sentence-transformers,conda-forge/sentence-transformers,,['pytorch'],,11720629.0,120699.0,120699.0,https://pypi.org/project/sentence-transformers,11706868.0,https://anaconda.org/conda-forge/sentence-transformers,2025-07-01 20:49:11.289,798176.0,1.0,,,,,,,,,,,,,,,
29,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-07-07 06:01:37.000000,2025-07-06 02:34:15,14769.0,27.0,2841.0,455.0,1522.0,248.0,1605.0,14189.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,472.0,44,True,,,19.0,,nltk,conda-forge/nltk,,,,33552633.0,406669.0,406669.0,https://pypi.org/project/nltk,33489798.0,https://anaconda.org/conda-forge/nltk,2025-04-22 14:56:27.119,3267443.0,1.0,,,,,,,,,,,,,,,
30,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-07-24 08:49:15.000000,2025-07-24 08:49:15,19583.0,413.0,1129.0,117.0,4017.0,55.0,1701.0,12353.0,A hyperparameter optimization framework.,312.0,44,True,2025-06-16 05:12:20,4.4.0,74.0,,optuna,conda-forge/optuna,,,,5158937.0,28880.0,28880.0,https://pypi.org/project/optuna,5108697.0,https://anaconda.org/conda-forge/optuna,2025-06-17 02:59:31.546,3064687.0,1.0,,,,,,,,,,,,,,,
31,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-07-18 15:23:22.000000,2025-07-18 15:23:21,15742.0,41.0,3103.0,289.0,4026.0,2736.0,2841.0,10828.0,Statsmodels: statistical modeling and econometrics in Python.,462.0,44,True,2025-07-07 10:26:06,0.14.5,30.0,,statsmodels,conda-forge/statsmodels,,,35.0,18695096.0,177066.0,177066.0,https://pypi.org/project/statsmodels,18359587.0,https://anaconda.org/conda-forge/statsmodels,2025-07-07 20:02:33.033,20466076.0,2.0,,,,,,,,,,,,,,,
32,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2025-07-24 18:19:54.000000,2025-07-24 08:54:19,8184.0,293.0,745.0,62.0,6559.0,652.0,2978.0,10139.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",215.0,44,True,2025-07-02 00:25:13,0.21.0,100.0,wandb/wandb,wandb,conda-forge/wandb,,,963.0,18248569.0,82725.0,82725.0,https://pypi.org/project/wandb,18229623.0,https://anaconda.org/conda-forge/wandb,2025-07-02 20:19:39.189,1135629.0,1.0,,,,,,,,,,,,,,,
33,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-07-06 12:34:02.785000,2025-05-28 15:23:38,16246.0,18.0,4462.0,565.0,4063.0,162.0,5550.0,32025.0,Industrial-strength Natural Language Processing (NLP) in Python.,770.0,43,True,2025-05-23 08:53:14,release-v3.8.7,100.0,,spacy,conda-forge/spacy,,,3264.0,11709323.0,138951.0,138951.0,https://pypi.org/project/spacy,11611130.0,https://anaconda.org/conda-forge/spacy,2025-07-06 12:34:02.785,5987535.0,1.0,,,,,,,,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-07-24 18:29:32.000000,2025-07-24 16:39:56,3274.0,132.0,3716.0,435.0,3920.0,249.0,2747.0,19314.0,Open standard for machine learning interoperability.,355.0,43,True,2025-05-12 23:07:37,1.18.0,32.0,,onnx,conda-forge/onnx,,,23875.0,7510454.0,48265.0,48265.0,https://pypi.org/project/onnx,7479102.0,https://anaconda.org/conda-forge/onnx,2025-07-07 08:49:19.352,1896894.0,2.0,,,,,,,,,,,,,,,
35,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2025-07-11 21:15:41.000000,2025-07-06 16:18:39,1603.0,96.0,2681.0,257.0,768.0,109.0,1499.0,18370.0,Download market data from Yahoo! Finances API.,135.0,43,True,2025-07-06 16:19:57,0.2.65,100.0,,yfinance,ranaroussi/yfinance,,,,4062873.0,84722.0,84722.0,https://pypi.org/project/yfinance,4060826.0,https://anaconda.org/ranaroussi/yfinance,2025-03-25 16:27:42.706,98295.0,1.0,,,,,,,,,,,,,,,
36,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2025-07-24 12:13:01.000000,2025-07-24 12:13:01,8033.0,70.0,3301.0,282.0,4219.0,185.0,3112.0,15982.0,Network Analysis in Python.,782.0,43,True,2025-05-29 11:58:31,networkx-3.5,62.0,,networkx,conda-forge/networkx,,,113.0,99155126.0,425256.0,425256.0,https://pypi.org/project/networkx,98756914.0,https://anaconda.org/conda-forge/networkx,2025-06-04 23:05:28.954,23494555.0,1.0,,,,,,,,,,,,,,,
37,MoviePy,Zulko/moviepy,image,,https://github.com/Zulko/moviepy,https://github.com/Zulko/moviepy,MIT,2013-08-12 09:39:28.000,2025-07-08 13:39:34.000000,2025-07-08 13:39:33,1513.0,72.0,1794.0,253.0,764.0,40.0,1597.0,13723.0,Video editing with Python.,188.0,43,True,2025-05-21 19:31:17,2.2.1,20.0,,moviepy,conda-forge/moviepy,,,,3644984.0,65906.0,65906.0,https://pypi.org/project/moviepy,3641675.0,https://anaconda.org/conda-forge/moviepy,2025-04-22 14:56:38.733,317679.0,1.0,,,,,,,,,,,,,,,
38,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-07-21 14:30:22.000000,2025-07-21 14:30:22,9587.0,42.0,1757.0,212.0,6322.0,985.0,4422.0,13361.0,Parallel computing with task scheduling.,625.0,43,True,2025-07-14 20:03:14,2025.7.0,197.0,,dask,conda-forge/dask,,,,15262914.0,76450.0,76450.0,https://pypi.org/project/dask,15043517.0,https://anaconda.org/conda-forge/dask,2025-07-15 01:17:58.319,13602638.0,1.0,,,,,,,,,stable/dask,,,,,,
39,accelerate,huggingface/accelerate,pytorch-utils,,https://github.com/huggingface/accelerate,https://github.com/huggingface/accelerate,Apache-2.0,2020-10-30 13:27:12.000,2025-07-23 16:23:11.131000,2025-07-22 10:31:03,1813.0,82.0,1137.0,97.0,1831.0,85.0,1762.0,8962.0,"A simple way to launch, train, and use PyTorch models on almost any device and distributed configuration, automatic..",359.0,43,True,2025-07-16 16:35:54,1.9.0,66.0,,accelerate,conda-forge/accelerate,,['pytorch'],,12042883.0,102298.0,102298.0,https://pypi.org/project/accelerate,12032706.0,https://anaconda.org/conda-forge/accelerate,2025-07-23 16:23:11.131,457993.0,1.0,,,,,,,,,,,,,,,
40,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2025-07-18 07:57:49.537000,2025-07-18 00:37:27,5912.0,16.0,1643.0,188.0,5094.0,643.0,1246.0,6940.0,TensorFlows Visualization Toolkit.,327.0,43,True,2025-07-17 19:19:53,2.20.0,65.0,,tensorboard,conda-forge/tensorboard,,['tensorflow'],,26532596.0,330941.0,330941.0,https://pypi.org/project/tensorboard,26439170.0,https://anaconda.org/conda-forge/tensorboard,2025-07-18 07:57:49.537,5698997.0,1.0,,,,,,,,,,,,,,,
41,ollama,jmorganca/ollama,agents,,https://github.com/ollama/ollama,https://github.com/ollama/ollama,MIT,2023-06-26 19:39:32.000,2025-07-24 18:07:33.000000,2025-07-24 05:16:55,4417.0,218.0,12255.0,841.0,3640.0,1616.0,6004.0,147438.0,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models.",503.0,42,True,2025-07-08 01:26:29,0.9.6,100.0,ollama/ollama,,,,,75875150.0,3993428.0,70.0,70.0,,,,,,2.0,,,,,,,,,,,,,,,
42,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-07-23 23:16:10.000000,2025-07-23 23:16:10,11605.0,127.0,18923.0,1888.0,8226.0,222.0,12280.0,63236.0,Deep Learning for humans.,1419.0,42,True,2025-05-19 22:57:56,3.10.0,77.0,,keras,conda-forge/keras,https://keras.io,['tensorflow'],,13180532.0,,,https://pypi.org/project/keras,13111282.0,https://anaconda.org/conda-forge/keras,2025-05-20 06:37:42.993,4224250.0,2.0,,,,,,,,,,,,,,,
