,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,new_addition,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,trending,maven_id,maven_url,snap_id
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-01-09 21:12:21.000000,2024-01-09 20:53:57,6811.0,1655.0,10491.0,619.0,9039.0,1698.0,3813.0,73372.0,Building applications with LLMs through composability.,1822.0,48,True,2024-01-06 01:18:46,0.1.0,100.0,langchain,,,,,48618.0,48618.0,https://pypi.org/project/langchain,4027334.0,4027334.0,,,,,,,,1.0,,True,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-01-09 18:59:33.000000,2024-01-09 13:28:15,49345.0,553.0,7127.0,591.0,17593.0,1168.0,8834.0,18691.0,matplotlib: plotting with Python.,1636.0,48,True,2023-11-18 01:36:36,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1054775.0,1054775.0,https://pypi.org/project/matplotlib,42973143.0,43473249.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21504580.0,,,,,1.0,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-01-09 14:10:50.000000,2024-01-09 14:08:05,16978.0,590.0,1950.0,223.0,4576.0,68.0,2911.0,11396.0,Python Imaging Library (Fork).,457.0,47,True,2024-01-02 09:38:41,10.2.0,54.0,Pillow,conda-forge/pillow,,,,1490620.0,1490620.0,https://pypi.org/project/Pillow,66909141.0,67753991.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,35483731.0,,,,,1.0,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-01-09 04:35:20.000000,2024-01-09 04:35:20,10220.0,402.0,18584.0,1912.0,6859.0,150.0,11363.0,60146.0,Deep Learning for humans.,1269.0,45,True,2023-12-21 19:22:48,3.0.2,56.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,12491370.0,12569313.0,https://anaconda.org/conda-forge/keras,2023-12-23 16:24:50.607,3351572.0,,,,,1.0,,,,,,,,,,,,,,
14,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-01-09 21:15:09.000000,2024-01-09 21:13:56,18870.0,1035.0,2350.0,323.0,12048.0,1224.0,3610.0,26232.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",614.0,45,True,2023-12-14 07:26:26,jax-v0.4.23,93.0,jax,conda-forge/jaxlib,,,,20867.0,20867.0,https://pypi.org/project/jax,4556662.0,4580388.0,https://anaconda.org/conda-forge/jaxlib,2023-12-23 22:02:22.397,1020224.0,,,,,1.0,,,,,,,,,,,,,,
15,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-01-09 19:32:39.000000,2024-01-09 19:29:54,10039.0,230.0,3033.0,245.0,9814.0,637.0,6024.0,25622.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",920.0,45,True,2023-12-21 15:14:18,2.1.3,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],27850.0,27850.0,https://pypi.org/project/pytorch-lightning,3922565.0,3946983.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1032356.0,,,,,1.0,13955.0,,Lightning-AI/pytorch-lightning,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-01-09 18:17:58.000000,2024-01-09 11:59:01,6714.0,132.0,8134.0,911.0,4918.0,344.0,4699.0,25184.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",632.0,45,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,77316.0,77316.0,https://pypi.org/project/xgboost,11459442.0,11566361.0,https://anaconda.org/conda-forge/xgboost,2023-12-20 14:38:41.532,4487796.0,,,,,1.0,7973.0,,,,,,,,,,,,,
17,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-01-09 18:37:16.000000,2024-01-09 15:33:52,45888.0,1765.0,5189.0,726.0,42828.0,1041.0,16589.0,21218.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1149.0,45,True,2024-01-08 06:43:49,2.6.0,61.0,paddlepaddle,,,,['paddle'],4483.0,4483.0,https://pypi.org/project/paddlepaddle,177291.0,177463.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,,
18,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-01-08 03:16:36.000000,2024-01-04 18:06:07,15242.0,132.0,2611.0,279.0,3838.0,2548.0,2730.0,9195.0,Statsmodels: statistical modeling and econometrics in Python.,421.0,45,True,2023-12-14 14:31:51,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,111853.0,111853.0,https://pypi.org/project/statsmodels,11514808.0,11794972.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12047072.0,,,,,1.0,30.0,,,,,,,,,,,,,
19,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-01-09 21:15:40.000000,2024-01-09 21:11:42,20316.0,891.0,4860.0,463.0,25746.0,3020.0,13217.0,29377.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,958.0,44,True,2023-12-21 00:32:08,ray-2.9.0,76.0,ray,conda-forge/ray-tune,,,,13135.0,13135.0,https://pypi.org/project/ray,2514557.0,2519424.0,https://anaconda.org/conda-forge/ray-tune,2023-12-05 13:59:54.326,180013.0,,,,,1.0,177.0,,,,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-01-05 13:20:58.000000,2024-01-02 09:03:06,16084.0,29.0,4154.0,556.0,3931.0,76.0,5447.0,27955.0,Industrial-strength Natural Language Processing (NLP) in Python.,746.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,77848.0,77848.0,https://pypi.org/project/spacy,5532292.0,5609255.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3309440.0,,,,,1.0,,,,,,,,,,,,,,
21,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-01-09 21:02:51.000000,2024-01-09 15:39:12,5207.0,444.0,3628.0,291.0,7240.0,1059.0,2293.0,16211.0,Open source platform for the machine learning lifecycle.,685.0,44,True,2023-12-14 15:34:34,2.9.2,80.0,mlflow,conda-forge/mlflow,,,,28496.0,28496.0,https://pypi.org/project/mlflow,13417768.0,13457199.0,https://anaconda.org/conda-forge/mlflow,2023-12-14 16:11:35.887,1695551.0,,,,,1.0,,,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-01-09 19:44:27.000000,2023-12-21 22:10:00,6257.0,49.0,2408.0,280.0,1587.0,1403.0,1371.0,14661.0,The interactive graphing library for Python This project now includes Plotly Express!.,252.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,229904.0,229904.0,https://pypi.org/project/plotly,10123478.0,10270670.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5150534.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,30135.0,,,,,,,,
23,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-01-09 16:19:17.000000,2024-01-07 02:56:47,56846.0,406.0,4045.0,291.0,12847.0,4252.0,8607.0,11745.0,A computer algebra system written in pure Python.,1265.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,104207.0,104207.0,https://pypi.org/project/sympy,8898705.0,8955582.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4847119.0,,,,,1.0,528115.0,,,,,,,,,,,,,
24,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-01-06 19:08:18.000000,2023-12-31 21:35:22,3225.0,34.0,1752.0,259.0,1082.0,115.0,2337.0,11564.0,Statistical data visualization in Python.,209.0,44,True,2023-12-31 22:09:55,0.13.1,36.0,seaborn,conda-forge/seaborn,,,,346979.0,346979.0,https://pypi.org/project/seaborn,11635099.0,11819259.0,https://anaconda.org/conda-forge/seaborn,2024-01-03 20:19:50.194,7918779.0,,,,,1.0,373.0,,,,,,,,,,,,,
25,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-01-09 21:07:06.000000,2024-01-09 02:34:46,6094.0,344.0,1752.0,144.0,3127.0,429.0,3046.0,25444.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",241.0,43,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,20506.0,20506.0,https://pypi.org/project/gradio,3989761.0,3989761.0,,,,,,,,1.0,,,,,,,,,,,,,,
26,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-01-09 19:27:44.000000,2024-01-09 19:27:41,20358.0,105.0,4064.0,443.0,5945.0,721.0,6798.0,18472.0,"Interactive Data Visualization in the browser, from Python.",680.0,43,True,,,57.0,bokeh,conda-forge/bokeh,,,,81488.0,81488.0,https://pypi.org/project/bokeh,3666717.0,3974835.0,https://anaconda.org/conda-forge/bokeh,2024-01-08 21:10:28.843,13249081.0,,,,,1.0,,,,,,,,,,,,,,
27,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-01-09 16:25:08.000000,2024-01-09 16:03:23,2631.0,78.0,3507.0,438.0,3066.0,262.0,2318.0,16184.0,Open standard for machine learning interoperability.,305.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,22584.0,22584.0,https://pypi.org/project/onnx,3605396.0,3626600.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,900475.0,,,,,1.0,19757.0,,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-01-09 16:18:46.000000,2024-01-09 16:18:44,3409.0,47.0,3658.0,437.0,3052.0,309.0,2886.0,15783.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",293.0,43,True,2023-12-21 18:58:56,4.2.0,30.0,lightgbm,conda-forge/lightgbm,,,,28626.0,28626.0,https://pypi.org/project/lightgbm,6190576.0,6246967.0,https://anaconda.org/conda-forge/lightgbm,2023-12-22 13:12:54.633,2151766.0,,,,,2.0,210414.0,,,,,,,,,,,,,
29,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-01-09 19:45:17.000000,2024-01-09 19:45:16,5740.0,61.0,1570.0,194.0,4883.0,594.0,1220.0,6443.0,TensorFlows Visualization Toolkit.,311.0,43,True,2023-11-02 18:45:45,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],208839.0,208839.0,https://pypi.org/project/tensorboard,19866829.0,19970667.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4465043.0,,,,,1.0,,,,,,,,,,,,,,
30,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-01-09 20:58:17.000000,2024-01-09 20:57:39,2597.0,800.0,3205.0,201.0,2934.0,312.0,1968.0,26469.0,LlamaIndex (formerly GPT Index) is a data framework for your LLM applications.,570.0,42,True,2024-01-09 18:52:32,0.9.28,100.0,llama-index,,,,,4111.0,4111.0,https://pypi.org/project/llama-index,1072297.0,1072399.0,,,,,,,,1.0,409.0,True,,,,,,,,,,,,
31,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-01-09 18:23:47.000000,2024-01-09 17:44:24,7556.0,109.0,2995.0,274.0,3606.0,173.0,2935.0,13736.0,Network Analysis in Python.,701.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,214279.0,214279.0,https://pypi.org/project/networkx,33244248.0,33596840.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14456285.0,,,,,1.0,65.0,,,,,,,,,,,,,
32,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-01-05 08:43:30.000000,2023-12-24 12:24:15,14508.0,42.0,2693.0,468.0,1447.0,250.0,1499.0,12676.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,452.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,243209.0,243209.0,https://pypi.org/project/nltk,11689339.0,11716121.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2383661.0,,,,,1.0,,,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-01-09 19:17:36.000000,2024-01-09 16:39:37,4603.0,74.0,1974.0,1693.0,4447.0,254.0,2572.0,11448.0,WebGL2 powered visualization framework.,242.0,42,True,2023-12-05 13:36:42,8.9.33,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6978.0,6978.0,https://pypi.org/project/pydeck,1685556.0,2016041.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,468749.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,320512.0,,,,,,,,
34,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-01-09 20:49:45.000000,2024-01-09 17:15:47,13791.0,48.0,2112.0,186.0,4333.0,527.0,2036.0,5734.0,Image processing in Python.,644.0,42,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,166241.0,166241.0,https://pypi.org/project/scikit-image,11408340.0,11545028.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5877587.0,,,,,1.0,,,,,,,,,,,,,,
35,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-01-09 20:42:14.000000,2024-01-09 20:41:54,2120.0,87.0,4354.0,305.0,432.0,70.0,757.0,28320.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",127.0,41,True,2023-11-24 19:09:08,0.9.12,54.0,timm,conda-forge/timm,,,['pytorch'],21249.0,21249.0,https://pypi.org/project/timm,3510412.0,3621004.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,117748.0,,,,,1.0,6036235.0,,huggingface/pytorch-image-models,,,,,,,,,,,
36,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-01-09 16:35:09.000000,2024-01-09 16:34:26,2585.0,47.0,3006.0,252.0,784.0,1416.0,956.0,20905.0,A game theoretic approach to explain the output of any machine learning model.,229.0,41,True,2023-12-07 12:14:26,0.44.0,51.0,shap,conda-forge/shap,,,,15217.0,15217.0,https://pypi.org/project/shap,6593648.0,6654317.0,https://anaconda.org/conda-forge/shap,2024-01-08 16:40:58.890,2244771.0,,,,,1.0,,,shap/shap,,,,,,,,,,,
37,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2024-01-09 10:42:27.000000,2024-01-09 08:47:26,9146.0,126.0,1106.0,137.0,5329.0,505.0,4047.0,12741.0,ML Experiments Management with Git.,290.0,41,True,2024-01-04 16:18:34,3.38.1,291.0,dvc,conda-forge/dvc,,,,11830.0,11830.0,https://pypi.org/project/dvc,612742.0,657170.0,https://anaconda.org/conda-forge/dvc,2024-01-04 19:09:19.497,1748147.0,,,,,1.0,45299.0,,,,,,dvc,dvc,dvc,,,,,
38,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-01-09 21:04:46.000000,2024-01-09 14:25:43,7976.0,98.0,1615.0,213.0,5592.0,844.0,4068.0,11671.0,Parallel computing with task scheduling.,592.0,41,True,,,162.0,dask,conda-forge/dask,,,,56127.0,56127.0,https://pypi.org/project/dask,5997342.0,6238617.0,https://anaconda.org/conda-forge/dask,2023-12-15 22:47:54.178,10616129.0,,,,,1.0,,,,,,,,,,stable/dask,,,,
39,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-01-09 19:28:45.000000,2024-01-09 19:28:45,3619.0,42.0,708.0,141.0,1317.0,151.0,1742.0,8647.0,Declarative statistical visualization library for Python.,160.0,41,True,2023-11-28 06:23:39,5.2.0,27.0,altair,conda-forge/altair,,,,98859.0,98859.0,https://pypi.org/project/altair,14640515.0,14725241.0,https://anaconda.org/conda-forge/altair,2023-12-05 00:22:25.208,2118133.0,,,,,1.0,96.0,,,,,,,,,,,,,
40,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-01-09 20:09:26.000000,2024-01-09 05:33:18,2034.0,159.0,3513.0,307.0,2401.0,790.0,1487.0,30638.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",277.0,40,True,2023-12-21 00:46:35,0.12.6,65.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],5338.0,5338.0,https://pypi.org/project/deepspeed,324365.0,324727.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17390.0,1.0,,,,,,,,,,,,,,
41,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2024-01-08 08:54:01.226227,2024-01-08 08:34:19,8510.0,43.0,2148.0,206.0,4154.0,12.0,1911.0,19554.0,Build multimodal AI applications with cloud-native stack.,176.0,40,True,2023-12-14 15:31:33,3.23.2,100.0,jina,conda-forge/jina-core,jinaai/jina,,,1453.0,1453.0,https://pypi.org/project/jina,117233.0,146168.0,https://anaconda.org/conda-forge/jina-core,2023-06-16 19:27:18.682,59019.0,https://hub.docker.com/r/jinaai/jina,2024-01-08 08:54:01.226227,8.0,1260924.0,2.0,,,,,,,,,,,,,,
