,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2025-04-24 17:56:34.000000,2025-04-24 17:56:32,13243.0,733.0,16942.0,747.0,17550.0,296.0,8110.0,106283.0,Build context-aware reasoning applications.,3306.0,50,True,2025-04-24 17:31:56,langchain-core==0.3.56,100.0,langchain,,,,,230822.0,230822.0,https://pypi.org/project/langchain,68611637.0,68611637.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-04-24 08:57:20.000000,2025-04-24 08:57:17,52386.0,446.0,7670.0,585.0,19099.0,1255.0,9567.0,21097.0,matplotlib: plotting with Python.,1800.0,49,True,2025-02-27 18:57:43,3.10.1,92.0,matplotlib,conda-forge/matplotlib,,,,1702009.0,1702009.0,https://pypi.org/project/matplotlib,84534506.0,85044002.0,https://anaconda.org/conda-forge/matplotlib,2025-04-22 14:56:20.111,29550781.0,,,,,1.0,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-04-22 14:56:22.479000,2025-04-21 09:14:08,19456.0,305.0,2137.0,218.0,5443.0,67.0,3210.0,12734.0,Python Imaging Library (Fork).,485.0,48,True,2025-04-12 17:56:01,11.2.1,59.0,Pillow,conda-forge/pillow,,,,2228865.0,2228865.0,https://pypi.org/project/Pillow,142352354.0,143282147.0,https://anaconda.org/conda-forge/pillow,2025-04-22 14:56:22.479,52998208.0,,,,,1.0,,,,,,,,,,,,
13,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-04-24 18:13:15.000000,2025-04-24 18:13:15,24934.0,1236.0,6133.0,482.0,32196.0,3840.0,16226.0,36727.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1209.0,47,True,2025-03-27 17:13:14,ray-2.44.1,100.0,ray,conda-forge/ray-tune,,,,23253.0,23253.0,https://pypi.org/project/ray,6655079.0,6669386.0,https://anaconda.org/conda-forge/ray-tune,2025-04-22 14:57:41.621,743860.0,,,,,1.0,251.0,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2025-04-22 14:56:22.841000,2025-04-22 13:27:36,60031.0,600.0,4599.0,291.0,13923.0,4511.0,9096.0,13559.0,A computer algebra system written in pure Python.,1369.0,47,True,2025-04-14 22:30:48,1.14.0rc1,56.0,sympy,conda-forge/sympy,,,,254022.0,254022.0,https://pypi.org/project/sympy,49010956.0,49160207.0,https://anaconda.org/conda-forge/sympy,2025-04-22 14:56:22.841,8572463.0,,,,,1.0,557838.0,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-04-24 14:26:57.000000,2025-04-24 00:03:54,7501.0,497.0,3373.0,326.0,6018.0,1046.0,3998.0,39000.0,Streamlit A faster way to build and share data apps.,267.0,46,True,2025-04-01 20:36:24,1.44.1,97.0,streamlit,,,,,861613.0,861613.0,https://pypi.org/project/streamlit,9922408.0,9922408.0,,,,,,,,1.0,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-04-23 16:46:01.000000,2025-04-23 16:46:01,7409.0,99.0,8271.0,906.0,5949.0,395.0,5062.0,26858.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",660.0,46,True,2025-03-15 13:44:01,3.0.0,64.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,148829.0,148829.0,https://pypi.org/project/xgboost,24886714.0,24992759.0,https://anaconda.org/conda-forge/xgboost,2025-04-22 14:56:33.345,6037831.0,,,,,1.0,15884.0,,,,,,,,,,,
17,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-04-24 18:00:05.000000,2025-04-24 16:16:33,8301.0,353.0,2094.0,423.0,1251.0,494.0,1429.0,22339.0,Data Apps & Dashboards for Python. No JavaScript Required.,176.0,46,True,2025-04-14 18:12:49,3.0.3,114.0,dash,conda-forge/dash,,,,83801.0,83801.0,https://pypi.org/project/dash,5523250.0,5553985.0,https://anaconda.org/conda-forge/dash,2025-04-22 14:56:50.273,1782619.0,,,,,1.0,88.0,,,,,,,,,,,
18,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-04-23 15:01:54.000000,2025-04-22 14:27:42,7803.0,357.0,2594.0,277.0,1862.0,607.0,2541.0,17044.0,The interactive graphing library for Python.,285.0,46,True,2025-03-17 15:02:47,6.0.1,105.0,plotly,conda-forge/plotly,,,,409905.0,409905.0,https://pypi.org/project/plotly,23135113.0,23347206.0,https://anaconda.org/conda-forge/plotly,2025-04-22 14:56:26.042,9158954.0,,,,,1.0,164.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,56856.0,,,,,,,
19,llama_index,run-llama/llama_index,agents,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2025-04-24 17:54:55.000000,2025-04-24 16:40:27,6313.0,418.0,5750.0,259.0,7041.0,444.0,5731.0,41177.0,LlamaIndex is the leading framework for building LLM-powered agents over your data.,1530.0,45,True,2025-04-23 20:54:39,0.12.33,100.0,llama_index,,,,,20303.0,20303.0,https://pypi.org/project/llama_index,4224274.0,4224354.0,,,,,,,,2.0,965.0,,,,,,,,,,,
20,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-04-24 17:56:45.000000,2025-04-24 17:56:39,27282.0,2024.0,2943.0,327.0,18963.0,1487.0,4661.0,32036.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",862.0,45,True,2025-04-17 00:04:02,jax-v0.6.0,100.0,jax,conda-forge/jaxlib,,,,41891.0,41891.0,https://pypi.org/project/jax,8419110.0,8462799.0,https://anaconda.org/conda-forge/jaxlib,2025-04-22 14:57:08.015,2533991.0,,,,,1.0,,,,,,jax-ml/jax,,,,,,
21,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-04-24 15:50:05.000000,2025-04-24 14:12:15,53671.0,950.0,5563.0,715.0,53502.0,1019.0,17700.0,22704.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1370.0,45,True,2025-03-31 01:41:13,3.0.0,64.0,paddlepaddle,,,,['paddle'],7848.0,7848.0,https://pypi.org/project/paddlepaddle,404974.0,405122.0,,,,,,,,1.0,15432.0,,,,,,,,,,,
22,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2025-04-24 18:01:21.000000,2025-04-24 10:38:39,2512.0,369.0,7423.0,193.0,4112.0,794.0,10141.0,39842.0,Ultralytics YOLO11.,253.0,44,True,2025-04-23 17:37:29,8.3.115,100.0,ultralytics,,,,,46608.0,46608.0,https://pypi.org/project/ultralytics,6116858.0,6116858.0,,,,,,,,1.0,,,,,,,,,,,,
23,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-04-24 14:29:45.000000,2025-04-24 10:05:37,10567.0,65.0,3417.0,253.0,10443.0,919.0,6373.0,29356.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1010.0,44,True,2025-03-19 20:26:25,2.5.1,121.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],44976.0,44976.0,https://pypi.org/project/pytorch-lightning,8288001.0,8314324.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-04-22 14:57:27.508,1511105.0,,,,,2.0,11893.0,,,,,Lightning-AI/pytorch-lightning,,,,,,
24,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-04-24 15:40:16.000000,2025-04-24 11:14:57,7541.0,469.0,4356.0,307.0,10914.0,1411.0,2792.0,20291.0,Open source platform for the machine learning lifecycle.,841.0,44,True,2025-04-24 09:56:38,2.22.0,100.0,mlflow,conda-forge/mlflow,,,,58400.0,58400.0,https://pypi.org/project/mlflow,15739608.0,15793806.0,https://anaconda.org/conda-forge/mlflow,2025-04-22 14:57:04.066,3143523.0,,,,,1.0,,,,,,,,,,,,
25,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-04-22 14:56:27.119000,2025-03-15 01:00:12,14735.0,34.0,2835.0,459.0,1516.0,249.0,1593.0,14011.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,470.0,44,True,,,19.0,nltk,conda-forge/nltk,,,,379775.0,379775.0,https://pypi.org/project/nltk,32784534.0,32848502.0,https://anaconda.org/conda-forge/nltk,2025-04-22 14:56:27.119,3134461.0,,,,,1.0,,,,,,,,,,,,
26,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-04-24 10:55:44.000000,2025-04-24 10:55:44,9542.0,112.0,1726.0,212.0,6265.0,949.0,4401.0,13143.0,Parallel computing with task scheduling.,621.0,44,True,2025-04-22 18:32:15,2025.4.0,193.0,dask,conda-forge/dask,,,,73421.0,73421.0,https://pypi.org/project/dask,11396396.0,11617319.0,https://anaconda.org/conda-forge/dask,2025-04-22 20:56:19.506,13034480.0,,,,,1.0,,,,,,,stable/dask,,,,,
27,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-04-22 14:56:24.492000,2025-04-02 08:10:43,15692.0,50.0,3076.0,285.0,4005.0,2720.0,2829.0,10604.0,Statsmodels: statistical modeling and econometrics in Python.,454.0,44,True,2024-10-03 15:37:29,0.14.4,29.0,statsmodels,conda-forge/statsmodels,,,,165744.0,165744.0,https://pypi.org/project/statsmodels,16731907.0,17052828.0,https://anaconda.org/conda-forge/statsmodels,2025-04-22 14:56:24.492,18613421.0,,,,,2.0,35.0,,,,,,,,,,,
28,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-04-24 17:58:28.000000,2025-04-24 16:13:59,7665.0,278.0,2824.0,183.0,5081.0,476.0,5120.0,37644.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",406.0,43,True,2025-04-23 16:47:52,gradio@5.26.0,100.0,gradio,,,,,69731.0,69731.0,https://pypi.org/project/gradio,9375194.0,9375194.0,,,,,,,,1.0,,,,,,,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-04-24 15:56:39.000000,2025-04-24 15:56:37,20762.0,90.0,4163.0,434.0,6330.0,772.0,7143.0,19791.0,"Interactive Data Visualization in the browser, from Python.",710.0,43,True,,,70.0,bokeh,conda-forge/bokeh,,,,100924.0,100924.0,https://pypi.org/project/bokeh,3744374.0,4026797.0,https://anaconda.org/conda-forge/bokeh,2025-04-22 14:56:34.327,16380581.0,,,,,1.0,,,,,,,,,,,,
30,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-04-24 11:02:26.000000,2025-04-24 11:02:26,1827.0,190.0,2516.0,144.0,701.0,1213.0,1145.0,16551.0,State-of-the-Art Text Embeddings.,222.0,43,True,2025-04-15 13:47:13,4.1.0,53.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],95581.0,95581.0,https://pypi.org/project/sentence-transformers,8926629.0,8938670.0,https://anaconda.org/conda-forge/sentence-transformers,2025-04-22 14:57:36.121,662277.0,,,,,1.0,,-1.0,,,,,,,,,,
31,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2025-04-22 14:56:26.328000,2025-01-26 16:55:13,3242.0,4.0,1911.0,262.0,1141.0,149.0,2456.0,13054.0,Statistical data visualization in Python.,215.0,43,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,631845.0,631845.0,https://pypi.org/project/seaborn,24781837.0,24997298.0,https://anaconda.org/conda-forge/seaborn,2025-04-22 14:56:26.328,12496611.0,,,,,1.0,473.0,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-04-23 21:29:06.000000,2025-04-23 20:58:49,5154.0,77.0,2096.0,1665.0,5072.0,371.0,2776.0,12640.0,WebGL2 powered visualization framework.,286.0,43,True,2025-04-18 11:03:15,9.1.11,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],8966.0,8966.0,https://pypi.org/project/pydeck,8543664.0,9165174.0,https://anaconda.org/conda-forge/pydeck,2025-04-22 14:57:20.802,736594.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,608588.0,,,,,,,
33,langgraph,langchain-ai/langgraph,agents,,https://github.com/langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,MIT,2023-08-09 18:33:12.000,2025-04-24 17:46:01.000000,2025-04-24 15:47:08,5094.0,1126.0,1967.0,83.0,2646.0,79.0,527.0,11876.0,Build resilient language agents as graphs.,166.0,43,True,2025-04-24 14:27:15,0.3.34,100.0,langgraph,,,,,22186.0,22186.0,https://pypi.org/project/langgraph,4207593.0,4207593.0,,,,,,,,2.0,,,,,,,,,,,,
34,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-04-23 10:34:08.000000,2025-04-23 10:34:07,19077.0,221.0,1075.0,117.0,3913.0,56.0,1671.0,11799.0,A hyperparameter optimization framework.,292.0,43,True,2025-04-14 05:06:59,4.3.0,73.0,optuna,conda-forge/optuna,,,,25375.0,25375.0,https://pypi.org/project/optuna,3989184.0,4033570.0,https://anaconda.org/conda-forge/optuna,2025-04-22 14:57:16.783,2574395.0,,,,,1.0,,,,,,,,,,,,
35,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2025-04-22 14:56:43.843000,2025-04-16 22:53:44,5896.0,14.0,1636.0,187.0,5074.0,637.0,1243.0,6851.0,TensorFlows Visualization Toolkit.,325.0,43,True,2025-02-12 08:16:26,2.19.0,64.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],314207.0,314207.0,https://pypi.org/project/tensorboard,25837225.0,25931927.0,https://anaconda.org/conda-forge/tensorboard,2025-04-22 14:56:43.843,5492731.0,,,,,1.0,,,,,,,,,,,,
36,ollama,jmorganca/ollama,agents,,https://github.com/ollama/ollama,https://github.com/ollama/ollama,MIT,2023-06-26 19:39:32.000,2025-04-24 03:48:31.000000,2025-04-24 03:13:51,4178.0,386.0,11332.0,799.0,3311.0,1514.0,5329.0,138438.0,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models.",474.0,42,True,2025-04-17 04:34:58,0.6.6,100.0,,,,,,67.0,67.0,,,3286134.0,,,,,,,,2.0,59150426.0,,,,,ollama/ollama,,,,,,
37,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-04-24 17:47:23.000000,2025-04-24 17:47:23,11475.0,163.0,18908.0,1901.0,7993.0,264.0,12179.0,62916.0,Deep Learning for humans.,1403.0,42,True,2025-04-02 20:22:14,3.9.2,76.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,14682036.0,14751871.0,https://anaconda.org/conda-forge/keras,2025-04-22 14:56:26.303,4050473.0,,,,,2.0,,,,,,,,,,,,
38,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-04-22 14:56:32.571000,2025-04-11 18:56:52,16228.0,8.0,4418.0,563.0,4049.0,171.0,5527.0,31456.0,Industrial-strength Natural Language Processing (NLP) in Python.,764.0,42,True,2024-12-11 13:11:38,release-v3.8.3,100.0,spacy,conda-forge/spacy,,,,127575.0,127575.0,https://pypi.org/project/spacy,18204704.0,18304419.0,https://anaconda.org/conda-forge/spacy,2025-04-22 14:56:32.571,5782058.0,,,,,1.0,2219.0,,,,,,,,,,,
39,crewAI,crewAIInc/crewAI,agents,,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,MIT,2023-10-27 03:26:59.000,2025-04-24 17:48:29.000000,2025-04-23 18:20:32,1378.0,266.0,4065.0,291.0,1159.0,73.0,1215.0,30539.0,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI..",234.0,42,True,2025-04-10 01:04:50,0.114.0,80.0,crewai,,,,,13391.0,13391.0,https://pypi.org/project/crewai,981665.0,981665.0,,,,,,,,2.0,,,,,,,,,,,,
40,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2025-04-19 19:47:43.000000,2025-04-19 19:47:43,2849.0,45.0,7419.0,607.0,2253.0,220.0,1596.0,26895.0,The fastai deep learning library.,259.0,42,True,2025-04-18 21:14:58,2.8.1,57.0,fastai,,,,['pytorch'],21969.0,21969.0,https://pypi.org/project/fastai,501060.0,501060.0,,,,,,,,2.0,,,,,,,,,,,,
41,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2025-04-22 14:56:53.980000,2025-04-22 14:37:19,2828.0,40.0,3285.0,245.0,1050.0,673.0,1944.0,23774.0,A game theoretic approach to explain the output of any machine learning model.,267.0,42,True,2025-04-17 18:00:24,0.47.2,58.0,shap,conda-forge/shap,,,,30003.0,30003.0,https://pypi.org/project/shap,7355698.0,7467209.0,https://anaconda.org/conda-forge/shap,2025-04-22 14:56:53.980,5798620.0,,,,,1.0,,,,,,shap/shap,,,,,,
42,chroma,chroma-core/chroma,nn-search,,https://github.com/chroma-core/chroma,https://github.com/chroma-core/chroma,Apache-2.0,2022-10-05 17:58:44.000,2025-04-24 18:16:30.000000,2025-04-24 17:30:03,2695.0,553.0,1577.0,108.0,2973.0,298.0,1080.0,19464.0,the AI-native open-source embedding database.,158.0,42,True,2025-04-22 05:44:20,1.0.6,82.0,chromadb,,,,,73994.0,73994.0,https://pypi.org/project/chromadb,4011442.0,4011464.0,,,,,,,,1.0,683.0,,,,,,,,,,,
