,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,new_addition,maven_id,maven_url
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-12-12 02:35:40.000000,2024-12-12 02:35:40,12167.0,857.0,15314.0,691.0,16213.0,448.0,7513.0,96107.0,Build context-aware reasoning applications.,3018.0,50,True,2024-12-10 21:20:06,langchain-community==0.3.11,100.0,langchain,,,,,158151.0,158151.0,https://pypi.org/project/langchain,26418092.0,26418092.0,,,,,,,,1.0,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-12-12 12:55:37.000000,2024-12-12 12:55:37,51455.0,410.0,7514.0,593.0,18650.0,1215.0,9386.0,20440.0,matplotlib: plotting with Python.,1758.0,48,True,2024-11-30 10:15:10,3.9.3,89.0,matplotlib,conda-forge/matplotlib,,,,1456364.0,1456364.0,https://pypi.org/project/matplotlib,74235379.0,74740213.0,https://anaconda.org/conda-forge/matplotlib,2024-12-06 23:19:57.917,27261069.0,,,,,1.0,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-12-10 07:29:31.000000,2024-12-10 07:29:30,18882.0,358.0,2107.0,219.0,5192.0,80.0,3122.0,12390.0,Python Imaging Library (Fork).,482.0,48,True,2024-10-15 14:29:17,11.0.0,57.0,Pillow,conda-forge/pillow,,,,1957004.0,1957004.0,https://pypi.org/project/Pillow,127309369.0,128202700.0,https://anaconda.org/conda-forge/pillow,2024-10-18 22:08:55.292,47346568.0,,,,,1.0,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-12-09 22:44:26.000000,2024-12-09 22:44:26,59267.0,386.0,4409.0,292.0,13547.0,4439.0,8940.0,13091.0,A computer algebra system written in pure Python.,1343.0,47,True,2024-09-18 21:54:45,1.13.3,55.0,sympy,conda-forge/sympy,,,,198544.0,198544.0,https://pypi.org/project/sympy,32397976.0,32535166.0,https://anaconda.org/conda-forge/sympy,2024-10-09 14:38:28.134,7323803.0,,,,,1.0,,552125.0,,,,,,,,,,,
14,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-12-12 18:14:47.000000,2024-12-12 17:13:42,6888.0,253.0,3083.0,319.0,5200.0,932.0,3763.0,36149.0,Streamlit A faster way to build and share data apps.,250.0,46,True,2024-12-10 19:37:01,1.41.0,88.0,streamlit,,,,,622713.0,622713.0,https://pypi.org/project/streamlit,8060282.0,8060282.0,,,,,,,,1.0,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-12-12 07:14:40.000000,2024-12-12 07:14:38,23282.0,655.0,5745.0,478.0,29876.0,3658.0,15393.0,34400.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1114.0,46,True,2024-12-04 00:01:15,ray-2.40.0,99.0,ray,conda-forge/ray-tune,,,,19531.0,19531.0,https://pypi.org/project/ray,6378074.0,6388267.0,https://anaconda.org/conda-forge/ray-tune,2024-12-06 00:00:37.515,489215.0,,,,,1.0,,247.0,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-12-11 19:47:43.000000,2024-12-11 19:47:43,7251.0,166.0,8243.0,908.0,5743.0,396.0,4943.0,26393.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",655.0,46,True,2024-11-26 10:21:16,2.1.3,61.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,120742.0,120742.0,https://pypi.org/project/xgboost,25935860.0,26040455.0,https://anaconda.org/conda-forge/xgboost,2024-12-03 00:14:17.609,5538433.0,,,,,1.0,,12559.0,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-12-12 18:02:27.000000,2024-12-12 17:53:39,24627.0,1654.0,2795.0,336.0,16703.0,1454.0,4338.0,30742.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",803.0,45,True,2024-12-10 01:17:59,jax-v0.4.37,100.0,jax,conda-forge/jaxlib,,,,34115.0,34115.0,https://pypi.org/project/jax,4665078.0,4701330.0,https://anaconda.org/conda-forge/jaxlib,2024-12-12 03:36:57.455,1957613.0,,,,,1.0,,,jax-ml/jax,,,,,,,,,,
18,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-12-12 14:11:28.000000,2024-12-12 14:11:28,7384.0,556.0,2523.0,276.0,1763.0,549.0,2490.0,16431.0,The interactive graphing library for Python This project now includes Plotly Express!.,281.0,45,True,2024-09-12 15:42:27,5.24.1,103.0,plotly,conda-forge/plotly,,,,337191.0,337191.0,https://pypi.org/project/plotly,21491596.0,21639042.0,https://anaconda.org/conda-forge/plotly,2024-12-09 08:37:37.782,7734831.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,6813.0,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-12-11 17:46:13.000000,2024-12-11 17:46:13,15616.0,121.0,2910.0,285.0,3964.0,2676.0,2808.0,10237.0,Statsmodels: statistical modeling and econometrics in Python.,447.0,45,True,2024-10-03 15:37:29,0.14.4,29.0,statsmodels,conda-forge/statsmodels,,,,145855.0,145855.0,https://pypi.org/project/statsmodels,16220257.0,16520015.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,16186937.0,,,,,1.0,,35.0,,,,,,,,,,,
20,llama_index,run-llama/llama_index,agents,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-12-12 16:37:24.000000,2024-12-11 23:52:13,5729.0,527.0,5250.0,247.0,6408.0,569.0,5056.0,37301.0,LlamaIndex is a data framework for your LLM applications.,1350.0,44,True,2024-12-09 21:31:50,0.12.5,100.0,llama_index,,,,,14842.0,14842.0,https://pypi.org/project/llama_index,3645919.0,3645997.0,,,,,,,,2.0,,781.0,,,,,,,,,,,
21,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2024-12-12 17:06:42.000000,2024-12-12 17:06:38,1995.0,412.0,6283.0,186.0,3409.0,1120.0,8655.0,33905.0,Ultralytics YOLO11.,210.0,44,True,2024-12-10 17:30:31,8.3.49,100.0,ultralytics,,,,,31881.0,31881.0,https://pypi.org/project/ultralytics,6675001.0,6675001.0,,,,,,,,1.0,,,,,,,,,,,,,
22,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-12-11 13:14:18.000000,2024-12-11 12:08:40,16215.0,52.0,4342.0,561.0,4028.0,149.0,5522.0,30438.0,Industrial-strength Natural Language Processing (NLP) in Python.,762.0,44,True,2024-12-11 13:11:38,release-v3.8.3,100.0,spacy,conda-forge/spacy,,,,107970.0,107970.0,https://pypi.org/project/spacy,15235937.0,15323111.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,4706830.0,,,,,1.0,,914.0,,,,,,,,,,,
23,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-12-12 15:22:15.000000,2024-12-12 15:17:19,10486.0,70.0,3338.0,252.0,10345.0,824.0,6342.0,28612.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",990.0,44,True,2024-08-07 09:44:30,2.4.0,118.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],39606.0,39606.0,https://pypi.org/project/pytorch-lightning,7160268.0,7185821.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-08-07 15:45:27.965,1366409.0,,,,,2.0,,10540.0,Lightning-AI/pytorch-lightning,,,,,,,,,,
24,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-12-12 13:12:56.000000,2024-12-12 13:12:56,52143.0,1240.0,5483.0,716.0,51475.0,972.0,17504.0,22337.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1334.0,44,True,2024-06-27 10:00:34,3.0.0-beta0,63.0,paddlepaddle,,,,['paddle'],6543.0,6543.0,https://pypi.org/project/paddlepaddle,318154.0,318308.0,,,,,,,,2.0,,15416.0,,,,,,,,,,,
25,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-12-12 17:10:06.000000,2024-12-12 17:08:01,6926.0,459.0,4150.0,303.0,9781.0,1334.0,2641.0,18995.0,Open source platform for the machine learning lifecycle.,802.0,44,True,2024-12-11 12:49:06,2.19.0,100.0,mlflow,conda-forge/mlflow,,,,47678.0,47678.0,https://pypi.org/project/mlflow,16106844.0,16154048.0,https://anaconda.org/conda-forge/mlflow,2024-12-12 05:57:45.831,2549036.0,,,,,1.0,,,,,,,,,,,,,
26,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-12-12 13:36:37.000000,2024-12-12 13:36:37,8426.0,109.0,1689.0,213.0,6077.0,920.0,4314.0,12680.0,Parallel computing with task scheduling.,613.0,44,True,2024-12-03 22:42:36,2024.12.0,188.0,dask,conda-forge/dask,,,,67774.0,67774.0,https://pypi.org/project/dask,16199806.0,16424541.0,https://anaconda.org/conda-forge/dask,2024-12-04 03:07:03.414,12360471.0,,,,,1.0,,,,,,,stable/dask,,,,,,
27,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-12-12 17:55:57.000000,2024-12-12 17:55:55,11224.0,269.0,18807.0,1914.0,7641.0,250.0,12011.0,62191.0,Deep Learning for humans.,1355.0,43,True,2024-11-26 17:02:51,3.7.0,72.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,14816875.0,14888038.0,https://anaconda.org/conda-forge/keras,2024-12-10 19:57:35.430,3842809.0,,,,,2.0,,,,,,,,,,,,,
28,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-12-12 15:27:40.000000,2024-12-11 20:47:15,7290.0,278.0,2585.0,177.0,4687.0,441.0,4671.0,34540.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",357.0,43,True,2024-12-04 23:14:04,gradio@5.8.0,100.0,gradio,,,,,49294.0,49294.0,https://pypi.org/project/gradio,6656009.0,6656009.0,,,,,,,,1.0,,,,,,,,,,,,,
29,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-12-11 17:57:01.000000,2024-12-11 17:57:01,7769.0,93.0,2045.0,427.0,1165.0,460.0,1374.0,21640.0,Data Apps & Dashboards for Python. No JavaScript Required.,169.0,43,True,2024-11-04 21:17:37,2.18.2,111.0,dash,conda-forge/dash,,,,73762.0,73762.0,https://pypi.org/project/dash,4582236.0,4611710.0,https://anaconda.org/conda-forge/dash,2024-12-04 07:17:49.795,1591591.0,,,,,1.0,,87.0,,,,,,,,,,,
30,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-12-12 16:25:45.000000,2024-12-11 16:35:19,20649.0,63.0,4137.0,438.0,6220.0,753.0,7005.0,19437.0,"Interactive Data Visualization in the browser, from Python.",703.0,43,True,,,67.0,bokeh,conda-forge/bokeh,,,,95460.0,95460.0,https://pypi.org/project/bokeh,4373723.0,4661014.0,https://anaconda.org/conda-forge/bokeh,2024-12-09 14:35:07.548,15513735.0,,,,,1.0,,,,,,,,,,,,,
31,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-12-11 01:13:47.000000,2024-12-11 00:52:31,2927.0,110.0,3620.0,437.0,3479.0,298.0,2561.0,18072.0,Open standard for machine learning interoperability.,327.0,43,True,2024-10-01 17:57:22,1.17.0,31.0,onnx,conda-forge/onnx,,,,37178.0,37178.0,https://pypi.org/project/onnx,6583246.0,6608875.0,https://anaconda.org/conda-forge/onnx,2024-10-21 21:30:32.889,1369894.0,,,,,1.0,,22471.0,,,,,,,,,,,
32,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-12-12 16:19:24.000000,2024-12-12 03:40:37,3610.0,44.0,3761.0,435.0,3302.0,351.0,3082.0,16769.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",322.0,43,True,2024-07-25 22:10:25,4.5.0,33.0,lightgbm,conda-forge/lightgbm,,,,41294.0,41294.0,https://pypi.org/project/lightgbm,11098304.0,11158182.0,https://anaconda.org/conda-forge/lightgbm,2024-10-10 08:17:38.424,2920024.0,,,,,2.0,,241345.0,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-12-12 17:57:13.000000,2024-12-11 18:47:20,5029.0,50.0,2069.0,1667.0,4900.0,333.0,2739.0,12323.0,WebGL2 powered visualization framework.,276.0,43,True,2024-12-11 10:37:10,9.0.38,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],8407.0,8407.0,https://pypi.org/project/pydeck,7102522.0,7715697.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,658611.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,601820.0,,,,,,,
34,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2024-12-12 02:00:52.000000,2024-12-12 02:00:52,18639.0,406.0,1037.0,118.0,3783.0,64.0,1627.0,11072.0,A hyperparameter optimization framework.,283.0,43,True,2024-11-11 05:20:54,4.1.0,67.0,optuna,conda-forge/optuna,,,,19912.0,19912.0,https://pypi.org/project/optuna,4134759.0,4171488.0,https://anaconda.org/conda-forge/optuna,2024-11-13 05:15:17.167,1983410.0,,,,,1.0,,,,,,,,,,,,,
35,Altair,altair-viz/altair,data-viz,,https://github.com/vega/altair,https://github.com/vega/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-12-02 18:58:23.000000,2024-12-02 16:01:53,3831.0,61.0,762.0,140.0,1532.0,199.0,1844.0,9439.0,Declarative visualization library for Python.,173.0,43,True,2024-11-24 00:12:10,5.5.0,31.0,altair,conda-forge/altair,,,,183041.0,183041.0,https://pypi.org/project/altair,25404811.0,25475073.0,https://anaconda.org/conda-forge/altair,2024-11-24 00:36:17.006,2529366.0,,,,,1.0,,213.0,vega/altair,,,,,,,,,,
36,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-12-11 00:12:40.000000,2024-12-11 00:12:40,5878.0,23.0,1630.0,189.0,5056.0,626.0,1241.0,6744.0,TensorFlows Visualization Toolkit.,322.0,43,True,2024-09-25 21:21:08,2.18.0,63.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],278991.0,278991.0,https://pypi.org/project/tensorboard,27423329.0,27519995.0,https://anaconda.org/conda-forge/tensorboard,2024-12-10 08:54:23.547,5220007.0,,,,,1.0,,,,,,,,,,,,,
37,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-12-06 20:06:56.000000,2024-12-06 20:06:56,2601.0,145.0,4679.0,313.0,554.0,44.0,892.0,32581.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",161.0,42,True,2024-12-03 19:05:39,1.0.12,62.0,timm,conda-forge/timm,,,['pytorch'],42551.0,42551.0,https://pypi.org/project/timm,6048153.0,6162444.0,https://anaconda.org/conda-forge/timm,2024-12-04 15:48:02.472,280426.0,,,,,1.0,,7303041.0,huggingface/pytorch-image-models,,,,,,,,,,
38,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2024-12-08 18:23:22.000000,2024-12-08 18:23:22,1373.0,76.0,2410.0,241.0,641.0,165.0,1215.0,15086.0,Download market data from Yahoo! Finances API.,128.0,42,True,2024-11-19 21:43:53,0.2.50,87.0,yfinance,ranaroussi/yfinance,,,,53815.0,53815.0,https://pypi.org/project/yfinance,3638836.0,3641211.0,https://anaconda.org/ranaroussi/yfinance,2023-06-16 19:26:44.442,97401.0,,,,,1.0,,,,,,,,,,,,,
39,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-12-12 15:18:05.000000,2024-12-12 15:18:04,7842.0,60.0,3189.0,279.0,3948.0,181.0,3046.0,15065.0,Network Analysis in Python.,756.0,42,True,2024-10-21 12:40:41,networkx-3.4.2,60.0,networkx,conda-forge/networkx,,,,326379.0,326379.0,https://pypi.org/project/networkx,70363183.0,70730557.0,https://anaconda.org/conda-forge/networkx,2024-11-13 18:04:48.334,19103467.0,,,,,1.0,,76.0,,,,,,,,,,,
40,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,,2023-07-27 00:09:52.000,2024-12-12 05:18:38.000000,2024-12-12 03:20:54,18610.0,923.0,1749.0,81.0,3261.0,738.0,3011.0,15046.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",365.0,42,True,2024-12-09 17:31:48,1.54.1,100.0,litellm,,,,,5145.0,5145.0,https://pypi.org/project/litellm,3515406.0,3515641.0,,,,,,,,1.0,,470.0,,,,,,,,,,,
41,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-11-11 06:24:40.000000,2024-11-11 06:24:40,14683.0,4.0,2808.0,461.0,1497.0,251.0,1568.0,13690.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,462.0,42,True,,,19.0,nltk,conda-forge/nltk,,,,329523.0,329523.0,https://pypi.org/project/nltk,24822957.0,24887890.0,https://anaconda.org/conda-forge/nltk,2024-08-18 23:14:52.073,2922014.0,,,,,1.0,,,,,,,,,,,,,
42,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-12-09 07:42:09.249000,2024-07-22 11:32:48,3237.0,,1868.0,263.0,1127.0,149.0,2431.0,12664.0,Statistical data visualization in Python.,213.0,42,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,522458.0,522458.0,https://pypi.org/project/seaborn,20268021.0,20472204.0,https://anaconda.org/conda-forge/seaborn,2024-12-09 07:42:09.249,11025720.0,,,,,2.0,,457.0,,,,,,,,,,,
