,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,trending,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2025-04-03 17:58:00.000000,2025-04-03 16:45:19,13065.0,703.0,16652.0,740.0,17332.0,323.0,8027.0,104926.0,Build context-aware reasoning applications.,3271.0,49,True,2025-04-03 16:25:39,langchain-perplexity==0.1.0,100.0,langchain,,,,,215129.0,215129.0,https://pypi.org/project/langchain,57432421.0,57432421.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-04-03 14:48:17.000000,2025-04-03 11:38:47,52288.0,502.0,7644.0,586.0,19031.0,1249.0,9544.0,20973.0,matplotlib: plotting with Python.,1790.0,49,True,2025-02-27 18:57:43,3.10.1,92.0,matplotlib,conda-forge/matplotlib,,,,1646670.0,1646670.0,https://pypi.org/project/matplotlib,83541448.0,84043022.0,https://anaconda.org/conda-forge/matplotlib,2025-03-25 16:00:02.106,29091324.0,,,,,1.0,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-04-03 10:24:37.000000,2025-04-03 10:24:37,19409.0,354.0,2127.0,218.0,5402.0,62.0,3198.0,12669.0,Python Imaging Library (Fork).,485.0,48,True,2025-01-02 08:20:18,11.1.0,58.0,Pillow,conda-forge/pillow,,,,2171085.0,2171085.0,https://pypi.org/project/Pillow,138087550.0,138998469.0,https://anaconda.org/conda-forge/pillow,2025-03-25 16:00:04.643,51922396.0,,,,,1.0,,,,,,,,,,,,
13,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-04-03 18:04:21.000000,2025-04-03 17:57:36,24654.0,1170.0,6080.0,480.0,31813.0,3798.0,16034.0,36371.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1193.0,47,True,2025-03-27 17:13:14,ray-2.44.1,100.0,ray,conda-forge/ray-tune,,,,22505.0,22505.0,https://pypi.org/project/ray,7120696.0,7134614.0,https://anaconda.org/conda-forge/ray-tune,2025-03-29 00:15:40.437,723646.0,,,,,1.0,251.0,,,,,,,,,,,
14,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-04-03 18:29:04.000000,2025-04-03 15:56:35,7415.0,487.0,3333.0,324.0,5919.0,1020.0,3969.0,38591.0,Streamlit A faster way to build and share data apps.,264.0,46,True,2025-04-01 20:36:24,1.44.1,97.0,streamlit,,,,,803815.0,803815.0,https://pypi.org/project/streamlit,9214025.0,9214025.0,,,,,,,,1.0,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-04-02 05:55:23.000000,2025-04-02 05:55:23,7390.0,111.0,8265.0,905.0,5922.0,386.0,5054.0,26782.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",659.0,46,True,2025-03-15 13:44:01,3.0.0,64.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,142134.0,142134.0,https://pypi.org/project/xgboost,24812954.0,24917867.0,https://anaconda.org/conda-forge/xgboost,2025-03-25 16:00:16.789,5973529.0,,,,,1.0,15330.0,,,,,,,,,,,
16,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-04-03 13:07:04.000000,2025-04-03 13:07:00,8199.0,297.0,2085.0,425.0,1233.0,500.0,1409.0,22252.0,Data Apps & Dashboards for Python. No JavaScript Required.,174.0,46,True,2025-04-01 19:45:01,3.0.2,113.0,dash,conda-forge/dash,,,,81735.0,81735.0,https://pypi.org/project/dash,5332447.0,5362582.0,https://anaconda.org/conda-forge/dash,2025-04-02 04:16:23.319,1747829.0,,,,,1.0,88.0,,,,,,,,,,,
17,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-04-03 18:04:39.000000,2025-03-28 21:17:50,7686.0,270.0,2587.0,276.0,1846.0,605.0,2533.0,16954.0,The interactive graphing library for Python.,283.0,46,True,2025-03-17 15:02:47,6.0.1,105.0,plotly,conda-forge/plotly,,,,392992.0,392992.0,https://pypi.org/project/plotly,22360090.0,22573675.0,https://anaconda.org/conda-forge/plotly,2025-03-25 16:00:08.574,8870913.0,,,,,1.0,116.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,63231.0,,,,,,,,
18,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2025-04-03 14:08:05.000000,2025-04-03 14:08:05,59805.0,462.0,4592.0,291.0,13855.0,4508.0,9066.0,13508.0,A computer algebra system written in pure Python.,1362.0,46,True,2024-09-18 21:54:45,1.13.3,55.0,sympy,conda-forge/sympy,,,,242269.0,242269.0,https://pypi.org/project/sympy,42873350.0,43018594.0,https://anaconda.org/conda-forge/sympy,2025-03-25 16:00:05.047,8336405.0,,,,,1.0,556828.0,,,,,,,,,,,
19,llama_index,run-llama/llama_index,agents,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2025-04-03 15:02:09.000000,2025-04-03 00:51:24,6238.0,431.0,5675.0,258.0,6966.0,712.0,5387.0,40656.0,LlamaIndex is the leading framework for building LLM-powered agents over your data.,1517.0,45,True,2025-04-02 02:05:53,0.12.28,100.0,llama_index,,,,,19223.0,19223.0,https://pypi.org/project/llama_index,4717924.0,4718005.0,,,,,,,,2.0,983.0,,,,,,,,,,,
20,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-04-03 18:04:48.000000,2025-04-03 17:23:18,26742.0,1837.0,2923.0,328.0,18507.0,1553.0,4555.0,31832.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",854.0,45,True,2025-03-19 18:20:32,jax-v0.5.3,100.0,jax,conda-forge/jaxlib,,,,40275.0,40275.0,https://pypi.org/project/jax,8733391.0,8775745.0,https://anaconda.org/conda-forge/jaxlib,2025-03-25 16:00:51.738,2456580.0,,,,,1.0,,,,,jax-ml/jax,,,,,,,
21,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-04-03 10:42:46.000000,2025-04-03 10:42:45,53428.0,973.0,5552.0,715.0,53152.0,998.0,17677.0,22661.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1365.0,45,True,2025-03-31 01:41:13,3.0.0,64.0,paddlepaddle,,,,['paddle'],7553.0,7553.0,https://pypi.org/project/paddlepaddle,436655.0,436803.0,,,,,,,,1.0,15432.0,,,,,1.0,,,,,,
22,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2025-04-03 18:13:31.000000,2025-04-03 17:10:52,2401.0,335.0,7261.0,190.0,3977.0,679.0,10077.0,38940.0,Ultralytics YOLO11.,242.0,44,True,2025-04-03 11:49:42,8.3.101,100.0,ultralytics,,,,,43163.0,43163.0,https://pypi.org/project/ultralytics,5903248.0,5903248.0,,,,,,,,1.0,,,,,,,,,,,,
23,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-04-03 16:54:46.000000,2025-04-03 16:54:46,10542.0,47.0,3403.0,251.0,10410.0,902.0,6369.0,29234.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1007.0,44,True,2025-03-19 20:26:25,2.5.1,121.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],43991.0,43991.0,https://pypi.org/project/pytorch-lightning,9294957.0,9320867.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-03-25 16:01:11.222,1487347.0,,,,,2.0,11787.0,,,,Lightning-AI/pytorch-lightning,,,,,,,
24,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-04-03 12:21:40.000000,2025-04-03 10:49:54,7454.0,473.0,4311.0,307.0,10699.0,1400.0,2758.0,20021.0,Open source platform for the machine learning lifecycle.,833.0,44,True,2025-04-03 08:50:30,2.21.3,100.0,mlflow,conda-forge/mlflow,,,,56411.0,56411.0,https://pypi.org/project/mlflow,14786373.0,14839345.0,https://anaconda.org/conda-forge/mlflow,2025-04-03 10:43:30.416,3072401.0,,,,,1.0,,,,,,,,,,,,
25,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-04-03 13:10:42.076000,2025-04-03 11:10:31,1812.0,194.0,2501.0,146.0,684.0,1206.0,1133.0,16375.0,State-of-the-Art Text Embeddings.,219.0,44,True,2025-04-03 11:29:10,4.0.2,52.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],86328.0,86328.0,https://pypi.org/project/sentence-transformers,8284960.0,8296083.0,https://anaconda.org/conda-forge/sentence-transformers,2025-04-03 13:10:42.076,611797.0,,,,,1.0,,,,,,1.0,,,,,,
26,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-03-25 16:00:09.760000,2025-03-15 01:00:12,14735.0,34.0,2829.0,459.0,1515.0,254.0,1587.0,13970.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,470.0,44,True,,,19.0,nltk,conda-forge/nltk,,,,369202.0,369202.0,https://pypi.org/project/nltk,29315924.0,29379133.0,https://anaconda.org/conda-forge/nltk,2025-03-25 16:00:09.760,3097275.0,,,,,1.0,,,,,,,,,,,,
27,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-04-03 11:04:55.000000,2025-04-03 11:04:55,9522.0,132.0,1722.0,213.0,6246.0,936.0,4394.0,13093.0,Parallel computing with task scheduling.,621.0,44,True,2025-03-21 21:54:56,2025.3.0,192.0,dask,conda-forge/dask,,,,72292.0,72292.0,https://pypi.org/project/dask,11285527.0,11504290.0,https://anaconda.org/conda-forge/dask,2025-03-25 16:00:05.363,12907074.0,,,,,1.0,,,,,,,stable/dask,,,,,
28,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-04-02 08:10:43.000000,2025-04-02 08:10:43,15692.0,64.0,3076.0,285.0,4003.0,2719.0,2828.0,10549.0,Statsmodels: statistical modeling and econometrics in Python.,454.0,44,True,2024-10-03 15:37:29,0.14.4,29.0,statsmodels,conda-forge/statsmodels,,,,161370.0,161370.0,https://pypi.org/project/statsmodels,16879034.0,17191188.0,https://anaconda.org/conda-forge/statsmodels,2025-03-25 16:00:06.856,18104986.0,,,,,2.0,35.0,,,,,,,,,,,
29,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-04-03 13:09:00.000000,2025-04-03 12:59:35,7606.0,279.0,2787.0,183.0,5023.0,482.0,5038.0,37257.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",399.0,43,True,2025-04-01 21:36:52,gradio@5.23.3,100.0,gradio,,,,,65297.0,65297.0,https://pypi.org/project/gradio,8610385.0,8610385.0,,,,,,,,1.0,,,,,,,,,,,,
30,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-04-03 08:36:54.000000,2025-04-02 16:17:50,20752.0,95.0,4161.0,434.0,6319.0,773.0,7134.0,19750.0,"Interactive Data Visualization in the browser, from Python.",710.0,43,True,,,70.0,bokeh,conda-forge/bokeh,,,,99888.0,99888.0,https://pypi.org/project/bokeh,4060860.0,4340538.0,https://anaconda.org/conda-forge/bokeh,2025-04-01 14:09:20.444,16221329.0,,,,,1.0,,,,,,,,,,,,
31,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2025-03-25 16:00:08.893000,2025-01-26 16:55:13,3242.0,4.0,1904.0,262.0,1140.0,148.0,2454.0,12990.0,Statistical data visualization in Python.,215.0,43,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,608030.0,608030.0,https://pypi.org/project/seaborn,24845968.0,25056208.0,https://anaconda.org/conda-forge/seaborn,2025-03-25 16:00:08.893,12193780.0,,,,,1.0,468.0,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-04-03 08:31:16.000000,2025-04-02 13:55:29,5134.0,91.0,2095.0,1665.0,5046.0,370.0,2774.0,12603.0,WebGL2 powered visualization framework.,284.0,43,True,2025-03-24 17:36:20,9.1.8,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],8869.0,8869.0,https://pypi.org/project/pydeck,7905920.0,8607954.0,https://anaconda.org/conda-forge/pydeck,2025-03-25 16:01:04.301,723741.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,689337.0,,,,,,,,
33,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2025-03-25 16:00:27.352000,2025-03-24 16:50:16,5892.0,10.0,1632.0,187.0,5067.0,636.0,1243.0,6831.0,TensorFlows Visualization Toolkit.,325.0,43,True,2025-02-12 08:16:26,2.19.0,64.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],307272.0,307272.0,https://pypi.org/project/tensorboard,24830607.0,24924520.0,https://anaconda.org/conda-forge/tensorboard,2025-03-25 16:00:27.352,5446997.0,,,,,1.0,,,,,,,,,,,,
34,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-04-03 16:31:13.000000,2025-04-03 16:31:13,11436.0,167.0,18897.0,1902.0,7943.0,250.0,12167.0,62828.0,Deep Learning for humans.,1393.0,42,True,2025-04-02 20:22:14,3.9.2,76.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,14077826.0,14147072.0,https://anaconda.org/conda-forge/keras,2025-03-25 16:00:08.865,4016302.0,,,,,2.0,,,,,,,,,,,,
35,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2025-04-02 12:57:38.000000,2025-04-02 12:56:01,6447.0,62.0,8018.0,451.0,3276.0,38.0,9449.0,48015.0,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages..",237.0,42,True,2025-03-07 07:03:56,2.10.0,17.0,paddleocr,,,,['paddle'],4905.0,4905.0,https://pypi.org/project/paddleocr,429896.0,459539.0,,,,,,,,1.0,1630404.0,,,,,,,,,,,
36,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2025-03-25 16:01:13.852000,2025-02-23 05:04:13,2705.0,74.0,4771.0,317.0,596.0,50.0,914.0,33671.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",169.0,42,True,2025-02-23 05:07:06,1.0.15,65.0,timm,conda-forge/timm,,,['pytorch'],51737.0,51737.0,https://pypi.org/project/timm,7533845.0,7647563.0,https://anaconda.org/conda-forge/timm,2025-03-25 16:01:13.852,349177.0,,,,,1.0,7639142.0,,,,huggingface/pytorch-image-models,,,,,,,
37,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-04-01 23:09:27.939000,2025-04-01 07:40:59,16226.0,8.0,4409.0,561.0,4045.0,166.0,5526.0,31312.0,Industrial-strength Natural Language Processing (NLP) in Python.,763.0,42,True,2025-04-01 21:03:00,release-v3.8.5,100.0,spacy,conda-forge/spacy,,,,123080.0,123080.0,https://pypi.org/project/spacy,14430519.0,14528551.0,https://anaconda.org/conda-forge/spacy,2025-04-01 23:09:27.939,5684462.0,,,,,1.0,2165.0,,,,,,,,,,,
38,crewAI,crewAIInc/crewAI,agents,,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,MIT,2023-10-27 03:26:59.000,2025-04-03 17:56:18.000000,2025-04-02 15:54:46,1319.0,252.0,3962.0,282.0,1064.0,77.0,1154.0,29481.0,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI..",228.0,42,True,2025-03-17 16:15:32,0.108.0,78.0,crewai,,,,,11882.0,11882.0,https://pypi.org/project/crewai,1024672.0,1024672.0,,,,,,,,2.0,,,,,,,,,,,,
39,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2025-04-01 15:16:11.000000,2025-03-28 19:30:16,2820.0,40.0,3276.0,244.0,1041.0,684.0,1927.0,23652.0,A game theoretic approach to explain the output of any machine learning model.,264.0,42,True,2025-03-22 20:53:30,0.47.1,57.0,shap,conda-forge/shap,,,,28112.0,28112.0,https://pypi.org/project/shap,7174792.0,7281209.0,https://anaconda.org/conda-forge/shap,2025-03-25 16:01:01.086,5533705.0,,,,,1.0,,,,,shap/shap,,,,,,,
40,chroma,chroma-core/chroma,nn-search,,https://github.com/chroma-core/chroma,https://github.com/chroma-core/chroma,Apache-2.0,2022-10-05 17:58:44.000,2025-04-03 18:30:28.000000,2025-04-03 16:36:54,2533.0,489.0,1544.0,104.0,2781.0,288.0,1056.0,19087.0,the AI-native open-source embedding database.,152.0,42,True,2025-01-14 22:21:19,0.6.3,75.0,chromadb,,,,,69199.0,69199.0,https://pypi.org/project/chromadb,3329994.0,3330012.0,,,,,,,,1.0,547.0,,,,,,,,,,,
41,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-04-03 13:38:57.000000,2025-04-03 13:07:48,3109.0,154.0,3668.0,438.0,3687.0,305.0,2627.0,18735.0,Open standard for machine learning interoperability.,344.0,42,True,2024-10-01 17:57:22,1.17.0,31.0,onnx,conda-forge/onnx,,,,43016.0,43016.0,https://pypi.org/project/onnx,6499251.0,6528551.0,https://anaconda.org/conda-forge/onnx,2025-03-25 16:00:27.476,1684492.0,,,,,2.0,23265.0,,,,,,,,,,,
42,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2025-03-30 16:13:25.000000,2025-03-30 16:13:10,3651.0,26.0,3796.0,436.0,3358.0,387.0,3118.0,17089.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",325.0,42,True,2025-02-15 03:46:41,4.6.0,34.0,lightgbm,conda-forge/lightgbm,,,,48034.0,48034.0,https://pypi.org/project/lightgbm,9983087.0,10046485.0,https://anaconda.org/conda-forge/lightgbm,2025-03-26 01:35:30.757,3322957.0,,,,,2.0,286258.0,,,,,,,,,,,
