,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id
10,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-11-16 17:40:33.000000,2023-11-16 17:40:29,10034.0,552.0,18535.0,1918.0,6739.0,117.0,11263.0,59741.0,Deep Learning for humans.,1253.0,50,True,2023-09-12 16:19:40,2.14.0,52.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],189389.0,189389.0,https://pypi.org/project/keras,13325941.0,13406969.0,https://anaconda.org/conda-forge/keras,2023-11-15 08:53:46.597,3322176.0,,,,,1.0,,6.0,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-11-16 06:10:35.000000,2023-11-16 02:30:24,49094.0,891.0,7045.0,592.0,17388.0,1176.0,8744.0,18414.0,matplotlib: plotting with Python.,1606.0,49,True,2023-10-31 22:06:43,3.8.1,78.0,matplotlib,conda-forge/matplotlib,,,,1001948.0,1001948.0,https://pypi.org/project/matplotlib,43790825.0,44309863.0,https://anaconda.org/conda-forge/matplotlib,2023-11-01 20:55:47.459,21280592.0,,,,,1.0,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-11-16 12:06:08.000000,2023-11-14 12:46:45,16488.0,363.0,1931.0,225.0,4466.0,79.0,2869.0,11234.0,Python Imaging Library (Fork).,449.0,47,True,2023-10-15 13:05:17,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1422050.0,1422050.0,https://pypi.org/project/Pillow,74215001.0,75085348.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,34813913.0,,,,,1.0,,,,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-11-16 17:59:32.000000,2023-11-16 17:59:28,18251.0,1142.0,2287.0,316.0,11588.0,1176.0,3503.0,25559.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",597.0,45,True,2023-11-02 23:29:45,jax-v0.4.20,89.0,jax,conda-forge/jaxlib,,,,19272.0,19272.0,https://pypi.org/project/jax,12055056.0,12079216.0,https://anaconda.org/conda-forge/jaxlib,2023-10-25 14:41:56.031,990585.0,,,,,1.0,,,,,,,,,,,,,
14,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-11-16 17:52:29.000000,2023-11-16 17:14:42,9917.0,334.0,2988.0,244.0,9671.0,665.0,5930.0,25139.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",912.0,45,True,2023-11-15 20:56:33,2.1.2,103.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],26017.0,26017.0,https://pypi.org/project/pytorch-lightning,4410406.0,4435456.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-10-12 22:54:18.350,1009647.0,,,,,1.0,13602.0,,,,,,,,,,,,
15,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-11-16 17:17:35.000000,2023-11-16 13:51:17,44794.0,1669.0,5163.0,727.0,41365.0,1079.0,16418.0,21012.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1133.0,45,True,2023-07-25 11:09:59,2.5.0,60.0,paddlepaddle,,,,['paddle'],4267.0,4267.0,https://pypi.org/project/paddlepaddle,174892.0,175068.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,
16,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-11-16 13:31:53.000000,2023-11-14 19:38:48,56616.0,1017.0,3987.0,290.0,12771.0,4239.0,8562.0,11539.0,A computer algebra system written in pure Python.,1259.0,45,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,93140.0,93140.0,https://pypi.org/project/sympy,10072453.0,10128935.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4704893.0,,,,,1.0,521579.0,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-11-16 18:11:20.000000,2023-11-16 18:11:19,19845.0,1125.0,4742.0,468.0,25028.0,3073.0,12819.0,28656.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,940.0,44,True,2023-11-03 00:55:09,ray-2.8.0,74.0,ray,conda-forge/ray-tune,,,,12288.0,12288.0,https://pypi.org/project/ray,2496231.0,2501194.0,https://anaconda.org/conda-forge/ray-tune,2023-11-15 20:08:23.496,173677.0,,,,,1.0,113.0,,,,,,,,,,,,
18,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-11-15 08:44:20.000000,2023-11-10 07:05:07,16071.0,70.0,4139.0,567.0,3914.0,75.0,5426.0,27576.0,Industrial-strength Natural Language Processing (NLP) in Python.,743.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,74001.0,74001.0,https://pypi.org/project/spacy,6652579.0,6732699.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3284926.0,,,,,1.0,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-11-16 10:16:00.000000,2023-11-16 10:15:59,6637.0,128.0,8118.0,914.0,4795.0,332.0,4652.0,24986.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",630.0,44,True,2023-11-09 20:24:31,2.0.2,55.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,72090.0,72090.0,https://pypi.org/project/xgboost,11417165.0,11527027.0,https://anaconda.org/conda-forge/xgboost,2023-10-24 05:08:56.957,4391891.0,,,,,2.0,7640.0,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-11-16 17:38:04.000000,2023-11-16 10:59:49,5029.0,501.0,3561.0,291.0,6947.0,1037.0,2256.0,15824.0,Open source platform for the machine learning lifecycle.,670.0,44,True,2023-11-16 02:55:35,2.8.1,77.0,mlflow,conda-forge/mlflow,,,,26066.0,26066.0,https://pypi.org/project/mlflow,14269270.0,14309545.0,https://anaconda.org/conda-forge/mlflow,2023-10-29 23:48:54.745,1651283.0,,,,,1.0,,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-11-16 17:06:15.000000,2023-11-15 15:53:28,6241.0,73.0,2384.0,279.0,1570.0,1385.0,1360.0,14401.0,The interactive graphing library for Python This project now includes Plotly Express!.,249.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,216335.0,216335.0,https://pypi.org/project/plotly,11303664.0,11470332.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5064131.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,46094.0,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-16 12:19:08.000000,2023-11-08 23:32:52,20299.0,108.0,4043.0,444.0,5877.0,743.0,6734.0,18296.0,"Interactive Data Visualization in the browser, from Python.",675.0,43,True,,,55.0,bokeh,conda-forge/bokeh,,,,79284.0,79284.0,https://pypi.org/project/bokeh,3584678.0,3903741.0,https://anaconda.org/conda-forge/bokeh,2023-11-09 21:55:31.595,13081591.0,,,,,1.0,,,,,,,,,,,,,
23,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-11-16 12:07:31.000000,2023-11-16 11:26:49,2597.0,121.0,3498.0,438.0,3024.0,263.0,2282.0,15883.0,Open standard for machine learning interoperability.,299.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,20605.0,20605.0,https://pypi.org/project/onnx,4270244.0,4291954.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,879209.0,,,,,1.0,19489.0,,,,,,,,,,,,
24,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-11-16 14:22:13.000000,2023-11-16 04:10:54,3376.0,58.0,3642.0,441.0,3025.0,300.0,2859.0,15646.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 01:51:05,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,26953.0,26953.0,https://pypi.org/project/lightgbm,6798032.0,6856239.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2112679.0,,,,,2.0,206332.0,,,,,,,,,,,,
25,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-11-16 16:03:57.000000,2023-11-07 12:02:40,3199.0,42.0,1731.0,257.0,1062.0,113.0,2310.0,11351.0,Statistical data visualization in Python.,202.0,43,True,2023-09-29 19:01:44,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,324724.0,324724.0,https://pypi.org/project/seaborn,12459901.0,12650314.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7806885.0,,,,,1.0,301.0,,,,,,,,,,,,
26,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-11-08 17:58:10.000000,2023-10-29 06:30:59,15118.0,20.0,2596.0,278.0,3814.0,2532.0,2714.0,9027.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,43,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,107269.0,107269.0,https://pypi.org/project/statsmodels,11463101.0,11752286.0,https://anaconda.org/conda-forge/statsmodels,2023-10-05 23:45:15.777,11856600.0,,,,,2.0,29.0,,,,,,,,,,,,
27,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-11-16 00:22:07.000000,2023-11-15 23:17:02,5719.0,87.0,1561.0,196.0,4858.0,592.0,1215.0,6400.0,TensorFlows Visualization Toolkit.,309.0,43,True,2023-11-02 18:45:45,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],198546.0,198546.0,https://pypi.org/project/tensorboard,21636928.0,21744673.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4417581.0,,,,,1.0,,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-11-16 17:02:41.000000,2023-11-16 13:12:39,7508.0,148.0,2967.0,276.0,3546.0,186.0,2900.0,13435.0,Network Analysis in Python.,693.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,200002.0,200002.0,https://pypi.org/project/networkx,34155301.0,34518039.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14146790.0,,,,,1.0,65.0,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-11-16 17:33:34.000000,2023-11-16 15:07:48,4575.0,82.0,1964.0,1697.0,4413.0,227.0,2558.0,11316.0,WebGL2 powered visualization framework.,239.0,42,True,2023-10-24 16:55:44,8.9.32,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6751.0,6751.0,https://pypi.org/project/pydeck,1737338.0,2232271.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,461733.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,484673.0,,,,,,,,
30,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-11-16 08:53:37.000000,2023-11-14 20:33:02,3597.0,55.0,703.0,144.0,1297.0,157.0,1719.0,8549.0,Declarative statistical visualization library for Python.,158.0,42,True,2023-10-03 18:18:45,5.1.2,26.0,altair,conda-forge/altair,,,,86570.0,86570.0,https://pypi.org/project/altair,14076925.0,14167891.0,https://anaconda.org/conda-forge/altair,2023-10-03 20:26:07.376,2092201.0,,,,,1.0,89.0,,,,,,,,,,,,
31,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-11-16 14:01:34.000000,2023-11-14 20:22:20,13775.0,108.0,2112.0,185.0,4310.0,520.0,2023.0,5668.0,Image processing in Python.,637.0,42,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,160191.0,160191.0,https://pypi.org/project/scikit-image,9618317.0,9759682.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5795983.0,,,,,1.0,,,,,,,,,,,,,
32,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-11-16 18:08:16.000000,2023-11-15 19:38:27,1953.0,215.0,3404.0,308.0,2294.0,730.0,1432.0,29591.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",262.0,41,True,2023-11-13 17:51:54,0.12.3,62.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4800.0,4800.0,https://pypi.org/project/deepspeed,411164.0,411539.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17286.0,1.0,,,,,,,,,,,,,
33,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-11-16 16:27:24.000000,2023-11-08 18:18:59,2071.0,105.0,4267.0,308.0,414.0,69.0,747.0,27620.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",122.0,41,True,2023-11-04 15:23:03,0.9.10,52.0,timm,conda-forge/timm,,,['pytorch'],18638.0,18638.0,https://pypi.org/project/timm,3487086.0,3596644.0,https://anaconda.org/conda-forge/timm,2023-11-06 16:38:30.168,111876.0,,,,,1.0,5765196.0,,,,,huggingface/pytorch-image-models,,,,,,,
34,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-11-16 18:15:27.000000,2023-11-16 14:45:48,5917.0,370.0,1624.0,140.0,2911.0,426.0,2738.0,23485.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",223.0,41,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,17008.0,17008.0,https://pypi.org/project/gradio,2966262.0,2966262.0,,,,,,,,1.0,,,,,,,,,,,,,
35,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-11-16 13:54:27.000000,2023-11-04 16:10:10,2560.0,88.0,2960.0,258.0,757.0,1412.0,932.0,20456.0,A game theoretic approach to explain the output of any machine learning model.,226.0,41,True,2023-10-09 09:41:17,0.43.0,50.0,shap,conda-forge/shap,,,,14291.0,14291.0,https://pypi.org/project/shap,7240501.0,7303600.0,https://anaconda.org/conda-forge/shap,2023-10-09 21:10:21.871,2208477.0,,,,,1.0,,,,,,shap/shap,,,,,,,
36,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/piskvorky/gensim,https://github.com/piskvorky/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-11-01 12:33:08.000000,2023-10-01 14:51:00,4509.0,38.0,4148.0,433.0,1681.0,375.0,1444.0,14781.0,Topic Modelling for Humans.,447.0,41,True,2023-08-24 08:44:46,4.3.2,43.0,gensim,conda-forge/gensim,,,,52355.0,52355.0,https://pypi.org/project/gensim,3878553.0,3915319.0,https://anaconda.org/conda-forge/gensim,2023-08-24 12:30:21.806,1175017.0,,,,,1.0,4532.0,,,,,piskvorky/gensim,,,,,,,
37,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-11-09 20:19:23.000000,2023-11-09 20:19:22,14452.0,7.0,2681.0,465.0,1433.0,249.0,1493.0,12521.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,444.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,231556.0,231556.0,https://pypi.org/project/nltk,12667122.0,12694106.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2347661.0,,,,,1.0,,,,,,,,,,,,,
38,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-11-16 10:47:36.000000,2023-11-10 21:33:39,7909.0,68.0,1608.0,212.0,5507.0,828.0,4043.0,11523.0,Parallel computing with task scheduling.,589.0,41,True,,,160.0,dask,conda-forge/dask,,,,54423.0,54423.0,https://pypi.org/project/dask,7009225.0,7258598.0,https://anaconda.org/conda-forge/dask,2023-11-10 23:54:07.170,10473706.0,,,,,1.0,,,,,,,stable/dask,,,,,,
39,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2023-11-16 16:58:45.000000,2023-11-16 16:58:43,5949.0,260.0,549.0,54.0,3769.0,774.0,2062.0,7458.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,167.0,41,True,2023-11-07 21:04:35,0.16.0,100.0,wandb,conda-forge/wandb,,,,32716.0,32716.0,https://pypi.org/project/wandb,8058780.0,8069344.0,https://anaconda.org/conda-forge/wandb,2023-10-04 19:30:33.577,422568.0,,,,,1.0,,,,,,wandb/wandb,,,,,,,
40,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2023-11-16 13:40:29.000000,2023-11-01 22:40:55,2729.0,39.0,7255.0,614.0,2205.0,174.0,1580.0,24791.0,The fastai deep learning library.,244.0,40,True,2023-10-15 04:03:45,2.7.13,50.0,fastai,,,,['pytorch'],15269.0,15269.0,https://pypi.org/project/fastai,448239.0,448239.0,,,,,,,,2.0,,,,,,,,,,,,,
41,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-11-15 01:09:43.000000,2023-10-26 19:38:28,7069.0,85.0,1887.0,412.0,1003.0,758.0,837.0,19635.0,Data Apps & Dashboards for Python. No JavaScript Required.,142.0,40,True,2023-10-26 20:29:58,2.14.1,102.0,dash,conda-forge/dash,,,,54239.0,54239.0,https://pypi.org/project/dash,2224334.0,2252387.0,https://anaconda.org/conda-forge/dash,2023-10-27 05:04:11.728,1150199.0,,,,,2.0,,,,,,,,,,,,,
