,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2025-02-06 16:04:22.000000,2025-02-06 15:26:08,12585.0,747.0,15888.0,710.0,16735.0,351.0,7798.0,99673.0,Build context-aware reasoning applications.,3151.0,49,True,2025-02-06 13:31:16,langchain==0.3.18rc2,100.0,langchain,,,,,180953.0,180953.0,https://pypi.org/project/langchain,31640189.0,31640189.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-02-06 02:54:30.000000,2025-02-06 02:54:30,51942.0,520.0,7558.0,592.0,18850.0,1210.0,9484.0,20672.0,matplotlib: plotting with Python.,1772.0,48,True,2024-12-14 05:30:28,3.10.0,91.0,matplotlib,conda-forge/matplotlib,,,,1535445.0,1535445.0,https://pypi.org/project/matplotlib,69212607.0,69714204.0,https://anaconda.org/conda-forge/matplotlib,2024-12-16 20:44:59.565,28089453.0,,,,,1.0,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-02-06 11:26:25.000000,2025-02-06 11:26:24,19169.0,330.0,2117.0,219.0,5302.0,70.0,3163.0,12515.0,Python Imaging Library (Fork).,484.0,48,True,2025-01-02 08:20:18,11.1.0,58.0,Pillow,conda-forge/pillow,,,,2042471.0,2042471.0,https://pypi.org/project/Pillow,123081657.0,123981695.0,https://anaconda.org/conda-forge/pillow,2025-01-03 20:03:34.476,49502108.0,,,,,1.0,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2025-02-06 12:08:25.000000,2025-02-06 12:08:25,59461.0,312.0,4485.0,292.0,13663.0,4459.0,8989.0,13278.0,A computer algebra system written in pure Python.,1351.0,47,True,2024-09-18 21:54:45,1.13.3,55.0,sympy,conda-forge/sympy,,,,216844.0,216844.0,https://pypi.org/project/sympy,32719918.0,32860049.0,https://anaconda.org/conda-forge/sympy,2025-01-07 11:14:01.011,7760244.0,,,,,1.0,554278.0,,,,,,,,,,,
14,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-02-06 17:27:11.000000,2025-02-06 10:46:34,7057.0,270.0,3161.0,326.0,5448.0,948.0,3841.0,37129.0,Streamlit A faster way to build and share data apps.,254.0,46,True,2025-02-04 19:34:48,1.42.0,90.0,streamlit,,,,,695675.0,695675.0,https://pypi.org/project/streamlit,6818971.0,6818971.0,,,,,,,,1.0,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-02-06 17:44:59.000000,2025-02-06 08:08:30,23814.0,813.0,5881.0,480.0,30637.0,3685.0,15655.0,35214.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1142.0,46,True,2025-02-05 00:42:29,ray-2.42.0,100.0,ray,conda-forge/ray-tune,,,,20683.0,20683.0,https://pypi.org/project/ray,6287140.0,6300274.0,https://anaconda.org/conda-forge/ray-tune,2025-02-06 15:51:45.579,656647.0,,,,,1.0,248.0,,,,,,,,,,,
16,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-02-05 23:22:19.000000,2025-02-05 12:59:41,7460.0,253.0,2550.0,277.0,1802.0,573.0,2497.0,16678.0,The interactive graphing library for Python This project now includes Plotly Express!.,281.0,46,True,2025-01-28 19:45:30,6.0.0,104.0,plotly,conda-forge/plotly,,,,359693.0,359693.0,https://pypi.org/project/plotly,19125530.0,19329016.0,https://anaconda.org/conda-forge/plotly,2025-01-31 01:47:40.544,8259510.0,,,,,1.0,19.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,58583.0,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-02-06 17:40:49.000000,2025-02-06 17:40:44,25517.0,1477.0,2832.0,332.0,17420.0,1492.0,4440.0,31169.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",830.0,45,True,2025-01-17 18:27:26,jax-v0.5.0,100.0,jax,conda-forge/jaxlib,,,,36704.0,36704.0,https://pypi.org/project/jax,6268065.0,6308444.0,https://anaconda.org/conda-forge/jaxlib,2025-01-06 04:26:25.655,2261230.0,,,,,1.0,,,,,jax-ml/jax,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-02-06 08:43:55.000000,2025-02-06 08:43:55,7315.0,131.0,8244.0,910.0,5822.0,400.0,4973.0,26555.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",657.0,45,True,2024-11-26 10:21:16,2.1.3,61.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,129500.0,129500.0,https://pypi.org/project/xgboost,23643082.0,23748765.0,https://anaconda.org/conda-forge/xgboost,2025-02-01 09:10:53.302,5806999.0,,,,,1.0,13485.0,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-02-06 11:34:25.000000,2025-02-06 11:34:25,15652.0,89.0,3049.0,288.0,3982.0,2697.0,2819.0,10413.0,Statsmodels: statistical modeling and econometrics in Python.,450.0,45,True,2024-10-03 15:37:29,0.14.4,29.0,statsmodels,conda-forge/statsmodels,,,,152241.0,152241.0,https://pypi.org/project/statsmodels,16031972.0,16336572.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,17057613.0,,,,,1.0,35.0,,,,,,,,,,,
20,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2025-02-06 17:11:45.000000,2025-02-06 03:10:36,2186.0,324.0,6715.0,187.0,3674.0,690.0,9559.0,36127.0,Ultralytics YOLO11.,220.0,44,True,2025-02-06 03:11:35,8.3.72,100.0,ultralytics,,,,,36338.0,36338.0,https://pypi.org/project/ultralytics,6972064.0,6972064.0,,,,,,,,1.0,,,,,,,,,,,,
21,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-02-06 17:06:19.000000,2025-02-06 17:06:19,52764.0,1214.0,5509.0,714.0,52237.0,984.0,17569.0,22446.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1348.0,44,True,2024-06-27 10:00:34,3.0.0-beta0,63.0,paddlepaddle,,,,['paddle'],6925.0,6925.0,https://pypi.org/project/paddlepaddle,306322.0,306473.0,,,,,,,,2.0,15428.0,,,,,,,,,,,
22,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-02-06 14:44:19.000000,2025-02-06 14:41:52,7146.0,395.0,4205.0,306.0,10108.0,1361.0,2684.0,19409.0,Open source platform for the machine learning lifecycle.,821.0,44,True,2025-01-30 14:51:21,2.20.1,100.0,mlflow,conda-forge/mlflow,,,,51574.0,51574.0,https://pypi.org/project/mlflow,13928211.0,13980034.0,https://anaconda.org/conda-forge/mlflow,2025-01-31 11:24:12.006,2902092.0,,,,,1.0,,,,,,,,,,,,
23,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-02-06 08:18:42.000000,2025-02-05 11:12:56,9439.0,140.0,1706.0,214.0,6154.0,927.0,4351.0,12906.0,Parallel computing with task scheduling.,619.0,44,True,2024-12-17 20:26:22,2024.12.1,190.0,dask,conda-forge/dask,,,,69656.0,69656.0,https://pypi.org/project/dask,10294033.0,10514985.0,https://anaconda.org/conda-forge/dask,2025-01-19 15:07:53.205,12594283.0,,,,,1.0,,,,,,stable/dask,,,,,,
24,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-02-06 00:48:06.000000,2025-02-06 00:48:06,11337.0,221.0,18825.0,1913.0,7787.0,221.0,12109.0,62473.0,Deep Learning for humans.,1370.0,43,True,2025-01-07 18:27:26,3.8.0,73.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,13404143.0,13474203.0,https://anaconda.org/conda-forge/keras,2025-01-10 19:55:24.082,3923389.0,,,,,2.0,,,,,,,,,,,,
25,llama_index,run-llama/llama_index,agents,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2025-02-06 16:50:56.000000,2025-02-06 16:50:54,5944.0,390.0,5405.0,252.0,6646.0,629.0,5208.0,38604.0,LlamaIndex is the leading framework for building LLM-powered agents over your data.,1424.0,43,True,2025-02-05 23:50:46,0.12.16,100.0,llama_index,,,,,16623.0,16623.0,https://pypi.org/project/llama_index,3198203.0,3198271.0,,,,,,,,2.0,824.0,,,,,,,,,,,
26,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-02-06 18:14:37.000000,2025-02-06 13:14:10,7428.0,231.0,2656.0,178.0,4835.0,447.0,4850.0,35803.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",372.0,43,True,2025-02-05 07:52:50,@gradio/lite@5.15.1,100.0,gradio,,,,,55359.0,55359.0,https://pypi.org/project/gradio,6728093.0,6728093.0,,,,,,,,1.0,,,,,,,,,,,,
27,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-02-03 17:32:33.000000,2025-02-03 17:32:23,16225.0,13.0,4362.0,561.0,4034.0,157.0,5523.0,30823.0,Industrial-strength Natural Language Processing (NLP) in Python.,763.0,43,True,2024-12-11 13:11:38,release-v3.8.3,100.0,spacy,conda-forge/spacy,,,,113755.0,113755.0,https://pypi.org/project/spacy,11340506.0,11433889.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,5228574.0,,,,,1.0,1403.0,,,,,,,,,,,
28,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-02-03 22:49:10.000000,2025-02-03 22:42:12,10505.0,69.0,3367.0,252.0,10372.0,859.0,6352.0,28920.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",993.0,43,True,2024-12-21 01:35:39,2.5.0.post0,120.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],41545.0,41545.0,https://pypi.org/project/pytorch-lightning,7189645.0,7215395.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-12-22 08:21:07.098,1427196.0,,,,,2.0,11408.0,,,,Lightning-AI/pytorch-lightning,,,,,,,
29,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-02-05 17:56:52.000000,2025-02-04 19:43:31,7782.0,42.0,2058.0,426.0,1180.0,477.0,1382.0,21895.0,Data Apps & Dashboards for Python. No JavaScript Required.,169.0,43,True,2024-11-04 21:17:37,2.18.2,111.0,dash,conda-forge/dash,,,,76973.0,76973.0,https://pypi.org/project/dash,4820783.0,4850505.0,https://anaconda.org/conda-forge/dash,2025-01-24 13:51:51.640,1664417.0,,,,,1.0,88.0,,,,,,,,,,,
30,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-02-06 15:41:06.000000,2025-02-06 15:40:00,20683.0,47.0,4152.0,437.0,6256.0,768.0,7046.0,19571.0,"Interactive Data Visualization in the browser, from Python.",708.0,43,True,,,68.0,bokeh,conda-forge/bokeh,,,,97538.0,97538.0,https://pypi.org/project/bokeh,4069419.0,4352008.0,https://anaconda.org/conda-forge/bokeh,2025-02-06 12:06:49.451,15824987.0,,,,,1.0,,,,,,,,,,,,
31,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-02-05 22:04:01.000000,2025-02-03 18:24:13,2994.0,88.0,3643.0,435.0,3553.0,291.0,2603.0,18363.0,Open standard for machine learning interoperability.,332.0,43,True,2024-10-01 17:57:22,1.17.0,31.0,onnx,conda-forge/onnx,,,,39634.0,39634.0,https://pypi.org/project/onnx,5755332.0,5783998.0,https://anaconda.org/conda-forge/onnx,2024-12-31 09:55:45.556,1590796.0,,,,,1.0,22871.0,,,,,,,,,,,
32,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2025-02-05 14:28:47.000000,2025-02-05 14:28:46,7886.0,65.0,3214.0,280.0,3996.0,174.0,3062.0,15360.0,Network Analysis in Python.,767.0,43,True,2024-10-21 12:40:41,networkx-3.4.2,60.0,networkx,conda-forge/networkx,,,,347753.0,347753.0,https://pypi.org/project/networkx,65814418.0,66186020.0,https://anaconda.org/conda-forge/networkx,2024-12-25 14:22:43.959,20066535.0,,,,,1.0,79.0,,,,,,,,,,,
33,MoviePy,Zulko/moviepy,image,,https://github.com/Zulko/moviepy,https://github.com/Zulko/moviepy,MIT,2013-08-12 09:39:28.000,2025-01-31 20:38:06.000000,2025-01-31 20:38:06,1419.0,208.0,1614.0,251.0,734.0,8.0,1556.0,12980.0,Video editing with Python.,182.0,43,True,2025-01-10 11:53:37,2.1.2,18.0,moviepy,conda-forge/moviepy,,,,53734.0,53734.0,https://pypi.org/project/moviepy,2639502.0,2642639.0,https://anaconda.org/conda-forge/moviepy,2023-06-16 13:23:34.876,285468.0,,,,,1.0,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-02-06 15:32:10.000000,2025-02-06 15:32:06,5086.0,74.0,2086.0,1667.0,4964.0,337.0,2761.0,12457.0,WebGL2 powered visualization framework.,280.0,43,True,2025-01-21 19:54:06,9.1.0,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],8620.0,8620.0,https://pypi.org/project/pydeck,5841117.0,6326486.0,https://anaconda.org/conda-forge/pydeck,2025-01-31 18:06:48.129,687563.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,472868.0,,,,,,,,
35,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-01-31 07:49:14.000000,2025-01-31 07:49:13,18867.0,417.0,1046.0,119.0,3851.0,59.0,1648.0,11313.0,A hyperparameter optimization framework.,284.0,43,True,2025-01-27 07:13:38,3.6.2,71.0,optuna,conda-forge/optuna,,,,21761.0,21761.0,https://pypi.org/project/optuna,3557104.0,3596505.0,https://anaconda.org/conda-forge/optuna,2025-01-20 09:28:46.974,2206503.0,,,,,1.0,,,,,,,,,,,,
36,Altair,altair-viz/altair,data-viz,,https://github.com/vega/altair,https://github.com/vega/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2025-02-06 15:29:00.000000,2025-02-06 15:25:36,3860.0,47.0,765.0,138.0,1560.0,130.0,1938.0,9563.0,Declarative visualization library for Python.,174.0,43,True,2024-11-24 00:12:10,5.5.0,31.0,altair,conda-forge/altair,,,,196604.0,196604.0,https://pypi.org/project/altair,24594971.0,24663121.0,https://anaconda.org/conda-forge/altair,2024-12-15 06:41:29.283,2589653.0,,,,,1.0,224.0,,,,vega/altair,,,,,,,
37,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2025-01-31 20:53:46.000000,2025-01-31 20:53:29,2694.0,163.0,4732.0,318.0,590.0,47.0,907.0,33066.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",169.0,42,True,2025-01-19 23:05:30,1.0.14,64.0,timm,conda-forge/timm,,,['pytorch'],46316.0,46316.0,https://pypi.org/project/timm,6124894.0,6239067.0,https://anaconda.org/conda-forge/timm,2025-01-20 17:34:15.209,313207.0,,,,,1.0,7485105.0,,,,huggingface/pytorch-image-models,,,,,,,
38,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,,2023-07-27 00:09:52.000,2025-02-06 17:58:29.000000,2025-02-06 04:49:26,19353.0,1077.0,2038.0,93.0,3905.0,931.0,3268.0,17063.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",393.0,42,True,2025-02-06 17:58:30,1.60.5-de1,100.0,litellm,,,,,7031.0,7031.0,https://pypi.org/project/litellm,5432669.0,5432815.0,,,,,,,,1.0,438.0,,,,,,,,,,,
39,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-02-05 14:46:04.000000,2025-02-05 14:46:04,1643.0,56.0,2473.0,142.0,640.0,1196.0,1098.0,15909.0,State-of-the-Art Text Embeddings.,207.0,42,True,2025-01-29 14:26:29,3.4.1,50.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],69263.0,69263.0,https://pypi.org/project/sentence-transformers,7661179.0,7671376.0,https://anaconda.org/conda-forge/sentence-transformers,2025-01-30 04:29:36.337,540488.0,,,,,1.0,,,,,,,,,,,,
40,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2025-02-02 19:15:25.000000,2025-01-18 16:14:36,1412.0,58.0,2463.0,243.0,676.0,157.0,1263.0,15612.0,Download market data from Yahoo! Finances API.,129.0,42,True,2025-01-18 16:22:59,0.2.52,89.0,yfinance,ranaroussi/yfinance,,,,60030.0,60030.0,https://pypi.org/project/yfinance,4039479.0,4041750.0,https://anaconda.org/ranaroussi/yfinance,2023-06-16 19:26:44.442,97661.0,,,,,1.0,,,,,,,,,,,,
41,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-02-06 07:52:09.000000,2025-02-06 07:52:03,14684.0,2.0,2819.0,460.0,1504.0,256.0,1574.0,13822.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,462.0,42,True,,,19.0,nltk,conda-forge/nltk,,,,345496.0,345496.0,https://pypi.org/project/nltk,24787787.0,24851554.0,https://anaconda.org/conda-forge/nltk,2024-12-16 00:47:34.151,2997060.0,,,,,1.0,,,,,,,2.0,,,,,
42,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2025-01-26 16:55:15.000000,2025-01-26 16:55:13,3242.0,5.0,1882.0,263.0,1136.0,145.0,2447.0,12823.0,Statistical data visualization in Python.,215.0,42,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,557631.0,557631.0,https://pypi.org/project/seaborn,20939224.0,21145398.0,https://anaconda.org/conda-forge/seaborn,2024-12-09 07:42:09.249,11545610.0,,,,,2.0,465.0,,,,,,,,,,,
