,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-11-30 17:47:10.000000,2023-11-30 10:48:02,49144.0,764.0,7071.0,591.0,17439.0,1179.0,8764.0,18487.0,matplotlib: plotting with Python.,1610.0,48,True,2023-11-18 01:36:36,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1016235.0,1016235.0,https://pypi.org/project/matplotlib,44121611.0,44642246.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21346063.0,,,,,1.0,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-11-30 10:58:40.000000,2023-11-30 10:58:40,16543.0,373.0,1937.0,224.0,4488.0,78.0,2880.0,11276.0,Python Imaging Library (Fork).,450.0,47,True,2023-10-15 13:05:17,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1441448.0,1441448.0,https://pypi.org/project/Pillow,72937782.0,73813145.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,35014527.0,,,,,1.0,,,,,,,,,,,,,
12,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-11-30 17:56:40.000000,2023-11-30 06:44:13,18426.0,1146.0,2311.0,319.0,11717.0,1172.0,3548.0,25736.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",602.0,45,True,2023-11-02 23:29:45,jax-v0.4.20,89.0,jax,conda-forge/jaxlib,,,,19705.0,19705.0,https://pypi.org/project/jax,11846888.0,11871236.0,https://anaconda.org/conda-forge/jaxlib,2023-10-25 14:41:56.031,998291.0,,,,,1.0,,,,,,,,,,,,,
13,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-11-30 16:13:08.000000,2023-11-30 16:13:06,9967.0,328.0,3006.0,244.0,9725.0,643.0,5969.0,25281.0,"Deep learning framework to train, finetune and deploy AI models.",914.0,45,True,2023-11-15 20:56:33,2.1.2,104.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],26506.0,26506.0,https://pypi.org/project/pytorch-lightning,4566444.0,4591654.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-11-17 05:31:05.209,1016087.0,,,,,1.0,13703.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,
14,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-11-30 17:50:49.000000,2023-11-30 17:33:00,45122.0,1741.0,5173.0,727.0,41827.0,1073.0,16455.0,21068.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1142.0,45,True,2023-07-25 11:09:59,2.5.0,60.0,paddlepaddle,,,,['paddle'],4333.0,4333.0,https://pypi.org/project/paddlepaddle,174707.0,174883.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,
15,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-11-30 11:16:46.000000,2023-11-30 05:45:38,10124.0,546.0,18555.0,1913.0,6780.0,107.0,11296.0,59873.0,Deep Learning for humans.,1258.0,44,True,2023-11-28 01:07:25,3.0.0,53.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,13114154.0,13195404.0,https://anaconda.org/conda-forge/keras,2023-11-15 08:53:46.597,3331265.0,,,,,2.0,,,-6.0,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-11-30 18:00:44.000000,2023-11-30 12:14:41,19994.0,1005.0,4773.0,472.0,25229.0,3088.0,12925.0,28843.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,946.0,44,True,2023-11-03 00:55:09,ray-2.8.0,74.0,ray,conda-forge/ray-tune,,,,12515.0,12515.0,https://pypi.org/project/ray,2528974.0,2533982.0,https://anaconda.org/conda-forge/ray-tune,2023-11-21 15:48:30.221,175246.0,,,,,1.0,126.0,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-11-30 15:36:22.000000,2023-11-29 08:11:54,16076.0,67.0,4148.0,565.0,3919.0,74.0,5436.0,27681.0,Industrial-strength Natural Language Processing (NLP) in Python.,745.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,75053.0,75053.0,https://pypi.org/project/spacy,6314020.0,6394307.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3291785.0,,,,,1.0,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-11-30 16:37:28.000000,2023-11-30 16:06:59,6652.0,118.0,8127.0,914.0,4820.0,334.0,4663.0,25043.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",630.0,44,True,2023-11-09 20:24:31,2.0.2,55.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,73385.0,73385.0,https://pypi.org/project/xgboost,10867561.0,10977892.0,https://anaconda.org/conda-forge/xgboost,2023-11-17 02:03:43.585,4410622.0,,,,,2.0,7695.0,,,,,,,,,,,,
19,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-11-30 16:55:24.000000,2023-11-30 12:54:15,5063.0,482.0,3578.0,292.0,7037.0,1046.0,2268.0,15932.0,Open source platform for the machine learning lifecycle.,675.0,44,True,2023-11-16 02:55:35,2.8.1,77.0,mlflow,conda-forge/mlflow,,,,26668.0,26668.0,https://pypi.org/project/mlflow,14778721.0,14819253.0,https://anaconda.org/conda-forge/mlflow,2023-11-18 15:22:57.599,1661838.0,,,,,1.0,,,,,,,,,,,,,
20,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-11-30 16:54:08.000000,2023-11-28 23:32:16,6253.0,76.0,2391.0,280.0,1576.0,1393.0,1364.0,14484.0,The interactive graphing library for Python This project now includes Plotly Express!.,251.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,219952.0,219952.0,https://pypi.org/project/plotly,11252338.0,11425187.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5089461.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,51672.0,,,,,,,
21,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-11-30 18:04:10.000000,2023-11-29 22:36:22,56706.0,822.0,4000.0,289.0,12788.0,4243.0,8572.0,11586.0,A computer algebra system written in pure Python.,1261.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,96070.0,96070.0,https://pypi.org/project/sympy,9991396.0,10048331.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4744146.0,,,,,1.0,523759.0,,,,,,,,,,,,
22,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-11-30 10:51:23.000000,2023-11-30 08:33:10,5974.0,374.0,1651.0,144.0,2978.0,423.0,2827.0,24059.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",229.0,43,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,17921.0,17921.0,https://pypi.org/project/gradio,3409410.0,3409410.0,,,,,,,,1.0,,,1.0,,,,,,,,,,
23,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-30 15:55:49.000000,2023-11-29 22:09:46,20312.0,115.0,4053.0,445.0,5897.0,730.0,6756.0,18360.0,"Interactive Data Visualization in the browser, from Python.",675.0,43,True,,,55.0,bokeh,conda-forge/bokeh,,,,79869.0,79869.0,https://pypi.org/project/bokeh,3605066.0,3925625.0,https://anaconda.org/conda-forge/bokeh,2023-11-09 21:55:31.595,13142935.0,,,,,1.0,,,,,,,,,,,,,
24,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-11-29 17:41:58.000000,2023-11-27 21:46:03,2598.0,96.0,3504.0,439.0,3029.0,268.0,2289.0,15965.0,Open standard for machine learning interoperability.,300.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,21110.0,21110.0,https://pypi.org/project/onnx,4364019.0,4385880.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,885378.0,,,,,1.0,19539.0,,,,,,,,,,,,
25,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-11-30 04:34:21.000000,2023-11-30 04:33:46,3382.0,58.0,3643.0,441.0,3032.0,306.0,2866.0,15687.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 01:51:05,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,27383.0,27383.0,https://pypi.org/project/lightgbm,6579330.0,6637837.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2123604.0,,,,,2.0,207244.0,,,,,,,,,,,,
26,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-11-30 12:06:05.000000,2023-11-30 12:06:05,3207.0,34.0,1739.0,258.0,1069.0,114.0,2317.0,11409.0,Statistical data visualization in Python.,206.0,43,True,2023-09-29 19:01:44,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,330803.0,330803.0,https://pypi.org/project/seaborn,12332466.0,12523650.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7838478.0,,,,,1.0,309.0,,,,,,,,,,,,
27,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-11-20 09:37:13.000000,2023-10-29 06:30:59,15118.0,14.0,2599.0,278.0,3815.0,2541.0,2715.0,9068.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,43,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,108532.0,108532.0,https://pypi.org/project/statsmodels,11416174.0,11706484.0,https://anaconda.org/conda-forge/statsmodels,2023-10-05 23:45:15.777,11902720.0,,,,,2.0,29.0,,,,,,,,,,,,
28,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-11-29 22:11:44.000000,2023-11-29 22:11:44,5722.0,79.0,1562.0,195.0,4860.0,593.0,1215.0,6411.0,TensorFlows Visualization Toolkit.,309.0,43,True,2023-11-02 18:45:45,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],201320.0,201320.0,https://pypi.org/project/tensorboard,21512569.0,21620665.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4431942.0,,,,,1.0,,,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-11-30 15:48:48.000000,2023-11-30 15:48:48,7516.0,141.0,2971.0,276.0,3555.0,182.0,2907.0,13501.0,Network Analysis in Python.,693.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,203747.0,203747.0,https://pypi.org/project/networkx,33872713.0,34237735.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14235889.0,,,,,1.0,65.0,,,,,,,,,,,,
30,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-11-30 17:54:05.000000,2023-11-29 15:06:12,4587.0,85.0,1967.0,1697.0,4424.0,243.0,2562.0,11357.0,WebGL2 powered visualization framework.,240.0,42,True,2023-10-24 16:55:44,8.9.32,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6812.0,6812.0,https://pypi.org/project/pydeck,1845203.0,2280407.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,463831.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,424897.0,,,,,,,
31,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-11-28 23:17:12.000000,2023-11-28 05:48:44,3606.0,43.0,703.0,143.0,1304.0,155.0,1722.0,8574.0,Declarative statistical visualization library for Python.,158.0,42,True,2023-11-28 06:23:39,5.2.0,26.0,altair,conda-forge/altair,,,,90011.0,90011.0,https://pypi.org/project/altair,14761607.0,14852906.0,https://anaconda.org/conda-forge/altair,2023-10-03 20:26:07.376,2099872.0,,,,,1.0,90.0,,,,,,,,,,,,
32,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-11-30 14:06:51.000000,2023-11-30 14:06:51,13785.0,113.0,2112.0,185.0,4318.0,517.0,2030.0,5683.0,Image processing in Python.,641.0,42,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,161846.0,161846.0,https://pypi.org/project/scikit-image,9050526.0,9192453.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5819041.0,,,,,1.0,,,,,,,,,,,,,
33,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-11-30 16:57:03.000000,2023-11-30 02:12:52,1969.0,191.0,3433.0,308.0,2324.0,748.0,1441.0,29852.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",267.0,41,True,2023-11-13 17:51:54,0.12.3,62.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4927.0,4927.0,https://pypi.org/project/deepspeed,415539.0,415915.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17317.0,1.0,,,,,,,,,,,,,
34,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-11-27 20:18:30.000000,2023-11-27 05:06:39,2103.0,88.0,4289.0,307.0,423.0,68.0,751.0,27822.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",124.0,41,True,2023-11-24 19:09:08,0.9.12,54.0,timm,conda-forge/timm,,,['pytorch'],19279.0,19279.0,https://pypi.org/project/timm,3463441.0,3574585.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,113639.0,,,,,1.0,5848462.0,huggingface/pytorch-image-models,,,,,,,,,,,
35,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-11-30 11:25:01.000000,2023-11-30 00:14:41,2563.0,66.0,2972.0,258.0,771.0,1419.0,935.0,20613.0,A game theoretic approach to explain the output of any machine learning model.,226.0,41,True,2023-10-09 09:41:17,0.43.0,50.0,shap,conda-forge/shap,,,,14545.0,14545.0,https://pypi.org/project/shap,7268837.0,7332164.0,https://anaconda.org/conda-forge/shap,2023-10-09 21:10:21.871,2216463.0,,,,,1.0,,shap/shap,,,,,,,,,,,
36,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-11-29 14:59:13.000000,2023-11-09 20:19:22,14452.0,7.0,2685.0,466.0,1435.0,251.0,1493.0,12557.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,444.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,234699.0,234699.0,https://pypi.org/project/nltk,13065096.0,13092208.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2358766.0,,,,,1.0,,,,,,,,,,,,,
37,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-11-30 14:22:13.000000,2023-11-28 21:26:27,7917.0,67.0,1610.0,211.0,5521.0,835.0,4048.0,11559.0,Parallel computing with task scheduling.,590.0,41,True,,,160.0,dask,conda-forge/dask,,,,54911.0,54911.0,https://pypi.org/project/dask,6738074.0,6988733.0,https://anaconda.org/conda-forge/dask,2023-11-10 23:54:07.170,10527714.0,,,,,1.0,,,,,,,stable/dask,,,,,,
38,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2023-11-30 17:59:39.000000,2023-11-29 20:10:17,5965.0,203.0,554.0,54.0,3791.0,778.0,2073.0,7519.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,168.0,41,True,2023-11-07 21:04:35,0.16.0,100.0,wandb,conda-forge/wandb,,,,33649.0,33649.0,https://pypi.org/project/wandb,7841092.0,7851772.0,https://anaconda.org/conda-forge/wandb,2023-10-04 19:30:33.577,427227.0,,,,,1.0,,wandb/wandb,,,,,,,,,,,
39,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2023-11-30 14:55:55.000000,2023-11-01 22:40:55,2729.0,33.0,7266.0,616.0,2208.0,178.0,1580.0,24857.0,The fastai deep learning library.,244.0,40,True,2023-10-15 04:03:45,2.7.13,50.0,fastai,,,,['pytorch'],15424.0,15424.0,https://pypi.org/project/fastai,526771.0,526771.0,,,,,,,,2.0,,,,,,,,,,,,,
40,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-11-28 06:37:33.255000,2023-11-28 00:25:43,7074.0,63.0,1888.0,412.0,1006.0,760.0,841.0,19704.0,Data Apps & Dashboards for Python. No JavaScript Required.,142.0,40,True,2023-11-28 00:56:54,2.14.2,103.0,dash,conda-forge/dash,,,,54964.0,54964.0,https://pypi.org/project/dash,2217394.0,2245590.0,https://anaconda.org/conda-forge/dash,2023-11-28 06:37:33.255,1156075.0,,,,,2.0,6.0,,,,,,,,,,,,
41,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2023-11-30 16:50:07.000000,2023-11-24 16:15:03,8499.0,71.0,2140.0,206.0,4142.0,13.0,1904.0,19387.0,Build multimodal AI applications with cloud-native stack.,177.0,40,True,2023-11-20 10:05:49,3.23.0,100.0,jina,conda-forge/jina-core,jinaai/jina,,,1329.0,1329.0,https://pypi.org/project/jina,67039.0,97269.0,https://anaconda.org/conda-forge/jina-core,2023-06-16 19:27:18.682,58106.0,https://hub.docker.com/r/jinaai/jina,2023-11-24 16:49:42.989281,8.0,1259828.0,2.0,,,,,,,,,,,,,
