,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-01-04 10:05:34.000000,2024-01-04 09:15:31,49330.0,609.0,7118.0,591.0,17579.0,1166.0,8829.0,18668.0,matplotlib: plotting with Python.,1635.0,48,True,2023-11-18 01:36:36,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1050424.0,1050424.0,https://pypi.org/project/matplotlib,44160520.0,44660158.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21484442.0,,,,,1.0,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-01-04 14:36:01.000000,2024-01-04 14:36:01,16932.0,565.0,1949.0,223.0,4568.0,69.0,2905.0,11383.0,Python Imaging Library (Fork).,457.0,47,True,2024-01-02 09:38:41,10.2.0,54.0,Pillow,conda-forge/pillow,,,,1484868.0,1484868.0,https://pypi.org/project/Pillow,68301572.0,69145032.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,35425343.0,,,,,1.0,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-01-04 16:37:53.000000,2024-01-04 16:37:53,10211.0,417.0,18582.0,1911.0,6852.0,146.0,11355.0,60128.0,Deep Learning for humans.,1267.0,45,True,2023-12-21 19:22:48,3.0.2,56.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,12804342.0,12882222.0,https://anaconda.org/conda-forge/keras,2023-12-23 16:24:50.607,3348859.0,,,,,1.0,,,,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-01-04 17:52:22.000000,2024-01-04 17:50:00,18796.0,1018.0,2344.0,322.0,11998.0,1214.0,3603.0,26191.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",614.0,45,True,2023-12-14 07:26:26,jax-v0.4.23,93.0,jax,conda-forge/jaxlib,,,,20739.0,20739.0,https://pypi.org/project/jax,4618339.0,4641997.0,https://anaconda.org/conda-forge/jaxlib,2023-12-23 22:02:22.397,1017311.0,,,,,1.0,,,,,,,,,,,,,
14,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-01-04 15:33:01.000000,2024-01-02 15:24:52,10034.0,249.0,3031.0,244.0,9807.0,629.0,6021.0,25595.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",918.0,45,True,2023-12-21 15:14:18,2.1.3,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],27683.0,27683.0,https://pypi.org/project/pytorch-lightning,4063157.0,4087528.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1030403.0,,,,,1.0,13930.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,
15,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-01-04 10:59:10.000000,2024-01-03 23:50:15,15240.0,130.0,2608.0,279.0,3836.0,2546.0,2730.0,9177.0,Statsmodels: statistical modeling and econometrics in Python.,421.0,45,True,2023-12-14 14:31:51,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,111505.0,111505.0,https://pypi.org/project/statsmodels,11512368.0,11792162.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12031182.0,,,,,1.0,30.0,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-01-04 17:40:47.000000,2024-01-04 07:47:03,20273.0,891.0,4851.0,464.0,25684.0,3015.0,13194.0,29313.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,957.0,44,True,2023-12-21 00:32:08,ray-2.9.0,76.0,ray,conda-forge/ray-tune,,,,13075.0,13075.0,https://pypi.org/project/ray,2566148.0,2571000.0,https://anaconda.org/conda-forge/ray-tune,2023-12-05 13:59:54.326,179452.0,,,,,1.0,172.0,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-01-02 09:03:06.000000,2024-01-02 09:03:06,16084.0,31.0,4150.0,555.0,3931.0,75.0,5444.0,27920.0,Industrial-strength Natural Language Processing (NLP) in Python.,746.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,77523.0,77523.0,https://pypi.org/project/spacy,5894582.0,5971489.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3307003.0,,,,,1.0,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-01-04 15:27:30.000000,2024-01-04 08:51:33,6704.0,131.0,8132.0,911.0,4904.0,339.0,4697.0,25162.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",632.0,44,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,76702.0,76702.0,https://pypi.org/project/xgboost,11510369.0,11617128.0,https://anaconda.org/conda-forge/xgboost,2023-12-20 14:38:41.532,4481081.0,,,,,2.0,7953.0,,,,,,,,,,,,
19,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-01-04 14:43:24.000000,2024-01-04 11:55:06,45834.0,1834.0,5189.0,726.0,42742.0,1043.0,16574.0,21197.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1149.0,44,True,2023-07-25 11:09:59,2.5.0,60.0,paddlepaddle,,,,['paddle'],4473.0,4473.0,https://pypi.org/project/paddlepaddle,180075.0,180247.0,,,,,,,,2.0,15368.0,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-01-04 17:59:50.000000,2024-01-04 17:59:50,5191.0,453.0,3621.0,292.0,7223.0,1058.0,2291.0,16167.0,Open source platform for the machine learning lifecycle.,685.0,44,True,2023-12-14 15:34:34,2.9.2,80.0,mlflow,conda-forge/mlflow,,,,28240.0,28240.0,https://pypi.org/project/mlflow,13638784.0,13678126.0,https://anaconda.org/conda-forge/mlflow,2023-12-14 16:11:35.887,1691745.0,,,,,1.0,,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-01-04 15:53:44.000000,2023-12-21 22:10:00,6257.0,50.0,2403.0,280.0,1584.0,1402.0,1371.0,14642.0,The interactive graphing library for Python This project now includes Plotly Express!.,252.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,228630.0,228630.0,https://pypi.org/project/plotly,10411643.0,10559135.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5141819.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,30633.0,,,,,,,,
22,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-01-04 17:37:57.000000,2024-01-04 00:59:02,56833.0,442.0,4044.0,291.0,12843.0,4247.0,8606.0,11732.0,A computer algebra system written in pure Python.,1265.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,103310.0,103310.0,https://pypi.org/project/sympy,9140651.0,9197370.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4832897.0,,,,,1.0,527696.0,,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-01-03 20:19:50.194000,2023-12-31 21:35:22,3225.0,34.0,1750.0,259.0,1081.0,114.0,2336.0,11545.0,Statistical data visualization in Python.,209.0,44,True,2023-12-31 22:09:55,0.13.1,36.0,seaborn,conda-forge/seaborn,,,,345148.0,345148.0,https://pypi.org/project/seaborn,11858869.0,12042773.0,https://anaconda.org/conda-forge/seaborn,2024-01-03 20:19:50.194,7907749.0,,,,,1.0,373.0,,,,,1.0,,,,,,,
24,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-01-04 18:16:38.000000,2024-01-04 15:57:18,6085.0,341.0,1738.0,144.0,3114.0,426.0,3031.0,25322.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",241.0,43,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,20198.0,20198.0,https://pypi.org/project/gradio,3885224.0,3885224.0,,,,,,,,1.0,,,,,,,,,,,,,
25,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-01-04 16:28:52.000000,2024-01-04 09:17:26,20349.0,113.0,4064.0,444.0,5940.0,722.0,6791.0,18452.0,"Interactive Data Visualization in the browser, from Python.",679.0,43,True,,,56.0,bokeh,conda-forge/bokeh,,,,81192.0,81192.0,https://pypi.org/project/bokeh,3839628.0,4147446.0,https://anaconda.org/conda-forge/bokeh,2023-12-01 23:42:13.932,13236210.0,,,,,1.0,,,,,,,,,,,,,
26,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-01-04 18:05:37.000000,2024-01-03 19:39:00,2626.0,74.0,3502.0,438.0,3062.0,261.0,2317.0,16155.0,Open standard for machine learning interoperability.,303.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,22412.0,22412.0,https://pypi.org/project/onnx,3704492.0,3725647.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,898359.0,,,,,1.0,19734.0,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-01-04 17:33:54.000000,2024-01-03 16:21:21,3405.0,49.0,3659.0,437.0,3049.0,310.0,2883.0,15768.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",293.0,43,True,2023-12-21 18:58:56,4.2.0,30.0,lightgbm,conda-forge/lightgbm,,,,28482.0,28482.0,https://pypi.org/project/lightgbm,6357037.0,6413332.0,https://anaconda.org/conda-forge/lightgbm,2023-12-22 13:12:54.633,2148090.0,,,,,2.0,210039.0,,,,,,,,,,,,
28,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-12-27 18:42:51.000000,2023-12-27 18:42:50,5737.0,58.0,1567.0,194.0,4881.0,594.0,1219.0,6443.0,TensorFlows Visualization Toolkit.,311.0,43,True,2023-11-02 18:45:45,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],208062.0,208062.0,https://pypi.org/project/tensorboard,20475718.0,20579456.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4460758.0,,,,,1.0,,,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-01-04 17:03:57.000000,2024-01-04 17:02:56,7551.0,115.0,2993.0,275.0,3597.0,174.0,2932.0,13721.0,Network Analysis in Python.,700.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,213124.0,213124.0,https://pypi.org/project/networkx,34265658.0,34617557.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14427888.0,,,,,1.0,65.0,,,,,,,,,,,,
30,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-12-27 20:15:34.000000,2023-12-24 12:24:15,14508.0,42.0,2692.0,468.0,1446.0,250.0,1498.0,12662.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,451.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,242184.0,242184.0,https://pypi.org/project/nltk,12019241.0,12045990.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2380684.0,,,,,1.0,,,,,,,,,,,,,
31,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-01-04 18:01:46.000000,2024-01-03 14:02:56,4602.0,75.0,1974.0,1694.0,4443.0,252.0,2570.0,11439.0,WebGL2 powered visualization framework.,242.0,42,True,2023-12-05 13:36:42,8.9.33,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6958.0,6958.0,https://pypi.org/project/pydeck,1787109.0,2121209.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,467975.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,324144.0,,,,,,,,
32,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-01-01 20:55:31.000000,2023-12-22 22:10:20,13790.0,54.0,2115.0,186.0,4329.0,526.0,2035.0,5732.0,Image processing in Python.,644.0,42,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,165771.0,165771.0,https://pypi.org/project/scikit-image,11609835.0,11746347.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5870050.0,,,,,1.0,,,,,,,,,,,,,
33,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-01-03 00:54:10.000000,2023-12-30 20:13:06,2116.0,84.0,4341.0,305.0,431.0,70.0,757.0,28256.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",127.0,41,True,2023-11-24 19:09:08,0.9.12,54.0,timm,conda-forge/timm,,,['pytorch'],21035.0,21035.0,https://pypi.org/project/timm,3542957.0,3653193.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,117207.0,,,,,1.0,6016988.0,huggingface/pytorch-image-models,,,,,,,,,,,
34,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-01-02 14:01:32.000000,2024-01-02 14:01:29,2583.0,54.0,3001.0,252.0,783.0,1412.0,956.0,20857.0,A game theoretic approach to explain the output of any machine learning model.,229.0,41,True,2023-12-07 12:14:26,0.44.0,51.0,shap,conda-forge/shap,,,,15148.0,15148.0,https://pypi.org/project/shap,6740713.0,6801282.0,https://anaconda.org/conda-forge/shap,2023-12-21 19:21:37.314,2241054.0,,,,,1.0,,shap/shap,,,,,,,,,,,
35,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2024-01-04 16:18:33.000000,2024-01-04 16:17:45,9142.0,125.0,1106.0,137.0,5326.0,513.0,4038.0,12731.0,ML Experiments Management with Git.,290.0,41,True,2024-01-04 16:18:34,3.38.1,290.0,dvc,conda-forge/dvc,,,,11650.0,11650.0,https://pypi.org/project/dvc,714373.0,758774.0,https://anaconda.org/conda-forge/dvc,2024-01-04 15:01:08.907,1747084.0,,,,,1.0,45274.0,,,,,,dvc,dvc,dvc,,,,
36,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-01-04 17:45:56.000000,2024-01-04 17:00:46,7966.0,89.0,1615.0,213.0,5579.0,843.0,4066.0,11663.0,Parallel computing with task scheduling.,592.0,41,True,,,162.0,dask,conda-forge/dask,,,,56000.0,56000.0,https://pypi.org/project/dask,6219151.0,6460210.0,https://anaconda.org/conda-forge/dask,2023-12-15 22:47:54.178,10606597.0,,,,,1.0,,,,,,,,,,stable/dask,,,
37,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-01-02 19:26:30.000000,2024-01-02 19:26:30,3616.0,42.0,709.0,141.0,1316.0,161.0,1729.0,8639.0,Declarative statistical visualization library for Python.,160.0,41,True,2023-11-28 06:23:39,5.2.0,27.0,altair,conda-forge/altair,,,,97849.0,97849.0,https://pypi.org/project/altair,15043071.0,15127706.0,https://anaconda.org/conda-forge/altair,2023-12-05 00:22:25.208,2115855.0,,,,,1.0,96.0,,,,,,,,,,,,
38,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-01-04 16:44:56.000000,2024-01-03 21:27:06,2020.0,159.0,3498.0,307.0,2390.0,787.0,1474.0,30522.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",275.0,40,True,2023-12-21 00:46:35,0.12.6,65.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],5288.0,5288.0,https://pypi.org/project/deepspeed,325366.0,325727.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17372.0,1.0,,,,,,,,,,,,,
39,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2024-01-02 16:44:55.000000,2023-12-14 23:03:21,8509.0,43.0,2150.0,206.0,4153.0,12.0,1910.0,19535.0,Build multimodal AI applications with cloud-native stack.,176.0,40,True,2023-12-14 15:31:33,3.23.2,100.0,jina,conda-forge/jina-core,jinaai/jina,,,1435.0,1435.0,https://pypi.org/project/jina,106663.0,135592.0,https://anaconda.org/conda-forge/jina-core,2023-06-16 19:27:18.682,58916.0,https://hub.docker.com/r/jinaai/jina,2023-12-14 15:39:49.833835,8.0,1260807.0,2.0,,,,,,,,,,,,,
40,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2024-01-04 14:58:58.000000,2023-11-29 14:40:08,32592.0,27.0,4330.0,350.0,6309.0,2.0,6641.0,17417.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",592.0,40,True,2023-12-05 16:10:28,3.5.17,100.0,rasa,,,,['tensorflow'],3862.0,3862.0,https://pypi.org/project/rasa,153651.0,153651.0,,,,,,,,1.0,,,,,,,,,,,,,
41,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/piskvorky/gensim,https://github.com/piskvorky/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2024-01-01 12:37:49.000000,2023-10-01 14:51:00,4509.0,,4152.0,434.0,1685.0,375.0,1444.0,14899.0,Topic Modelling for Humans.,449.0,40,True,2023-08-24 08:44:46,4.3.2,43.0,gensim,conda-forge/gensim,,,,54304.0,54304.0,https://pypi.org/project/gensim,3658991.0,3694004.0,https://anaconda.org/conda-forge/gensim,2023-08-24 12:30:21.806,1188892.0,,,,,1.0,4553.0,piskvorky/gensim,,,,,,,,,,,
