,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
19,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-03-20 17:49:41.000000,2025-03-20 17:31:29,26363.0,1518.0,2911.0,330.0,18166.0,1524.0,4536.0,31699.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",847.0,45,True,2025-03-19 18:20:32,jax-v0.5.3,100.0,jax,conda-forge/jaxlib,,,,39293.0,39293.0,https://pypi.org/project/jax,7510560.0,7552781.0,https://anaconda.org/conda-forge/jaxlib,2025-03-15 02:03:56.867,2406607.0,,,,,1.0,,,,,,jax-ml/jax,,,,,,
20,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-03-20 15:27:57.000000,2025-03-20 15:27:57,7380.0,110.0,8260.0,905.0,5908.0,381.0,5046.0,26716.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",658.0,45,True,2025-03-15 13:44:01,3.0.0,64.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,138492.0,138492.0,https://pypi.org/project/xgboost,23809397.0,23915363.0,https://anaconda.org/conda-forge/xgboost,2025-03-20 05:50:35.967,5927788.0,,,,,1.0,14999.0,,,,,,,,,,,
21,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2025-03-20 18:13:02.000000,2025-03-20 12:31:27,2354.0,339.0,7133.0,190.0,3910.0,597.0,10046.0,38252.0,Ultralytics YOLO11.,238.0,44,True,2025-03-20 12:32:07,8.3.94,100.0,ultralytics,,,,,41175.0,41175.0,https://pypi.org/project/ultralytics,5397693.0,5397693.0,,,,,,,,1.0,,,,,,,,,,,,
22,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-03-20 16:17:30.000000,2025-03-20 16:17:29,53275.0,992.0,5539.0,714.0,52933.0,991.0,17651.0,22586.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1360.0,44,True,2024-06-27 10:00:34,3.0.0-beta0,63.0,paddlepaddle,,,,['paddle'],7362.0,7362.0,https://pypi.org/project/paddlepaddle,426075.0,426224.0,,,,,,,,2.0,15430.0,,,,,,,,,,,
23,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-03-20 04:33:07.000000,2025-03-19 08:28:34,7409.0,454.0,4277.0,305.0,10577.0,1379.0,2745.0,19824.0,Open source platform for the machine learning lifecycle.,831.0,44,True,2025-03-14 14:26:30,2.21.0,100.0,mlflow,conda-forge/mlflow,,,,55106.0,55106.0,https://pypi.org/project/mlflow,14252963.0,14306156.0,https://anaconda.org/conda-forge/mlflow,2025-03-17 17:52:05.243,3032036.0,,,,,1.0,,,,,,,,,,,,
24,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-03-15 01:00:12.000000,2025-03-15 01:00:12,14735.0,34.0,2827.0,459.0,1514.0,254.0,1587.0,13926.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,470.0,44,True,,,19.0,nltk,conda-forge/nltk,,,,362453.0,362453.0,https://pypi.org/project/nltk,26664045.0,26728079.0,https://anaconda.org/conda-forge/nltk,2024-12-16 00:47:34.151,3073650.0,,,,,1.0,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-03-17 13:49:13.000000,2025-03-17 13:49:12,9506.0,128.0,1719.0,213.0,6224.0,935.0,4382.0,13043.0,Parallel computing with task scheduling.,621.0,44,True,2025-02-13 23:03:30,2025.2.0,191.0,dask,conda-forge/dask,,,,71601.0,71601.0,https://pypi.org/project/dask,10660202.0,10881166.0,https://anaconda.org/conda-forge/dask,2025-02-14 01:09:15.019,12815938.0,,,,,1.0,,,,,,,stable/dask,,,,,
26,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-03-17 12:28:31.000000,2025-02-19 12:26:31,15662.0,38.0,3071.0,286.0,3991.0,2718.0,2825.0,10517.0,Statsmodels: statistical modeling and econometrics in Python.,451.0,44,True,2024-10-03 15:37:29,0.14.4,29.0,statsmodels,conda-forge/statsmodels,,,,158826.0,158826.0,https://pypi.org/project/statsmodels,16852223.0,17163696.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,17753962.0,,,,,2.0,35.0,,,,,,,,,,,
27,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-03-20 18:23:06.000000,2025-03-20 18:23:06,7561.0,246.0,2769.0,183.0,4977.0,471.0,4999.0,36956.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",389.0,43,True,2025-03-18 21:48:15,gradio@5.22.0,100.0,gradio,,,,,62495.0,62495.0,https://pypi.org/project/gradio,8198105.0,8198105.0,,,,,,,,1.0,,,,,,,,,,,,
28,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-03-19 20:29:31.000000,2025-03-19 14:15:58,10534.0,39.0,3392.0,251.0,10400.0,890.0,6364.0,29156.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1005.0,43,True,2025-03-19 20:26:25,2.5.1,120.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],43342.0,43342.0,https://pypi.org/project/pytorch-lightning,9223092.0,9249182.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-12-22 08:21:07.098,1471632.0,,,,,2.0,11726.0,,,,,Lightning-AI/pytorch-lightning,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-03-20 15:25:02.000000,2025-03-12 17:46:26,20745.0,94.0,4162.0,434.0,6313.0,767.0,7126.0,19709.0,"Interactive Data Visualization in the browser, from Python.",710.0,43,True,,,69.0,bokeh,conda-forge/bokeh,,,,99241.0,99241.0,https://pypi.org/project/bokeh,4204319.0,4486908.0,https://anaconda.org/conda-forge/bokeh,2025-03-13 06:51:33.182,16107615.0,,,,,1.0,,,,,,,,,,,,
30,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-03-20 15:55:36.000000,2025-03-18 19:30:58,3078.0,145.0,3659.0,438.0,3648.0,307.0,2617.0,18662.0,Open standard for machine learning interoperability.,339.0,43,True,2024-10-01 17:57:22,1.17.0,31.0,onnx,conda-forge/onnx,,,,42075.0,42075.0,https://pypi.org/project/onnx,6149382.0,6178690.0,https://anaconda.org/conda-forge/onnx,2025-03-13 18:44:32.817,1655776.0,,,,,1.0,23160.0,,,,,,,,,,,
31,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2025-03-20 00:34:48.000000,2025-03-20 00:34:48,7927.0,80.0,3230.0,280.0,4049.0,176.0,3072.0,15520.0,Network Analysis in Python.,764.0,43,True,2024-10-21 12:40:41,networkx-3.4.2,60.0,networkx,conda-forge/networkx,,,,369626.0,369626.0,https://pypi.org/project/networkx,73822688.0,74201733.0,https://anaconda.org/conda-forge/networkx,2024-12-25 14:22:43.959,20847504.0,,,,,1.0,79.0,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-03-20 17:52:41.000000,2025-03-18 14:51:02,5123.0,91.0,2094.0,1666.0,5033.0,364.0,2773.0,12570.0,WebGL2 powered visualization framework.,284.0,43,True,2025-03-19 10:15:47,9.1.6,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],8810.0,8810.0,https://pypi.org/project/pydeck,7571102.0,8231502.0,https://anaconda.org/conda-forge/pydeck,2025-01-31 18:06:48.129,714502.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,647642.0,,,,,,,
33,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-03-17 09:56:01.000000,2025-03-17 09:56:01,18945.0,197.0,1062.0,117.0,3883.0,57.0,1661.0,11583.0,A hyperparameter optimization framework.,288.0,43,True,2025-02-12 07:56:39,4.2.1,72.0,optuna,conda-forge/optuna,,,,23606.0,23606.0,https://pypi.org/project/optuna,3706844.0,3748511.0,https://anaconda.org/conda-forge/optuna,2025-02-14 01:37:55.790,2375063.0,,,,,1.0,,,,,,,,,,,,
34,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-03-20 17:40:20.000000,2025-03-20 12:55:23,11420.0,170.0,18880.0,1902.0,7919.0,232.0,12157.0,62725.0,Deep Learning for humans.,1389.0,42,True,2025-03-04 23:24:48,3.9.0,74.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,14132587.0,14202607.0,https://anaconda.org/conda-forge/keras,2025-03-13 08:33:09.754,3991157.0,,,,,2.0,,,,,,,,,,,,
35,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2025-03-20 02:37:49.000000,2025-03-20 02:36:10,6444.0,65.0,7991.0,449.0,3274.0,38.0,9435.0,47542.0,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages..",237.0,42,True,2025-03-07 07:03:56,2.10.0,17.0,paddleocr,,,,['paddle'],4689.0,4689.0,https://pypi.org/project/paddleocr,453266.0,481339.0,,,,,,,,1.0,1515987.0,,,,,,,,,,,
36,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2025-02-24 22:11:52.385000,2025-02-23 05:04:13,2705.0,101.0,4762.0,319.0,596.0,50.0,910.0,33555.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",169.0,42,True,2025-02-23 05:07:06,1.0.15,65.0,timm,conda-forge/timm,,,['pytorch'],50244.0,50244.0,https://pypi.org/project/timm,7106499.0,7221132.0,https://anaconda.org/conda-forge/timm,2025-02-24 22:11:52.385,336954.0,,,,,1.0,7603134.0,,,,,huggingface/pytorch-image-models,,,,,,
37,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-02-03 17:32:33.000000,2025-02-03 17:32:23,16225.0,7.0,4396.0,562.0,4043.0,163.0,5526.0,31192.0,Industrial-strength Natural Language Processing (NLP) in Python.,763.0,42,True,2024-12-11 13:11:38,release-v3.8.3,100.0,spacy,conda-forge/spacy,,,,120413.0,120413.0,https://pypi.org/project/spacy,12610838.0,12708471.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,5563872.0,,,,,1.0,1925.0,,,,,,,,,,,
38,crewAI,crewAIInc/crewAI,agents,,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,MIT,2023-10-27 03:26:59.000,2025-03-20 17:11:37.000000,2025-03-20 17:11:37,1235.0,198.0,3868.0,271.0,1002.0,96.0,1109.0,28779.0,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI..",215.0,42,True,2025-03-17 16:15:32,0.108.0,78.0,crewai,,,,,10960.0,10960.0,https://pypi.org/project/crewai,893995.0,893995.0,,,,,,,,2.0,,2.0,,,,,,,,,,
39,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2025-03-20 17:04:22.050000,2025-03-18 19:38:49,2813.0,33.0,3272.0,245.0,1030.0,683.0,1914.0,23571.0,A game theoretic approach to explain the output of any machine learning model.,263.0,42,True,2025-03-05 06:49:38,0.47.0,56.0,shap,conda-forge/shap,,,,27099.0,27099.0,https://pypi.org/project/shap,6669730.0,6774765.0,https://anaconda.org/conda-forge/shap,2025-03-20 17:04:22.050,5356787.0,,,,,1.0,,,,,,shap/shap,,,,,,
40,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,,2023-07-27 00:09:52.000,2025-03-20 16:26:09.000000,2025-03-20 05:58:32,20546.0,1847.0,2392.0,107.0,4456.0,1102.0,3584.0,19415.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",445.0,42,True,2025-03-19 16:20:08,1.63.12-nightly,100.0,litellm,,,,,9219.0,9219.0,https://pypi.org/project/litellm,5928627.0,5928859.0,,,,,,,,1.0,465.0,,,,,,,,,,,
41,chroma,chroma-core/chroma,nn-search,,https://github.com/chroma-core/chroma,https://github.com/chroma-core/chroma,Apache-2.0,2022-10-05 17:58:44.000,2025-03-20 16:28:55.000000,2025-03-20 02:24:37,2473.0,460.0,1515.0,103.0,2691.0,283.0,1048.0,18753.0,the AI-native open-source embedding database.,150.0,42,True,2025-01-14 22:21:19,0.6.3,75.0,chromadb,,,,,66201.0,66201.0,https://pypi.org/project/chromadb,3271750.0,3271767.0,,,,,,,,1.0,503.0,2.0,,,,,,,,,,
42,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2025-03-18 09:53:51.000000,2025-03-04 16:57:39,3650.0,32.0,3797.0,435.0,3356.0,385.0,3114.0,17049.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",325.0,42,True,2025-02-15 03:46:41,4.6.0,34.0,lightgbm,conda-forge/lightgbm,,,,46923.0,46923.0,https://pypi.org/project/lightgbm,9593159.0,9656218.0,https://anaconda.org/conda-forge/lightgbm,2025-02-19 15:41:37.440,3243203.0,,,,,2.0,285080.0,,,,,,,,,,,
