,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-08-15 17:47:31.000,2024-08-15 12:57:12,50424.0,2057.0,5383.0,716.0,49028.0,948.0,17273.0,21978.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1253.0,45,True,2024-06-27 10:00:34,3.0.0-beta0,63.0,paddlepaddle,,,['paddle'],15384.0,278541.0,5676.0,5676.0,https://pypi.org/project/paddlepaddle,278381.0,,,,1.0,,,,,,,,,,,,,,,,
19,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-08-15 09:31:11.000,2024-08-09 12:41:40,10411.0,125.0,3271.0,246.0,10248.0,722.0,6291.0,27754.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",969.0,44,True,2024-08-07 09:44:30,2.4.0,118.0,pytorch-lightning,conda-forge/pytorch-lightning,,['pytorch'],8202.0,5895740.0,35430.0,35430.0,https://pypi.org/project/pytorch-lightning,5870820.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-08-07 15:45:27.965,1235273.0,2.0,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-08-15 14:12:31.720,2024-08-15 09:41:44,6367.0,511.0,3977.0,295.0,8871.0,1259.0,2539.0,18148.0,Open source platform for the machine learning lifecycle.,758.0,44,True,2024-08-06 13:31:00,2.15.1,99.0,mlflow,conda-forge/mlflow,,,,16887343.0,40585.0,40585.0,https://pypi.org/project/mlflow,16844168.0,https://anaconda.org/conda-forge/mlflow,2024-08-15 14:12:31.720,2158790.0,1.0,,,,,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-08-13 13:27:24.000,2024-08-07 21:34:06,6575.0,79.0,2487.0,272.0,1678.0,472.0,2431.0,15868.0,The interactive graphing library for Python This project now includes Plotly Express!.,264.0,44,True,2024-07-23 13:47:17,5.23.0,101.0,plotly,conda-forge/plotly,,,,17414283.0,292948.0,292948.0,https://pypi.org/project/plotly,17276842.0,https://anaconda.org/conda-forge/plotly,2024-07-23 18:15:11.823,6643868.0,1.0,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,7170.0,,,,,,,
22,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-08-15 17:06:45.000,2024-08-15 15:43:24,8273.0,74.0,1659.0,211.0,5921.0,896.0,4229.0,12325.0,Parallel computing with task scheduling.,604.0,44,True,2024-08-06 20:23:21,2024.8.0,179.0,dask,conda-forge/dask,,,,11645781.0,63350.0,63350.0,https://pypi.org/project/dask,11416784.0,https://anaconda.org/conda-forge/dask,2024-08-06 23:03:24.191,11678855.0,1.0,,,,,,,,,,stable/dask,,,,,,
23,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-08-12 17:11:37.000,2024-07-16 07:26:46,15373.0,35.0,2684.0,282.0,3907.0,2648.0,2772.0,9903.0,Statsmodels: statistical modeling and econometrics in Python.,433.0,44,True,2024-04-17 08:07:37,0.14.2,27.0,statsmodels,conda-forge/statsmodels,,,33.0,16399974.0,132534.0,132534.0,https://pypi.org/project/statsmodels,16112382.0,https://anaconda.org/conda-forge/statsmodels,2024-05-17 10:41:00.825,14379641.0,2.0,,,,,,,,,,,-1.0,,,,,
24,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-08-15 14:58:44.000,2024-08-14 15:36:47,10880.0,196.0,18725.0,1912.0,7376.0,214.0,11834.0,61454.0,Deep Learning for humans.,1321.0,43,True,2024-08-12 20:41:44,3.5.0,70.0,keras,conda-forge/keras,https://keras.io,['tensorflow'],,14277731.0,,,https://pypi.org/project/keras,14204756.0,https://anaconda.org/conda-forge/keras,2024-08-14 08:58:57.530,3648798.0,2.0,,,,,,,,,,,,,,,,
25,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-08-15 17:06:19.000,2024-08-15 05:05:13,4933.0,715.0,4764.0,244.0,5531.0,669.0,4128.0,34444.0,LlamaIndex is a data framework for your LLM applications.,1143.0,43,True,2024-08-12 14:47:15,0.10.65,100.0,llama-index,,,,818.0,1355988.0,11163.0,11163.0,https://pypi.org/project/llama-index,1355886.0,,,,1.0,,,,,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-08-15 16:36:08.000,2024-08-15 14:50:32,6971.0,345.0,2316.0,164.0,4129.0,509.0,4102.0,31584.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",321.0,43,True,2024-08-08 10:28:25,@gradio/video@0.10.2,100.0,gradio,,,,,7002227.0,37977.0,37977.0,https://pypi.org/project/gradio,7002227.0,,,,1.0,,,,,,,,,,,,,,,,
27,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-08-01 20:10:25.000,2024-06-26 07:41:23,16134.0,3.0,4264.0,560.0,4008.0,110.0,5510.0,29489.0,Industrial-strength Natural Language Processing (NLP) in Python.,751.0,43,True,2024-06-05 07:57:36,3.7.5,100.0,spacy,conda-forge/spacy,,,,9745899.0,96084.0,96084.0,https://pypi.org/project/spacy,9669151.0,https://anaconda.org/conda-forge/spacy,2024-07-29 11:52:18.238,3837412.0,1.0,,,,,,,,,,,,,,,,
28,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-08-13 17:39:33.000,2024-08-11 14:40:21,2733.0,76.0,3156.0,238.0,933.0,779.0,1735.0,22303.0,A game theoretic approach to explain the output of any machine learning model.,244.0,43,True,2024-06-27 10:06:50,0.46.0,55.0,shap,conda-forge/shap,,,,7053610.0,19434.0,19434.0,https://pypi.org/project/shap,6973958.0,https://anaconda.org/conda-forge/shap,2024-05-08 21:55:59.406,3504728.0,1.0,,,,,,shap/shap,,,,,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-08-15 02:57:24.000,2024-08-14 21:28:11,20572.0,78.0,4125.0,444.0,6135.0,736.0,6952.0,19148.0,"Interactive Data Visualization in the browser, from Python.",698.0,43,True,,,63.0,bokeh,conda-forge/bokeh,,,,4738957.0,91049.0,91049.0,https://pypi.org/project/bokeh,4446701.0,https://anaconda.org/conda-forge/bokeh,2024-07-26 10:16:13.491,14612806.0,1.0,,,,,,,,,,,,,,,,
30,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-08-14 17:22:06.000,2024-08-01 17:43:24,2781.0,48.0,3580.0,438.0,3292.0,287.0,2482.0,17465.0,Open standard for machine learning interoperability.,320.0,43,True,2024-08-01 13:15:32,1.16.2,30.0,onnx,conda-forge/onnx,,,21431.0,5632744.0,31772.0,31772.0,https://pypi.org/project/onnx,5609719.0,https://anaconda.org/conda-forge/onnx,2024-08-02 08:47:29.691,1138212.0,1.0,,,,,,,,,,,,,,,,
31,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-08-15 14:48:08.000,2024-08-15 14:48:06,3555.0,85.0,3740.0,434.0,3229.0,327.0,3041.0,16464.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",314.0,43,True,2024-07-25 22:10:25,4.5.0,33.0,lightgbm,conda-forge/lightgbm,,,231711.0,9543772.0,36110.0,36110.0,https://pypi.org/project/lightgbm,9487762.0,https://anaconda.org/conda-forge/lightgbm,2024-08-02 18:29:39.160,2508756.0,2.0,,,,,,,,,,,,,,,,
32,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-08-15 10:28:08.000,2024-08-13 08:06:06,14612.0,93.0,2763.0,463.0,1477.0,268.0,1527.0,13350.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,457.0,43,True,,,18.0,nltk,conda-forge/nltk,,,,19943847.0,297112.0,297112.0,https://pypi.org/project/nltk,19877877.0,https://anaconda.org/conda-forge/nltk,2024-08-14 21:08:06.350,2704792.0,1.0,,,,,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-08-11 15:49:18.000,2024-08-08 15:25:57,4958.0,71.0,2048.0,1680.0,4819.0,294.0,2705.0,11999.0,WebGL2 powered visualization framework.,268.0,43,True,2024-08-09 08:08:35,9.0.27,100.0,pydeck,conda-forge/pydeck,,['jupyter'],,5170620.0,7934.0,7934.0,https://pypi.org/project/pydeck,4387404.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,587632.0,1.0,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,772334.0,,,,,,,
34,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2024-08-15 16:55:17.000,2024-08-14 20:22:07,1469.0,293.0,5276.0,153.0,2667.0,584.0,7744.0,27346.0,NEW - YOLOv8 in PyTorch ONNX OpenVINO CoreML TFLite.,173.0,42,True,2024-08-13 16:47:37,8.2.77,51.0,ultralytics,,,,148.0,2990460.0,22670.0,22670.0,https://pypi.org/project/ultralytics,2990439.0,,,,1.0,,,,,,,,,,,,,,,,
35,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-08-13 19:22:44.000,2024-07-24 19:27:39,7561.0,80.0,1985.0,417.0,1096.0,416.0,1328.0,21047.0,Data Apps & Dashboards for Python. No JavaScript Required.,158.0,42,True,2024-06-12 15:55:56,2.17.1,108.0,dash,conda-forge/dash,,,76.0,3171407.0,67367.0,67367.0,https://pypi.org/project/dash,3142896.0,https://anaconda.org/conda-forge/dash,2024-06-13 04:02:02.712,1425542.0,1.0,,,,,,,,,,,,,,,,
36,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-08-15 14:21:21.000,2024-08-09 15:47:53,7755.0,69.0,3119.0,281.0,3852.0,178.0,3014.0,14593.0,Network Analysis in Python.,735.0,42,True,2024-04-06 13:09:07,networkx-3.3,56.0,networkx,conda-forge/networkx,,,71.0,60361982.0,282616.0,282616.0,https://pypi.org/project/networkx,60004620.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,17153397.0,1.0,,,,,,,,,,,,,,,,
37,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-08-14 20:01:50.000,2024-07-22 11:32:48,3237.0,3.0,1828.0,261.0,1119.0,144.0,2396.0,12307.0,Statistical data visualization in Python.,213.0,42,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,416.0,18218280.0,452104.0,452104.0,https://pypi.org/project/seaborn,18023200.0,https://anaconda.org/conda-forge/seaborn,2024-04-30 16:33:12.611,9753876.0,1.0,,,,,,,,,,,,,,,,
38,Altair,altair-viz/altair,data-viz,,https://github.com/vega/altair,https://github.com/vega/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-08-15 17:05:49.000,2024-08-15 17:05:49,3742.0,79.0,746.0,143.0,1441.0,177.0,1798.0,9141.0,Declarative statistical visualization library for Python.,170.0,42,True,2024-08-11 08:22:24,5.4.0,29.0,altair,conda-forge/altair,,,171.0,22058642.0,153683.0,153683.0,https://pypi.org/project/altair,21984551.0,https://anaconda.org/conda-forge/altair,2024-08-11 16:19:05.207,2370905.0,1.0,,,,,,vega/altair,,,,,,,,,,
39,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2024-08-15 18:12:30.000,2024-08-15 18:11:56,6804.0,280.0,634.0,56.0,4885.0,862.0,2387.0,8764.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,187.0,42,True,2024-08-08 01:27:31,0.17.6,100.0,wandb,conda-forge/wandb,,,264.0,13382532.0,51792.0,51792.0,https://pypi.org/project/wandb,13370670.0,https://anaconda.org/conda-forge/wandb,2024-06-27 19:54:28.094,581012.0,1.0,,,,,,wandb/wandb,,,,,,,,,,
40,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-08-15 09:13:38.483,2024-08-14 20:11:00,5852.0,23.0,1617.0,193.0,5022.0,619.0,1236.0,6643.0,TensorFlows Visualization Toolkit.,320.0,42,True,2024-08-14 18:18:37,2.17.1,62.0,tensorboard,conda-forge/tensorboard,,['tensorflow'],,22260799.0,253078.0,253078.0,https://pypi.org/project/tensorboard,22162511.0,https://anaconda.org/conda-forge/tensorboard,2024-08-15 09:13:38.483,4914448.0,1.0,,,,,,,,,,,,,,,,
41,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-08-14 19:11:43.000,2024-08-14 17:07:21,14074.0,82.0,2150.0,186.0,4452.0,562.0,2093.0,5996.0,Image processing in Python.,668.0,42,True,2024-06-18 19:05:37,0.24.0,32.0,scikit-image,conda-forge/scikit-image,,,,12233226.0,192063.0,192063.0,https://pypi.org/project/scikit-image,12099842.0,https://anaconda.org/conda-forge/scikit-image,2024-06-27 18:46:03.341,6669219.0,1.0,,,,,,,,,,,,,,,,
42,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-08-15 18:14:37.000,2024-08-15 18:06:46,2424.0,128.0,3876.0,341.0,2874.0,992.0,1684.0,34327.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",332.0,41,True,2024-08-15 18:04:31,0.14.5,77.0,deepspeed,,,['pytorch'],,502279.0,8313.0,8313.0,https://pypi.org/project/deepspeed,501947.0,,,,1.0,deepspeed/deepspeed,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,18309.0,,,,,,,,,,,
