,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-12-07 15:54:55.000000,2023-12-07 15:00:28,49208.0,782.0,7092.0,590.0,17481.0,1173.0,8782.0,18524.0,matplotlib: plotting with Python.,1625.0,48,True,2023-11-18 01:36:36,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1023706.0,1023706.0,https://pypi.org/project/matplotlib,45254014.0,45763002.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21377533.0,,,,,1.0,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-12-07 15:07:55.000000,2023-12-07 15:07:29,16679.0,461.0,1945.0,224.0,4500.0,76.0,2885.0,11301.0,Python Imaging Library (Fork).,453.0,47,True,2023-10-15 13:05:17,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1450741.0,1450741.0,https://pypi.org/project/Pillow,73609567.0,74465921.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,35110545.0,,,,,1.0,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-12-07 16:30:38.000000,2023-12-07 16:30:38,10148.0,548.0,18565.0,1914.0,6798.0,117.0,11317.0,59979.0,Deep Learning for humans.,1260.0,45,True,2023-12-06 21:12:25,3.0.1,54.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,13373231.0,13452643.0,https://anaconda.org/conda-forge/keras,2023-11-15 08:53:46.597,3335319.0,,,,,1.0,,1.0,,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-12-07 18:03:20.000000,2023-12-07 16:59:57,18535.0,1177.0,2318.0,320.0,11798.0,1180.0,3560.0,25865.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",606.0,45,True,2023-12-04 22:37:54,jaxlib-v0.4.21,91.0,jax,conda-forge/jaxlib,,,,19910.0,19910.0,https://pypi.org/project/jax,4119153.0,4143006.0,https://anaconda.org/conda-forge/jaxlib,2023-10-25 14:41:56.031,1001867.0,,,,,1.0,,,,,,,,,,,,,
14,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-12-07 15:50:34.000000,2023-12-07 13:48:08,9979.0,319.0,3013.0,244.0,9738.0,647.0,5976.0,25345.0,"Deep learning framework to train, finetune and deploy AI models.",916.0,45,True,2023-11-15 20:56:33,2.1.2,104.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],26748.0,26748.0,https://pypi.org/project/pytorch-lightning,4673865.0,4698558.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-11-17 05:31:05.209,1019646.0,,,,,1.0,13737.0,,Lightning-AI/pytorch-lightning,,,,,,,,,,
15,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-12-07 17:38:50.000000,2023-12-07 13:41:22,45289.0,1771.0,5180.0,726.0,42049.0,1067.0,16482.0,21099.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1144.0,45,True,2023-07-25 11:09:59,2.5.0,60.0,paddlepaddle,,,,['paddle'],4360.0,4360.0,https://pypi.org/project/paddlepaddle,180307.0,180481.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-12-07 18:18:15.000000,2023-12-07 18:16:35,20062.0,960.0,4794.0,469.0,25339.0,3090.0,12980.0,28938.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,949.0,44,True,2023-12-01 23:08:01,ray-2.8.1,75.0,ray,conda-forge/ray-tune,,,,12628.0,12628.0,https://pypi.org/project/ray,2567278.0,2572183.0,https://anaconda.org/conda-forge/ray-tune,2023-12-05 13:59:54.326,176573.0,,,,,1.0,133.0,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-12-07 15:21:21.000000,2023-12-04 14:15:54,16077.0,64.0,4147.0,565.0,3925.0,75.0,5439.0,27743.0,Industrial-strength Natural Language Processing (NLP) in Python.,745.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,75567.0,75567.0,https://pypi.org/project/spacy,6717644.0,6796110.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3295591.0,,,,,1.0,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-12-07 17:12:52.000000,2023-12-06 21:17:15,6663.0,120.0,8130.0,914.0,4843.0,341.0,4665.0,25064.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",630.0,44,True,2023-11-09 20:24:31,2.0.2,55.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,74027.0,74027.0,https://pypi.org/project/xgboost,10812950.0,10921237.0,https://anaconda.org/conda-forge/xgboost,2023-11-17 02:03:43.585,4437068.0,,,,,2.0,7751.0,,,,,,,,,,,,
19,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-12-07 18:00:43.000000,2023-12-07 16:09:41,5112.0,504.0,3590.0,292.0,7112.0,1047.0,2279.0,15992.0,Open source platform for the machine learning lifecycle.,680.0,44,True,2023-12-07 08:00:18,2.9.1,79.0,mlflow,conda-forge/mlflow,,,,27040.0,27040.0,https://pypi.org/project/mlflow,14730677.0,14770390.0,https://anaconda.org/conda-forge/mlflow,2023-12-07 15:14:29.220,1667947.0,,,,,1.0,,,,,,,,,,,,,
20,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-12-06 21:07:11.000000,2023-11-30 20:53:28,6255.0,72.0,2392.0,281.0,1577.0,1395.0,1367.0,14527.0,The interactive graphing library for Python This project now includes Plotly Express!.,252.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,222037.0,222037.0,https://pypi.org/project/plotly,11517837.0,11688720.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5102090.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,52230.0,,,,,,,
21,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-12-07 14:53:00.000000,2023-12-07 14:52:59,56733.0,713.0,4010.0,289.0,12799.0,4246.0,8578.0,11611.0,A computer algebra system written in pure Python.,1261.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,97635.0,97635.0,https://pypi.org/project/sympy,10224217.0,10280786.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4765821.0,,,,,1.0,524816.0,,,,,,,,,,,,
22,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-12-07 18:18:53.000000,2023-12-07 18:16:48,5999.0,382.0,1685.0,144.0,3010.0,419.0,2888.0,24548.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",231.0,43,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,18434.0,18434.0,https://pypi.org/project/gradio,3621971.0,3621971.0,,,,,,,,1.0,,,,,,,,,,,,,
23,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-12-07 11:18:14.000000,2023-12-07 04:39:37,20325.0,121.0,4064.0,444.0,5909.0,729.0,6767.0,18380.0,"Interactive Data Visualization in the browser, from Python.",678.0,43,True,,,56.0,bokeh,conda-forge/bokeh,,,,80234.0,80234.0,https://pypi.org/project/bokeh,3602666.0,3916187.0,https://anaconda.org/conda-forge/bokeh,2023-12-01 23:42:13.932,13167882.0,,,,,1.0,,,,,,,,,,,,,
24,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-12-07 09:37:16.000000,2023-12-05 21:19:28,2605.0,95.0,3505.0,440.0,3035.0,269.0,2294.0,16009.0,Open standard for machine learning interoperability.,300.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,21424.0,21424.0,https://pypi.org/project/onnx,4315407.0,4336822.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,888339.0,,,,,1.0,19610.0,,,,,,,,,,,,
25,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-12-07 15:33:20.000000,2023-12-07 14:54:18,3387.0,52.0,3653.0,439.0,3036.0,309.0,2868.0,15719.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 01:51:05,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,27646.0,27646.0,https://pypi.org/project/lightgbm,6691559.0,6748750.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2129021.0,,,,,2.0,208146.0,,,,,,,,,,,,
26,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-12-06 13:23:00.000000,2023-12-06 02:38:16,3210.0,37.0,1743.0,259.0,1073.0,115.0,2322.0,11440.0,Statistical data visualization in Python.,208.0,43,True,2023-09-29 19:01:44,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,333906.0,333906.0,https://pypi.org/project/seaborn,12687519.0,12874543.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7854944.0,,,,,1.0,332.0,,,,,,,,,,,,
27,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-12-07 13:24:09.000000,2023-12-06 11:47:00,15141.0,37.0,2602.0,278.0,3817.0,2542.0,2719.0,9101.0,Statsmodels: statistical modeling and econometrics in Python.,417.0,43,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,109181.0,109181.0,https://pypi.org/project/statsmodels,11453030.0,11737419.0,https://anaconda.org/conda-forge/statsmodels,2023-10-05 23:45:15.777,11944358.0,,,,,2.0,30.0,,,,,,,,,,,,
28,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-12-07 18:16:02.000000,2023-12-07 06:17:46,5727.0,79.0,1567.0,195.0,4867.0,590.0,1218.0,6422.0,TensorFlows Visualization Toolkit.,309.0,43,True,2023-11-02 18:45:45,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],202804.0,202804.0,https://pypi.org/project/tensorboard,21837064.0,21942755.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4439040.0,,,,,1.0,,,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-12-06 23:30:32.000000,2023-12-06 15:04:36,7523.0,140.0,2976.0,275.0,3560.0,176.0,2914.0,13535.0,Network Analysis in Python.,697.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,205807.0,205807.0,https://pypi.org/project/networkx,34534970.0,34891981.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14280457.0,,,,,1.0,65.0,,,,,,,,,,,,
30,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-12-07 10:40:30.000000,2023-12-01 21:28:34,4589.0,83.0,1971.0,1696.0,4428.0,246.0,2564.0,11379.0,WebGL2 powered visualization framework.,240.0,42,True,2023-12-05 13:36:42,8.9.33,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6846.0,6846.0,https://pypi.org/project/pydeck,1926685.0,2379221.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,464841.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,442431.0,,,,,,,
31,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-12-06 17:51:23.000000,2023-12-06 17:51:23,3607.0,44.0,704.0,143.0,1305.0,156.0,1722.0,8586.0,Declarative statistical visualization library for Python.,159.0,42,True,2023-11-28 06:23:39,5.2.0,27.0,altair,conda-forge/altair,,,,91859.0,91859.0,https://pypi.org/project/altair,15382617.0,15470277.0,https://anaconda.org/conda-forge/altair,2023-12-05 00:22:25.208,2103826.0,,,,,1.0,91.0,,,,,,,,,,,,
32,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-12-07 11:32:50.000000,2023-11-30 14:06:51,13785.0,98.0,2113.0,186.0,4321.0,520.0,2030.0,5693.0,Image processing in Python.,641.0,42,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,162714.0,162714.0,https://pypi.org/project/scikit-image,9576444.0,9715292.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5831647.0,,,,,1.0,,,,,,,,,,,,,
33,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-12-05 20:04:52.000000,2023-12-05 20:04:38,2107.0,91.0,4297.0,307.0,425.0,66.0,754.0,27919.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",125.0,41,True,2023-11-24 19:09:08,0.9.12,54.0,timm,conda-forge/timm,,,['pytorch'],19624.0,19624.0,https://pypi.org/project/timm,3453368.0,3563207.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,114469.0,,,,,1.0,5887694.0,,huggingface/pytorch-image-models,,,,,,,,,,
34,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-12-07 16:05:36.000000,2023-12-07 15:40:52,2580.0,78.0,2976.0,254.0,779.0,1409.0,947.0,20674.0,A game theoretic approach to explain the output of any machine learning model.,229.0,41,True,2023-12-07 12:14:26,0.44.0,51.0,shap,conda-forge/shap,,,,14666.0,14666.0,https://pypi.org/project/shap,7287990.0,7349655.0,https://anaconda.org/conda-forge/shap,2023-10-09 21:10:21.871,2219958.0,,,,,1.0,,,shap/shap,,,,,,,,,,
35,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-12-07 16:04:31.000000,2023-12-07 11:46:18,9099.0,134.0,1099.0,136.0,5276.0,577.0,3951.0,12590.0,ML Experiments Management with Git.,289.0,41,True,2023-12-06 16:42:12,3.33.3,287.0,dvc,conda-forge/dvc,,,,11011.0,11011.0,https://pypi.org/project/dvc,835952.0,881140.0,https://anaconda.org/conda-forge/dvc,2023-12-06 02:36:09.937,1736816.0,,,,,1.0,46036.0,,,,,,dvc,dvc,dvc,,,,
36,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-11-29 14:59:13.000000,2023-11-09 20:19:22,14452.0,7.0,2685.0,467.0,1435.0,253.0,1493.0,12573.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,444.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,236243.0,236243.0,https://pypi.org/project/nltk,13231961.0,13258824.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2364020.0,,,,,1.0,,,,,,,,,,,,,
37,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-12-07 18:14:49.000000,2023-12-07 17:32:41,7926.0,63.0,1612.0,212.0,5534.0,836.0,4051.0,11588.0,Parallel computing with task scheduling.,590.0,41,True,,,161.0,dask,conda-forge/dask,,,,55165.0,55165.0,https://pypi.org/project/dask,6590139.0,6835481.0,https://anaconda.org/conda-forge/dask,2023-12-02 01:29:12.432,10549710.0,,,,,1.0,,,,,,,,,,stable/dask,,,
38,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2023-12-07 17:37:54.000000,2023-12-07 15:36:42,5978.0,192.0,559.0,54.0,3809.0,784.0,2077.0,7558.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,168.0,41,True,2023-12-05 18:58:08,0.16.1,100.0,wandb,conda-forge/wandb,,,,34119.0,34119.0,https://pypi.org/project/wandb,8036469.0,8046961.0,https://anaconda.org/conda-forge/wandb,2023-12-05 22:51:30.208,430183.0,,,,,1.0,,,wandb/wandb,,,,,,,,,,
39,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-12-07 16:27:05.000000,2023-12-05 18:42:34,1973.0,181.0,3450.0,305.0,2336.0,757.0,1451.0,30015.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",268.0,40,True,2023-12-01 19:32:32,0.12.4,63.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],5003.0,5003.0,https://pypi.org/project/deepspeed,402229.0,402597.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17327.0,1.0,,,,,,,,,,,,,
40,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2023-12-03 17:32:53.000000,2023-12-02 00:09:58,2731.0,32.0,7267.0,616.0,2210.0,180.0,1581.0,24890.0,The fastai deep learning library.,245.0,40,True,2023-10-15 04:03:45,2.7.13,50.0,fastai,,,,['pytorch'],15502.0,15502.0,https://pypi.org/project/fastai,514693.0,514693.0,,,,,,,,2.0,,,,,,,,,,,,,
41,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-12-01 19:07:19.000000,2023-12-01 19:07:19,7083.0,67.0,1899.0,413.0,1006.0,764.0,842.0,19739.0,Data Apps & Dashboards for Python. No JavaScript Required.,142.0,40,True,2023-11-28 00:56:54,2.14.2,103.0,dash,conda-forge/dash,,,,55335.0,55335.0,https://pypi.org/project/dash,2289902.0,2317498.0,https://anaconda.org/conda-forge/dash,2023-11-28 06:37:33.255,1159066.0,,,,,2.0,9.0,,,,,,,,,,,,
