,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,new_addition
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-12-19 18:00:46.000000,2024-12-19 18:00:46,12292.0,869.0,15375.0,689.0,16296.0,428.0,7548.0,96418.0,Build context-aware reasoning applications.,3057.0,50,True,2024-12-19 16:09:07,langchain-anthropic==0.3.1,100.0,langchain,,,,,160805.0,160805.0,https://pypi.org/project/langchain,27153936.0,27153936.0,,,,,,,,1.0,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-12-19 11:58:25.000000,2024-12-19 11:58:25,51491.0,410.0,7515.0,593.0,18689.0,1211.0,9407.0,20465.0,matplotlib: plotting with Python.,1759.0,48,True,2024-12-14 05:30:28,3.10.0,91.0,matplotlib,conda-forge/matplotlib,,,,1467064.0,1467064.0,https://pypi.org/project/matplotlib,74427501.0,74934539.0,https://anaconda.org/conda-forge/matplotlib,2024-12-16 20:44:59.565,27380078.0,,,,,1.0,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-12-18 06:08:51.000000,2024-12-18 06:08:51,18919.0,350.0,2109.0,219.0,5204.0,82.0,3125.0,12408.0,Python Imaging Library (Fork).,482.0,48,True,2024-10-15 14:29:17,11.0.0,57.0,Pillow,conda-forge/pillow,,,,1968589.0,1968589.0,https://pypi.org/project/Pillow,126310095.0,127209079.0,https://anaconda.org/conda-forge/pillow,2024-10-18 22:08:55.292,47646164.0,,,,,1.0,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-12-16 17:09:00.000000,2024-12-16 17:08:59,59271.0,345.0,4415.0,293.0,13559.0,4444.0,8942.0,13134.0,A computer algebra system written in pure Python.,1344.0,47,True,2024-09-18 21:54:45,1.13.3,55.0,sympy,conda-forge/sympy,,,,201101.0,201101.0,https://pypi.org/project/sympy,32104025.0,32242351.0,https://anaconda.org/conda-forge/sympy,2024-10-09 14:38:28.134,7386170.0,,,,,1.0,,552436.0,,,,,,,,,,,
14,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-12-19 17:52:28.000000,2024-12-19 14:15:46,6909.0,254.0,3090.0,320.0,5228.0,932.0,3777.0,36268.0,Streamlit A faster way to build and share data apps.,250.0,46,True,2024-12-13 21:22:19,1.41.1,89.0,streamlit,,,,,632203.0,632203.0,https://pypi.org/project/streamlit,7687496.0,7687496.0,,,,,,,,1.0,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-12-19 18:03:50.000000,2024-12-19 18:03:50,23356.0,686.0,5770.0,480.0,29974.0,3648.0,15436.0,34535.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1116.0,46,True,2024-12-04 00:01:15,ray-2.40.0,99.0,ray,conda-forge/ray-tune,,,,19704.0,19704.0,https://pypi.org/project/ray,6301263.0,6311611.0,https://anaconda.org/conda-forge/ray-tune,2024-12-06 00:00:37.515,496652.0,,,,,1.0,,248.0,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-12-19 06:31:38.000000,2024-12-19 06:31:38,7265.0,175.0,8245.0,908.0,5764.0,400.0,4945.0,26413.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",655.0,46,True,2024-11-26 10:21:16,2.1.3,61.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,121927.0,121927.0,https://pypi.org/project/xgboost,26151152.0,26256176.0,https://anaconda.org/conda-forge/xgboost,2024-12-03 00:14:17.609,5561119.0,,,,,1.0,,12669.0,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-12-19 17:41:01.000000,2024-12-19 17:21:47,24799.0,1675.0,2800.0,335.0,16849.0,1462.0,4348.0,30795.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",807.0,45,True,2024-12-17 23:00:55,jax-v0.4.38,100.0,jax,conda-forge/jaxlib,,,,34469.0,34469.0,https://pypi.org/project/jax,4787403.0,4824133.0,https://anaconda.org/conda-forge/jaxlib,2024-12-12 03:36:57.455,1983448.0,,,,,1.0,,,jax-ml/jax,,,,,,,,,,
18,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-12-18 20:43:31.000000,2024-12-17 17:18:05,7386.0,530.0,2526.0,276.0,1765.0,553.0,2491.0,16456.0,The interactive graphing library for Python This project now includes Plotly Express!.,281.0,45,True,2024-09-12 15:42:27,5.24.1,103.0,plotly,conda-forge/plotly,,,,340235.0,340235.0,https://pypi.org/project/plotly,21052016.0,21202993.0,https://anaconda.org/conda-forge/plotly,2024-12-09 08:37:37.782,7819926.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,8797.0,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-12-16 11:00:15.000000,2024-12-16 11:00:15,15620.0,122.0,2996.0,287.0,3968.0,2679.0,2809.0,10257.0,Statsmodels: statistical modeling and econometrics in Python.,447.0,45,True,2024-10-03 15:37:29,0.14.4,29.0,statsmodels,conda-forge/statsmodels,,,,146792.0,146792.0,https://pypi.org/project/statsmodels,15972069.0,16274156.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,16312748.0,,,,,1.0,,35.0,,,,,,,,,,,
20,llama_index,run-llama/llama_index,agents,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-12-19 17:31:08.000000,2024-12-19 17:31:06,5765.0,516.0,5271.0,247.0,6443.0,583.0,5071.0,37432.0,LlamaIndex is a data framework for your LLM applications.,1364.0,44,True,2024-12-18 01:37:52,0.12.6,100.0,llama_index,,,,,15065.0,15065.0,https://pypi.org/project/llama_index,3708904.0,3708983.0,,,,,,,,2.0,,797.0,,,,,,,,,,,
21,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2024-12-19 16:41:26.000000,2024-12-18 19:53:04,2013.0,404.0,6347.0,186.0,3440.0,1156.0,8685.0,34224.0,Ultralytics YOLO11.,210.0,44,True,2024-12-17 19:07:12,8.3.51,100.0,ultralytics,,,,,32488.0,32488.0,https://pypi.org/project/ultralytics,6725360.0,6725360.0,,,,,,,,1.0,,,,,,,,,,,,,
22,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-12-16 14:17:50.000000,2024-12-11 13:14:08,16218.0,45.0,4343.0,561.0,4029.0,149.0,5523.0,30489.0,Industrial-strength Natural Language Processing (NLP) in Python.,762.0,44,True,2024-12-11 13:11:38,release-v3.8.3,100.0,spacy,conda-forge/spacy,,,,108801.0,108801.0,https://pypi.org/project/spacy,14905103.0,14993413.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,4768092.0,,,,,1.0,,991.0,,,,,,,,,,,
23,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-12-19 17:31:55.000000,2024-12-19 17:02:13,10490.0,70.0,3343.0,252.0,10352.0,831.0,6342.0,28648.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",991.0,44,True,2024-08-07 09:44:30,2.4.0,118.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],39913.0,39913.0,https://pypi.org/project/pytorch-lightning,6811822.0,6837534.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-12-13 01:55:30.156,1374730.0,,,,,2.0,,10749.0,Lightning-AI/pytorch-lightning,,,,,,,,,,
24,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-12-19 15:51:31.000000,2024-12-19 15:51:31,52264.0,1265.0,5486.0,716.0,51629.0,977.0,17510.0,22359.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1335.0,44,True,2024-06-27 10:00:34,3.0.0-beta0,63.0,paddlepaddle,,,,['paddle'],6611.0,6611.0,https://pypi.org/project/paddlepaddle,338399.0,338553.0,,,,,,,,2.0,,15418.0,,,,,,,,,,,
25,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-12-19 16:13:09.000000,2024-12-19 16:10:56,6951.0,448.0,4166.0,304.0,9828.0,1337.0,2644.0,19037.0,Open source platform for the machine learning lifecycle.,805.0,44,True,2024-12-11 12:49:06,2.19.0,100.0,mlflow,conda-forge/mlflow,,,,48149.0,48149.0,https://pypi.org/project/mlflow,14825093.0,14872587.0,https://anaconda.org/conda-forge/mlflow,2024-12-12 05:57:45.831,2564723.0,,,,,1.0,,,,,,,,,,,,,
26,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-12-19 15:31:07.000000,2024-12-19 15:31:07,8436.0,119.0,1693.0,213.0,6088.0,917.0,4324.0,12699.0,Parallel computing with task scheduling.,613.0,44,True,2024-12-17 20:26:22,2024.12.1,189.0,dask,conda-forge/dask,,,,68046.0,68046.0,https://pypi.org/project/dask,15436300.0,15661707.0,https://anaconda.org/conda-forge/dask,2024-12-17 22:58:45.484,12397394.0,,,,,1.0,,,,,,,stable/dask,,,,,,
27,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-12-19 04:08:17.000000,2024-12-19 04:08:17,11248.0,277.0,18801.0,1914.0,7664.0,240.0,12027.0,62209.0,Deep Learning for humans.,1358.0,43,True,2024-11-26 17:02:51,3.7.0,72.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,14602739.0,14674113.0,https://anaconda.org/conda-forge/keras,2024-12-10 19:57:35.430,3854234.0,,,,,2.0,,,,,,,,,,,,,
28,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-12-19 17:13:43.000000,2024-12-19 04:35:07,7310.0,284.0,2596.0,177.0,4707.0,437.0,4693.0,34680.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",358.0,43,True,2024-12-16 21:42:54,gradio@5.9.1,100.0,gradio,,,,,50099.0,50099.0,https://pypi.org/project/gradio,6416528.0,6416528.0,,,,,,,,1.0,,,,,,,,,,,,,
29,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-12-17 04:00:53.000000,2024-12-11 17:57:01,7769.0,81.0,2049.0,427.0,1167.0,461.0,1375.0,21682.0,Data Apps & Dashboards for Python. No JavaScript Required.,169.0,43,True,2024-11-04 21:17:37,2.18.2,111.0,dash,conda-forge/dash,,,,74240.0,74240.0,https://pypi.org/project/dash,4722395.0,4752078.0,https://anaconda.org/conda-forge/dash,2024-12-15 07:31:13.084,1602878.0,,,,,1.0,,87.0,,,,,,,,,,,
30,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-12-18 22:13:15.000000,2024-12-18 22:13:14,20651.0,58.0,4142.0,439.0,6224.0,754.0,7008.0,19465.0,"Interactive Data Visualization in the browser, from Python.",703.0,43,True,,,67.0,bokeh,conda-forge/bokeh,,,,95753.0,95753.0,https://pypi.org/project/bokeh,4203445.0,4491665.0,https://anaconda.org/conda-forge/bokeh,2024-12-09 14:35:07.548,15563912.0,,,,,1.0,,,,,,,,,,,,,
31,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-12-19 18:12:01.000000,2024-12-19 17:52:00,2928.0,106.0,3625.0,437.0,3482.0,302.0,2563.0,18120.0,Open standard for machine learning interoperability.,327.0,43,True,2024-10-01 17:57:22,1.17.0,31.0,onnx,conda-forge/onnx,,,,37528.0,37528.0,https://pypi.org/project/onnx,6406806.0,6432639.0,https://anaconda.org/conda-forge/onnx,2024-10-21 21:30:32.889,1380932.0,,,,,1.0,,22521.0,,,,,,,,,,,
32,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-12-18 22:01:40.000000,2024-12-18 22:01:38,3618.0,52.0,3764.0,435.0,3312.0,346.0,3089.0,16801.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",323.0,43,True,2024-07-25 22:10:25,4.5.0,33.0,lightgbm,conda-forge/lightgbm,,,,41618.0,41618.0,https://pypi.org/project/lightgbm,10888869.0,10949158.0,https://anaconda.org/conda-forge/lightgbm,2024-10-10 08:17:38.424,2940604.0,,,,,2.0,,242066.0,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-12-19 01:56:06.000000,2024-12-18 08:28:11,5031.0,48.0,2071.0,1667.0,4910.0,330.0,2743.0,12345.0,WebGL2 powered visualization framework.,277.0,43,True,2024-12-11 10:37:10,9.0.38,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],8427.0,8427.0,https://pypi.org/project/pydeck,6728192.0,7305286.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,663206.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,565660.0,,,,,,,
34,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2024-12-19 00:24:09.000000,2024-12-19 00:24:08,18670.0,417.0,1039.0,117.0,3789.0,62.0,1631.0,11113.0,A hyperparameter optimization framework.,283.0,43,True,2024-11-11 05:20:54,4.1.0,67.0,optuna,conda-forge/optuna,,,,20143.0,20143.0,https://pypi.org/project/optuna,3955432.0,3992810.0,https://anaconda.org/conda-forge/optuna,2024-11-13 05:15:17.167,2018423.0,,,,,1.0,,,,,,,,,,,,,
35,Altair,altair-viz/altair,data-viz,,https://github.com/vega/altair,https://github.com/vega/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-12-15 06:41:29.283000,2024-12-02 16:01:53,3831.0,59.0,763.0,140.0,1532.0,200.0,1845.0,9458.0,Declarative visualization library for Python.,173.0,43,True,2024-11-24 00:12:10,5.5.0,31.0,altair,conda-forge/altair,,,,184967.0,184967.0,https://pypi.org/project/altair,25026010.0,25096536.0,https://anaconda.org/conda-forge/altair,2024-12-15 06:41:29.283,2538868.0,,,,,1.0,,215.0,vega/altair,,,,,,,,,,
36,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-12-18 21:39:43.000000,2024-12-18 21:39:43,5882.0,26.0,1630.0,189.0,5059.0,630.0,1240.0,6749.0,TensorFlows Visualization Toolkit.,322.0,43,True,2024-09-25 21:21:08,2.18.0,63.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],280718.0,280718.0,https://pypi.org/project/tensorboard,27101127.0,27198129.0,https://anaconda.org/conda-forge/tensorboard,2024-12-10 08:54:23.547,5238116.0,,,,,1.0,,,,,,,,,,,,,
37,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-12-19 00:51:53.000000,2024-12-19 00:51:53,2603.0,147.0,4682.0,314.0,556.0,46.0,894.0,32655.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",162.0,42,True,2024-12-03 19:05:39,1.0.12,62.0,timm,conda-forge/timm,,,['pytorch'],43137.0,43137.0,https://pypi.org/project/timm,5790433.0,5905361.0,https://anaconda.org/conda-forge/timm,2024-12-17 14:22:47.539,284988.0,,,,,1.0,,7339972.0,huggingface/pytorch-image-models,,,,,,,,,,
38,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,,2023-07-27 00:09:52.000,2024-12-19 17:59:17.000000,2024-12-19 03:47:47,18681.0,904.0,1773.0,83.0,3328.0,764.0,3035.0,15246.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",367.0,42,True,2024-12-18 17:30:40,1.55.4,100.0,litellm,,,,,5301.0,5301.0,https://pypi.org/project/litellm,3385247.0,3385483.0,,,,,,,,1.0,,473.0,,,,,,,,,,,
39,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-12-17 23:03:52.000000,2024-12-17 23:03:52,7846.0,61.0,3194.0,279.0,3951.0,178.0,3050.0,15140.0,Network Analysis in Python.,757.0,42,True,2024-10-21 12:40:41,networkx-3.4.2,60.0,networkx,conda-forge/networkx,,,,329334.0,329334.0,https://pypi.org/project/networkx,69411958.0,69782117.0,https://anaconda.org/conda-forge/networkx,2024-11-13 18:04:48.334,19248301.0,,,,,1.0,,76.0,,,,,,,,,,,
40,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2024-12-14 22:05:59.000000,2024-12-08 18:23:22,1373.0,69.0,2415.0,241.0,644.0,166.0,1217.0,15125.0,Download market data from Yahoo! Finances API.,128.0,42,True,2024-11-19 21:43:53,0.2.50,87.0,yfinance,ranaroussi/yfinance,,,,54550.0,54550.0,https://pypi.org/project/yfinance,3289728.0,3292104.0,https://anaconda.org/ranaroussi/yfinance,2023-06-16 19:26:44.442,97435.0,,,,,1.0,,,,,,,,,,,,,
41,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-12-16 00:47:34.151000,2024-11-11 06:24:40,14683.0,4.0,2812.0,461.0,1498.0,251.0,1569.0,13706.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,462.0,42,True,,,19.0,nltk,conda-forge/nltk,,,,331667.0,331667.0,https://pypi.org/project/nltk,25216573.0,25281794.0,https://anaconda.org/conda-forge/nltk,2024-12-16 00:47:34.151,2934959.0,,,,,1.0,,,,,,,,,,,,,
42,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2024-12-19 17:18:33.000000,2024-12-19 07:07:09,7470.0,440.0,672.0,62.0,5676.0,600.0,2829.0,9275.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",202.0,42,True,2024-12-13 01:07:06,0.19.1,100.0,wandb,conda-forge/wandb,,,,61248.0,61248.0,https://pypi.org/project/wandb,18459788.0,18474903.0,https://anaconda.org/conda-forge/wandb,2024-12-14 01:53:47.787,800704.0,,,,,1.0,,409.0,wandb/wandb,,,,,,,,,,
