,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2025-04-17 15:23:59.000000,2025-04-17 14:49:14,13191.0,739.0,16856.0,741.0,17498.0,309.0,8085.0,105839.0,Build context-aware reasoning applications.,3297.0,49,True,2025-04-17 15:03:43,langchain-openai==0.3.14,100.0,langchain,,,,,225450.0,225450.0,https://pypi.org/project/langchain,66432754.0,66432754.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-04-17 06:17:46.000000,2025-04-17 05:34:14,52351.0,459.0,7665.0,585.0,19080.0,1257.0,9554.0,21065.0,matplotlib: plotting with Python.,1796.0,49,True,2025-02-27 18:57:43,3.10.1,92.0,matplotlib,conda-forge/matplotlib,,,,1683125.0,1683125.0,https://pypi.org/project/matplotlib,84315107.0,84822073.0,https://anaconda.org/conda-forge/matplotlib,2025-03-25 16:00:02.106,29404064.0,,,,,1.0,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-04-16 15:49:57.000000,2025-04-16 15:49:57,19444.0,310.0,2132.0,218.0,5430.0,68.0,3203.0,12716.0,Python Imaging Library (Fork).,485.0,48,True,2025-04-12 17:56:01,11.2.1,59.0,Pillow,conda-forge/pillow,,,,2209067.0,2209067.0,https://pypi.org/project/Pillow,140375901.0,141299799.0,https://anaconda.org/conda-forge/pillow,2025-03-25 16:00:04.643,52662230.0,,,,,1.0,,,,,,,,,,,,
13,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-04-17 17:48:40.000000,2025-04-17 17:28:40,24854.0,1222.0,6114.0,480.0,32087.0,3837.0,16161.0,36605.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1201.0,47,True,2025-03-27 17:13:14,ray-2.44.1,100.0,ray,conda-forge/ray-tune,,,,23005.0,23005.0,https://pypi.org/project/ray,6984918.0,6999095.0,https://anaconda.org/conda-forge/ray-tune,2025-03-29 00:15:40.437,737110.0,,,,,1.0,251.0,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2025-04-16 20:23:25.000000,2025-04-14 21:05:04,59960.0,589.0,4602.0,291.0,13909.0,4509.0,9087.0,13554.0,A computer algebra system written in pure Python.,1368.0,47,True,2025-04-14 22:30:48,1.14.0rc1,56.0,sympy,conda-forge/sympy,,,,250235.0,250235.0,https://pypi.org/project/sympy,46476554.0,46624599.0,https://anaconda.org/conda-forge/sympy,2025-03-25 16:00:05.047,8501395.0,,,,,1.0,557579.0,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-04-17 18:00:51.000000,2025-04-17 17:35:21,7467.0,487.0,3352.0,323.0,5981.0,1039.0,3991.0,38861.0,Streamlit A faster way to build and share data apps.,266.0,46,True,2025-04-01 20:36:24,1.44.1,97.0,streamlit,,,,,841340.0,841340.0,https://pypi.org/project/streamlit,9370097.0,9370097.0,,,,,,,,1.0,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-04-17 16:53:47.000000,2025-04-17 16:53:47,7405.0,101.0,8266.0,904.0,5941.0,390.0,5059.0,26819.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",660.0,46,True,2025-03-15 13:44:01,3.0.0,64.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,146282.0,146282.0,https://pypi.org/project/xgboost,25067702.0,25173406.0,https://anaconda.org/conda-forge/xgboost,2025-04-11 07:52:43.634,6018495.0,,,,,1.0,15667.0,,,,,,,,,,,
17,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-04-17 18:02:57.000000,2025-04-16 19:05:41,8271.0,347.0,2092.0,423.0,1248.0,496.0,1424.0,22305.0,Data Apps & Dashboards for Python. No JavaScript Required.,175.0,46,True,2025-04-14 18:12:49,3.0.3,114.0,dash,conda-forge/dash,,,,83136.0,83136.0,https://pypi.org/project/dash,5480808.0,5511359.0,https://anaconda.org/conda-forge/dash,2025-04-15 03:24:59.969,1771951.0,,,,,1.0,88.0,,,,,,,,,,,
18,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-04-17 14:28:32.000000,2025-04-17 14:28:29,7801.0,359.0,2593.0,277.0,1858.0,607.0,2539.0,17011.0,The interactive graphing library for Python.,285.0,46,True,2025-03-17 15:02:47,6.0.1,105.0,plotly,conda-forge/plotly,,,,404244.0,404244.0,https://pypi.org/project/plotly,22782875.0,22996086.0,https://anaconda.org/conda-forge/plotly,2025-03-25 16:00:08.574,9070956.0,,,,,1.0,148.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,59465.0,,,,,,,,
19,llama_index,run-llama/llama_index,agents,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2025-04-17 03:29:37.000000,2025-04-17 03:29:07,6298.0,436.0,5733.0,257.0,7022.0,525.0,5628.0,40994.0,LlamaIndex is the leading framework for building LLM-powered agents over your data.,1529.0,45,True,2025-04-17 03:32:51,0.12.31,100.0,llama_index,,,,,19947.0,19947.0,https://pypi.org/project/llama_index,4347376.0,4347457.0,,,,,,,,2.0,981.0,,,,,,,,,,,
20,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-04-17 17:48:52.000000,2025-04-17 17:48:46,27135.0,1984.0,2934.0,326.0,18847.0,1487.0,4649.0,31962.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",859.0,45,True,2025-04-17 00:04:02,jax-v0.6.0,100.0,jax,conda-forge/jaxlib,,,,41346.0,41346.0,https://pypi.org/project/jax,8829091.0,8872316.0,https://anaconda.org/conda-forge/jaxlib,2025-03-25 16:00:51.738,2507094.0,,,,,1.0,,,,,jax-ml/jax,,,,,,,
21,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-04-17 13:24:04.000000,2025-04-17 13:24:03,53601.0,956.0,5561.0,715.0,53412.0,1004.0,17693.0,22687.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1368.0,45,True,2025-03-31 01:41:13,3.0.0,64.0,paddlepaddle,,,,['paddle'],7735.0,7735.0,https://pypi.org/project/paddlepaddle,410144.0,410292.0,,,,,,,,1.0,15432.0,,,,,,,,,,,
22,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2025-04-17 17:58:22.000000,2025-04-17 17:58:20,2467.0,357.0,7371.0,192.0,4060.0,757.0,10113.0,39535.0,Ultralytics YOLO11.,251.0,44,True,2025-04-17 10:52:09,8.3.110,100.0,ultralytics,,,,,45371.0,45371.0,https://pypi.org/project/ultralytics,5994784.0,5994784.0,,,,,,,,1.0,,,,,,,,,,,,
23,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-04-17 17:46:02.000000,2025-04-17 17:46:01,10552.0,50.0,3412.0,252.0,10425.0,913.0,6373.0,29314.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1009.0,44,True,2025-03-19 20:26:25,2.5.1,121.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],44638.0,44638.0,https://pypi.org/project/pytorch-lightning,8010994.0,8037181.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-03-25 16:01:11.222,1503284.0,,,,,2.0,11862.0,,,,Lightning-AI/pytorch-lightning,,,,,,,
24,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-04-17 14:42:51.000000,2025-04-17 12:44:51,7510.0,472.0,4338.0,307.0,10825.0,1416.0,2767.0,20201.0,Open source platform for the machine learning lifecycle.,837.0,44,True,2025-04-03 08:50:30,2.21.3,100.0,mlflow,conda-forge/mlflow,,,,57695.0,57695.0,https://pypi.org/project/mlflow,15386923.0,15440726.0,https://anaconda.org/conda-forge/mlflow,2025-04-03 10:43:30.416,3120602.0,,,,,1.0,,,,,,,,,,,,
25,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-04-15 15:18:31.637000,2025-04-15 13:47:59,1823.0,196.0,2510.0,146.0,695.0,1211.0,1141.0,16480.0,State-of-the-Art Text Embeddings.,220.0,44,True,2025-04-15 13:47:13,4.1.0,53.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],92389.0,92389.0,https://pypi.org/project/sentence-transformers,8629826.0,8641659.0,https://anaconda.org/conda-forge/sentence-transformers,2025-04-15 15:18:31.637,650845.0,,,,,1.0,,,,,,,,,,,,
26,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-03-25 16:00:09.760000,2025-03-15 01:00:12,14735.0,34.0,2831.0,459.0,1516.0,249.0,1592.0,13997.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,470.0,44,True,,,19.0,nltk,conda-forge/nltk,,,,376191.0,376191.0,https://pypi.org/project/nltk,31610302.0,31674027.0,https://anaconda.org/conda-forge/nltk,2025-03-25 16:00:09.760,3122556.0,,,,,1.0,,,,,,,,,,,,
27,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-04-16 15:46:33.000000,2025-04-16 15:46:33,9536.0,112.0,1726.0,212.0,6258.0,942.0,4400.0,13129.0,Parallel computing with task scheduling.,621.0,44,True,2025-03-21 21:54:56,2025.3.0,192.0,dask,conda-forge/dask,,,,73053.0,73053.0,https://pypi.org/project/dask,11486873.0,11707117.0,https://anaconda.org/conda-forge/dask,2025-03-25 16:00:05.363,12994450.0,,,,,1.0,,,,,,stable/dask,,,,,,
28,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-04-14 12:39:53.000000,2025-04-02 08:10:43,15692.0,53.0,3077.0,285.0,4005.0,2719.0,2829.0,10587.0,Statsmodels: statistical modeling and econometrics in Python.,453.0,44,True,2024-10-03 15:37:29,0.14.4,29.0,statsmodels,conda-forge/statsmodels,,,,164248.0,164248.0,https://pypi.org/project/statsmodels,16468807.0,16786962.0,https://anaconda.org/conda-forge/statsmodels,2025-03-25 16:00:06.856,18453040.0,,,,,2.0,35.0,,,,,,,,,,,
29,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-04-17 15:32:13.000000,2025-04-16 20:43:28,7656.0,289.0,2814.0,183.0,5075.0,474.0,5102.0,37514.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",404.0,43,True,2025-04-15 21:35:12,gradio@5.25.2,100.0,gradio,,,,,68292.0,68292.0,https://pypi.org/project/gradio,9352893.0,9352893.0,,,,,,,,1.0,,,,,,,,,,,,
30,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-04-17 15:28:32.000000,2025-04-16 11:19:51,20759.0,95.0,4163.0,434.0,6325.0,772.0,7139.0,19777.0,"Interactive Data Visualization in the browser, from Python.",710.0,43,True,,,70.0,bokeh,conda-forge/bokeh,,,,100571.0,100571.0,https://pypi.org/project/bokeh,3792698.0,4074259.0,https://anaconda.org/conda-forge/bokeh,2025-04-01 14:09:20.444,16330550.0,,,,,1.0,,,,,,,,,,,,
31,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2025-03-25 16:00:08.893000,2025-01-26 16:55:13,3242.0,4.0,1909.0,262.0,1141.0,148.0,2454.0,13038.0,Statistical data visualization in Python.,215.0,43,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,623828.0,623828.0,https://pypi.org/project/seaborn,25078834.0,25292639.0,https://anaconda.org/conda-forge/seaborn,2025-03-25 16:00:08.893,12400567.0,,,,,1.0,473.0,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-04-17 18:02:59.000000,2025-04-17 15:17:47,5148.0,76.0,2096.0,1665.0,5066.0,370.0,2776.0,12626.0,WebGL2 powered visualization framework.,286.0,43,True,2025-04-17 15:41:19,9.1.10,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],8939.0,8939.0,https://pypi.org/project/pydeck,8052041.0,8724422.0,https://anaconda.org/conda-forge/pydeck,2025-03-25 16:01:04.301,732607.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,659529.0,,,,,,,,
33,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-04-15 10:27:16.000000,2025-04-15 10:27:16,19044.0,195.0,1076.0,117.0,3909.0,55.0,1669.0,11771.0,A hyperparameter optimization framework.,292.0,43,True,2025-04-14 05:06:59,4.3.0,73.0,optuna,conda-forge/optuna,,,,24987.0,24987.0,https://pypi.org/project/optuna,3890000.0,3933741.0,https://anaconda.org/conda-forge/optuna,2025-04-15 03:12:25.737,2537000.0,,,,,1.0,,,,,,,,,,,,
34,langgraph,langchain-ai/langgraph,agents,,https://github.com/langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,MIT,2023-08-09 18:33:12.000,2025-04-17 17:54:02.000000,2025-04-17 17:01:29,5012.0,1132.0,1915.0,81.0,2612.0,75.0,516.0,11623.0,Build resilient language agents as graphs.,164.0,43,True,2025-04-17 17:12:07,0.3.31,100.0,langgraph,,,,,21017.0,21017.0,https://pypi.org/project/langgraph,4053690.0,4053690.0,,,,,,,,2.0,,,,,,,,,,,,
35,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2025-04-16 22:53:46.000000,2025-04-16 22:53:44,5896.0,14.0,1632.0,187.0,5073.0,636.0,1243.0,6842.0,TensorFlows Visualization Toolkit.,325.0,43,True,2025-02-12 08:16:26,2.19.0,64.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],311802.0,311802.0,https://pypi.org/project/tensorboard,25822912.0,25917349.0,https://anaconda.org/conda-forge/tensorboard,2025-03-25 16:00:27.352,5477368.0,,,,,1.0,,,,,,,,,,,,
36,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-04-17 15:52:21.000000,2025-04-17 15:52:21,11459.0,157.0,18910.0,1901.0,7970.0,259.0,12177.0,62884.0,Deep Learning for humans.,1400.0,42,True,2025-04-02 20:22:14,3.9.2,76.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,14743862.0,14813511.0,https://anaconda.org/conda-forge/keras,2025-03-25 16:00:08.865,4039682.0,,,,,2.0,,,,,,,,,,,,
37,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2025-04-17 17:33:26.000000,2025-04-15 21:01:17,2708.0,44.0,4787.0,316.0,602.0,51.0,916.0,33825.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",169.0,42,True,2025-02-23 05:07:06,1.0.15,65.0,timm,conda-forge/timm,,,['pytorch'],53273.0,53273.0,https://pypi.org/project/timm,7142836.0,7257323.0,https://anaconda.org/conda-forge/timm,2025-03-25 16:01:13.852,362808.0,,,,,1.0,7676686.0,,,,huggingface/pytorch-image-models,,,,,,,
38,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-04-11 18:56:53.000000,2025-04-11 18:56:52,16228.0,8.0,4416.0,562.0,4049.0,168.0,5526.0,31397.0,Industrial-strength Natural Language Processing (NLP) in Python.,764.0,42,True,2024-12-11 13:11:38,release-v3.8.3,100.0,spacy,conda-forge/spacy,,,,126021.0,126021.0,https://pypi.org/project/spacy,17156587.0,17256115.0,https://anaconda.org/conda-forge/spacy,2025-04-01 23:09:27.939,5771202.0,,,,,1.0,2151.0,,,,,,,,,,,
39,crewAI,crewAIInc/crewAI,agents,,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,MIT,2023-10-27 03:26:59.000,2025-04-17 17:28:05.000000,2025-04-17 16:22:48,1370.0,273.0,4035.0,291.0,1131.0,68.0,1204.0,30211.0,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI..",233.0,42,True,2025-04-10 01:04:50,0.114.0,80.0,crewai,,,,,12887.0,12887.0,https://pypi.org/project/crewai,1000261.0,1000261.0,,,,,,,,2.0,,,,,,,,,,,,
40,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2025-04-17 18:00:24.000000,2025-04-17 17:34:41,2825.0,40.0,3283.0,245.0,1049.0,674.0,1939.0,23734.0,A game theoretic approach to explain the output of any machine learning model.,265.0,42,True,2025-04-17 18:00:24,0.47.2,58.0,shap,conda-forge/shap,,,,29276.0,29276.0,https://pypi.org/project/shap,7227393.0,7337273.0,https://anaconda.org/conda-forge/shap,2025-03-25 16:01:01.086,5713803.0,,,,,1.0,,,,,shap/shap,,,,,,,
41,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,,2023-07-27 00:09:52.000,2025-04-17 17:52:12.000000,2025-04-17 05:25:16,21497.0,2423.0,2615.0,111.0,4823.0,1218.0,3776.0,20923.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",484.0,42,True,2025-04-17 05:43:20,1.66.2-nightly,100.0,litellm,,,,,10724.0,10724.0,https://pypi.org/project/litellm,6801491.0,6801713.0,,,,,,,,1.0,667.0,,,,,,,,,,,
42,chroma,chroma-core/chroma,nn-search,,https://github.com/chroma-core/chroma,https://github.com/chroma-core/chroma,Apache-2.0,2022-10-05 17:58:44.000,2025-04-17 18:12:36.000000,2025-04-17 17:27:45,2645.0,536.0,1564.0,106.0,2917.0,297.0,1073.0,19332.0,the AI-native open-source embedding database.,157.0,42,True,2025-04-16 17:36:11,1.0.5,81.0,chromadb,,,,,72400.0,72400.0,https://pypi.org/project/chromadb,3514598.0,3514619.0,,,,,,,,1.0,632.0,,,,,,,,,,,
