,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-10-10 16:07:20.000,2024-10-10 16:07:19,51178.0,1686.0,5411.0,717.0,50059.0,941.0,17377.0,22134.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1285.0,45,True,2024-06-27 10:00:34,3.0.0-beta0,63.0,paddlepaddle,,,['paddle'],15406.0,378235.0,6028.0,6028.0,https://pypi.org/project/paddlepaddle,378078.0,,,,1.0,,,,,,,-1.0,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-10-08 16:07:02.000,2024-10-08 16:07:02,15497.0,65.0,2696.0,282.0,3934.0,2657.0,2791.0,10044.0,Statsmodels: statistical modeling and econometrics in Python.,436.0,45,True,2024-10-03 15:37:29,0.14.4,29.0,statsmodels,conda-forge/statsmodels,,,34.0,17285181.0,138321.0,138321.0,https://pypi.org/project/statsmodels,16992710.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,15208536.0,1.0,,,,,,,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-10-01 23:10:18.000,2024-10-01 23:01:40,16203.0,69.0,4295.0,562.0,4022.0,126.0,5519.0,29815.0,Industrial-strength Natural Language Processing (NLP) in Python.,758.0,44,True,2024-10-01 18:19:33,release-v3.8.2,100.0,spacy,conda-forge/spacy,,,204.0,12979931.0,101119.0,101119.0,https://pypi.org/project/spacy,12898819.0,https://anaconda.org/conda-forge/spacy,2024-09-22 12:43:59.353,4217720.0,1.0,,,,,,,,,,,,,,,,
21,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-10-08 23:30:44.000,2024-10-08 23:30:44,10428.0,59.0,3308.0,251.0,10282.0,783.0,6306.0,28146.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",974.0,44,True,2024-08-07 09:44:30,2.4.0,118.0,pytorch-lightning,conda-forge/pytorch-lightning,,['pytorch'],9170.0,6939572.0,37257.0,37257.0,https://pypi.org/project/pytorch-lightning,6914361.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-08-07 15:45:27.965,1299096.0,2.0,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,
22,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-10-09 21:55:56.000,2024-10-04 20:25:37,6690.0,145.0,2504.0,275.0,1711.0,501.0,2443.0,16105.0,The interactive graphing library for Python This project now includes Plotly Express!.,271.0,44,True,2024-09-12 15:42:27,5.24.1,103.0,plotly,conda-forge/plotly,,,,20552717.0,311090.0,311090.0,https://pypi.org/project/plotly,20411626.0,https://anaconda.org/conda-forge/plotly,2024-09-12 22:24:43.567,7148143.0,1.0,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,6221.0,,,,,,
23,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-10-10 15:24:22.000,2024-10-10 15:24:22,8327.0,89.0,1668.0,213.0,5970.0,914.0,4263.0,12473.0,Parallel computing with task scheduling.,610.0,44,True,2024-09-28 00:59:14,2024.9.1,183.0,dask,conda-forge/dask,,,,13177096.0,65344.0,65344.0,https://pypi.org/project/dask,12950525.0,https://anaconda.org/conda-forge/dask,2024-09-28 03:30:27.336,12008302.0,1.0,,,,,,,,,,,stable/dask,,,,,
24,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-10-08 13:47:26.000,2024-10-08 13:47:26,11028.0,212.0,18758.0,1911.0,7477.0,237.0,11902.0,61851.0,Deep Learning for humans.,1333.0,43,True,2024-10-03 19:44:23,3.6.0,71.0,keras,conda-forge/keras,https://keras.io,['tensorflow'],,13888204.0,,,https://pypi.org/project/keras,13816386.0,https://anaconda.org/conda-forge/keras,2024-10-07 20:46:42.672,3734587.0,2.0,,,,,,,,,,,,,,,,
25,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-10-10 14:46:40.000,2024-10-09 19:33:22,5368.0,667.0,5016.0,248.0,6022.0,553.0,4726.0,35995.0,LlamaIndex is a data framework for your LLM applications.,1248.0,43,True,2024-10-09 01:29:46,0.11.17,100.0,llama-index,,,,815.0,1928248.0,12809.0,12809.0,https://pypi.org/project/llama-index,1928158.0,,,,1.0,,,,,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-10-10 18:25:44.000,2024-10-10 18:25:41,7077.0,268.0,2423.0,172.0,4445.0,547.0,4275.0,32679.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",326.0,43,True,2024-10-09 22:13:28,gradio@5.0.1,100.0,gradio,,,,,6447500.0,42896.0,42896.0,https://pypi.org/project/gradio,6447500.0,,,,1.0,,,,,,,,,,,,,,,,
27,ultralytics,ultralytics/ultralytics,image,,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,AGPL-3.0,2022-09-11 16:39:45.000,2024-10-10 17:28:57.000,2024-10-10 13:47:01,1719.0,366.0,5671.0,170.0,3035.0,995.0,7988.0,30164.0,Ultralytics YOLO11.,186.0,43,True,2024-10-09 14:21:23,8.3.9,87.0,ultralytics,,,,321.0,3483658.0,26327.0,26327.0,https://pypi.org/project/ultralytics,3483623.0,,,,1.0,,,,,,,,,,,,,,,,
28,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-10-09 16:12:05.000,2024-10-09 16:03:01,2770.0,62.0,3186.0,241.0,971.0,750.0,1788.0,22652.0,A game theoretic approach to explain the output of any machine learning model.,251.0,43,True,2024-06-27 10:06:50,0.46.0,55.0,shap,conda-forge/shap,,,,6849809.0,20810.0,20810.0,https://pypi.org/project/shap,6762397.0,https://anaconda.org/conda-forge/shap,2024-05-08 21:55:59.406,4020981.0,1.0,,,,,,shap/shap,,,,,,,,,,
29,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-10-09 14:21:12.000,2024-10-09 13:33:21,7690.0,117.0,2011.0,421.0,1132.0,442.0,1353.0,21301.0,Data Apps & Dashboards for Python. No JavaScript Required.,165.0,43,True,2024-09-12 16:11:13,2.18.1,110.0,dash,conda-forge/dash,,,78.0,3466872.0,70023.0,70023.0,https://pypi.org/project/dash,3437938.0,https://anaconda.org/conda-forge/dash,2024-09-14 04:47:51.793,1504566.0,1.0,,,,,,,,,,,,,,,,
30,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-10-10 10:07:21.000,2024-10-02 20:21:43,20613.0,63.0,4125.0,442.0,6174.0,730.0,6983.0,19277.0,"Interactive Data Visualization in the browser, from Python.",702.0,43,True,,,64.0,bokeh,conda-forge/bokeh,,,,4790430.0,93204.0,93204.0,https://pypi.org/project/bokeh,4500789.0,https://anaconda.org/conda-forge/bokeh,2024-09-26 20:39:59.050,15061378.0,1.0,,,,,,,,,,,,,,,,
31,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-10-10 07:52:26.000,2024-10-10 03:24:22,6573.0,350.0,4060.0,297.0,9199.0,1286.0,2586.0,18472.0,Open source platform for the machine learning lifecycle.,775.0,43,True,2024-09-27 04:49:37,2.17.0rc0,100.0,mlflow,conda-forge/mlflow,,,,15174970.0,43598.0,43598.0,https://pypi.org/project/mlflow,15129277.0,https://anaconda.org/conda-forge/mlflow,2024-09-17 10:26:09.229,2376060.0,1.0,,,,,,,,,,,,,,,,
32,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-10-10 15:36:10.000,2024-10-10 15:05:52,2854.0,90.0,3601.0,438.0,3391.0,299.0,2518.0,17746.0,Open standard for machine learning interoperability.,325.0,43,True,2024-10-01 17:57:22,1.17.0,31.0,onnx,conda-forge/onnx,,,21989.0,5554724.0,34246.0,34246.0,https://pypi.org/project/onnx,5530140.0,https://anaconda.org/conda-forge/onnx,2024-10-05 10:56:04.588,1264820.0,1.0,,,,,,,,,,,,,,,,
33,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-10-10 17:52:14.000,2024-10-09 23:46:26,3576.0,57.0,3751.0,433.0,3261.0,332.0,3064.0,16573.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",318.0,43,True,2024-07-25 22:10:25,4.5.0,33.0,lightgbm,conda-forge/lightgbm,,,236862.0,9705827.0,38305.0,38305.0,https://pypi.org/project/lightgbm,9703196.0,https://anaconda.org/conda-forge/lightgbm,,,2.0,,,,,,,,,,,,,,,,
34,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-09-25 08:35:09.000,2024-09-25 08:35:04,14681.0,90.0,2788.0,462.0,1492.0,253.0,1556.0,13502.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,461.0,43,True,,,19.0,nltk,conda-forge/nltk,,,,22368067.0,311410.0,311410.0,https://pypi.org/project/nltk,22302848.0,https://anaconda.org/conda-forge/nltk,2024-08-18 23:14:52.073,2804419.0,1.0,,,,,,,,,,,,,,,,
35,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-10-10 13:23:10.000,2024-10-04 05:16:35,5005.0,69.0,2061.0,1673.0,4870.0,311.0,2727.0,12165.0,WebGL2 powered visualization framework.,273.0,43,True,2024-10-08 17:59:17,9.0.33,100.0,pydeck,conda-forge/pydeck,,['jupyter'],,6129683.0,8135.0,8135.0,https://pypi.org/project/pydeck,5534362.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,620833.0,1.0,,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,584235.0,,,,,,
36,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2024-10-08 04:19:19.000,2024-10-08 04:19:18,18279.0,244.0,1004.0,117.0,3659.0,64.0,1605.0,10685.0,A hyperparameter optimization framework.,272.0,43,True,2024-09-02 05:16:46,4.0.0,66.0,optuna,conda-forge/optuna,,,,3596893.0,18083.0,18083.0,https://pypi.org/project/optuna,3564028.0,https://anaconda.org/conda-forge/optuna,2024-09-03 06:05:16.374,1709015.0,1.0,,,,,,,,,,,,,,,,
37,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-10-10 17:28:36.000,2024-10-10 17:28:36,14151.0,111.0,2157.0,186.0,4511.0,570.0,2107.0,6059.0,Image processing in Python.,672.0,43,True,2024-06-18 19:05:37,0.24.0,34.0,scikit-image,conda-forge/scikit-image,,,,28482274.0,198530.0,198530.0,https://pypi.org/project/scikit-image,28348318.0,https://anaconda.org/conda-forge/scikit-image,2024-08-17 02:34:14.270,6965714.0,1.0,,,,,,,,,,,,,,,,
38,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-10-09 21:12:27.000,2024-10-09 17:25:32,2480.0,119.0,4615.0,312.0,519.0,49.0,866.0,31764.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",150.0,42,True,2024-08-23 23:42:07,1.0.9,59.0,timm,conda-forge/timm,,['pytorch'],7087950.0,6225663.0,37861.0,37861.0,https://pypi.org/project/timm,6111862.0,https://anaconda.org/conda-forge/timm,2024-08-24 14:28:50.700,242570.0,1.0,,,,,,huggingface/pytorch-image-models,,,,,,,,,,
39,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2024-10-08 12:20:39.000,2024-10-08 12:20:36,9341.0,50.0,1166.0,137.0,5520.0,227.0,4470.0,13687.0,ML Experiments and Data Management with Git.,304.0,42,True,2024-09-02 15:01:06,3.55.2,321.0,dvc,conda-forge/dvc,,,,662608.0,18248.0,18248.0,https://pypi.org/project/dvc,619019.0,https://anaconda.org/conda-forge/dvc,2024-09-02 18:55:30.141,2266639.0,1.0,,,,,,,,,,,,dvc,dvc,dvc,,
40,Altair,altair-viz/altair,data-viz,,https://github.com/vega/altair,https://github.com/vega/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-10-08 21:31:52.000,2024-10-06 17:06:42,3785.0,97.0,761.0,140.0,1491.0,198.0,1814.0,9257.0,Declarative statistical visualization library for Python.,172.0,42,True,2024-08-27 04:41:23,5.4.1,30.0,altair,conda-forge/altair,,,193.0,23138380.0,166673.0,166673.0,https://pypi.org/project/altair,23066336.0,https://anaconda.org/conda-forge/altair,2024-10-02 18:03:41.017,2449438.0,1.0,,,,,,vega/altair,,,,,,,,,,
41,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2024-10-10 18:16:57.000,2024-10-10 18:16:56,7116.0,422.0,654.0,60.0,5249.0,877.0,2461.0,8982.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",194.0,42,True,2024-10-01 23:28:58,0.18.3,100.0,wandb,conda-forge/wandb,,,328.0,19105736.0,55263.0,55263.0,https://pypi.org/project/wandb,19092825.0,https://anaconda.org/conda-forge/wandb,2024-10-08 19:48:22.115,658126.0,1.0,,,,,,wandb/wandb,,,,,,,,,,
42,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-10-08 00:39:40.000,2024-10-08 00:39:40,5865.0,24.0,1627.0,189.0,5043.0,619.0,1240.0,6690.0,TensorFlows Visualization Toolkit.,321.0,42,True,2024-09-25 21:21:08,2.18.0,63.0,tensorboard,conda-forge/tensorboard,,['tensorflow'],,21690935.0,264153.0,264153.0,https://pypi.org/project/tensorboard,21593805.0,https://anaconda.org/conda-forge/tensorboard,2024-09-27 11:17:28.293,5050767.0,1.0,,,,,,,,,,,,,,,,
