,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url,snap_id,new_addition
10,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-10-26 17:41:27.000000,2023-10-26 15:26:56,18027.0,1172.0,2273.0,316.0,11414.0,1278.0,3351.0,25101.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",589.0,45,True,2023-10-19 20:04:45,jaxlib-v0.4.19,87.0,jax,conda-forge/jaxlib,,,,18574.0,18574.0,https://pypi.org/project/jax,3809250.0,3833420.0,https://anaconda.org/conda-forge/jaxlib,2023-10-25 14:41:56.031,966830.0,,,,,1.0,,,,,,,,,,,,,,
11,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-10-26 17:46:26.000000,2023-10-25 19:03:42,9837.0,352.0,2968.0,242.0,9583.0,665.0,5889.0,24953.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",908.0,45,True,2023-10-12 13:10:13,2.1.0,103.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],25250.0,25250.0,https://pypi.org/project/pytorch-lightning,4041002.0,4066120.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-10-12 22:54:18.350,987960.0,,,,,1.0,13411.0,,,,,,,,,,,,,
12,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-10-26 17:03:18.000000,2023-10-26 17:03:18,44372.0,1620.0,5146.0,726.0,40783.0,1074.0,16359.0,20958.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1112.0,45,True,2023-07-25 11:09:59,2.5.0,60.0,paddlepaddle,,,,['paddle'],4151.0,4151.0,https://pypi.org/project/paddlepaddle,176599.0,176777.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-10-26 05:59:42.000000,2023-10-25 17:37:45,9892.0,529.0,18521.0,1919.0,6673.0,107.0,11243.0,59598.0,Deep Learning for humans.,1245.0,44,True,2023-09-12 16:19:40,2.14.0,52.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,12872935.0,12955345.0,https://anaconda.org/conda-forge/keras,2023-07-28 12:24:35.264,3296429.0,,,,,2.0,,,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-10-26 18:01:48.000000,2023-10-26 17:12:09,19622.0,1248.0,4712.0,464.0,24734.0,3086.0,12607.0,28341.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,932.0,44,True,2023-10-09 17:47:23,ray-2.7.1,73.0,ray,conda-forge/ray-tune,,,,11943.0,11943.0,https://pypi.org/project/ray,2455743.0,2460750.0,https://anaconda.org/conda-forge/ray-tune,2023-10-17 08:48:26.741,170231.0,,,,,1.0,93.0,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-10-25 13:11:24.000000,2023-10-23 09:59:18,16059.0,80.0,4125.0,562.0,3903.0,73.0,5419.0,27435.0,Industrial-strength Natural Language Processing (NLP) in Python.,742.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,72352.0,72352.0,https://pypi.org/project/spacy,7136714.0,7218269.0,https://anaconda.org/conda-forge/spacy,2023-10-10 09:44:18.186,3262216.0,,,,,1.0,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-10-26 15:30:49.000000,2023-10-26 14:17:56,6611.0,151.0,8114.0,914.0,4755.0,322.0,4638.0,24896.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",628.0,44,True,2023-10-24 08:56:42,2.0.1,54.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,69956.0,69956.0,https://pypi.org/project/xgboost,11555747.0,11667270.0,https://anaconda.org/conda-forge/xgboost,2023-10-24 05:08:56.957,4346933.0,,,,,2.0,7401.0,,,,,,,,,,,,,
17,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-10-26 17:43:25.000000,2023-10-26 16:02:05,4888.0,472.0,3523.0,293.0,6730.0,1001.0,2238.0,15647.0,Open source platform for the machine learning lifecycle.,662.0,44,True,2023-09-17 21:48:08,2.7.1,75.0,mlflow,conda-forge/mlflow,,,,25292.0,25292.0,https://pypi.org/project/mlflow,13521594.0,13561875.0,https://anaconda.org/conda-forge/mlflow,2023-09-21 15:54:18.751,1611250.0,,,,,1.0,,,,,,,,,,,,,,
18,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-10-26 16:53:01.000000,2023-10-25 20:43:29,6227.0,97.0,2374.0,280.0,1562.0,1372.0,1356.0,14331.0,The interactive graphing library for Python This project now includes Plotly Express!.,246.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,210534.0,210534.0,https://pypi.org/project/plotly,10873059.0,11037213.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,4975312.0,,,,,1.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,42805.0,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-10-26 10:08:44.000000,2023-10-17 10:16:00,15106.0,12.0,2590.0,277.0,3810.0,2518.0,2708.0,8950.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,44,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,105323.0,105323.0,https://pypi.org/project/statsmodels,11336674.0,11629157.0,https://anaconda.org/conda-forge/statsmodels,2023-10-05 23:45:15.777,11699340.0,,,,,2.0,29.0,,,,,,,,,,,,,
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-10-26 16:14:01.000000,2023-10-25 09:15:25,20282.0,107.0,4037.0,447.0,5860.0,740.0,6712.0,18228.0,"Interactive Data Visualization in the browser, from Python.",673.0,43,True,,,54.0,bokeh,conda-forge/bokeh,,,,78115.0,78115.0,https://pypi.org/project/bokeh,3424486.0,3747891.0,https://anaconda.org/conda-forge/bokeh,2023-10-11 08:08:05.962,12936237.0,,,,,1.0,,,,,,,,,,,,,,
21,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-10-26 14:33:48.000000,2023-10-26 05:40:16,2568.0,119.0,3500.0,440.0,2994.0,262.0,2264.0,15774.0,Open standard for machine learning interoperability.,298.0,43,True,2023-08-25 21:00:03,1.14.1,26.0,onnx,conda-forge/onnx,,,,19853.0,19853.0,https://pypi.org/project/onnx,4050504.0,4072342.0,https://anaconda.org/conda-forge/onnx,2023-10-11 15:26:47.399,862763.0,,,,,1.0,19401.0,,,,,,,,,,,,,
22,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-10-26 17:58:22.000000,2023-10-26 17:58:21,3364.0,54.0,3642.0,440.0,3004.0,292.0,2845.0,15558.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 01:51:05,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,26302.0,26302.0,https://pypi.org/project/lightgbm,6914905.0,6973712.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2078870.0,,,,,2.0,204544.0,,,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-10-25 17:54:41.000000,2023-10-22 21:29:01,3194.0,39.0,1721.0,255.0,1057.0,112.0,2296.0,11273.0,Statistical data visualization in Python.,200.0,43,True,2023-09-29 19:01:44,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,315830.0,315830.0,https://pypi.org/project/seaborn,12170364.0,12362633.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7690718.0,,,,,1.0,280.0,,,,,,,,,,,,,
24,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-10-25 23:28:31.000000,2023-10-25 04:39:07,5704.0,98.0,1555.0,193.0,4843.0,590.0,1213.0,6381.0,TensorFlows Visualization Toolkit.,307.0,43,True,2023-10-19 19:31:58,2.15.0,55.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],194343.0,194343.0,https://pypi.org/project/tensorboard,21005825.0,21115107.0,https://anaconda.org/conda-forge/tensorboard,2023-10-20 00:55:28.414,4371290.0,,,,,1.0,,,,,,,,,,,,,,
25,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-10-26 15:51:39.000000,2023-10-25 16:51:33,7470.0,124.0,2950.0,277.0,3510.0,188.0,2888.0,13334.0,Network Analysis in Python.,686.0,42,True,2023-10-19 04:10:50,networkx-3.2,53.0,networkx,conda-forge/networkx,,,,194295.0,194295.0,https://pypi.org/project/networkx,29549530.0,29913506.0,https://anaconda.org/conda-forge/networkx,2023-10-19 07:56:50.787,13831118.0,,,,,1.0,65.0,,,,,,,,,,,,,
26,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-10-25 00:53:35.000000,2023-10-20 08:15:35,3583.0,57.0,703.0,145.0,1283.0,158.0,1707.0,8513.0,Declarative statistical visualization library for Python.,158.0,42,True,2023-10-03 18:18:45,5.1.2,26.0,altair,conda-forge/altair,,,,81726.0,81726.0,https://pypi.org/project/altair,13840784.0,13934653.0,https://anaconda.org/conda-forge/altair,2023-10-03 20:26:07.376,2065112.0,,,,,1.0,89.0,,,,,,,,,,,,,
27,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-10-26 17:04:44.000000,2023-10-20 15:52:31,13763.0,106.0,2105.0,185.0,4298.0,524.0,2011.0,5638.0,Image processing in Python.,632.0,42,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,157762.0,157762.0,https://pypi.org/project/scikit-image,9864992.0,10007938.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5717873.0,,,,,1.0,,,,,,,,,,,,,,
28,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-10-26 18:04:33.000000,2023-10-26 16:35:20,1898.0,193.0,3349.0,303.0,2227.0,706.0,1411.0,29008.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",255.0,41,True,2023-10-09 16:54:24,0.11.1,57.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4583.0,4583.0,https://pypi.org/project/deepspeed,378431.0,378814.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17238.0,1.0,,,,,,,,,,,,,,
29,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-10-26 18:15:05.000000,2023-10-26 18:10:29,5904.0,262.0,2432.0,306.0,3851.0,656.0,3004.0,28114.0,Streamlit A faster way to build and share data apps.,203.0,41,True,2023-10-26 17:18:34,1.28.0,67.0,streamlit,,,,,1030.0,1030.0,https://pypi.org/project/streamlit,2420264.0,2420264.0,,,,,,,,1.0,,,,,,,,,,,,,,
30,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-10-26 11:39:01.000000,2023-10-23 04:36:23,2049.0,122.0,4234.0,304.0,402.0,68.0,742.0,27323.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",118.0,41,True,2023-10-21 20:52:29,0.9.8,50.0,timm,conda-forge/timm,,,['pytorch'],17649.0,17649.0,https://pypi.org/project/timm,3334516.0,3443633.0,https://anaconda.org/conda-forge/timm,2023-10-21 20:00:32.835,105408.0,,,,,1.0,5640035.0,,,,huggingface/pytorch-image-models,,,,,,,,,
31,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-10-25 05:34:04.000000,2023-10-23 13:07:52,2557.0,100.0,2949.0,258.0,750.0,1403.0,930.0,20321.0,A game theoretic approach to explain the output of any machine learning model.,226.0,41,True,2023-10-09 09:41:17,0.43.0,50.0,shap,conda-forge/shap,,,,13900.0,13900.0,https://pypi.org/project/shap,7322675.0,7386474.0,https://anaconda.org/conda-forge/shap,2023-10-09 21:10:21.871,2169179.0,,,,,1.0,,,,,shap/shap,,,,,,,,,
32,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-10-26 13:09:06.000000,2023-10-23 12:18:50,32584.0,208.0,4307.0,349.0,6268.0,1.0,6642.0,17144.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",594.0,41,True,2023-10-23 10:55:37,3.6.13,100.0,rasa,,,,['tensorflow'],3728.0,3728.0,https://pypi.org/project/rasa,119415.0,119415.0,,,,,,,,1.0,,,,,,,,,,,,,,
33,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/piskvorky/gensim,https://github.com/piskvorky/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-10-01 14:51:01.000000,2023-10-01 14:51:00,4509.0,40.0,4143.0,435.0,1679.0,374.0,1443.0,14727.0,Topic Modelling for Humans.,447.0,41,True,2023-08-24 08:44:46,4.3.2,43.0,gensim,conda-forge/gensim,,,,51446.0,51446.0,https://pypi.org/project/gensim,3915561.0,3953100.0,https://anaconda.org/conda-forge/gensim,2023-08-24 12:30:21.806,1162259.0,,,,,1.0,4532.0,,,,piskvorky/gensim,,,,,,,,,
34,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-10-26 13:36:07.000000,2023-10-25 22:01:30,7896.0,66.0,1608.0,211.0,5493.0,814.0,4040.0,11480.0,Parallel computing with task scheduling.,588.0,41,True,,,158.0,dask,conda-forge/dask,,,,53731.0,53731.0,https://pypi.org/project/dask,7499940.0,7752379.0,https://anaconda.org/conda-forge/dask,2023-10-14 03:22:25.060,10350013.0,,,,,1.0,,,,,,stable/dask,,,,,,,,
35,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2023-10-26 17:57:33.000000,2023-10-26 15:37:16,5892.0,364.0,543.0,54.0,3697.0,756.0,2046.0,7385.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,162.0,41,True,2023-10-04 17:31:06,0.15.12,100.0,wandb,conda-forge/wandb,,,,31337.0,31337.0,https://pypi.org/project/wandb,7389426.0,7399775.0,https://anaconda.org/conda-forge/wandb,2023-10-04 19:30:33.577,403641.0,,,,,1.0,,,,,wandb/wandb,,,,,,,,,
36,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2023-10-26 12:46:25.000000,2023-10-26 02:31:38,2724.0,49.0,7252.0,614.0,2205.0,174.0,1580.0,24708.0,The fastai deep learning library.,243.0,40,True,2023-10-15 04:03:45,2.7.13,50.0,fastai,,,,['pytorch'],15041.0,15041.0,https://pypi.org/project/fastai,357506.0,357506.0,,,,,,,,2.0,,,,,,,,,,,,,,
37,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-10-26 17:18:02.000000,2023-10-26 17:17:58,7067.0,114.0,1879.0,415.0,999.0,749.0,831.0,19531.0,Data Apps & Dashboards for Python. No JavaScript Required.,141.0,40,True,2023-10-11 15:59:34,2.14.0,101.0,dash,conda-forge/dash,,,,53176.0,53176.0,https://pypi.org/project/dash,2261470.0,2289758.0,https://anaconda.org/conda-forge/dash,2023-10-12 07:33:38.338,1131552.0,,,,,2.0,,,,,,,,,,,,,,
38,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2023-10-26 17:56:26.000000,2023-10-25 23:03:42,8484.0,86.0,2130.0,205.0,4131.0,16.0,1896.0,19258.0,Build multimodal AI applications with cloud-native stack.,177.0,40,True,2023-10-25 12:05:35,3.22.3,100.0,jina,conda-forge/jina-core,jinaai/jina,,,1226.0,1226.0,https://pypi.org/project/jina,89208.0,120084.0,https://anaconda.org/conda-forge/jina-core,2023-06-16 19:27:18.682,56685.0,https://hub.docker.com/r/jinaai/jina,2023-10-25 12:20:52.212222,8.0,1258820.0,2.0,,,,,,,,,,,,,,
39,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-09-28 08:36:01.000000,2023-09-28 08:36:01,14447.0,2.0,2671.0,466.0,1429.0,251.0,1487.0,12462.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,444.0,40,True,,,17.0,nltk,conda-forge/nltk,,,,226933.0,226933.0,https://pypi.org/project/nltk,12449771.0,12476528.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2301180.0,,,,,1.0,,,,,,,,,,,,,,
40,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-10-26 18:00:12.000000,2023-10-26 17:58:45,9039.0,150.0,1079.0,135.0,5219.0,570.0,3926.0,12124.0,Data Version Control | Git for Data & Models | ML Experiments Management.,289.0,40,True,2023-10-18 19:59:54,3.27.0,275.0,dvc,conda-forge/dvc,,,,10177.0,10177.0,https://pypi.org/project/dvc,755812.0,801952.0,https://anaconda.org/conda-forge/dvc,2023-10-24 02:52:28.256,1713853.0,,,,,2.0,39532.0,,,,,,dvc,dvc,dvc,,,,,
